County,Year,Average AQI,Maximum AQI,IQR AQI
Alameda,2015,51.32,147.0,20.0
Alpine,2015,,,
Amador,2015,42.84,140.0,20.0
Butte,2015,57.56,152.0,23.0
Calaveras,2015,53.36,320.0,22.0
Colusa,2015,49.34,191.0,18.2
Contra Costa,2015,47.33,147.0,16.0
Del Norte,2015,18.40,68.0,13.8
El Dorado,2015,52.26,166.0,26.0
Fresno,2015,85.24,205.0,47.0
Glenn,2015,46.24,93.0,18.0
Humboldt,2015,33.90,90.0,13.0
Imperial,2015,69.09,175.0,29.0
Inyo,2015,62.64,1383.0,32.0
Kern,2015,89.87,201.0,48.0
Kings,2015,75.54,174.0,42.0
Lake,2015,36.54,148.0,13.0
Lassen,2015,,,
Los Angeles,2015,91.27,203.0,59.0
Madera,2015,68.54,154.0,32.0
Marin,2015,40.52,103.0,19.0
Mariposa,2015,52.91,215.0,23.0
Mendocino,2015,40.37,160.0,14.0
Merced,2015,64.10,159.0,34.0
Modoc,2015,,,
Mono,2015,63.88,3994.0,18.0
Monterey,2015,38.58,120.0,12.0
Napa,2015,46.51,108.0,21.0
Nevada,2015,57.20,166.0,26.0
Orange,2015,60.84,156.0,19.0
Placer,2015,60.73,187.0,26.0
Plumas,2015,55.05,157.0,52.5
Riverside,2015,93.94,238.0,56.0
Sacramento,2015,61.77,172.0,26.0
San Benito,2015,42.04,93.0,13.0
San Bernardino,2015,93.19,223.0,58.0
San Diego,2015,67.81,155.0,29.0
San Francisco,2015,38.41,100.0,16.0
San Joaquin,2015,63.08,164.0,29.0
San Luis Obispo,2015,56.22,126.0,20.0
San Mateo,2015,35.41,101.0,12.0
Santa Barbara,2015,48.88,101.0,12.0
Santa Clara,2015,48.06,147.0,19.0
Santa Cruz,2015,37.19,94.0,12.0
Shasta,2015,49.05,156.0,14.0
Sierra,2015,,,
Siskiyou,2015,36.67,139.0,15.0
Solano,2015,47.86,118.0,18.0
Sonoma,2015,37.88,88.0,13.0
Stanislaus,2015,67.71,187.0,34.0
Sutter,2015,54.66,119.0,24.0
Tehama,2015,50.90,153.0,29.0
Trinity,2015,11.01,49.0,10.2
Tulare,2015,84.86,170.0,43.0
Tuolumne,2015,46.85,126.0,23.0
Ventura,2015,56.31,126.0,25.0
Yolo,2015,48.76,103.0,18.0
Yuba,2015,,,
