County,Population,Persons under 5 years percent,Persons under 18 years percent,Persons 65 years and over percent,Female persons percent,White alone percent,Black or African American alone percent,American Indian and Alaska Native alone percent,Asian alone percent,Native Hawaiian and Other Pacific Islander alone percent,Two or More Races percent,Hispanic or Latino percent,White alone  not Hispanic or Latino percent,Foreign born persons percent,Persons per household,High school graduate or higher percent of persons age 25 years+,Bachelor's degree or higher percent of persons age 25 years+,Persons  without health insurance  under age 65 years percent,Median household income (in 2015 dollars),Persons in poverty percent,Population per square mile,Land area in square miles
Alameda,1638215,6.0,21.1,12.7,50.9,51.3,11.8,1.1,29.5,1.0,5.3,22.6,32.5,31.4,2.78,86.9,43.0,9.6,75619,11.5,2043.6,739.02
Alpine,1110,2.6,19.2,22.0,47.4,72.1,0.5,23.2,1.2,0.0,3.0,9.2,66.9,3.4,3.06,89.5,27.5,15.1,52917,19.0,1.6,738.33
Amador,37001,3.6,15.3,25.8,46.7,90.6,2.2,2.3,1.5,0.2,3.3,13.5,79.1,5.5,2.36,88.4,21.3,10.4,54171,13.1,64.1,594.58
Butte,225411,5.4,20.1,17.5,50.5,86.5,1.8,2.5,4.7,0.3,4.3,15.7,73.0,7.6,2.55,88.0,25.9,13.1,43444,21.4,134.4,1636.46
Calaveras,44828,3.9,17.4,25.9,50.0,91.7,1.0,1.9,1.6,0.2,3.7,11.5,81.8,5.2,2.45,91.6,20.9,10.6,53233,13.0,44.7,1020.01
Colusa,21482,7.2,27.7,13.4,48.7,91.3,1.2,2.6,1.9,0.6,2.4,58.5,36.2,24.5,3.04,68.2,14.6,16.9,52168,13.2,18.6,1150.73
Contra Costa,1126745,5.8,23.2,14.6,51.2,66.8,9.6,1.0,16.8,0.6,5.2,25.3,45.0,23.9,2.82,88.9,39.6,9.8,80185,10.2,1465.2,715.94
Del Norte,27254,5.7,21.0,16.3,45.2,78.7,3.5,9.1,3.6,0.2,4.9,19.8,62.8,5.9,2.55,80.0,15.1,12.7,40847,23.3,28.4,1006.37
El Dorado,184452,4.3,20.6,18.6,49.9,89.6,1.0,1.3,4.2,0.2,3.7,12.8,78.3,9.4,2.69,92.3,32.1,9.3,69584,9.1,106.0,1707.88
Fresno,974861,8.2,28.7,11.5,50.1,77.2,5.9,3.0,10.7,0.3,3.0,52.4,30.4,21.4,3.17,73.5,19.4,15.4,45233,25.2,156.2,5957.99
Glenn,28017,7.2,26.7,15.1,49.6,89.8,1.2,3.0,3.1,0.2,2.7,41.1,52.2,17.9,2.92,75.0,14.9,18.0,39349,18.5,21.4,1313.95
Humboldt,135727,5.4,19.5,16.1,50.1,83.6,1.4,6.2,2.9,0.3,5.5,11.1,74.9,5.8,2.47,89.8,28.0,14.9,42197,20.9,37.7,3567.99
Imperial,180191,8.5,28.4,12.5,49.0,89.7,3.5,2.6,2.4,0.2,1.7,82.7,11.9,32.6,3.61,66.3,14.1,16.0,41079,24.3,41.8,4176.60
Inyo,18260,6.1,20.6,22.1,50.1,81.2,1.0,12.9,1.7,0.1,3.2,20.9,64.3,10.1,2.23,87.6,23.9,13.4,45955,12.4,1.8,10180.88
