County,Foreign born (%),Persons per household,Bachelor or higher (%),Persons without health insurance (%),Median household income,Persons in poverty (%),Population per square mile,Adult smokers (%),Second-hand smoke (%),Adult obesity (%),Unemployment (%),Medicare (%),Medi-Cal (%),Private (%),Other (%),Radon Zone,Population near busy roads (%)
Alameda,31.4,2.78,43.0,9.6,75619,11.5,2043.6,11.0,7.4,21.0,10.7,14.97,46.92,23.22,14.9,2,71.7
Alpine,3.4,3.06,27.5,15.1,52917,19.0,1.6,16.9,8.0,18.7,14.0,,,,,2,0.0
Amador,5.5,2.36,21.3,10.4,54171,13.1,64.1,16.9,8.0,18.7,11.7,28.19,23.35,40.97,7.49,2,6.8
Butte,7.6,2.55,25.9,13.1,43444,21.4,134.4,16.7,14.5,23.8,12.5,18.1,56.85,16.97,8.08,3,31.2
Calaveras,5.2,2.45,20.9,10.6,53233,13.0,44.7,16.9,8.0,18.7,14.1,22.82,45.63,22.82,8.74,2,3.4
Colusa,24.5,3.04,14.6,16.9,52168,13.2,18.6,15.1,3.9,38.2,18.3,14.13,54.35,21.74,9.78,3,10.0
Contra Costa,23.9,2.82,39.6,9.8,80185,10.2,1465.2,10.6,6.2,24.0,10.3,19.28,37.27,32.04,11.41,2,49.9
Del Norte,5.9,2.55,15.1,12.7,40847,23.3,28.4,15.2,11.5,31.4,12.2,9.23,70.0,12.31,8.46,3,8.0
El Dorado,9.4,2.69,32.1,9.3,69584,9.1,106.0,11.5,4.2,22.9,11.3,14.59,30.02,38.81,16.58,2,17.6
Fresno,21.4,3.17,19.4,15.4,45233,25.2,156.2,13.9,6.5,30.0,15.1,8.87,69.13,15.51,6.49,2,49.6
Glenn,17.9,2.92,14.9,18.0,39349,18.5,21.4,15.1,3.9,38.2,14.6,20.18,49.54,15.6,14.68,3,9.0
Humboldt,5.8,2.47,28.0,14.9,42197,20.9,37.7,17.4,4.9,27.6,11.0,19.54,51.1,15.23,14.13,3,24.0
Imperial,32.6,3.61,14.1,16.0,41079,24.3,41.8,12.6,3.8,41.7,28.2,11.55,43.5,38.48,6.47,3,27.0
Inyo,10.1,2.23,23.9,13.4,45955,12.4,1.8,16.9,8.0,18.7,9.1,16.3,47.83,29.35,6.52,2,8.4
Kern,20.3,3.21,15.4,14.5,49026,21.9,103.3,18.1,5.5,33.2,14.4,11.04,64.86,14.97,9.12,2,38.4
Kings,18.6,3.19,13.4,14.3,46481,22.4,110.1,14.8,2.9,36.6,14.6,9.36,61.58,18.48,10.57,3,17.9
Lake,9.0,2.34,16.0,15.9,35578,20.5,51.5,26.2,8.9,26.4,15.6,21.78,53.53,13.07,11.62,3,7.6
Lassen,6.6,2.24,12.3,9.3,51555,17.1,7.7,15.2,11.5,31.4,12.9,18.45,39.81,24.27,17.48,3,6.0
Los Angeles,34.7,3.02,30.3,17.4,56196,16.7,2419.6,13.2,6.7,24.7,11.6,10.97,50.06,26.86,12.1,2,79.8
Madera,21.6,3.35,13.3,17.4,45073,22.6,70.6,15.2,7.1,34.4,13.7,9.18,68.78,16.63,5.41,2,13.9
Marin,18.2,2.41,55.8,8.7,93257,7.5,485.1,5.5,4.6,13.9,7.8,21.93,34.37,33.9,9.8,3,40.2
Mariposa,6.5,2.29,22.1,12.6,47681,15.2,12.6,16.9,8.0,18.7,10.6,40.0,16.67,36.67,6.67,2,0.0
Mendocino,12.7,2.51,23.7,15.8,42980,20.3,25.1,13.0,8.0,26.5,10.5,12.9,17.63,59.57,9.89,3,16.6
Merced,25.5,3.32,13.1,14.9,42462,25.9,132.2,15.6,7.0,34.1,17.2,48.46,33.6,12.37,5.57,3,28.4
Modoc,6.2,2.32,18.0,15.3,37860,20.3,2.5,15.2,11.5,31.4,12.8,10.0,53.33,21.67,15.0,3,0.0
Mono,16.7,2.82,32.3,16.5,56944,11.2,4.7,16.9,8.0,18.7,9.0,6.12,44.9,24.49,24.49,2,11.9
Monterey,30.1,3.26,23.1,17.4,58783,15.3,126.5,10.1,3.9,25.1,11.9,10.75,64.13,14.46,10.66,2,40.8
Napa,23.0,2.74,32.4,12.5,71379,10.1,182.4,7.1,2.9,28.9,8.7,18.15,35.38,33.69,12.77,3,36.2
Nevada,6.2,2.38,33.7,11.7,56521,12.4,103.1,12.9,4.5,18.5,10.7,19.24,44.17,23.58,13.01,2,14.5
Orange,30.5,3.04,37.7,13.4,76509,12.7,3807.7,10.8,4.4,23.1,9.0,13.1,39.74,37.3,9.87,3,74.2
Placer,10.5,2.67,36.4,8.8,73948,8.6,247.6,7.6,3.0,18.1,10.6,18.81,18.81,52.36,10.01,2,32.6
Plumas,4.5,2.26,22.0,11.9,47333,13.8,7.8,15.2,11.5,31.4,16.4,22.73,39.39,30.3,7.58,2,1.6
Riverside,22.0,3.24,20.9,17.0,56603,16.2,303.8,13.4,5.2,25.9,13.6,11.15,41.13,28.6,19.12,2,41.6
Sacramento,20.4,2.76,28.8,11.5,55987,16.9,1470.8,16.2,5.6,28.0,11.3,12.34,52.94,24.42,10.3,3,57.9
San Benito,20.3,3.33,19.0,13.5,71077,9.3,39.8,15.5,3.2,41.2,14.4,9.03,61.29,23.23,6.45,2,21.3
San Bernardino,21.3,3.33,19.0,14.7,53433,18.9,101.5,13.3,5.5,33.2,13.0,10.76,53.49,24.5,11.25,2,49.3
San Diego,23.5,2.86,35.7,13.4,64309,13.9,735.8,12.2,5.7,22.1,9.7,13.15,51.71,23.42,11.72,3,56.0
San Francisco,35.1,2.32,53.8,9.3,81294,12.4,17179.1,13.6,6.9,11.3,9.0,19.04,44.93,25.37,10.65,2,81.7
San Joaquin,23.3,3.16,18.4,13.2,53274,17.5,492.6,13.0,8.9,34.7,15.4,12.61,50.44,27.57,9.39,3,50.9
San Luis Obispo,10.5,2.51,33.0,13.6,60691,14.4,81.7,10.6,4.6,12.6,9.0,17.09,24.2,45.87,12.84,2,29.6
San Mateo,34.6,2.85,45.6,9.1,93623,8.4,1602.2,7.1,6.0,16.6,8.6,17.15,33.85,34.64,14.36,2,64.5
Santa Barbara,23.0,2.92,32.2,15.5,63985,15.6,155.0,12.8,5.3,20.5,8.4,11.25,54.16,20.6,13.99,1,43.7
Santa Clara,37.7,2.95,47.9,8.4,96310,8.3,1381.0,8.2,2.7,20.5,11.0,15.1,32.31,29.88,22.71,2,70.9
Santa Cruz,18.4,2.72,38.2,12.9,67256,15.4,589.4,14.7,3.8,27.1,11.2,13.39,56.59,17.17,12.85,2,49.8
Shasta,4.9,2.54,19.6,13.5,44620,19.0,46.9,24.5,6.5,25.7,14.8,18.4,56.19,14.75,10.66,3,26.3
Sierra,3.7,2.38,18.9,15.0,42833,13.8,3.4,15.2,11.5,31.4,15.2,40.0,50.0,10.0,0.0,2,0.1
Siskiyou,4.9,2.26,22.7,14.6,37170,22.6,7.2,15.2,11.5,31.4,14.8,26.42,42.49,18.13,12.95,3,10.6
Solano,20.1,2.89,24.9,10.3,66828,12.0,503.0,19.6,5.3,35.8,10.9,16.04,47.1,26.49,10.36,3,38.8
Sonoma,16.6,2.59,32.9,12.8,64240,11.0,307.1,12.7,4.9,21.5,9.7,20.41,42.08,26.25,11.26,3,39.5
Stanislaus,20.6,3.08,16.5,12.8,50125,19.5,344.2,15.9,6.7,30.1,16.0,12.21,42.46,38.35,6.98,3,45.0
Sutter,22.5,2.95,17.6,14.6,52017,17.5,157.3,12.1,5.3,30.1,17.0,15.32,58.33,12.63,13.71,3,34.8
Tehama,8.4,2.63,14.4,13.3,41001,22.5,21.5,15.1,3.9,38.2,14.1,20.25,52.15,14.11,13.5,3,14.2
Trinity,5.5,2.38,20.0,12.7,34974,19.7,4.3,15.2,11.5,31.4,17.3,57.14,14.29,28.57,0.0,3,0.0
Tulare,22.5,3.36,13.8,16.7,42031,27.2,91.7,15.5,4.3,38.0,15.3,10.19,49.16,35.73,4.92,2,28.1
Tuolumne,4.5,2.28,20.4,11.5,50306,14.5,24.9,16.9,8.0,18.7,12.6,24.38,49.17,21.9,4.55,2,11.8
Ventura,22.8,3.08,31.7,13.1,77348,9.9,446.7,11.2,4.0,22.7,10.0,14.62,43.44,26.9,15.04,1,55.0
Yolo,22.1,2.77,39.0,11.3,54989,17.5,197.9,8.4,4.0,17.8,11.2,16.61,46.86,27.55,8.98,3,43.9
Yuba,12.0,2.87,14.3,14.3,46892,21.6,114.2,25.9,11.3,32.2,17.3,16.1,54.49,12.69,16.72,2,27.9
