County,Year,Rate (per 10k)
Alameda,2005,448.28
Alameda,2005,708.98
Alameda,2005,221.79
Alameda,2005,254.14
Alameda,2005,51.37
Alameda,2005,80.43
Alameda,2005,13.28
Alameda,2005,25.66
Alameda,2005,112.73
Alameda,2005,166.05
Alameda,2005,36.59
Alameda,2005,62.09
Alameda,2005,300.42
Alameda,2005,486.71
Alameda,2005,240.49
Alameda,2005,294.98
Alameda,2005,91.48
Alameda,2005,158.67
Alameda,2005,38.98
Alameda,2005,56.63
Alameda,2006,432.81
Alameda,2006,744.91
Alameda,2006,180.62
Alameda,2006,271.29
Alameda,2006,30.2
Alameda,2006,87.84
Alameda,2006,11.67
Alameda,2006,20.39
Alameda,2006,104.66
Alameda,2006,185.34
Alameda,2006,45.26
Alameda,2006,71.33
Alameda,2006,270.69
Alameda,2006,489.56
Alameda,2006,152.92
Alameda,2006,205.74
Alameda,2006,74.51
Alameda,2006,164.21
Alameda,2006,47.01
Alameda,2006,61.8
Alameda,2007,531.38
Alameda,2007,749.09
Alameda,2007,219.24
Alameda,2007,255.17
Alameda,2007,32.67
Alameda,2007,111.75
Alameda,2007,11.7
Alameda,2007,20.66
Alameda,2007,136.21
Alameda,2007,225.44
Alameda,2007,41.77
Alameda,2007,61.81
Alameda,2007,308.56
Alameda,2007,435.95
Alameda,2007,128.42
Alameda,2007,150.64
Alameda,2007,80.33
Alameda,2007,150.62
Alameda,2007,50.41
Alameda,2007,55.21
Alameda,2008,565.16
Alameda,2008,679.93
Alameda,2008,248.76
Alameda,2008,280.46
Alameda,2008,41.17
Alameda,2008,78.74
Alameda,2008,14.76
Alameda,2008,20.94
Alameda,2008,124.14
Alameda,2008,227.71
Alameda,2008,45.99
Alameda,2008,71.38
Alameda,2008,331.63
Alameda,2008,439.51
Alameda,2008,115.4
Alameda,2008,138.77
Alameda,2008,76.14
Alameda,2008,181.69
Alameda,2008,44.24
Alameda,2008,56.05
Alameda,2009,486.93
Alameda,2009,715.23
Alameda,2009,245.48
Alameda,2009,348.69
Alameda,2009,43.4
Alameda,2009,89.08
Alameda,2009,19.55
Alameda,2009,30.4
Alameda,2009,105.71
Alameda,2009,207.2
Alameda,2009,67.65
Alameda,2009,88.25
Alameda,2009,233.32
Alameda,2009,407.36
Alameda,2009,152.69
Alameda,2009,186.62
Alameda,2009,62.14
Alameda,2009,141.67
Alameda,2009,47.5
Alameda,2009,68.44
Alameda,2010,233.77
Alameda,2010,408.64
Alameda,2010,158.25
Alameda,2010,222.94
Alameda,2010,45.87
Alameda,2010,69.11
Alameda,2010,12.24
Alameda,2010,30.73
Alameda,2010,84.72
Alameda,2010,152.77
Alameda,2010,46.69
Alameda,2010,69.45
Alameda,2010,155.16
Alameda,2010,242.42
Alameda,2010,113.83
Alameda,2010,160.64
Alameda,2010,61.92
Alameda,2010,108.57
