Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,PM2.5,54,27,15,54
01/02/2015,PM2.5,61,27,18,61
01/03/2015,PM2.5,56,27,16,56
01/04/2015,PM2.5,58,25,15,58
01/05/2015,PM2.5,54,21,15,54
01/06/2015,PM2.5,30,18,9,30
01/07/2015,PM2.5,25,22,7,25
01/08/2015,PM2.5,29,21,9,29
01/09/2015,PM2.5,33,10,11,33
01/10/2015,PM2.5,62,25,19,62
01/11/2015,PM2.5,76,26,26,76
01/12/2015,PM2.5,72,24,26,72
01/13/2015,PM2.5,73,20,31,73
01/14/2015,PM2.5,58,22,18,58
01/15/2015,PM2.5,30,21,8,30
01/16/2015,PM2.5,25,15,8,25
01/17/2015,PM2.5,45,14,11,45
01/18/2015,PM2.5,39,14,9,39
01/19/2015,PM2.5,38,9,8,38
01/20/2015,PM2.5,19,13,5,19
01/21/2015,PM2.5,33,17,9,33
01/22/2015,PM2.5,48,12,11,48
01/23/2015,PM2.5,44,15,12,44
01/24/2015,PM2.5,26,14,6,26
01/25/2015,PM2.5,25,16,6,25
01/26/2015,PM2.5,30,20,9,30
01/27/2015,Ozone,30,30,6,15
01/28/2015,PM2.5,30,22,9,30
01/29/2015,PM2.5,38,26,12,38
01/30/2015,PM2.5,45,29,14,45
01/31/2015,PM2.5,49,27,13,49
02/01/2015,PM2.5,54,27,15,54
02/02/2015,PM2.5,47,25,15,47
02/03/2015,PM2.5,50,25,14,50
02/04/2015,PM2.5,28,24,10,28
02/05/2015,Ozone,29,29,5,12
02/06/2015,Ozone,31,31,8,9
02/07/2015,Ozone,25,25,1,5
02/08/2015,Ozone,33,33,6,8
02/09/2015,Ozone,34,34,8,18
02/10/2015,Ozone,22,22,6,15
02/11/2015,PM2.5,23,23,7,23
02/12/2015,Ozone,28,28,7,18
02/13/2015,Ozone,30,30,8,18
02/14/2015,Ozone,31,31,6,19
02/15/2015,Ozone,31,31,6,23
02/16/2015,Ozone,33,33,6,23
02/17/2015,PM2.5,32,29,10,32
02/18/2015,PM2.5,29,22,8,29
02/19/2015,PM2.5,31,26,10,31
02/20/2015,PM2.5,30,17,7,30
02/21/2015,PM2.5,33,21,7,33
02/22/2015,PM2.5,40,29,18,40
02/23/2015,PM2.5,34,31,21,34
02/24/2015,Ozone,31,31,11,29
02/25/2015,PM2.5,42,37,14,42
02/26/2015,PM2.5,46,40,15,46
02/27/2015,Ozone,33,33,8,20
02/28/2015,Ozone,33,33,4,15
03/01/2015,Ozone,30,30,4,20
03/02/2015,Ozone,34,34,4,13
03/03/2015,Ozone,34,34,8,27
03/04/2015,Ozone,36,36,8,28
03/05/2015,Ozone,38,38,10,29
03/06/2015,Ozone,37,37,11,30
03/07/2015,Ozone,41,41,8,28
03/08/2015,Ozone,45,45,11,32
