Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,Ozone,30,30,,
01/02/2015,Ozone,30,30,,
01/03/2015,Ozone,31,31,,25
01/04/2015,Ozone,28,28,,
01/05/2015,Ozone,27,27,,
01/06/2015,Ozone,28,28,,20
01/07/2015,Ozone,27,27,,
01/08/2015,Ozone,27,27,,
01/09/2015,PM2.5,26,23,,26
01/10/2015,PM10,28,27,28,
01/11/2015,Ozone,27,27,19,
01/12/2015,Ozone,29,29,21,18
01/13/2015,Ozone,29,29,17,
01/14/2015,Ozone,28,28,27,
01/15/2015,PM10,29,29,29,20
01/16/2015,Ozone,31,31,10,
01/17/2015,Ozone,19,19,16,
01/18/2015,Ozone,21,21,10,8
01/19/2015,PM10,21,10,21,
01/20/2015,PM10,27,8,27,
01/21/2015,PM10,23,19,23,15
01/22/2015,PM10,29,27,29,
01/23/2015,Ozone,32,32,19,
01/24/2015,Ozone,33,33,18,10
01/25/2015,Ozone,34,34,19,
01/26/2015,Ozone,30,30,25,
01/27/2015,Ozone,31,31,11,8
01/28/2015,Ozone,28,28,20,
01/29/2015,Ozone,25,25,21,
01/30/2015,Ozone,29,29,19,14
01/31/2015,Ozone,36,36,24,
02/01/2015,Ozone,32,32,22,
02/02/2015,Ozone,31,31,14,7
02/03/2015,Ozone,25,25,12,
02/04/2015,Ozone,25,25,16,
02/05/2015,Ozone,30,30,15,7
02/06/2015,Ozone,31,31,21,
02/07/2015,Ozone,25,25,6,
02/08/2015,Ozone,31,31,7,5
02/09/2015,Ozone,32,32,11,
02/10/2015,Ozone,26,26,23,
02/11/2015,Ozone,30,30,25,14
02/12/2015,Ozone,30,30,26,
02/13/2015,Ozone,39,39,30,
02/14/2015,Ozone,37,37,28,13
02/15/2015,Ozone,33,33,20,
02/16/2015,Ozone,33,33,18,
02/17/2015,Ozone,32,32,20,15
02/18/2015,Ozone,26,26,19,
02/19/2015,Ozone,25,25,19,
02/20/2015,PM10,23,22,23,14
02/21/2015,PM10,38,28,38,
02/22/2015,PM10,41,35,41,
02/23/2015,Ozone,36,36,18,8
02/24/2015,Ozone,37,37,20,
02/25/2015,Ozone,40,40,20,
02/26/2015,Ozone,34,34,23,11
02/27/2015,Ozone,32,32,9,
02/28/2015,Ozone,30,30,7,
03/01/2015,Ozone,28,28,13,12
03/02/2015,Ozone,28,28,16,
03/03/2015,Ozone,34,34,25,
03/04/2015,Ozone,37,37,26,14
03/05/2015,Ozone,41,41,28,
03/06/2015,Ozone,40,40,26,
03/07/2015,Ozone,50,50,30,18
03/08/2015,Ozone,45,45,26,
03/09/2015,Ozone,40,40,24,
03/10/2015,Ozone,46,46,18,14
03/11/2015,Ozone,33,33,12,
03/12/2015,Ozone,31,31,13,
03/13/2015,Ozone,37,37,13,10
03/14/2015,Ozone,44,44,18,
03/15/2015,Ozone,48,48,16,
03/16/2015,Ozone,41,41,19,15
03/17/2015,Ozone,46,46,11,
03/18/2015,Ozone,40,40,14,
