Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,76,8,27,25,,76
01/02/2015,PM2.5,82,8,30,23,,82
01/03/2015,PM2.5,89,9,33,21,,89
01/04/2015,PM2.5,91,9,36,28,,91
01/05/2015,PM2.5,78,9,37,26,,78
01/06/2015,PM2.5,84,9,37,20,27,84
01/07/2015,PM2.5,63,9,35,19,,63
01/08/2015,PM2.5,99,8,34,15,,99
01/09/2015,PM2.5,71,8,28,10,,71
01/10/2015,PM2.5,66,7,25,16,,66
01/11/2015,PM2.5,60,7,19,11,,60
01/12/2015,PM2.5,45,7,27,10,8,45
01/13/2015,PM2.5,47,9,30,18,,47
01/14/2015,PM2.5,99,8,32,22,,99
01/15/2015,PM2.5,103,7,27,14,,103
01/16/2015,PM2.5,102,7,25,5,,102
01/17/2015,PM2.5,70,6,18,18,,70
01/18/2015,PM2.5,66,7,16,8,14,66
01/19/2015,PM2.5,57,7,16,12,,57
01/20/2015,PM2.5,56,8,25,10,,56
01/21/2015,PM2.5,61,8,29,18,,61
01/22/2015,PM2.5,77,8,23,14,,77
01/23/2015,PM2.5,75,8,30,14,,75
01/24/2015,PM2.5,90,8,21,13,25,90
01/25/2015,PM2.5,75,6,25,19,,75
01/26/2015,PM2.5,77,7,28,17,,77
01/27/2015,PM2.5,47,7,25,31,,47
01/28/2015,PM2.5,60,8,25,25,,60
01/29/2015,PM2.5,54,8,29,25,,54
01/30/2015,PM2.5,55,7,23,10,17,55
01/31/2015,PM2.5,42,7,35,29,,42
02/01/2015,PM2.5,66,8,27,19,,66
02/02/2015,PM2.5,88,8,32,26,,88
02/03/2015,PM2.5,63,7,26,19,,63
02/04/2015,PM2.5,91,8,28,32,,91
02/05/2015,PM2.5,41,3,24,30,11,41
02/06/2015,PM2.5,31,3,10,29,,31
02/07/2015,PM2.5,48,5,15,25,,48
02/08/2015,PM2.5,46,6,16,38,,46
02/09/2015,PM2.5,55,5,20,34,,55
02/10/2015,PM2.5,38,7,27,20,,38
02/11/2015,PM2.5,45,7,29,23,10,45
02/12/2015,PM2.5,49,8,28,26,,49
02/13/2015,PM2.5,52,,29,28,,52
02/14/2015,PM2.5,48,7,25,27,,48
02/15/2015,PM2.5,43,7,24,30,,43
02/16/2015,PM2.5,50,6,24,33,,50
02/17/2015,PM2.5,56,5,18,34,12,56
02/18/2015,PM2.5,53,5,16,28,,53
02/19/2015,PM2.5,62,5,18,20,,62
02/20/2015,PM2.5,52,6,20,22,,52
02/21/2015,PM2.5,54,6,19,29,,54
02/22/2015,Ozone,33,5,17,33,,32
02/23/2015,Ozone,36,5,26,36,11,30
02/24/2015,PM2.5,42,6,41,29,,42
02/25/2015,PM2.5,53,6,25,31,,53
02/26/2015,PM2.5,53,7,26,31,,53
02/27/2015,PM2.5,35,3,7,33,,35
02/28/2015,Ozone,32,3,19,32,,26
03/01/2015,PM2.5,34,,19,31,6,34
03/02/2015,PM2.5,43,6,31,34,,43
03/03/2015,PM2.5,42,,26,,.,42
03/04/2015,PM2.5,38,7,30,31,,38
03/05/2015,PM2.5,45,6,34,42,,45
03/06/2015,PM2.5,54,8,39,43,,54
03/07/2015,PM2.5,54,7,22,42,14,54
03/08/2015,PM2.5,58,6,14,31,,58
03/09/2015,PM2.5,58,5,18,29,,58
03/10/2015,PM2.5,63,,19,23,,63
03/11/2015,PM2.5,54,5,21,31,,54
03/12/2015,PM2.5,33,7,28,30,,33
03/13/2015,PM2.5,46,7,24,33,10,46
03/14/2015,Ozone,49,5,24,49,,48
03/15/2015,PM2.5,39,2,15,35,,39
03/16/2015,Ozone,34,5,22,34,,32
03/17/2015,Ozone,34,3,13,34,,32
03/18/2015,PM2.5,42,5,23,28,,42
03/19/2015,PM2.5,56,6,25,31,21,56
03/20/2015,PM2.5,45,6,30,34,,45
03/21/2015,PM2.5,31,3,11,31,,31
03/22/2015,PM2.5,34,3,8,33,,34
03/23/2015,PM2.5,45,5,25,39,,45
03/24/2015,PM2.5,50,5,30,31,,50
03/25/2015,PM2.5,43,6,21,28,9,43
03/26/2015,PM2.5,48,7,25,39,,48
03/27/2015,PM2.5,45,6,15,24,,45
03/28/2015,PM2.5,48,5,17,35,,48
03/29/2015,PM2.5,56,5,17,34,,56
03/30/2015,PM2.5,52,6,24,34,,52
03/31/2015,PM2.5,51,3,8,40,15,51
04/01/2015,PM2.5,47,3,16,38,,47
04/02/2015,PM2.5,44,5,30,38,,44
04/03/2015,PM2.5,57,7,32,41,,57
04/04/2015,Ozone,43,3,8,43,,42
04/05/2015,Ozone,41,5,13,41,,36
04/06/2015,Ozone,42,,30,42,12,36
04/07/2015,Ozone,40,3,15,40,,23
04/08/2015,Ozone,43,5,22,43,,33
04/09/2015,Ozone,41,6,25,41,,22
04/10/2015,Ozone,37,6,28,37,,9
04/11/2015,Ozone,33,5,22,33,,10
04/12/2015,Ozone,37,5,14,37,7,23
04/13/2015,Ozone,44,3,15,44,,
04/14/2015,Ozone,42,3,17,42,,0
04/15/2015,Ozone,42,5,36,42,,29
04/16/2015,Ozone,50,5,40,50,,
04/17/2015,Ozone,44,6,28,44,,
04/18/2015,Ozone,39,3,9,39,13,33
04/19/2015,Ozone,35,3,7,35,,23
04/20/2015,Ozone,34,3,11,34,,31
04/21/2015,Ozone,31,3,13,31,,23
04/22/2015,PM2.5,38,3,13,31,,38
04/23/2015,PM2.5,55,3,9,34,,55
04/24/2015,Ozone,41,3,14,41,13,25
04/25/2015,Ozone,37,3,6,37,,18
04/26/2015,Ozone,40,3,11,40,,16
04/27/2015,Ozone,31,6,21,31,,20
04/28/2015,Ozone,31,3,8,31,,21
04/29/2015,PM2.5,40,3,17,31,,40
04/30/2015,Ozone,64,6,25,64,19,57
05/01/2015,Ozone,47,6,31,47,,38
05/02/2015,Ozone,43,3,6,43,,37
05/03/2015,Ozone,39,3,5,39,,24
05/04/2015,Ozone,33,3,12,33,,25
05/05/2015,Ozone,35,3,16,35,,34
05/06/2015,PM2.5,64,3,12,35,21,64
05/07/2015,Ozone,37,3,14,37,,35
05/08/2015,PM2.5,50,5,22,36,,50
05/09/2015,PM2.5,39,3,8,34,,39
05/10/2015,PM2.5,37,3,6,33,,37
05/11/2015,Ozone,39,3,10,39,,29
05/12/2015,PM2.5,41,3,9,38,11,41
05/13/2015,Ozone,36,3,10,36,,15
05/14/2015,Ozone,41,3,10,41,,17
05/15/2015,Ozone,35,3,15,35,,27
05/16/2015,Ozone,35,3,6,35,,21
05/17/2015,Ozone,34,3,7,34,,23
05/18/2015,Ozone,31,3,12,31,11,27
05/19/2015,Ozone,30,,.,30,,22
05/20/2015,Ozone,30,3,8,30,,15
05/21/2015,Ozone,29,3,12,29,,13
05/22/2015,Ozone,31,3,10,31,,23
05/23/2015,Ozone,33,3,5,33,,30
05/24/2015,PM2.5,35,3,7,31,9,35
05/25/2015,Ozone,29,3,5,29,,12
05/26/2015,Ozone,31,3,11,31,,15
05/27/2015,Ozone,26,3,10,26,,13
05/28/2015,Ozone,26,3,8,26,,14
05/29/2015,Ozone,26,3,10,26,,17
05/30/2015,Ozone,30,3,6,30,7,18
05/31/2015,Ozone,34,3,6,34,,23
06/01/2015,Ozone,27,3,8,27,,11
06/02/2015,Ozone,27,3,10,27,,18
06/03/2015,Ozone,27,3,15,27,,25
06/04/2015,PM2.5,39,3,16,27,,39
06/05/2015,PM2.5,38,2,8,27,12,38
06/06/2015,Ozone,29,2,4,29,,14
06/07/2015,Ozone,31,2,14,31,,10
06/08/2015,Ozone,49,3,13,49,,20
06/09/2015,Ozone,28,3,12,28,,13
06/10/2015,PM2.5,19,3,17,19,,19
06/11/2015,Ozone,36,3,12,36,11,33
06/12/2015,PM2.5,40,3,12,29,,40
06/13/2015,PM2.5,59,3,4,28,,59
06/14/2015,PM2.5,59,2,6,28,,59
06/15/2015,PM2.5,53,3,10,27,,53
06/16/2015,PM2.5,50,3,13,31,,50
06/17/2015,PM2.5,61,3,10,29,22,61
06/18/2015,PM2.5,42,3,11,33,,42
06/19/2015,Ozone,28,3,11,28,,25
06/20/2015,PM2.5,36,3,8,25,,36
06/21/2015,Ozone,33,3,7,33,,
06/22/2015,Ozone,29,3,9,29,,
06/23/2015,PM2.5,55,3,11,29,19,55
06/24/2015,Ozone,25,3,12,25,,
06/25/2015,Ozone,31,3,12,31,,
06/26/2015,Ozone,42,3,20,42,,35
06/27/2015,Ozone,22,2,5,22,,21
06/28/2015,Ozone,21,2,5,21,,13
06/29/2015,Ozone,29,3,8,29,8,17
06/30/2015,PM2.5,29,3,11,29,,29
07/01/2015,Ozone,39,3,10,39,,28
07/02/2015,Ozone,20,3,10,20,,11
07/03/2015,Ozone,26,3,7,26,,14
07/04/2015,Ozone,25,3,4,25,,7
07/05/2015,Ozone,23,2,4,23,4,8
07/06/2015,Ozone,24,3,8,24,,20
07/07/2015,PM2.5,21,3,8,19,,21
07/08/2015,Ozone,22,3,8,22,,20
07/10/2015,Ozone,19,5,12,19,,5
07/11/2015,Ozone,22,3,8,22,6,8
07/12/2015,Ozone,22,3,5,22,,5
07/13/2015,Ozone,17,3,8,17,,2
07/14/2015,PM2.5,38,3,6,22,,38
07/15/2015,Ozone,24,3,6,24,,23
07/16/2015,Ozone,25,3,11,25,,0
07/17/2015,Ozone,31,3,8,31,10,29
07/18/2015,Ozone,33,3,8,33,,8
07/19/2015,Ozone,31,3,6,31,,6
07/20/2015,PM2.5,34,3,11,20,,34
07/21/2015,Ozone,17,3,7,17,,11
07/22/2015,PM2.5,27,3,8,20,,27
