Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,55,7,37,26,,55
01/02/2015,PM2.5,73,8,42,20,,73
01/03/2015,PM2.5,84,10,45,17,,84
01/04/2015,PM2.5,86,10,40,19,,86
01/05/2015,PM2.5,69,9,42,12,,69
01/06/2015,PM2.5,90,10,47,13,41,90
01/07/2015,PM2.5,72,15,47,8,,72
01/08/2015,PM2.5,98,14,48,5,,98
01/09/2015,PM2.5,80,14,33,9,,80
01/10/2015,PM2.5,56,7,29,15,,56
01/11/2015,PM2.5,54,7,25,14,,54
01/12/2015,PM2.5,50,7,31,9,,50
01/13/2015,PM2.5,38,10,35,11,,38
01/14/2015,PM2.5,81,8,32,13,,81
01/15/2015,PM2.5,100,9,44,9,,100
01/16/2015,PM2.5,93,9,37,5,,93
01/17/2015,PM2.5,57,8,27,17,,57
01/18/2015,PM2.5,58,8,22,7,17,58
01/19/2015,PM2.5,46,8,26,12,,46
01/20/2015,PM2.5,55,8,27,11,,55
01/21/2015,PM2.5,52,9,32,11,,52
01/22/2015,PM2.5,63,9,25,11,,63
01/23/2015,PM2.5,69,13,37,8,,69
01/24/2015,PM2.5,68,13,33,11,,68
01/25/2015,PM2.5,67,9,32,14,,67
01/26/2015,PM2.5,64,9,35,8,,64
01/27/2015,PM2.5,43,10,42,21,,43
01/28/2015,PM2.5,91,11,42,21,,91
01/29/2015,PM2.5,52,11,47,19,,52
01/30/2015,PM2.5,46,8,28,12,22,46
01/31/2015,PM2.5,34,9,25,27,,34
02/01/2015,PM2.5,57,9,35,18,,57
02/02/2015,PM2.5,81,11,45,20,,81
02/03/2015,PM2.5,60,11,37,16,,60
02/04/2015,PM2.5,74,9,30,30,,74
02/05/2015,NO2,39,6,39,28,,34
02/06/2015,Ozone,29,3,9,29,,15
02/07/2015,Ozone,29,5,14,29,,26
02/08/2015,Ozone,38,5,17,38,,18
02/09/2015,PM2.5,43,5,19,32,,43
02/10/2015,PM2.5,29,7,27,21,,29
02/11/2015,NO2,39,8,39,15,15,36
02/12/2015,PM2.5,38,9,37,19,,38
02/13/2015,NO2,53,10,53,21,,49
02/14/2015,PM2.5,54,9,34,21,,54
02/15/2015,PM2.5,45,10,39,23,,45
02/16/2015,PM2.5,51,10,32,36,,51
02/17/2015,PM2.5,47,5,21,37,,47
02/18/2015,PM2.5,38,5,16,33,,38
02/19/2015,PM2.5,48,5,22,24,,48
02/20/2015,PM2.5,54,8,27,16,,54
02/21/2015,PM2.5,43,9,24,31,,43
02/22/2015,Ozone,31,6,22,31,,25
02/23/2015,NO2,37,5,37,31,19,18
02/24/2015,NO2,61,7,61,29,,26
02/25/2015,PM2.5,41,6,29,28,,41
02/26/2015,PM2.5,48,8,35,29,,48
02/27/2015,Ozone,33,5,13,33,,15
02/28/2015,Ozone,32,5,30,32,,17
03/01/2015,Ozone,30,,26,30,,20
03/02/2015,Ozone,35,6,25,35,,32
03/03/2015,NO2,44,8,44,29,,33
03/04/2015,NO2,41,7,41,28,,36
03/05/2015,NO2,37,8,37,36,,36
03/06/2015,NO2,46,8,46,33,,43
03/07/2015,PM2.5,44,7,25,34,19,44
03/08/2015,PM2.5,49,6,15,31,,49
03/09/2015,PM2.5,53,6,19,27,,53
03/10/2015,PM2.5,60,5,27,30,,60
03/11/2015,PM2.5,41,5,23,33,,41
03/12/2015,NO2,42,5,42,24,,25
03/13/2015,NO2,49,8,49,21,,37
03/14/2015,PM2.5,41,7,28,37,,41
03/15/2015,Ozone,32,7,26,32,,18
03/16/2015,PM2.5,30,6,29,30,,30
03/17/2015,Ozone,32,5,17,32,,21
03/18/2015,NO2,33,6,33,30,,30
03/19/2015,PM2.5,51,8,42,34,27,51
03/20/2015,NO2,35,6,35,33,,30
03/21/2015,Ozone,31,5,9,31,,20
03/22/2015,Ozone,34,5,9,34,,23
03/23/2015,Ozone,39,5,22,39,,28
03/24/2015,Ozone,33,5,21,33,,27
03/25/2015,NO2,32,7,32,24,,30
03/26/2015,NO2,41,7,41,28,,38
03/27/2015,Ozone,24,6,19,24,,13
03/28/2015,PM2.5,32,6,20,31,,32
03/29/2015,PM2.5,45,5,16,28,,45
03/30/2015,PM2.5,46,5,15,31,,46
03/31/2015,Ozone,38,5,13,38,16,28
04/01/2015,NO2,47,7,47,37,,33
04/02/2015,PM2.5,35,7,26,35,,35
04/03/2015,PM2.5,51,9,50,38,,51
04/04/2015,Ozone,42,6,15,42,,28
04/05/2015,Ozone,43,5,14,43,,25
04/06/2015,Ozone,42,7,42,42,,15
04/07/2015,Ozone,43,3,27,43,,10
04/08/2015,NO2,40,6,40,38,,18
04/09/2015,NO2,39,5,39,35,,21
04/10/2015,NO2,40,5,40,34,,20
04/11/2015,Ozone,33,3,17,33,,21
04/12/2015,Ozone,33,5,16,33,13,22
04/13/2015,Ozone,44,3,12,44,,16
04/14/2015,Ozone,43,5,22,43,,22
04/15/2015,NO2,42,7,42,35,,21
04/16/2015,Ozone,43,8,42,43,,16
04/17/2015,PM2.5,40,6,32,36,,40
04/18/2015,PM2.5,41,3,10,34,,41
04/19/2015,Ozone,37,3,4,37,,28
04/20/2015,Ozone,36,3,11,36,,33
04/21/2015,Ozone,32,3,16,32,,21
04/22/2015,Ozone,35,3,13,35,,34
04/23/2015,PM2.5,55,3,13,34,,55
04/24/2015,Ozone,41,3,8,41,13,22
04/25/2015,Ozone,36,3,6,36,,17
04/26/2015,Ozone,32,3,22,32,,15
04/27/2015,NO2,31,7,31,24,,23
04/28/2015,Ozone,35,3,7,35,,25
04/29/2015,PM2.5,53,5,25,33,,53
04/30/2015,PM2.5,44,7,38,41,,44
05/01/2015,PM2.5,57,8,35,42,,57
05/02/2015,PM2.5,45,3,5,44,,45
05/03/2015,Ozone,44,3,4,44,,26
05/04/2015,Ozone,40,5,11,40,,32
05/05/2015,PM2.5,46,5,11,36,,46
05/06/2015,PM2.5,52,5,35,33,29,52
05/07/2015,PM2.5,54,5,37,32,,54
05/08/2015,PM2.5,56,5,33,35,,56
05/09/2015,Ozone,37,3,6,37,,25
05/10/2015,Ozone,37,3,5,37,,25
05/11/2015,PM2.5,39,3,9,36,,39
05/12/2015,Ozone,38,3,10,38,,23
05/13/2015,Ozone,38,3,12,38,,15
05/14/2015,Ozone,43,5,19,43,,13
05/15/2015,Ozone,37,3,10,37,,21
05/16/2015,Ozone,37,3,5,37,,23
05/17/2015,Ozone,36,3,4,36,,8
05/18/2015,Ozone,32,5,14,32,10,16
05/19/2015,Ozone,31,5,9,31,,22
05/20/2015,Ozone,31,3,8,31,,13
05/21/2015,Ozone,31,3,16,31,,7
05/22/2015,Ozone,34,3,11,34,,10
05/23/2015,Ozone,35,3,5,35,,29
05/24/2015,PM2.5,33,3,4,33,,33
05/25/2015,Ozone,31,3,4,31,,8
05/26/2015,Ozone,32,3,10,32,,8
05/27/2015,Ozone,28,3,8,28,,12
05/28/2015,Ozone,27,3,8,27,,7
05/29/2015,Ozone,31,3,8,31,,12
05/30/2015,Ozone,35,3,8,35,6,17
05/31/2015,Ozone,36,3,4,36,,22
06/01/2015,Ozone,27,5,11,27,,3
06/02/2015,Ozone,27,3,13,27,,10
06/03/2015,PM2.5,30,,10,,.,30
06/04/2015,PM2.5,35,3,17,25,,35
06/05/2015,PM2.5,32,5,15,26,,32
06/06/2015,Ozone,29,3,8,29,,5
06/07/2015,Ozone,25,5,9,25,,0
06/08/2015,Ozone,28,6,22,28,,7
06/09/2015,Ozone,22,,.,22,,0
06/10/2015,Ozone,23,5,20,23,,3
06/11/2015,Ozone,27,5,16,27,12,17
06/12/2015,PM2.5,33,5,17,27,,33
06/13/2015,PM2.5,30,3,6,30,,30
06/14/2015,PM2.5,54,2,3,30,,54
06/15/2015,PM2.5,44,3,7,28,,44
06/16/2015,PM2.5,45,3,8,28,,45
06/17/2015,PM2.5,36,3,7,27,,36
06/18/2015,PM2.5,31,3,11,28,,31
06/19/2015,Ozone,23,3,11,23,,18
06/20/2015,Ozone,27,3,7,27,,13
06/21/2015,Ozone,31,3,8,31,,27
06/22/2015,Ozone,27,3,9,27,,21
06/23/2015,PM2.5,35,3,9,26,21,35
06/24/2015,PM2.5,34,3,6,25,,34
06/25/2015,PM2.5,36,5,17,22,,36
06/26/2015,PM2.5,28,5,12,27,,28
06/27/2015,Ozone,20,3,6,20,,11
06/28/2015,Ozone,21,3,3,21,,0
06/29/2015,NO2,7,3,7,,.,4
06/30/2015,Ozone,18,5,13,18,,7
07/01/2015,Ozone,21,5,15,21,,5
07/02/2015,Ozone,19,5,7,19,,0
07/03/2015,Ozone,24,3,5,24,,0
07/04/2015,Ozone,25,3,3,25,,0
07/05/2015,Ozone,23,3,2,23,2,0
07/06/2015,Ozone,24,3,8,24,,6
07/07/2015,Ozone,19,5,8,19,,0
07/08/2015,Ozone,22,3,7,22,,0
07/09/2015,Ozone,23,3,8,23,,13
07/10/2015,Ozone,22,5,13,22,,12
07/11/2015,Ozone,23,3,7,23,,0
07/12/2015,Ozone,22,3,7,22,,2
07/13/2015,Ozone,15,3,7,15,,3
07/14/2015,Ozone,24,3,6,24,,5
07/15/2015,Ozone,23,3,12,23,,18
07/16/2015,Ozone,23,5,12,23,,10
07/17/2015,Ozone,27,5,10,27,12,11
07/18/2015,Ozone,31,3,5,31,,7
07/19/2015,Ozone,32,3,10,32,,0
07/20/2015,NO2,21,6,21,19,,14
07/21/2015,Ozone,20,3,7,20,,5
07/22/2015,PM2.5,28,3,7,20,,28
07/23/2015,PM2.5,25,3,8,22,,25
07/24/2015,Ozone,21,3,9,21,,13
07/25/2015,Ozone,19,3,3,19,,0
07/26/2015,Ozone,22,3,7,22,,15
07/27/2015,PM2.5,30,5,20,22,,30
07/28/2015,PM2.5,41,8,24,23,,41
07/29/2015,Ozone,24,5,13,24,15,15
07/30/2015,Ozone,25,3,8,25,,14
07/31/2015,Ozone,24,3,8,24,,15
08/01/2015,Ozone,24,3,4,24,,14
08/02/2015,Ozone,19,3,5,19,,13
08/03/2015,Ozone,23,3,11,23,,
08/04/2015,Ozone,22,3,14,22,,5
08/05/2015,Ozone,22,5,11,22,,0
08/06/2015,PM2.5,30,5,7,23,,30
08/07/2015,Ozone,26,5,14,26,,22
08/08/2015,Ozone,25,3,3,25,,3
08/09/2015,Ozone,19,3,3,19,,0
08/10/2015,Ozone,19,3,6,19,5,0
08/11/2015,Ozone,20,3,8,20,,0
08/12/2015,Ozone,17,5,16,17,,0
08/13/2015,Ozone,22,3,7,22,,0
08/14/2015,Ozone,18,5,18,18,,5
08/15/2015,PM2.5,59,6,22,29,,59
08/16/2015,PM2.5,80,7,25,46,,80
08/17/2015,PM2.5,66,6,18,28,,66
08/18/2015,PM2.5,61,5,11,35,,61
08/19/2015,PM2.5,40,5,8,34,,40
08/20/2015,Ozone,31,5,8,31,,29
08/21/2015,Ozone,27,3,7,27,,24
08/22/2015,Ozone,28,3,6,28,15,15
08/23/2015,Ozone,30,3,5,30,,28
08/24/2015,PM2.5,45,5,8,31,,45
08/25/2015,PM2.5,52,5,8,33,,52
08/26/2015,PM2.5,39,5,12,26,,39
08/27/2015,Ozone,21,5,19,21,,19
08/28/2015,NO2,28,7,28,13,,10
08/29/2015,Ozone,24,3,8,24,,0
08/30/2015,Ozone,25,3,6,25,,5
08/31/2015,PM2.5,30,3,9,26,,30
09/01/2015,PM2.5,32,,7,27,,32
09/02/2015,Ozone,25,3,8,25,,8
09/03/2015,Ozone,25,3,9,25,22,24
09/04/2015,PM2.5,24,3,12,22,,24
09/05/2015,Ozone,26,6,26,26,,23
09/06/2015,Ozone,26,7,25,26,,19
09/07/2015,Ozone,47,7,31,47,,25
09/08/2015,Ozone,54,9,50,54,,37
09/09/2015,NO2,50,10,50,29,,42
09/10/2015,NO2,30,8,30,20,,18
09/11/2015,Ozone,26,5,18,26,,14
09/12/2015,Ozone,27,5,12,27,,16
09/13/2015,Ozone,22,5,6,22,,8
09/14/2015,Ozone,24,5,13,24,,7
09/15/2015,Ozone,28,3,14,28,12,18
09/16/2015,NO2,40,5,40,31,,4
09/17/2015,Ozone,24,5,17,24,,11
09/18/2015,NO2,29,8,29,21,,26
09/19/2015,Ozone,39,7,32,39,,32
09/20/2015,Ozone,90,9,42,90,,33
09/21/2015,NO2,46,10,46,30,,45
09/22/2015,PM2.5,35,3,7,29,,35
09/23/2015,PM2.5,27,5,15,24,,27
09/24/2015,NO2,37,7,37,26,,12
09/25/2015,Ozone,23,6,19,23,,20
09/26/2015,Ozone,25,5,8,25,,14
09/27/2015,PM2.5,42,5,12,23,,42
09/28/2015,Ozone,31,5,10,31,,24
09/29/2015,Ozone,32,5,10,32,,21
09/30/2015,NO2,33,7,33,26,,
10/01/2015,NO2,31,7,31,22,,
10/02/2015,Ozone,25,6,25,25,,23
10/03/2015,PM2.5,41,3,9,32,35,41
10/04/2015,PM2.5,35,3,10,35,,35
10/05/2015,Ozone,31,6,28,31,,25
10/06/2015,Ozone,32,6,32,32,,24
10/07/2015,PM2.5,41,5,22,28,,41
10/08/2015,NO2,39,8,39,23,,38
10/09/2015,NO2,36,6,36,26,11,9
10/10/2015,Ozone,22,5,10,22,,0
10/11/2015,PM2.5,20,5,19,20,,20
10/12/2015,PM2.5,36,8,32,21,,36
10/13/2015,PM2.5,42,10,42,33,,42
10/14/2015,NO2,43,9,43,31,,25
10/15/2015,Ozone,28,5,22,28,,18
10/16/2015,Ozone,36,3,11,36,,5
10/17/2015,Ozone,39,3,8,39,,0
10/18/2015,Ozone,37,3,6,37,,0
10/19/2015,Ozone,25,5,23,25,,0
10/20/2015,NO2,37,8,37,18,,20
10/21/2015,NO2,37,9,37,22,22,26
10/22/2015,PM2.5,40,6,21,25,,40
10/23/2015,PM2.5,39,7,29,19,,39
10/24/2015,PM2.5,46,6,23,29,,46
10/25/2015,Ozone,31,5,10,31,,12
10/26/2015,PM2.5,20,6,18,19,,20
10/27/2015,NO2,39,6,39,26,,10
10/28/2015,Ozone,29,5,25,29,,1
10/29/2015,NO2,38,7,38,25,,18
10/30/2015,NO2,36,9,36,17,,34
10/31/2015,NO2,24,7,24,22,,15
11/01/2015,Ozone,28,3,10,28,,0
11/02/2015,Ozone,30,5,15,30,10,
11/03/2015,NO2,29,6,29,25,,
11/04/2015,NO2,33,6,33,29,,
11/05/2015,NO2,43,8,43,21,,
11/06/2015,NO2,32,8,32,23,,
11/07/2015,PM2.5,35,7,25,29,,35
11/08/2015,Ozone,32,5,14,32,,22
11/09/2015,Ozone,38,5,29,38,,17
11/10/2015,NO2,40,7,40,25,,27
11/11/2015,NO2,45,9,45,19,,42
11/12/2015,PM2.5,39,9,32,20,,39
11/13/2015,PM2.5,54,10,52,20,,54
11/14/2015,PM2.5,66,11,36,34,24,66
11/15/2015,Ozone,35,5,7,35,,19
11/16/2015,Ozone,30,5,23,30,,13
11/17/2015,Ozone,21,,.,21,,18
11/18/2015,NO2,51,10,51,19,,41
11/19/2015,PM2.5,41,13,34,18,,41
11/20/2015,NO2,34,10,34,12,,33
11/21/2015,PM2.5,55,11,43,22,,55
11/22/2015,PM2.5,58,13,43,22,,58
11/23/2015,PM2.5,39,10,35,26,,39
11/24/2015,Ozone,30,6,25,30,,25
11/25/2015,NO2,38,7,38,23,,26
11/26/2015,NO2,29,7,29,28,6,21
11/27/2015,NO2,38,6,38,28,,24
11/28/2015,NO2,28,6,28,27,,22
11/29/2015,NO2,33,6,33,26,,29
11/30/2015,NO2,68,9,68,20,,55
12/01/2015,NO2,43,9,43,18,,40
12/02/2015,PM2.5,68,9,40,8,,68
12/03/2015,PM2.5,55,8,37,31,,55
12/04/2015,NO2,38,8,38,17,,37
12/05/2015,PM2.5,52,8,28,11,,52
12/06/2015,NO2,29,8,29,21,,26
12/07/2015,PM2.5,49,8,33,9,,49
12/08/2015,PM2.5,53,11,34,9,24,53
12/09/2015,NO2,30,8,30,27,,25
12/10/2015,Ozone,32,5,14,32,,28
12/11/2015,NO2,44,6,44,30,,32
12/12/2015,PM2.5,30,5,28,29,,30
12/13/2015,Ozone,35,5,7,35,,16
12/14/2015,Ozone,27,5,12,27,,24
12/15/2015,Ozone,24,8,,24,,17
12/16/2015,PM2.5,51,9,43,14,,51
12/17/2015,PM2.5,46,10,41,9,,46
12/18/2015,PM2.5,33,8,31,28,,33
12/19/2015,Ozone,27,6,26,27,,17
12/20/2015,NO2,30,7,30,26,7,16
12/21/2015,Ozone,28,6,20,28,,1
12/22/2015,Ozone,32,5,9,32,,16
12/23/2015,PM2.5,34,6,17,27,,34
12/24/2015,Ozone,31,6,19,31,,21
12/25/2015,Ozone,26,6,24,26,,17
12/26/2015,NO2,36,8,36,25,,26
12/27/2015,PM2.5,50,9,32,15,,50
12/28/2015,PM2.5,51,10,35,15,,51
12/29/2015,PM2.5,42,10,32,14,,42
12/30/2015,PM2.5,55,8,47,9,,55
12/31/2015,PM2.5,47,5,32,20,,47
