Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,107,9,29,25,31,107
01/02/2015,PM2.5,113,11,33,31,31,113
01/03/2015,PM2.5,140,13,36,26,40,140
01/04/2015,PM2.5,137,13,34,31,31,137
01/05/2015,PM2.5,150,11,41,30,40,150
01/06/2015,PM2.5,118,10,37,30,43,118
01/07/2015,PM2.5,137,15,38,26,37,137
01/08/2015,PM2.5,151,15,33,22,42,151
01/09/2015,PM2.5,154,10,25,17,42,154
01/10/2015,PM2.5,125,15,19,19,27,125
01/11/2015,PM2.5,103,17,12,28,19,103
01/12/2015,PM2.5,88,9,19,25,24,88
01/13/2015,PM2.5,97,7,27,23,40,97
01/14/2015,PM2.5,88,7,25,17,15,88
01/15/2015,PM2.5,82,6,25,17,15,82
01/16/2015,PM2.5,65,5,20,18,13,65
01/17/2015,PM2.5,72,3,17,20,10,72
01/18/2015,PM2.5,82,3,16,13,31,82
01/19/2015,PM2.5,56,3,15,18,8,56
01/20/2015,PM2.5,55,5,22,17,10,55
01/21/2015,PM2.5,51,6,15,22,12,51
01/22/2015,PM2.5,70,6,19,18,16,70
01/23/2015,PM2.5,87,6,21,19,20,87
01/24/2015,PM2.5,79,3,14,14,27,79
01/25/2015,PM2.5,78,3,14,15,13,78
01/26/2015,PM2.5,62,3,17,18,16,62
01/27/2015,PM2.5,67,7,30,20,20,67
01/28/2015,PM2.5,76,8,32,31,23,76
01/29/2015,PM2.5,87,15,40,32,23,87
01/30/2015,PM2.5,68,,19,27,33,68
01/31/2015,PM2.5,47,,5,36,19,47
02/01/2015,PM2.5,102,6,27,24,24,102
02/02/2015,PM2.5,96,9,36,37,29,96
02/03/2015,PM2.5,118,7,37,31,40,118
02/04/2015,PM2.5,113,6,28,19,30,113
02/05/2015,PM2.5,80,7,24,15,41,80
02/06/2015,PM2.5,42,6,17,33,28,42
02/07/2015,PM2.5,43,5,23,23,12,43
02/08/2015,PM2.5,51,5,12,42,11,51
02/09/2015,Ozone,38,2,23,38,16,30
02/10/2015,Ozone,34,8,29,34,12,27
02/11/2015,PM2.5,55,9,28,28,27,55
02/12/2015,PM2.5,60,8,29,33,18,60
02/13/2015,PM2.5,72,9,31,39,24,72
02/14/2015,PM2.5,56,7,31,34,14,56
02/15/2015,PM2.5,57,7,26,33,14,57
02/16/2015,PM2.5,64,6,32,38,20,64
