Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,63,8,1,28,43,20,63
01/02/2015,PM2.5,51,8,1,29,42,18,51
01/03/2015,PM2.5,52,8,1,28,43,18,52
01/04/2015,PM2.5,49,8,1,24,40,19,49
01/05/2015,Ozone,39,9,1,35,39,19,31
01/06/2015,Ozone,41,8,1,35,41,15,19
01/07/2015,Ozone,39,8,1,34,39,19,20
01/08/2015,NO2,41,8,3,41,39,18,30
01/09/2015,PM2.5,51,8,1,29,35,24,51
01/10/2015,PM2.5,64,6,1,21,35,24,64
01/11/2015,PM2.5,43,6,1,17,31,17,43
01/12/2015,PM2.5,40,8,1,17,33,18,40
01/13/2015,PM2.5,45,7,1,24,40,19,45
01/14/2015,Ozone,41,7,1,32,41,14,34
01/15/2015,Ozone,41,7,1,28,41,19,26
01/16/2015,PM2.5,38,8,1,30,37,20,38
01/17/2015,Ozone,42,7,1,27,42,18,31
01/18/2015,PM2.5,44,7,3,20,32,25,44
01/19/2015,PM2.5,49,6,3,21,29,18,49
01/20/2015,PM2.5,61,7,3,22,32,28,61
01/21/2015,PM2.5,42,8,1,27,38,17,42
01/22/2015,Ozone,41,7,3,29,41,21,28
01/23/2015,Ozone,40,7,1,30,40,23,29
01/24/2015,Ozone,44,7,1,25,44,31,29
01/25/2015,Ozone,43,6,1,28,43,34,20
01/26/2015,PM10,42,7,1,30,36,42,27
01/27/2015,Ozone,37,3,3,22,37,13,25
01/28/2015,Ozone,36,7,1,29,36,29,35
01/29/2015,Ozone,39,7,1,26,39,16,31
01/30/2015,PM2.5,42,8,1,29,35,28,42
01/31/2015,PM2.5,52,6,1,21,36,32,52
02/01/2015,PM2.5,51,6,1,17,37,18,51
02/02/2015,PM2.5,41,6,1,26,41,20,41
02/03/2015,PM2.5,56,6,1,18,40,26,56
02/04/2015,PM2.5,74,5,1,16,45,24,74
02/05/2015,PM2.5,58,5,1,23,49,23,58
02/06/2015,PM2.5,56,5,1,18,45,19,56
02/07/2015,PM2.5,34,6,1,17,29,18,34
02/08/2015,Ozone,25,6,1,8,25,16,17
02/09/2015,Ozone,38,5,3,18,38,34,36
02/10/2015,Ozone,44,6,1,26,44,36,30
02/11/2015,Ozone,44,5,3,23,44,23,25
02/12/2015,Ozone,48,6,1,32,48,24,20
02/13/2015,Ozone,51,6,1,35,51,31,26
02/14/2015,Ozone,84,6,1,25,84,37,33
02/15/2015,PM2.5,49,6,1,15,47,22,49
02/16/2015,PM2.5,54,5,1,9,41,17,54
02/17/2015,PM2.5,67,5,1,15,48,22,67
