Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,72,7,22,29,30,72
01/02/2015,PM2.5,73,8,28,30,22,73
01/03/2015,PM2.5,74,8,27,31,19,74
01/04/2015,PM2.5,77,9,25,31,25,77
01/05/2015,PM2.5,72,8,26,16,25,72
01/06/2015,PM2.5,70,9,34,17,22,70
01/07/2015,PM2.5,60,9,25,19,21,60
01/08/2015,PM2.5,63,9,19,9,18,63
01/09/2015,PM2.5,59,9,24,15,19,59
01/10/2015,PM2.5,55,8,14,16,21,55
01/11/2015,PM2.5,48,7,8,18,17,48
01/12/2015,Ozone,32,7,14,32,18,30
01/13/2015,Ozone,30,7,17,30,19,25
01/14/2015,PM2.5,76,8,20,24,22,76
01/15/2015,PM2.5,79,8,19,12,23,79
01/16/2015,PM2.5,75,8,21,19,19,75
01/17/2015,PM2.5,58,6,10,11,14,58
01/18/2015,PM2.5,55,7,12,12,12,55
01/19/2015,PM2.5,28,7,13,23,9,28
01/20/2015,PM2.5,44,7,13,21,12,44
01/21/2015,PM2.5,49,,.,19,17,49
01/22/2015,PM2.5,71,8,17,18,19,71
01/23/2015,PM2.5,57,9,9,17,18,57
01/24/2015,PM2.5,68,10,14,18,19,68
01/25/2015,PM2.5,69,8,22,15,20,69
01/26/2015,PM2.5,63,9,18,19,19,63
01/27/2015,PM2.5,62,9,29,27,24,62
01/28/2015,PM2.5,36,10,17,34,19,36
01/29/2015,PM2.5,43,8,15,29,19,43
01/30/2015,PM2.5,40,6,14,24,19,40
01/31/2015,Ozone,34,6,13,34,21,30
02/01/2015,PM2.5,44,5,14,27,19,44
02/02/2015,PM2.5,47,,.,22,24,47
02/03/2015,PM2.5,51,7,23,24,20,51
02/04/2015,PM2.5,57,7,18,30,18,57
02/05/2015,Ozone,31,6,10,31,13,22
02/06/2015,Ozone,33,3,2,33,8,15
02/07/2015,Ozone,35,3,5,35,17,33
02/08/2015,Ozone,35,5,7,35,14,28
02/09/2015,PM2.5,40,5,15,33,19,40
02/10/2015,Ozone,30,6,14,30,10,22
02/11/2015,PM2.5,35,8,20,24,11,35
02/12/2015,PM2.5,29,8,22,25,13,29
02/13/2015,PM2.5,28,8,23,28,14,28
02/14/2015,PM2.5,33,7,21,31,15,33
02/15/2015,PM2.5,32,7,17,30,16,32
02/16/2015,Ozone,31,6,11,31,12,29
02/17/2015,PM2.5,28,5,5,28,11,28
02/18/2015,PM2.5,29,6,10,19,11,29
02/19/2015,PM2.5,27,6,7,17,9,27
02/20/2015,PM2.5,25,7,7,16,9,25
02/21/2015,PM2.5,37,7,12,32,11,37
02/22/2015,Ozone,40,7,8,40,6,15
02/23/2015,Ozone,42,5,21,42,9,10
02/24/2015,Ozone,39,6,22,39,19,20
02/25/2015,PM2.5,29,7,13,23,19,29
02/26/2015,Ozone,32,7,10,32,12,20
02/27/2015,Ozone,35,5,12,35,8,14
02/28/2015,Ozone,31,7,14,31,11,21
03/01/2015,Ozone,31,,12,31,12,19
03/02/2015,PM2.5,40,7,25,31,18,40
03/03/2015,Ozone,34,7,14,34,15,31
03/04/2015,PM2.5,34,7,21,33,14,34
03/05/2015,Ozone,45,7,23,45,17,33
03/06/2015,Ozone,39,7,20,39,17,29
03/07/2015,Ozone,35,7,10,35,19,28
03/08/2015,Ozone,35,6,5,35,18,34
03/09/2015,PM2.5,29,6,5,24,13,29
03/10/2015,PM2.5,30,7,6,26,15,30
03/11/2015,Ozone,36,6,14,36,13,33
03/12/2015,Ozone,32,7,11,32,7,17
03/13/2015,Ozone,33,6,8,33,9,16
03/14/2015,Ozone,39,7,11,39,15,32
03/15/2015,Ozone,29,7,8,29,12,26
03/16/2015,Ozone,24,7,11,24,12,20
03/17/2015,Ozone,36,7,9,36,8,13
03/18/2015,Ozone,34,3,17,34,13,18
03/19/2015,Ozone,33,3,7,33,18,
03/20/2015,Ozone,37,3,8,37,14,
03/21/2015,Ozone,38,3,8,38,8,
03/22/2015,Ozone,37,3,3,37,10,
03/23/2015,Ozone,40,3,11,40,11,
03/24/2015,Ozone,34,3,8,34,14,
03/25/2015,Ozone,30,5,11,30,10,
03/26/2015,Ozone,33,5,7,33,8,
03/27/2015,Ozone,25,3,8,25,11,
03/28/2015,Ozone,41,3,9,41,19,
03/29/2015,Ozone,35,3,7,35,14,
03/30/2015,Ozone,37,3,10,37,18,
03/31/2015,Ozone,44,2,9,44,11,
04/01/2015,Ozone,41,3,21,41,11,
04/02/2015,Ozone,44,3,25,44,16,
04/03/2015,Ozone,50,3,20,50,19,30
04/04/2015,Ozone,43,3,8,43,17,19
04/05/2015,Ozone,43,3,8,43,12,21
04/06/2015,Ozone,43,3,10,43,12,8
04/07/2015,Ozone,43,3,10,43,9,4
04/08/2015,Ozone,39,3,11,39,8,10
04/09/2015,Ozone,41,5,10,41,9,15
04/10/2015,Ozone,44,5,12,44,12,9
04/11/2015,Ozone,36,3,8,36,10,14
04/12/2015,Ozone,38,3,7,38,11,10
04/13/2015,Ozone,48,3,6,48,15,17
04/14/2015,Ozone,45,2,8,45,11,15
04/15/2015,Ozone,50,3,19,50,13,15
04/16/2015,Ozone,51,5,27,51,13,13
04/17/2015,Ozone,48,3,13,48,15,29
04/18/2015,Ozone,36,3,2,36,14,27
04/19/2015,Ozone,33,3,2,33,9,23
04/20/2015,Ozone,35,,.,35,11,24
04/21/2015,Ozone,30,3,5,30,12,18
04/22/2015,Ozone,31,3,7,31,28,30
04/23/2015,PM2.5,43,3,8,39,26,43
04/24/2015,Ozone,44,3,19,44,12,19
04/25/2015,Ozone,39,3,4,39,7,14
04/26/2015,Ozone,39,3,8,39,8,10
04/27/2015,Ozone,33,3,8,33,8,10
04/28/2015,Ozone,31,3,4,31,12,18
04/29/2015,Ozone,38,3,10,38,19,28
04/30/2015,Ozone,49,5,16,49,16,28
05/01/2015,PM2.5,51,5,11,46,25,51
05/02/2015,Ozone,41,3,2,41,14,28
05/03/2015,Ozone,38,3,2,38,9,19
05/04/2015,Ozone,33,5,5,33,13,20
05/05/2015,Ozone,37,5,7,37,19,28
05/06/2015,Ozone,39,5,12,39,15,21
05/07/2015,Ozone,45,5,12,45,15,15
05/08/2015,PM2.5,51,5,10,40,27,51
05/09/2015,Ozone,34,5,3,34,19,28
05/10/2015,Ozone,32,5,4,32,16,22
05/11/2015,Ozone,40,5,8,40,13,18
05/12/2015,Ozone,43,5,7,43,9,14
05/13/2015,Ozone,39,5,7,39,13,8
05/14/2015,Ozone,46,5,5,46,9,14
05/15/2015,PM2.5,53,5,4,40,10,53
05/16/2015,Ozone,34,5,7,34,16,20
05/17/2015,Ozone,33,5,3,33,14,17
05/18/2015,Ozone,35,5,8,35,17,21
05/19/2015,Ozone,30,5,6,30,17,21
05/20/2015,Ozone,31,6,4,31,13,20
