Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,PM2.5,44,26,,44
01/02/2015,PM2.5,69,,.,69
01/03/2015,PM2.5,71,,.,71
01/04/2015,PM2.5,56,,.,56
01/05/2015,PM2.5,54,,.,54
01/06/2015,PM2.5,52,,21,52
01/07/2015,PM2.5,30,,.,30
01/08/2015,PM2.5,36,,.,36
01/09/2015,PM2.5,67,,.,67
01/10/2015,PM2.5,59,,.,59
01/11/2015,PM2.5,56,,.,56
01/12/2015,PM2.5,32,,15,32
01/13/2015,Ozone,28,28,,5
01/14/2015,PM2.5,52,22,,52
01/15/2015,PM2.5,43,11,,43
01/16/2015,PM2.5,42,18,,42
01/17/2015,PM2.5,51,13,,51
01/18/2015,PM2.5,63,12,24,63
01/19/2015,Ozone,23,23,,16
01/20/2015,PM2.5,58,22,,58
01/21/2015,PM2.5,34,,.,34
01/22/2015,PM2.5,61,,.,61
01/23/2015,PM2.5,18,,.,18
01/24/2015,PM2.5,20,,.,20
01/25/2015,PM2.5,53,,.,53
01/26/2015,PM2.5,60,,.,60
01/27/2015,PM2.5,71,,.,71
01/28/2015,PM2.5,34,,21,34
01/29/2015,Ozone,24,24,,10
01/30/2015,Ozone,33,33,23,0
01/31/2015,Ozone,33,33,,0
02/01/2015,PM2.5,44,24,,44
02/02/2015,Ozone,20,20,,
02/03/2015,Ozone,13,13,,
02/04/2015,Ozone,12,12,,
02/05/2015,PM10,24,21,24,
02/06/2015,Ozone,28,28,,15
02/07/2015,Ozone,29,29,,12
02/08/2015,Ozone,34,34,,10
02/09/2015,Ozone,34,34,,5
02/10/2015,Ozone,28,28,,2
02/11/2015,Ozone,23,23,10,8
02/12/2015,Ozone,19,19,,10
02/13/2015,Ozone,19,19,,12
02/14/2015,Ozone,30,30,,10
02/15/2015,Ozone,31,31,,0
02/16/2015,Ozone,28,28,,3
02/17/2015,Ozone,30,30,11,11
02/18/2015,PM2.5,29,24,,29
02/19/2015,PM2.5,45,21,,45
02/20/2015,Ozone,40,40,,16
02/21/2015,Ozone,39,39,,0
02/22/2015,Ozone,36,36,,0
02/23/2015,Ozone,37,37,18,0
02/24/2015,Ozone,38,38,,3
02/25/2015,Ozone,32,32,,12
02/26/2015,Ozone,35,35,,0
02/27/2015,Ozone,34,34,,0
02/28/2015,Ozone,33,33,,0
03/01/2015,Ozone,34,34,8,0
03/02/2015,Ozone,30,30,,11
03/03/2015,Ozone,35,35,,0
03/04/2015,Ozone,39,39,,11
03/05/2015,Ozone,41,41,,8
03/06/2015,Ozone,37,37,,4
03/07/2015,Ozone,39,39,19,15
03/08/2015,Ozone,37,37,,19
03/09/2015,Ozone,40,40,,18
03/10/2015,PM2.5,36,32,,36
03/11/2015,PM2.5,38,33,,38
03/12/2015,Ozone,31,31,,9
03/13/2015,Ozone,37,37,12,8
03/14/2015,PM2.5,31,23,,31
03/15/2015,Ozone,29,29,,24
03/16/2015,Ozone,26,26,,9
03/17/2015,Ozone,37,37,,8
03/18/2015,Ozone,41,41,,4
03/19/2015,Ozone,43,43,8,5
03/20/2015,Ozone,38,38,,27
03/21/2015,Ozone,43,43,,29
03/22/2015,Ozone,32,32,,9
03/23/2015,Ozone,41,41,,8
03/24/2015,Ozone,35,35,,6
03/25/2015,Ozone,33,33,,
03/26/2015,Ozone,40,40,,
03/27/2015,Ozone,48,48,13,
03/28/2015,Ozone,45,45,,
03/29/2015,Ozone,44,44,,
03/30/2015,Ozone,47,47,,
03/31/2015,Ozone,45,45,12,6
04/01/2015,Ozone,44,44,,0
04/02/2015,PM2.5,7,,.,7
04/03/2015,Ozone,45,45,,19
04/04/2015,Ozone,46,46,,14
