"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","182","168","12","3","1","205","83","51",".","13","96",".","257","."
"06005","Amador County, CA","353","220","91","28","11","3","206","115","45",".",".","353",".",".","."
"06007","Butte County, CA","366","173","157","24","9","3","212","100","52",".",".","254",".","112","."
"06009","Calaveras County, CA","361","231","98","26","5","1","202","93","45",".",".","345",".","15","1"
"06011","Colusa County, CA","366","210","138","11","6","1","220","83","47",".",".","194",".","168","4"
"06013","Contra Costa County, CA","366","266","84","13","3",".","161","77","42",".","36","248","5","74","3"
"06015","Del Norte County, CA","118","113","5",".",".",".","68","30","14",".",".",".",".","93","25"
"06017","El Dorado County, CA","366","208","102","39","13","4","214","122","47",".",".","364",".","2","."
"06019","Fresno County, CA","366","55","177","92","35","7","228","153","84",".","4","185",".","176","1"
"06021","Glenn County, CA","365","220","124","9","10","2","237","77","46",".",".","169",".","194","2"
"06023","Humboldt County, CA","363","348","15",".",".",".","87","42","28","2","16","288",".","55","2"
"06025","Imperial County, CA","366","171","162","28","5",".","169","97","52.5","2","72","240",".","32","20"
"06027","Inyo County, CA","366","197","134","22","9","4","710","100","49",".",".","302",".","1","63"
"06029","Kern County, CA","366","34","137","107","74","14","217","172","107",".",".","201",".","151","14"
"06031","Kings County, CA","366","68","194","69","32","3","220","143","80",".",".","201",".","142","23"
"06033","Lake County, CA","363","339","21","1","2",".","172","46","34",".",".","353",".","10","."
"06037","Los Angeles County, CA","366","31","213","68","46","8","227","172","84",".","62","162","1","139","2"
"06039","Madera County, CA","346","215","85","40","5","1","202","108","44.5",".","33","313",".",".","."
"06041","Marin County, CA","363","347","16",".",".",".","97","44","31",".","106","223",".","33","1"
"06043","Mariposa County, CA","366","144","161","45","16",".","200","119","55",".",".","284",".","82","."
"06045","Mendocino County, CA","355","337","15","3",".",".","134","44","31","2","28","290",".","23","12"
"06047","Merced County, CA","364","176","129","44","12","3","216","119","51.5",".","31","286",".","42","5"
"06051","Mono County, CA","296","246","35","3","3","9","2665","64","20",".",".",".",".","28","268"
"06053","Monterey County, CA","366","339","27",".",".",".","97","49","36",".","10","334",".","14","8"
"06055","Napa County, CA","366","198","159","9",".",".","122","72","49",".","7","85",".","274","."
"06057","Nevada County, CA","366","188","126","34","17","1","203","115","50",".","2","305",".","59","."
"06059","Orange County, CA","366","108","216","36","6",".","197","101","64.5",".","51","107",".","205","3"
"06061","Placer County, CA","366","162","146","39","18","1","207","115","54",".","20","222",".","124","."
"06063","Plumas County, CA","141","77","54","4","6",".","196","92","47",".",".",".",".","141","."
"06065","Riverside County, CA","366","37","175","90","49","15","322","179","90.5",".","20","202",".","100","44"
"06067","Sacramento County, CA","366","133","160","47","19","7","219","140","61",".","22","238",".","100","6"
"06069","San Benito County, CA","364","238","100","22","4",".","172","93","45",".",".","354",".","10","."
"06071","San Bernardino County, CA","366","83","136","68","54","25","222","187","84",".","55","269",".","35","7"
"06073","San Diego County, CA","366","67","225","63","10","1","204","117","72",".","42","188",".","130","6"
"06075","San Francisco County, CA","365","223","140","2",".",".","110","69","44",".","46","70",".","249","."
"06077","San Joaquin County, CA","366","192","142","22","10",".","195","95","49",".","35","212",".","109","10"
"06079","San Luis Obispo County, CA","366","173","121","62","10",".","179","122","51",".",".","350","1","9","6"
"06081","San Mateo County, CA","366","244","121","1",".",".","102","69","40",".","32","109",".","225","."
"06083","Santa Barbara County, CA","366","233","121","11","1",".","151","77","47",".","3","347",".","16","."
"06085","Santa Clara County, CA","366","181","167","17","1",".","179","85","51",".","22","142",".","202","."
"06087","Santa Cruz County, CA","366","335","30","1",".",".","115","49","36",".",".","348",".","14","4"
"06089","Shasta County, CA","366","251","85","23","6","1","250","93","45",".",".","344",".","22","."
"06093","Siskiyou County, CA","360","326","32","2",".",".","115","50","34",".",".","328",".","20","12"
"06095","Solano County, CA","366","172","171","19","4",".","169","87","52",".","2","129",".","235","."
"06097","Sonoma County, CA","366","335","31",".",".",".","90","48","37",".","43","284",".","39","."
"06099","Stanislaus County, CA","366","106","178","63","15","4","226","130","63.5",".","1","191",".","172","2"
"06101","Sutter County, CA","365","179","149","28","7","2","208","101","51",".","13","200",".","151","1"
"06103","Tehama County, CA","314","196","87","27","4",".","197","100","47",".",".","303",".",".","11"
"06105","Trinity County, CA","122","103","8","2","9",".","188","94","18",".",".",".",".","70","52"
"06107","Tulare County, CA","366","61","135","97","65","8","217","166","97",".",".","239",".","127","."
"06109","Tuolumne County, CA","365","237","90","29","7","2","209","101","45",".",".","365",".",".","."
"06111","Ventura County, CA","366","188","121","50","7",".","174","115","50",".","15","317",".","34","."
"06113","Yolo County, CA","366","238","107","14","7",".","182","80","44",".","8","228",".","124","6"
