Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,110,13,22,37,37,110
01/02/2015,PM2.5,102,11,28,31,36,102
01/03/2015,PM2.5,91,13,25,30,31,91
01/04/2015,PM2.5,81,10,23,28,26,81
01/05/2015,PM2.5,81,11,21,25,30,81
01/06/2015,PM2.5,84,11,19,27,31,84
01/07/2015,PM2.5,92,14,32,26,39,92
01/08/2015,PM2.5,89,15,20,25,35,89
01/09/2015,PM2.5,89,13,19,25,36,89
01/10/2015,PM2.5,107,10,13,19,37,107
01/11/2015,PM2.5,80,10,18,21,27,80
01/12/2015,PM2.5,60,9,14,37,20,60
01/13/2015,Ozone,35,6,20,35,16,34
01/14/2015,PM2.5,82,9,29,30,29,82
01/15/2015,PM2.5,72,11,18,28,29,72
01/16/2015,PM2.5,61,5,16,31,15,61
01/17/2015,PM2.5,67,3,7,19,14,67
01/18/2015,PM2.5,92,6,12,19,25,92
01/19/2015,PM2.5,65,6,17,15,16,65
01/20/2015,PM2.5,53,7,17,35,14,53
01/21/2015,PM2.5,60,8,18,35,19,60
01/22/2015,PM2.5,77,7,17,34,27,77
01/23/2015,PM2.5,72,9,23,38,28,72
01/24/2015,PM2.5,88,13,13,38,17,88
01/25/2015,PM2.5,65,6,15,33,16,65
01/26/2015,PM2.5,76,8,23,24,28,76
01/27/2015,PM2.5,71,7,23,32,23,71
01/28/2015,PM2.5,69,6,11,32,22,69
01/29/2015,PM2.5,55,,26,30,23,55
01/30/2015,Ozone,39,7,23,39,20,36
01/31/2015,Ozone,39,6,21,39,12,30
02/01/2015,PM2.5,67,7,17,35,22,67
02/02/2015,PM2.5,62,6,14,26,18,62
02/03/2015,PM2.5,55,5,20,26,14,55
02/04/2015,PM2.5,90,,30,29,30,90
02/05/2015,PM2.5,67,7,20,26,24,67
02/06/2015,PM2.5,37,3,8,32,9,37
02/07/2015,PM2.5,38,2,5,31,5,38
02/08/2015,Ozone,36,2,4,36,6,33
02/09/2015,PM2.5,50,2,9,36,7,50
02/10/2015,PM2.5,41,6,19,31,8,41
02/11/2015,PM2.5,52,6,22,29,12,52
02/12/2015,PM2.5,58,6,23,26,11,58
02/13/2015,PM2.5,54,6,16,31,17,54
02/14/2015,PM2.5,39,7,12,34,12,39
02/15/2015,PM2.5,38,5,11,33,7,38
02/16/2015,Ozone,34,3,23,34,10,25
02/17/2015,PM2.5,37,5,18,35,14,37
02/18/2015,PM2.5,57,3,15,30,16,57
02/19/2015,PM2.5,61,5,15,23,13,61
02/20/2015,PM2.5,47,3,10,34,11,47
02/21/2015,PM2.5,56,3,9,37,10,56
02/22/2015,Ozone,39,3,14,39,7,19
02/23/2015,Ozone,42,3,25,42,,28
02/24/2015,PM2.5,46,3,23,42,,46
02/25/2015,PM2.5,62,5,23,43,26,62
02/26/2015,PM2.5,48,5,20,42,19,48
02/27/2015,Ozone,36,2,15,36,6,24
02/28/2015,PM2.5,33,3,12,31,6,33
03/01/2015,Ozone,35,5,16,35,6,25
03/02/2015,PM2.5,36,5,16,35,10,36
03/03/2015,Ozone,42,,25,42,15,33
03/04/2015,Ozone,44,5,17,44,12,26
03/05/2015,Ozone,46,3,17,46,16,38
03/06/2015,Ozone,43,5,22,43,20,35
03/07/2015,Ozone,49,5,18,49,14,34
03/08/2015,Ozone,47,3,20,47,13,40
03/09/2015,Ozone,46,3,12,46,19,38
03/10/2015,PM2.5,56,5,21,49,23,56
03/11/2015,PM2.5,46,3,17,40,10,46
03/12/2015,Ozone,37,2,8,37,6,13
03/13/2015,Ozone,43,3,18,43,8,18
03/14/2015,Ozone,43,2,9,43,9,29
03/15/2015,Ozone,46,2,8,46,8,23
03/16/2015,Ozone,46,2,8,46,6,18
03/17/2015,Ozone,46,2,11,46,6,17
03/18/2015,Ozone,42,2,16,42,6,11
03/19/2015,Ozone,44,3,23,44,7,29
03/20/2015,Ozone,44,2,14,44,13,33
03/21/2015,Ozone,43,2,9,43,8,23
03/22/2015,Ozone,37,2,3,37,6,14
03/23/2015,Ozone,44,2,7,44,6,18
03/24/2015,Ozone,36,2,8,36,5,29
03/25/2015,Ozone,31,2,15,31,6,10
03/26/2015,Ozone,45,3,18,45,8,19
03/27/2015,Ozone,61,3,12,61,13,25
03/28/2015,Ozone,41,2,3,41,6,11
03/29/2015,Ozone,48,2,18,48,4,15
03/30/2015,Ozone,58,3,19,58,19,32
03/31/2015,Ozone,45,2,7,45,14,20
04/01/2015,Ozone,44,2,9,44,10,10
04/02/2015,Ozone,43,2,10,43,14,13
04/03/2015,Ozone,47,3,21,47,13,30
04/04/2015,Ozone,49,2,6,49,16,34
04/05/2015,Ozone,42,2,7,42,6,22
04/06/2015,Ozone,46,,8,46,5,6
04/07/2015,Ozone,43,2,4,43,2,15
04/08/2015,Ozone,36,2,10,36,3,26
04/09/2015,Ozone,40,5,18,40,5,22
04/10/2015,Ozone,64,2,9,64,6,16
04/11/2015,Ozone,45,2,9,45,6,23
04/12/2015,Ozone,50,2,10,50,4,25
04/13/2015,Ozone,61,2,11,61,14,22
04/14/2015,Ozone,47,1,4,47,6,10
04/15/2015,Ozone,47,2,11,47,7,5
04/16/2015,Ozone,48,2,22,48,9,13
04/17/2015,Ozone,58,3,20,58,,23
04/18/2015,Ozone,64,2,10,64,,33
04/19/2015,Ozone,49,2,11,49,,30
04/20/2015,Ozone,87,2,12,87,,40
04/21/2015,Ozone,44,2,7,44,,40
04/22/2015,Ozone,54,2,8,54,31,42
04/23/2015,Ozone,54,2,19,54,,43
04/24/2015,Ozone,44,,13,44,13,26
04/25/2015,Ozone,43,2,8,43,3,19
04/26/2015,Ozone,39,2,6,39,5,18
04/27/2015,Ozone,38,2,10,38,6,10
04/28/2015,Ozone,64,2,10,64,13,19
04/29/2015,Ozone,50,2,9,50,13,29
04/30/2015,Ozone,49,2,16,49,19,29
05/01/2015,Ozone,97,3,19,97,19,32
05/02/2015,Ozone,112,2,8,112,24,42
05/03/2015,Ozone,77,2,4,77,22,41
05/04/2015,Ozone,71,2,10,71,24,45
05/05/2015,Ozone,67,2,8,67,27,43
05/06/2015,Ozone,46,2,10,46,19,28
05/07/2015,Ozone,50,1,3,50,26,23
05/08/2015,Ozone,61,2,7,61,16,26
05/09/2015,Ozone,71,2,6,71,19,41
05/10/2015,Ozone,54,2,7,54,17,38
05/11/2015,Ozone,58,2,5,58,19,32
05/12/2015,Ozone,45,1,8,45,11,25
05/13/2015,Ozone,64,2,7,64,14,22
05/14/2015,Ozone,49,2,13,49,12,24
05/15/2015,Ozone,51,2,8,51,10,28
05/16/2015,Ozone,46,2,9,46,13,30
05/17/2015,Ozone,44,2,5,44,11,28
05/18/2015,Ozone,50,2,9,50,14,25
05/19/2015,Ozone,58,,.,58,15,26
05/20/2015,Ozone,58,2,6,58,15,32
05/21/2015,Ozone,48,2,5,48,14,24
05/22/2015,Ozone,47,2,7,47,13,34
05/23/2015,Ozone,45,2,8,45,12,42
05/24/2015,Ozone,49,2,5,49,12,36
05/25/2015,Ozone,46,2,4,46,15,28
05/26/2015,Ozone,49,2,5,49,14,24
05/27/2015,Ozone,51,2,8,51,14,30
05/28/2015,Ozone,51,2,10,51,18,28
05/29/2015,Ozone,84,2,11,84,18,37
05/30/2015,Ozone,80,2,12,80,16,38
05/31/2015,Ozone,48,2,4,48,19,28
06/01/2015,Ozone,40,1,3,40,9,16
06/02/2015,Ozone,41,1,8,41,10,20
06/03/2015,Ozone,45,2,7,45,16,24
06/04/2015,Ozone,43,1,11,43,15,24
06/05/2015,Ozone,50,1,12,50,10,17
06/06/2015,Ozone,80,2,8,80,10,29
06/07/2015,Ozone,64,2,7,64,12,33
06/08/2015,Ozone,100,2,9,100,17,36
06/09/2015,Ozone,100,2,21,100,27,34
06/10/2015,Ozone,47,1,9,47,10,27
06/11/2015,Ozone,90,2,15,90,13,26
06/12/2015,Ozone,54,2,14,54,16,28
06/13/2015,Ozone,74,2,7,74,22,47
06/14/2015,Ozone,61,2,4,61,25,59
06/15/2015,Ozone,71,2,8,71,27,57
06/16/2015,Ozone,93,2,8,93,25,54
06/17/2015,Ozone,112,2,11,112,21,49
06/18/2015,Ozone,80,2,8,80,22,44
06/19/2015,Ozone,58,2,16,58,17,30
06/20/2015,Ozone,93,2,8,93,14,26
06/21/2015,Ozone,54,1,3,54,15,28
06/22/2015,Ozone,64,2,10,64,14,28
06/23/2015,Ozone,67,2,10,67,16,28
06/24/2015,Ozone,101,2,14,101,23,44
06/25/2015,Ozone,115,2,19,115,27,48
06/26/2015,Ozone,126,2,16,126,28,55
06/27/2015,Ozone,77,2,5,77,21,40
06/28/2015,Ozone,50,1,6,50,11,26
06/29/2015,Ozone,48,1,12,48,14,24
06/30/2015,Ozone,74,2,16,74,15,28
07/01/2015,Ozone,101,2,18,101,26,36
07/02/2015,Ozone,97,2,15,97,24,37
07/03/2015,Ozone,54,2,9,54,16,35
07/04/2015,Ozone,58,2,5,58,14,34
07/05/2015,Ozone,47,2,4,47,14,36
07/06/2015,Ozone,45,1,6,45,13,30
07/07/2015,Ozone,39,1,8,39,16,25
07/08/2015,Ozone,41,2,8,41,18,27
07/09/2015,Ozone,40,2,7,40,16,25
07/10/2015,Ozone,43,2,7,43,13,28
07/11/2015,Ozone,42,2,5,42,10,32
07/12/2015,Ozone,40,1,6,40,7,20
07/13/2015,Ozone,44,1,7,44,11,28
07/14/2015,Ozone,51,1,8,51,17,32
07/15/2015,Ozone,51,2,10,51,20,40
07/16/2015,Ozone,90,2,21,90,21,42
07/17/2015,Ozone,90,2,11,90,20,33
07/18/2015,Ozone,58,1,11,58,16,29
07/19/2015,Ozone,44,1,4,44,12,25
07/20/2015,Ozone,47,2,17,47,20,34
07/21/2015,Ozone,43,1,8,43,22,42
07/22/2015,Ozone,47,1,8,47,24,33
07/23/2015,PM2.5,58,2,7,44,20,58
07/24/2015,PM2.5,52,2,8,49,18,52
07/25/2015,Ozone,49,2,7,49,12,23
07/26/2015,Ozone,47,2,6,47,11,34
07/27/2015,Ozone,36,1,11,36,13,25
07/28/2015,Ozone,41,2,12,41,14,20
07/29/2015,Ozone,80,2,18,80,15,36
07/30/2015,Ozone,115,3,27,115,29,52
07/31/2015,Ozone,77,3,19,77,31,55
08/01/2015,Ozone,84,3,4,84,23,55
08/02/2015,Ozone,84,3,10,84,22,74
