Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,PM2.5,72,24,,72
01/02/2015,PM2.5,84,24,,84
01/03/2015,PM2.5,89,27,,89
01/04/2015,PM2.5,81,23,,81
01/05/2015,PM2.5,64,15,,64
01/06/2015,PM2.5,67,20,19,67
01/07/2015,PM2.5,62,19,,62
01/08/2015,PM2.5,67,12,,67
01/09/2015,PM2.5,61,7,,61
01/10/2015,PM2.5,78,14,,78
01/11/2015,PM2.5,64,18,,64
01/12/2015,PM2.5,56,24,14,56
01/13/2015,Ozone,25,25,,23
01/14/2015,PM2.5,107,19,,107
01/15/2015,PM2.5,59,14,,59
01/16/2015,PM2.5,80,11,,80
01/17/2015,PM2.5,59,19,,59
01/18/2015,PM2.5,72,8,18,72
01/19/2015,PM2.5,57,15,,57
01/20/2015,PM2.5,55,17,,55
01/21/2015,PM2.5,50,19,,50
01/22/2015,PM2.5,35,12,,35
01/23/2015,Ozone,22,22,,19
01/24/2015,PM2.5,73,17,19,73
01/25/2015,PM2.5,60,12,,60
01/26/2015,PM2.5,67,19,,67
01/27/2015,PM2.5,88,9,,88
01/28/2015,PM2.5,67,26,,67
01/29/2015,PM2.5,48,24,,48
01/30/2015,PM2.5,31,25,12,31
01/31/2015,Ozone,29,29,,27
02/01/2015,PM2.5,100,27,,100
02/02/2015,PM2.5,68,22,,68
02/03/2015,PM2.5,49,21,,49
02/04/2015,PM2.5,91,25,,91
02/05/2015,PM2.5,76,17,28,76
02/06/2015,PM2.5,52,23,,52
02/07/2015,PM2.5,38,26,,38
02/08/2015,PM2.5,47,37,,47
02/09/2015,Ozone,37,37,,25
02/10/2015,PM2.5,28,28,,28
02/11/2015,PM2.5,38,22,8,38
02/12/2015,PM2.5,46,22,,46
02/13/2015,PM2.5,46,25,,46
02/14/2015,PM2.5,38,26,,38
02/15/2015,PM2.5,28,26,,28
02/16/2015,PM2.5,38,28,,38
02/17/2015,PM2.5,43,28,10,43
02/18/2015,PM2.5,62,28,,62
02/19/2015,PM2.5,60,23,,60
02/20/2015,PM2.5,41,34,,41
02/21/2015,PM2.5,64,25,,64
02/22/2015,Ozone,29,29,,23
02/23/2015,Ozone,32,32,13,25
02/24/2015,Ozone,35,35,,34
02/25/2015,PM2.5,53,34,,53
02/26/2015,PM2.5,52,33,,52
02/27/2015,Ozone,31,31,,15
02/28/2015,Ozone,30,30,,19
03/01/2015,Ozone,31,31,7,22
03/02/2015,Ozone,30,30,,28
03/03/2015,PM2.5,33,32,,33
03/04/2015,PM2.5,40,35,,40
03/05/2015,PM2.5,59,42,,59
03/06/2015,PM2.5,56,39,,56
03/07/2015,PM2.5,50,43,,50
03/08/2015,PM2.5,55,43,,55
03/09/2015,PM2.5,55,38,,55
03/10/2015,PM2.5,58,36,,58
03/11/2015,PM2.5,50,38,,50
