Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,99,13,0,40,31,36,99
01/02/2015,PM2.5,81,17,0,35,31,31,81
01/03/2015,PM2.5,99,19,1,38,31,38,99
01/04/2015,PM2.5,106,19,0,35,31,38,106
01/05/2015,PM2.5,99,16,0,39,31,36,99
01/06/2015,PM2.5,142,13,0,41,29,60,142
01/07/2015,PM2.5,156,14,0,47,33,62,156
01/08/2015,PM2.5,159,14,1,53,36,64,159
01/09/2015,PM2.5,160,14,0,42,32,64,160
01/10/2015,PM2.5,158,13,0,40,33,60,158
01/11/2015,PM2.5,164,13,0,41,36,61,164
01/12/2015,PM2.5,156,11,0,31,25,55,156
01/13/2015,PM2.5,152,10,0,33,29,53,152
01/14/2015,PM2.5,112,14,0,29,27,37,112
01/15/2015,PM2.5,82,5,0,17,18,20,82
01/16/2015,PM2.5,88,8,0,19,19,26,88
01/17/2015,PM2.5,93,9,0,18,13,31,93
01/18/2015,PM2.5,98,5,0,17,14,30,98
01/19/2015,PM2.5,81,5,0,16,14,23,81
01/20/2015,PM2.5,55,5,0,11,12,12,55
01/21/2015,PM2.5,51,3,0,14,14,11,51
01/22/2015,PM2.5,73,6,0,15,15,22,73
01/23/2015,PM2.5,83,7,0,17,18,25,83
01/24/2015,PM2.5,99,5,0,18,17,31,99
01/25/2015,PM2.5,64,7,0,17,14,19,64
01/26/2015,PM2.5,92,10,0,28,17,35,92
01/27/2015,PM2.5,64,10,0,29,28,18,64
01/28/2015,PM2.5,74,11,0,24,23,21,74
01/29/2015,PM2.5,104,11,0,28,26,32,104
01/30/2015,PM2.5,110,8,0,27,33,40,110
01/31/2015,PM2.5,123,10,0,30,31,42,123
02/01/2015,PM2.5,94,11,0,34,37,33,94
02/02/2015,PM2.5,99,10,0,41,36,38,99
02/03/2015,PM2.5,115,13,0,44,37,47,115
02/04/2015,PM2.5,86,13,0,33,33,39,86
02/05/2015,PM2.5,80,11,0,32,26,32,80
02/06/2015,PM2.5,38,8,0,20,31,29,38
02/07/2015,PM2.5,38,5,0,8,28,8,38
02/08/2015,PM2.5,32,3,0,6,30,6,32
