Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,PM2.5,62,26,16,62
01/02/2015,PM2.5,74,26,23,74
01/03/2015,PM2.5,79,30,23,79
01/04/2015,PM2.5,60,22,13,60
01/05/2015,PM2.5,46,19,,46
01/06/2015,PM2.5,63,20,,63
01/07/2015,PM2.5,38,19,12,38
01/08/2015,PM2.5,50,16,10,50
01/09/2015,PM2.5,54,11,16,54
01/10/2015,PM2.5,60,10,18,60
01/11/2015,PM2.5,54,17,14,54
01/12/2015,PM2.5,28,27,6,28
01/13/2015,Ozone,29,29,5,10
01/14/2015,PM2.5,60,24,18,60
01/15/2015,PM2.5,52,15,13,52
01/16/2015,PM2.5,64,19,16,64
01/17/2015,PM2.5,50,20,8,50
01/18/2015,PM2.5,61,11,13,61
01/19/2015,PM2.5,46,21,7,46
01/20/2015,PM2.5,36,18,7,36
01/21/2015,PM2.5,44,24,10,44
01/22/2015,PM2.5,69,17,20,69
01/23/2015,Ozone,29,29,7,19
01/24/2015,PM2.5,28,,10,28
01/25/2015,PM2.5,58,11,15,58
01/26/2015,PM2.5,56,26,14,56
01/27/2015,PM2.5,77,10,27,77
01/28/2015,PM2.5,48,31,15,48
01/29/2015,PM2.5,24,,11,24
01/30/2015,PM10,9,,9,8
01/31/2015,PM2.5,3,,3,3
02/01/2015,PM2.5,91,36,32,91
02/02/2015,PM2.5,55,26,14,55
02/03/2015,PM2.5,33,23,9,33
02/04/2015,PM2.5,72,27,27,72
02/05/2015,PM2.5,73,20,28,73
02/06/2015,Ozone,26,26,11,24
02/07/2015,Ozone,31,31,8,15
02/08/2015,Ozone,40,40,6,9
02/09/2015,Ozone,40,40,5,7
02/10/2015,Ozone,31,31,3,5
02/11/2015,Ozone,23,23,6,12
02/12/2015,Ozone,24,24,8,7
02/13/2015,Ozone,26,26,10,
02/14/2015,Ozone,29,29,6,
02/15/2015,Ozone,29,29,5,
02/16/2015,Ozone,31,31,11,
02/17/2015,Ozone,33,33,13,
02/18/2015,PM2.5,32,24,11,32
02/19/2015,PM2.5,38,25,9,38
02/20/2015,Ozone,39,39,7,18
02/21/2015,PM2.5,35,31,8,35
02/22/2015,Ozone,33,33,6,4
02/23/2015,Ozone,36,36,19,8
02/24/2015,Ozone,39,39,8,18
02/25/2015,PM2.5,38,32,17,38
02/26/2015,Ozone,37,37,11,16
02/27/2015,Ozone,36,36,6,10
02/28/2015,Ozone,33,33,5,16
03/01/2015,Ozone,33,33,6,11
03/02/2015,Ozone,31,31,9,29
03/03/2015,Ozone,35,35,6,20
03/04/2015,Ozone,40,40,9,30
03/05/2015,Ozone,43,43,13,33
03/06/2015,Ozone,38,38,15,25
03/07/2015,Ozone,40,40,16,34
03/08/2015,Ozone,42,42,17,27
03/09/2015,PM2.5,42,40,23,42
03/10/2015,PM2.5,57,42,32,57
03/11/2015,Ozone,41,41,13,28
03/12/2015,Ozone,32,32,6,13
03/13/2015,Ozone,38,38,10,13
03/14/2015,Ozone,44,44,16,34
03/15/2015,Ozone,41,41,9,24
03/16/2015,Ozone,37,37,6,9
03/17/2015,Ozone,44,44,8,15
03/18/2015,Ozone,41,41,13,13
03/19/2015,Ozone,42,42,14,12
03/20/2015,Ozone,38,38,20,28
03/21/2015,Ozone,42,42,15,23
03/22/2015,Ozone,37,37,5,9
03/23/2015,Ozone,44,44,6,11
03/24/2015,Ozone,33,33,10,15
03/25/2015,Ozone,26,26,6,4
03/26/2015,Ozone,44,44,22,28
03/27/2015,Ozone,46,46,,21
03/28/2015,Ozone,44,44,,5
03/29/2015,Ozone,46,46,,15
03/30/2015,Ozone,47,47,,32
03/31/2015,Ozone,43,43,,23
04/01/2015,Ozone,44,44,10,16
04/02/2015,Ozone,43,43,13,14
04/03/2015,PM10,80,45,80,48
04/04/2015,Ozone,46,46,22,40
04/05/2015,Ozone,43,43,10,13
04/06/2015,Ozone,43,43,8,21
04/07/2015,Ozone,43,43,1,14
04/08/2015,Ozone,43,43,2,17
04/09/2015,Ozone,39,39,3,10
04/10/2015,Ozone,49,49,6,10
04/11/2015,Ozone,44,44,8,14
04/12/2015,Ozone,48,48,9,17
04/13/2015,Ozone,48,48,17,24
04/14/2015,Ozone,47,47,6,11
04/15/2015,Ozone,44,44,10,13
04/16/2015,Ozone,51,51,11,12
04/17/2015,Ozone,71,71,34,29
04/18/2015,Ozone,47,47,28,31
04/19/2015,Ozone,44,44,23,21
04/20/2015,Ozone,67,67,48,38
04/21/2015,PM10,44,44,44,32
04/22/2015,Ozone,44,44,33,34
04/23/2015,Ozone,50,50,32,33
04/24/2015,Ozone,43,43,23,23
04/25/2015,Ozone,44,44,6,14
04/26/2015,Ozone,42,42,5,14
04/27/2015,Ozone,36,36,8,10
04/28/2015,Ozone,43,43,31,18
04/29/2015,Ozone,48,48,23,29
