Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,90,7,0,10,24,22,90
01/02/2015,PM2.5,62,8,0,19,23,24,62
01/03/2015,PM2.5,58,8,0,11,22,21,58
01/04/2015,PM2.5,62,7,0,0,20,19,62
01/05/2015,PM2.5,65,7,0,13,21,18,65
01/06/2015,PM2.5,52,7,0,19,24,19,52
01/07/2015,PM2.5,44,7,0,24,26,20,44
01/08/2015,PM2.5,45,7,0,19,24,31,45
01/09/2015,PM2.5,58,9,0,11,16,28,58
01/10/2015,PM2.5,70,7,0,8,31,19,70
01/11/2015,PM2.5,73,7,0,2,25,16,73
01/12/2015,PM2.5,78,8,0,8,25,7,78
01/13/2015,PM2.5,47,7,0,10,24,14,47
01/14/2015,PM2.5,42,7,0,19,24,19,42
01/15/2015,PM2.5,67,7,0,5,32,7,67
01/16/2015,Ozone,25,7,0,12,25,15,17
01/17/2015,Ozone,22,7,0,5,22,3,10
01/18/2015,PM2.5,40,7,0,11,33,24,40
01/19/2015,Ozone,26,8,0,8,26,22,23
01/20/2015,PM10,21,8,0,11,18,21,19
01/21/2015,PM2.5,45,7,0,9,16,18,45
01/22/2015,PM2.5,60,8,0,13,14,22,60
01/23/2015,PM2.5,51,8,0,6,13,24,51
01/24/2015,PM2.5,54,7,0,5,18,27,54
01/25/2015,PM2.5,45,2,0,15,24,29,45
01/26/2015,PM2.5,42,8,0,15,20,27,42
01/27/2015,PM2.5,53,8,0,13,24,21,53
01/28/2015,PM2.5,48,8,0,9,20,20,48
01/29/2015,PM2.5,54,8,0,6,15,20,54
01/30/2015,PM2.5,51,2,0,9,14,19,51
01/31/2015,PM2.5,45,3,0,9,17,24,45
02/01/2015,PM2.5,49,2,0,8,18,18,49
02/02/2015,PM2.5,42,3,0,8,17,11,42
02/03/2015,PM2.5,29,2,0,5,18,14,29
02/04/2015,PM2.5,33,2,0,7,27,12,33
02/05/2015,Ozone,27,2,0,0,27,3,23
