Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,175,23,1,26,38,46,175
01/02/2015,PM2.5,155,23,1,36,37,37,155
01/03/2015,PM2.5,136,28,3,42,37,54,136
01/04/2015,PM2.5,79,18,1,25,42,47,79
01/05/2015,PM2.5,62,15,1,34,35,41,62
01/06/2015,PM2.5,60,17,1,31,31,30,60
01/07/2015,PM2.5,59,28,3,31,28,35,59
01/08/2015,PM2.5,77,32,3,51,18,38,77
01/09/2015,PM2.5,104,44,3,56,32,45,104
01/10/2015,PM2.5,87,16,4,33,35,41,87
01/11/2015,PM2.5,72,9,1,21,27,24,72
01/12/2015,PM2.5,59,20,1,29,28,43,59
01/13/2015,PM2.5,44,25,0,23,31,17,44
01/14/2015,PM2.5,58,18,3,30,30,18,58
01/15/2015,NO2,32,18,0,32,30,22,26
01/16/2015,PM2.5,57,20,1,34,32,23,57
01/17/2015,PM2.5,51,22,1,33,33,25,51
01/18/2015,PM2.5,60,14,1,34,33,31,60
01/19/2015,PM2.5,52,14,0,30,31,32,52
01/20/2015,PM2.5,59,10,3,40,30,40,59
01/21/2015,Ozone,33,9,0,20,33,29,30
01/22/2015,PM2.5,52,11,1,31,36,35,52
01/23/2015,PM2.5,86,25,3,32,30,44,86
01/24/2015,PM10,58,8,1,25,33,58,44
01/25/2015,PM2.5,55,11,1,28,33,18,55
01/26/2015,PM2.5,56,13,1,25,19,10,56
01/27/2015,PM2.5,48,6,0,22,27,15,48
01/28/2015,PM2.5,42,6,0,23,26,21,42
01/29/2015,PM2.5,52,0,1,25,20,24,52
01/30/2015,PM2.5,45,0,1,24,27,14,45
01/31/2015,PM2.5,40,9,0,19,26,9,40
02/01/2015,PM2.5,52,16,1,30,34,7,52
02/02/2015,PM2.5,57,22,1,38,32,22,57
02/03/2015,PM2.5,69,24,1,51,40,68,69
02/04/2015,PM2.5,107,22,3,44,41,38,107
02/05/2015,PM2.5,74,23,1,42,46,58,74
02/06/2015,PM2.5,102,20,10,74,46,42,102
02/07/2015,PM2.5,98,20,7,57,43,33,98
02/08/2015,PM2.5,55,13,1,28,36,29,55
02/09/2015,PM2.5,54,10,3,34,32,32,54
02/10/2015,Ozone,42,10,0,40,42,23,40
02/11/2015,PM2.5,56,5,0,36,38,24,56
02/12/2015,Ozone,37,0,,20,37,21,34
02/13/2015,PM2.5,77,30,6,49,43,37,77
02/14/2015,PM2.5,67,33,6,46,46,37,67
02/15/2015,PM2.5,74,16,3,27,51,31,74
02/16/2015,PM2.5,62,6,6,25,34,21,62
02/17/2015,PM2.5,54,6,1,34,37,28,54
02/18/2015,PM2.5,62,17,3,40,44,38,62
02/19/2015,PM2.5,74,1,4,49,74,66,74
02/20/2015,PM2.5,75,15,7,52,37,53,75
02/21/2015,PM10,85,15,9,28,42,85,74
02/22/2015,PM10,67,3,1,8,37,67,32
