Date,Main Pollutant,Overall AQI Value,SO2,Ozone,PM10,PM25
01/01/2015,PM10,57,0,36,57,20
01/02/2015,Ozone,32,0,32,11,20
01/03/2015,Ozone,31,0,31,11,27
01/04/2015,Ozone,29,0,29,13,24
01/05/2015,Ozone,30,0,30,13,22
01/06/2015,PM10,29,0,26,29,21
01/07/2015,Ozone,26,0,26,8,25
01/08/2015,Ozone,27,0,27,12,17
01/09/2015,PM2.5,29,0,23,11,29
01/10/2015,Ozone,30,0,30,9,24
01/11/2015,PM2.5,33,0,29,10,33
01/12/2015,Ozone,33,0,33,9,30
01/13/2015,Ozone,34,0,34,33,31
01/14/2015,Ozone,33,0,33,9,15
01/15/2015,Ozone,31,0,31,6,16
01/16/2015,Ozone,30,0,30,11,16
01/17/2015,Ozone,29,0,29,19,14
01/18/2015,Ozone,28,0,28,11,16
01/19/2015,Ozone,31,0,31,8,15
01/20/2015,Ozone,31,0,31,10,23
01/21/2015,Ozone,39,0,39,19,12
01/22/2015,Ozone,36,0,36,8,14
01/23/2015,PM10,131,0,35,131,52
01/24/2015,PM10,54,0,38,54,18
01/25/2015,Ozone,31,0,31,9,8
01/26/2015,PM10,71,0,34,71,14
01/27/2015,Ozone,31,0,31,6,13
01/28/2015,Ozone,31,0,31,5,15
01/29/2015,Ozone,29,0,29,6,16
01/30/2015,Ozone,31,0,31,9,18
01/31/2015,PM10,67,0,34,67,40
02/01/2015,Ozone,36,0,36,6,11
02/02/2015,Ozone,31,0,31,19,13
02/03/2015,Ozone,30,0,30,9,15
02/04/2015,Ozone,29,0,29,21,14
02/05/2015,Ozone,31,0,31,20,19
02/06/2015,PM10,189,0,36,189,27
02/07/2015,PM10,154,0,34,154,25
02/08/2015,Ozone,29,0,29,14,19
02/09/2015,Ozone,40,0,40,8,13
02/10/2015,Ozone,43,0,43,15,7
02/11/2015,Ozone,40,0,40,16,8
02/12/2015,Ozone,38,0,38,12,8
02/13/2015,Ozone,35,0,35,12,15
02/14/2015,Ozone,35,0,35,10,13
02/15/2015,Ozone,38,0,38,9,10
02/16/2015,Ozone,37,0,37,9,13
02/17/2015,Ozone,37,0,37,13,13
02/18/2015,Ozone,35,0,35,14,17
02/19/2015,Ozone,34,0,34,19,21
02/20/2015,Ozone,41,0,41,13,17
02/21/2015,PM10,55,0,44,55,26
