Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,98,9,28,32,10,98
01/02/2015,PM2.5,85,10,33,32,11,85
01/03/2015,PM2.5,99,8,34,31,11,99
01/04/2015,PM2.5,124,10,32,32,7,124
01/05/2015,PM2.5,146,9,43,36,5,146
01/06/2015,PM2.5,158,8,42,37,72,158
01/07/2015,PM2.5,166,11,47,42,6,166
01/08/2015,PM2.5,168,10,49,41,8,168
01/09/2015,PM2.5,170,10,42,43,8,170
01/10/2015,PM2.5,180,8,31,31,6,180
01/11/2015,PM2.5,150,9,25,35,3,150
01/12/2015,PM2.5,98,8,21,31,40,98
01/13/2015,PM2.5,115,6,31,35,5,115
01/14/2015,PM2.5,104,7,27,31,5,104
01/15/2015,PM2.5,94,7,15,31,4,94
01/16/2015,PM2.5,125,6,25,26,3,125
01/17/2015,PM2.5,111,7,15,30,3,111
01/18/2015,PM2.5,148,5,18,29,53,148
01/19/2015,PM2.5,82,5,13,30,6,82
01/20/2015,PM2.5,25,3,16,19,8,25
01/21/2015,PM2.5,52,3,11,31,6,52
01/22/2015,PM2.5,85,3,18,31,11,85
01/23/2015,PM2.5,102,6,22,32,6,102
01/24/2015,PM2.5,113,8,25,34,43,113
01/25/2015,PM2.5,98,8,23,30,3,98
01/26/2015,PM2.5,107,9,30,31,4,107
01/27/2015,PM2.5,64,6,28,33,3,64
01/28/2015,PM2.5,77,6,20,30,1,77
01/29/2015,PM2.5,122,3,20,28,2,122
01/30/2015,PM2.5,123,5,28,31,53,123
01/31/2015,PM2.5,110,7,28,31,5,110
02/01/2015,PM2.5,80,6,31,35,6,80
02/02/2015,PM2.5,92,6,32,39,6,92
02/03/2015,PM2.5,120,6,33,42,6,120
02/04/2015,PM2.5,88,8,31,31,5,88
02/05/2015,PM2.5,56,7,31,28,51,56
02/06/2015,PM2.5,45,7,27,36,11,45
02/07/2015,PM2.5,49,5,24,29,1,49
02/08/2015,PM2.5,53,6,25,29,3,53
02/09/2015,Ozone,38,3,33,38,18,30
