Date,Main Pollutant,Overall AQI Value,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,92,25,27,30,92
01/02/2015,PM2.5,86,30,28,31,86
01/03/2015,PM2.5,101,28,26,45,101
01/04/2015,PM2.5,133,29,23,49,133
01/05/2015,PM2.5,140,35,31,53,140
01/06/2015,PM2.5,154,35,27,62,154
01/07/2015,PM2.5,157,32,32,65,157
01/08/2015,PM2.5,161,33,31,71,161
01/09/2015,PM2.5,174,26,26,85,174
01/10/2015,PM2.5,168,33,31,73,168
01/11/2015,PM2.5,163,25,23,58,163
01/12/2015,PM2.5,129,12,19,49,129
01/13/2015,PM2.5,152,25,21,52,152
01/14/2015,PM2.5,104,15,14,36,104
01/15/2015,PM2.5,82,9,15,23,82
01/16/2015,PM2.5,96,17,19,35,96
01/17/2015,PM2.5,83,11,12,28,83
01/18/2015,PM2.5,92,7,12,27,92
01/19/2015,PM2.5,72,8,11,25,72
01/20/2015,PM2.5,63,10,9,6,63
01/21/2015,PM2.5,46,8,15,7,46
01/22/2015,PM2.5,77,15,15,19,77
01/23/2015,PM2.5,78,10,11,21,78
01/24/2015,PM2.5,83,7,14,23,83
01/25/2015,PM10,12,10,10,12,
01/26/2015,PM10,21,18,7,21,
01/27/2015,PM2.5,59,25,23,16,59
01/28/2015,PM10,23,22,16,23,
01/29/2015,Ozone,24,21,24,21,
01/30/2015,PM2.5,97,16,28,31,97
01/31/2015,PM10,33,23,29,33,
02/01/2015,Ozone,33,24,33,,
02/02/2015,PM2.5,109,29,32,,109
02/03/2015,PM2.5,153,32,25,41,153
02/04/2015,PM2.5,99,30,31,44,99
02/05/2015,PM2.5,66,30,23,41,66
02/06/2015,PM2.5,50,19,28,43,50
02/07/2015,PM2.5,18,10,18,8,18
02/08/2015,PM2.5,25,7,19,,25
02/09/2015,Ozone,33,12,33,14,19
02/10/2015,PM2.5,46,18,22,17,46
02/11/2015,PM2.5,67,23,27,22,67
02/12/2015,PM2.5,84,39,37,28,84
02/13/2015,PM2.5,99,31,36,37,99
02/14/2015,PM2.5,104,34,42,31,104
02/15/2015,PM2.5,104,30,42,32,104
02/16/2015,PM2.5,82,23,48,27,82
02/17/2015,PM2.5,78,14,44,28,78
02/18/2015,PM2.5,86,22,22,,86
02/19/2015,PM2.5,84,16,37,21,84
02/20/2015,PM2.5,71,8,22,16,71
02/21/2015,PM2.5,79,17,22,14,79
02/22/2015,PM2.5,62,13,20,19,62
02/23/2015,Ozone,29,9,29,12,23
02/24/2015,PM2.5,36,24,34,19,36
02/25/2015,PM2.5,71,31,42,30,71
02/26/2015,PM2.5,101,21,46,43,101
02/27/2015,PM2.5,79,21,42,,79
02/28/2015,Ozone,35,9,35,7,3
03/01/2015,Ozone,37,12,37,9,22
03/02/2015,Ozone,35,21,35,9,15
03/03/2015,PM2.5,39,27,36,17,39
03/04/2015,PM2.5,52,31,38,23,52
03/05/2015,PM2.5,60,27,43,27,60
03/06/2015,PM2.5,57,29,48,25,57
03/07/2015,PM2.5,77,34,48,41,77
03/08/2015,PM2.5,74,21,67,30,74
03/09/2015,PM2.5,67,36,64,40,67
03/10/2015,PM2.5,72,30,61,47,72
03/11/2015,PM10,49,18,33,49,48
03/12/2015,PM2.5,54,28,36,32,54
03/13/2015,Ozone,49,34,49,48,
03/14/2015,Ozone,77,32,77,52,
03/15/2015,Ozone,67,21,67,41,
03/16/2015,Ozone,41,22,41,30,
03/17/2015,PM2.5,56,25,44,29,56
03/18/2015,Ozone,45,20,45,29,27
03/19/2015,Ozone,54,25,54,35,41
03/20/2015,Ozone,77,24,77,46,63
03/21/2015,Ozone,47,17,47,32,40
03/22/2015,Ozone,44,10,44,25,32
03/23/2015,Ozone,43,9,43,27,18
03/24/2015,Ozone,42,8,42,36,18
03/25/2015,Ozone,42,12,42,26,36
03/26/2015,Ozone,54,26,54,36,48
03/27/2015,Ozone,64,20,64,45,55
03/28/2015,Ozone,46,10,46,41,29
03/29/2015,Ozone,58,19,58,27,35
03/30/2015,Ozone,80,18,80,35,43
03/31/2015,PM10,72,6,50,72,34
04/01/2015,Ozone,46,9,46,38,20
04/02/2015,PM10,50,9,48,50,27
04/03/2015,Ozone,51,18,51,34,33
04/04/2015,Ozone,74,8,74,30,43
04/05/2015,Ozone,48,4,48,27,18
04/06/2015,Ozone,48,11,48,18,18
04/07/2015,Ozone,38,8,38,19,17
04/08/2015,Ozone,48,14,48,10,27
04/09/2015,PM2.5,54,26,44,19,54
04/10/2015,Ozone,71,22,71,27,62
04/11/2015,Ozone,46,8,46,25,29
04/12/2015,Ozone,49,20,49,21,44
04/13/2015,Ozone,77,23,77,47,54
04/14/2015,PM10,62,5,51,62,23
04/15/2015,Ozone,48,21,48,31,27
04/16/2015,Ozone,77,21,77,43,48
