Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,Ozone,33,33,,
01/02/2015,Ozone,27,27,,
01/03/2015,Ozone,25,25,,
01/04/2015,Ozone,26,26,,
01/05/2015,Ozone,19,19,,
01/06/2015,Ozone,24,24,6,13
01/07/2015,Ozone,23,23,,
01/08/2015,Ozone,15,15,,
01/09/2015,Ozone,18,18,,
01/10/2015,Ozone,19,19,,
01/11/2015,Ozone,23,23,,
01/12/2015,Ozone,29,29,9,12
01/13/2015,Ozone,25,25,,
01/14/2015,Ozone,30,30,,
01/15/2015,Ozone,23,23,,
01/16/2015,Ozone,25,25,,
01/17/2015,Ozone,19,19,,
01/18/2015,Ozone,17,17,6,9
01/19/2015,Ozone,26,26,,
01/20/2015,Ozone,22,22,,
01/21/2015,Ozone,27,27,,
01/22/2015,Ozone,27,27,,
01/23/2015,Ozone,24,24,,
01/24/2015,Ozone,29,29,6,12
01/25/2015,Ozone,31,31,,
01/26/2015,Ozone,24,24,,
01/27/2015,Ozone,23,23,,
01/28/2015,Ozone,33,33,,
01/29/2015,Ozone,31,31,,
01/30/2015,Ozone,26,26,7,12
01/31/2015,Ozone,35,35,,
02/01/2015,Ozone,30,30,,
02/02/2015,Ozone,23,23,,
02/03/2015,Ozone,17,17,,
02/04/2015,Ozone,32,32,,
02/05/2015,Ozone,35,35,6,12
02/06/2015,Ozone,40,40,,
02/07/2015,Ozone,40,40,11,
02/08/2015,Ozone,45,45,,
02/09/2015,Ozone,40,40,,
02/10/2015,Ozone,30,30,,
02/11/2015,Ozone,24,24,6,9
02/12/2015,Ozone,27,27,,
02/13/2015,Ozone,29,29,,
02/14/2015,Ozone,31,31,,
02/15/2015,Ozone,31,31,,
02/16/2015,Ozone,31,31,,
02/17/2015,Ozone,21,21,6,18
02/18/2015,Ozone,27,27,,
02/19/2015,Ozone,29,29,,
02/20/2015,Ozone,32,32,,
02/21/2015,Ozone,37,37,,
02/22/2015,Ozone,43,43,,
02/23/2015,Ozone,45,45,10,8
02/24/2015,Ozone,41,41,,
02/25/2015,Ozone,37,37,,
02/26/2015,Ozone,35,35,,
02/27/2015,Ozone,39,39,,
02/28/2015,Ozone,36,36,,
03/01/2015,Ozone,37,37,4,10
03/02/2015,Ozone,36,36,,
03/03/2015,Ozone,36,36,,
03/04/2015,Ozone,40,40,,
03/05/2015,Ozone,41,41,7,
03/06/2015,Ozone,44,44,,
03/07/2015,Ozone,41,41,8,18
03/08/2015,Ozone,40,40,,
03/09/2015,Ozone,37,37,,
03/10/2015,Ozone,44,44,,
03/11/2015,Ozone,43,43,,
03/12/2015,Ozone,36,36,,
03/13/2015,Ozone,39,39,7,13
03/14/2015,Ozone,50,50,,
03/15/2015,Ozone,47,47,,
03/16/2015,Ozone,48,48,,
03/17/2015,Ozone,38,38,,
03/18/2015,Ozone,43,43,,
03/19/2015,Ozone,46,46,6,13
03/20/2015,Ozone,46,46,,
03/21/2015,Ozone,44,44,,
03/22/2015,Ozone,41,41,,
03/23/2015,Ozone,44,44,,
03/24/2015,Ozone,38,38,,
03/25/2015,Ozone,33,33,3,4
03/26/2015,Ozone,35,35,,
03/27/2015,Ozone,36,36,,
03/28/2015,Ozone,41,41,,
03/29/2015,Ozone,39,39,,
03/30/2015,Ozone,43,43,,
03/31/2015,Ozone,47,47,6,9
04/01/2015,Ozone,44,44,,
04/02/2015,Ozone,48,48,,
04/03/2015,Ozone,51,51,,
04/04/2015,Ozone,47,47,,
04/05/2015,Ozone,46,46,,
04/06/2015,Ozone,45,45,6,8
04/07/2015,Ozone,44,44,,
04/08/2015,Ozone,45,45,,
04/09/2015,Ozone,43,43,,
04/10/2015,Ozone,44,44,,
04/11/2015,Ozone,40,40,,
04/12/2015,Ozone,48,48,6,13
04/13/2015,Ozone,51,51,,
04/14/2015,Ozone,47,47,,
04/15/2015,Ozone,54,54,,
04/16/2015,Ozone,71,71,,
04/17/2015,Ozone,50,50,,
04/18/2015,Ozone,46,46,10,24
04/19/2015,Ozone,44,44,,
04/20/2015,Ozone,42,42,,
04/21/2015,Ozone,32,32,,
04/22/2015,Ozone,42,42,,
04/23/2015,Ozone,42,42,,
04/24/2015,Ozone,47,47,6,8
04/25/2015,Ozone,41,41,,
04/26/2015,Ozone,40,40,,
04/27/2015,Ozone,37,37,,
04/28/2015,Ozone,34,34,,
04/29/2015,Ozone,39,39,,
04/30/2015,PM2.5,16,,9,16
05/01/2015,Ozone,61,61,,
05/02/2015,Ozone,48,48,,
05/03/2015,Ozone,46,46,,
05/04/2015,Ozone,44,44,,
05/05/2015,Ozone,38,38,,
05/06/2015,Ozone,39,39,11,17
05/07/2015,Ozone,47,47,,
05/08/2015,Ozone,44,44,,
05/09/2015,Ozone,42,42,5,
05/10/2015,Ozone,43,43,,
05/11/2015,Ozone,41,41,,
05/12/2015,Ozone,44,44,6,9
05/13/2015,Ozone,44,44,,
05/14/2015,Ozone,46,46,5,
05/15/2015,Ozone,43,43,,
05/16/2015,Ozone,38,38,,
05/17/2015,Ozone,41,41,,
05/18/2015,Ozone,43,43,6,13
05/19/2015,Ozone,34,34,,
05/20/2015,Ozone,31,31,,
05/21/2015,Ozone,31,31,,
05/22/2015,Ozone,34,34,,
05/23/2015,Ozone,36,36,,
05/24/2015,Ozone,34,34,8,24
05/25/2015,Ozone,32,32,,
05/26/2015,Ozone,32,32,,
05/27/2015,Ozone,32,32,,
05/28/2015,Ozone,44,44,,
05/29/2015,Ozone,46,46,,
05/30/2015,Ozone,43,43,7,15
05/31/2015,Ozone,37,37,,
06/01/2015,Ozone,31,31,,
06/02/2015,Ozone,32,32,,
06/03/2015,Ozone,31,31,,
06/04/2015,Ozone,39,39,,
06/05/2015,Ozone,48,48,10,16
06/06/2015,Ozone,40,40,,
06/07/2015,Ozone,46,46,,
06/08/2015,Ozone,58,58,,
06/09/2015,Ozone,46,46,,
06/10/2015,Ozone,47,47,,
06/11/2015,Ozone,44,44,11,28
06/12/2015,Ozone,46,46,,
06/13/2015,Ozone,40,40,,
06/14/2015,Ozone,41,41,,
06/15/2015,Ozone,48,48,,
06/16/2015,Ozone,61,61,,
06/17/2015,Ozone,51,51,11,24
06/18/2015,Ozone,42,42,,
06/19/2015,Ozone,42,42,,
06/20/2015,Ozone,44,44,,
06/21/2015,Ozone,46,46,,
06/22/2015,Ozone,43,43,,
06/23/2015,Ozone,37,37,9,15
06/24/2015,Ozone,42,42,,
06/25/2015,Ozone,47,47,,
06/26/2015,Ozone,58,58,,
06/27/2015,Ozone,43,43,,
06/28/2015,Ozone,36,36,,
06/29/2015,Ozone,44,44,7,11
06/30/2015,Ozone,44,44,,
07/01/2015,Ozone,45,45,,
07/02/2015,Ozone,42,42,,
07/03/2015,Ozone,44,44,,
07/04/2015,Ozone,38,38,,
07/05/2015,Ozone,31,31,6,8
07/06/2015,Ozone,30,30,,
07/07/2015,Ozone,27,27,,
07/08/2015,Ozone,26,26,,
07/09/2015,Ozone,19,19,,
07/10/2015,Ozone,24,24,,
07/11/2015,Ozone,27,27,6,12
07/12/2015,Ozone,24,24,,
07/13/2015,Ozone,28,28,,
07/14/2015,Ozone,32,32,,
07/15/2015,Ozone,45,45,,
07/16/2015,Ozone,41,41,,
07/17/2015,Ozone,50,50,10,14
07/18/2015,Ozone,46,46,,
07/19/2015,Ozone,33,33,,
07/20/2015,Ozone,29,29,,
07/21/2015,Ozone,30,30,,
07/22/2015,Ozone,41,41,,
07/23/2015,Ozone,30,30,10,19
07/24/2015,Ozone,37,37,,
07/25/2015,Ozone,38,38,,
07/26/2015,Ozone,38,38,,
07/27/2015,Ozone,34,34,,
07/28/2015,Ozone,39,39,,
07/29/2015,Ozone,42,42,9,11
07/30/2015,Ozone,42,42,,
07/31/2015,Ozone,42,42,,
08/01/2015,Ozone,33,33,,
08/02/2015,Ozone,31,31,,
08/03/2015,Ozone,27,27,,
08/04/2015,Ozone,21,21,11,19
08/05/2015,Ozone,41,41,,
08/06/2015,Ozone,50,50,,
08/07/2015,Ozone,38,38,,
08/08/2015,Ozone,37,37,,
08/09/2015,Ozone,28,28,,
08/10/2015,Ozone,28,28,3,
08/11/2015,Ozone,25,25,,
08/12/2015,Ozone,25,25,4,4
08/13/2015,Ozone,30,30,,
08/14/2015,Ozone,28,28,,
08/15/2015,Ozone,50,50,,
08/16/2015,PM2.5,148,71,54,148
08/17/2015,Ozone,77,77,,
08/18/2015,Ozone,58,58,,
08/19/2015,Ozone,44,44,,
08/20/2015,Ozone,42,42,,
08/21/2015,Ozone,44,44,,
08/22/2015,Ozone,42,42,15,29
08/23/2015,Ozone,42,42,,
08/24/2015,Ozone,34,34,,
08/25/2015,Ozone,35,35,,
08/26/2015,Ozone,32,32,,
08/27/2015,Ozone,28,28,,
08/28/2015,Ozone,22,22,7,3
08/29/2015,Ozone,32,32,,
08/30/2015,Ozone,29,29,,
08/31/2015,Ozone,37,37,,
09/01/2015,Ozone,37,37,,
09/02/2015,Ozone,34,34,,
09/03/2015,Ozone,36,36,8,14
09/04/2015,Ozone,30,30,,
09/05/2015,Ozone,34,34,,
09/06/2015,Ozone,40,40,,
09/07/2015,Ozone,44,44,,
09/08/2015,Ozone,48,48,,
09/09/2015,Ozone,41,41,12,19
09/10/2015,Ozone,43,43,,
09/11/2015,Ozone,44,44,,
09/12/2015,Ozone,47,47,,
09/13/2015,Ozone,31,31,,
09/14/2015,Ozone,30,30,,
09/15/2015,Ozone,35,35,8,12
09/16/2015,Ozone,31,31,,
09/17/2015,Ozone,32,32,,
09/18/2015,Ozone,37,37,,
09/19/2015,Ozone,44,44,,
09/20/2015,Ozone,50,50,,
09/21/2015,Ozone,40,40,9,12
09/22/2015,Ozone,40,40,,
09/23/2015,Ozone,41,41,,
09/24/2015,Ozone,35,35,,
09/25/2015,Ozone,31,31,,
09/26/2015,Ozone,29,29,,
09/27/2015,Ozone,37,37,7,8
09/28/2015,Ozone,40,40,,
09/29/2015,Ozone,38,38,,
09/30/2015,Ozone,35,35,,
10/01/2015,Ozone,34,34,,
10/02/2015,Ozone,34,34,,
10/03/2015,Ozone,43,43,10,13
10/04/2015,Ozone,43,43,,
10/05/2015,Ozone,47,47,,
10/06/2015,Ozone,45,45,18,
10/07/2015,Ozone,43,43,,
10/08/2015,Ozone,44,44,,
10/09/2015,Ozone,44,44,10,13
10/10/2015,Ozone,31,31,,
10/11/2015,Ozone,34,34,,
10/12/2015,Ozone,40,40,,
10/13/2015,Ozone,48,48,,
10/14/2015,Ozone,48,48,,
10/15/2015,Ozone,48,48,17,14
10/16/2015,Ozone,47,47,,
10/17/2015,Ozone,35,35,,
10/18/2015,Ozone,36,36,,
10/19/2015,Ozone,29,29,,
10/20/2015,Ozone,33,33,,
10/21/2015,Ozone,38,38,6,8
10/22/2015,Ozone,38,38,,
10/23/2015,Ozone,33,33,,
10/24/2015,Ozone,37,37,,
10/25/2015,Ozone,36,36,,
10/26/2015,Ozone,34,34,,
10/27/2015,Ozone,28,28,8,5
10/28/2015,Ozone,34,34,,
10/29/2015,Ozone,33,33,,
10/30/2015,Ozone,26,26,,
10/31/2015,Ozone,26,26,,
11/01/2015,Ozone,28,28,,
11/02/2015,Ozone,33,33,4,2
11/03/2015,Ozone,30,30,,
11/04/2015,Ozone,35,35,,
11/05/2015,Ozone,29,29,,
11/06/2015,Ozone,31,31,,
11/07/2015,Ozone,36,36,,
11/08/2015,Ozone,35,35,4,4
11/09/2015,Ozone,33,33,,
11/10/2015,Ozone,29,29,,
11/11/2015,Ozone,25,25,,
11/14/2015,Ozone,38,38,6,16
11/15/2015,Ozone,38,38,,
