Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,PM2.5,54,39,33,54
01/02/2015,PM2.5,70,37,44,70
01/03/2015,PM2.5,48,37,31,48
01/04/2015,Ozone,34,34,23,10
01/05/2015,Ozone,33,33,13,7
01/06/2015,Ozone,30,30,12,5
01/07/2015,Ozone,31,31,14,13
01/08/2015,Ozone,31,31,15,13
01/09/2015,Ozone,37,37,19,8
01/10/2015,Ozone,31,31,12,5
01/11/2015,Ozone,31,31,16,23
01/12/2015,PM2.5,43,31,20,43
01/13/2015,Ozone,37,37,19,24
01/14/2015,Ozone,36,36,26,18
01/15/2015,Ozone,38,38,17,13
01/16/2015,Ozone,38,38,21,18
01/17/2015,Ozone,26,26,22,23
01/18/2015,Ozone,40,40,19,19
01/19/2015,Ozone,40,40,17,12
01/20/2015,Ozone,36,36,14,12
01/21/2015,Ozone,38,38,16,13
01/22/2015,Ozone,36,36,16,13
01/23/2015,Ozone,39,39,19,25
01/24/2015,PM2.5,44,40,27,44
01/25/2015,PM2.5,34,34,22,34
01/26/2015,Ozone,37,37,19,3
01/27/2015,Ozone,31,31,10,23
01/28/2015,Ozone,30,30,9,4
01/29/2015,Ozone,31,31,9,6
01/30/2015,Ozone,33,33,12,19
01/31/2015,Ozone,37,37,14,34
02/01/2015,Ozone,35,35,11,7
02/02/2015,Ozone,28,28,10,7
02/03/2015,Ozone,27,27,15,13
02/04/2015,Ozone,31,31,17,8
02/05/2015,Ozone,36,36,19,23
02/06/2015,Ozone,33,33,23,30
02/07/2015,Ozone,29,29,8,25
02/08/2015,Ozone,34,34,6,11
02/09/2015,Ozone,35,35,7,15
02/10/2015,Ozone,40,40,19,28
02/11/2015,Ozone,38,38,16,26
02/12/2015,Ozone,35,35,21,30
02/13/2015,Ozone,33,33,16,20
02/14/2015,Ozone,33,33,16,28
02/15/2015,Ozone,32,32,18,27
02/16/2015,Ozone,34,34,14,21
02/17/2015,Ozone,35,35,19,27
02/18/2015,Ozone,33,33,19,32
02/19/2015,Ozone,30,30,16,28
02/20/2015,Ozone,31,31,13,22
02/21/2015,Ozone,35,35,10,25
02/22/2015,Ozone,33,33,13,17
02/23/2015,Ozone,35,35,15,19
02/24/2015,Ozone,37,37,18,30
02/25/2015,PM2.5,37,31,19,37
02/26/2015,Ozone,38,38,20,32
02/27/2015,Ozone,38,38,10,23
02/28/2015,Ozone,36,36,8,24
03/01/2015,Ozone,35,35,12,34
03/02/2015,Ozone,34,34,10,21
03/03/2015,Ozone,37,37,13,23
03/04/2015,Ozone,40,40,15,26
03/05/2015,Ozone,42,42,14,21
03/06/2015,Ozone,41,41,15,25
03/07/2015,PM2.5,42,42,20,42
03/08/2015,Ozone,40,40,13,25
03/09/2015,Ozone,42,42,16,
03/10/2015,Ozone,50,50,21,23
03/11/2015,Ozone,54,54,13,27
03/12/2015,Ozone,40,40,7,10
03/13/2015,Ozone,43,43,11,13
03/14/2015,Ozone,44,44,18,34
03/15/2015,Ozone,58,58,15,21
03/16/2015,Ozone,48,48,14,20
03/17/2015,PM2.5,42,41,21,42
03/18/2015,Ozone,39,39,16,18
03/19/2015,Ozone,40,40,17,22
03/20/2015,Ozone,46,46,19,30
03/21/2015,Ozone,45,45,13,22
03/22/2015,Ozone,43,43,9,19
03/23/2015,Ozone,38,38,7,15
03/24/2015,Ozone,33,33,12,18
03/25/2015,PM2.5,38,33,23,38
03/26/2015,PM2.5,44,39,29,44
03/27/2015,Ozone,44,44,13,13
03/28/2015,Ozone,47,47,15,15
03/29/2015,Ozone,46,46,12,23
03/30/2015,Ozone,50,50,14,21
03/31/2015,PM10,56,49,56,37
04/01/2015,Ozone,49,49,24,40
04/02/2015,Ozone,46,46,17,13
04/03/2015,Ozone,48,48,18,21
04/04/2015,Ozone,50,50,21,25
04/05/2015,Ozone,47,47,14,30
04/06/2015,Ozone,44,44,7,13
04/07/2015,Ozone,44,44,9,20
04/08/2015,Ozone,44,44,9,25
04/09/2015,Ozone,48,48,10,13
04/10/2015,Ozone,61,61,15,16
04/11/2015,Ozone,50,50,15,22
04/12/2015,Ozone,41,41,14,24
04/13/2015,Ozone,77,77,14,23
04/14/2015,Ozone,48,48,13,15
04/15/2015,Ozone,67,67,15,15
04/16/2015,Ozone,61,61,23,27
04/17/2015,Ozone,71,71,22,34
04/18/2015,Ozone,71,71,34,65
04/19/2015,PM2.5,60,54,27,60
04/20/2015,Ozone,47,47,14,15
04/21/2015,Ozone,46,46,19,30
04/22/2015,PM2.5,27,,15,27
04/23/2015,Ozone,44,44,10,17
04/24/2015,Ozone,50,50,9,18
04/25/2015,Ozone,43,43,13,34
04/26/2015,Ozone,39,39,13,34
04/27/2015,Ozone,51,51,12,22
04/28/2015,Ozone,71,71,18,25
