Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,35,9,26,31,12,35
01/02/2015,PM2.5,32,9,29,31,13,32
01/03/2015,PM2.5,35,9,25,29,13,35
01/04/2015,PM2.5,40,9,26,26,14,40
01/05/2015,PM2.5,33,8,24,25,15,33
01/06/2015,PM2.5,33,8,25,28,18,33
01/07/2015,Ozone,26,9,23,26,15,13
01/08/2015,PM2.5,22,9,20,21,16,22
01/09/2015,PM2.5,28,9,20,25,17,28
01/10/2015,PM2.5,28,8,18,28,14,28
01/11/2015,PM2.5,31,8,13,29,9,31
01/12/2015,PM2.5,29,8,14,23,9,29
01/13/2015,PM2.5,30,8,25,29,11,30
01/14/2015,PM2.5,53,8,23,30,18,53
01/15/2015,Ozone,32,8,19,32,13,21
01/16/2015,Ozone,31,8,19,31,15,20
01/17/2015,PM2.5,24,9,16,24,11,24
01/18/2015,PM2.5,30,10,14,23,7,30
01/19/2015,PM2.5,24,10,13,18,11,24
01/20/2015,PM2.5,28,9,13,22,13,28
01/21/2015,PM2.5,26,8,14,23,11,26
01/22/2015,PM2.5,32,5,18,21,17,32
01/23/2015,Ozone,29,5,25,29,19,23
01/24/2015,PM2.5,39,5,24,30,20,39
01/25/2015,Ozone,32,3,23,32,10,15
01/26/2015,PM2.5,24,3,16,23,19,24
01/27/2015,Ozone,31,3,20,31,9,23
01/28/2015,Ozone,33,5,25,33,8,22
01/29/2015,Ozone,30,3,14,30,11,28
01/30/2015,PM2.5,36,3,15,28,,36
01/31/2015,Ozone,30,5,25,30,,28
02/01/2015,Ozone,31,6,17,31,,26
02/02/2015,Ozone,31,5,21,31,,25
02/03/2015,PM2.5,40,5,26,29,,40
02/04/2015,PM2.5,36,3,12,30,21,36
02/05/2015,PM2.5,38,2,15,28,12,38
02/06/2015,Ozone,28,2,10,28,11,25
02/07/2015,Ozone,24,2,6,24,1,16
02/08/2015,Ozone,33,2,2,33,4,18
02/09/2015,Ozone,34,3,21,34,13,30
02/10/2015,Ozone,32,5,13,32,7,22
02/11/2015,Ozone,31,5,15,31,8,19
02/12/2015,Ozone,37,3,24,37,10,19
02/13/2015,Ozone,41,5,25,41,15,23
02/14/2015,Ozone,38,6,26,38,17,28
02/15/2015,Ozone,38,6,16,38,12,26
02/16/2015,Ozone,37,5,12,37,14,26
02/17/2015,Ozone,37,2,5,37,11,29
02/18/2015,PM2.5,34,3,8,31,12,34
02/19/2015,PM2.5,43,3,7,28,15,43
02/20/2015,PM2.5,42,5,10,30,17,42
02/21/2015,PM2.5,42,3,7,36,16,42
02/22/2015,Ozone,34,3,8,34,11,32
02/23/2015,Ozone,32,3,18,32,19,22
02/24/2015,Ozone,37,3,13,37,17,21
02/25/2015,Ozone,38,3,10,38,21,24
02/26/2015,Ozone,35,3,11,35,27,32
02/27/2015,Ozone,36,5,15,36,17,21
02/28/2015,Ozone,33,2,8,33,3,26
03/01/2015,Ozone,33,3,15,33,4,19
03/02/2015,Ozone,32,3,17,32,6,26
03/03/2015,Ozone,37,3,10,37,10,21
03/04/2015,Ozone,39,3,10,39,9,31
03/05/2015,Ozone,42,3,13,42,14,26
03/06/2015,Ozone,44,5,27,44,15,25
03/07/2015,Ozone,44,6,23,44,19,28
03/08/2015,Ozone,43,3,11,43,19,36
03/09/2015,Ozone,40,3,5,40,19,35
03/10/2015,PM2.5,38,3,8,38,23,38
03/11/2015,Ozone,38,5,13,38,15,37
03/12/2015,Ozone,42,6,15,42,12,23
03/13/2015,Ozone,39,5,12,39,16,25
03/14/2015,Ozone,43,3,11,43,15,18
03/15/2015,Ozone,44,3,10,44,16,22
03/16/2015,Ozone,41,3,15,41,18,19
03/17/2015,Ozone,44,3,7,44,21,23
03/18/2015,Ozone,40,5,16,40,22,28
03/19/2015,Ozone,44,3,13,44,23,32
03/20/2015,Ozone,47,5,13,47,28,26
03/21/2015,Ozone,45,5,7,45,17,24
03/22/2015,Ozone,34,5,4,34,10,19
03/23/2015,Ozone,42,5,8,42,18,23
03/24/2015,Ozone,41,6,21,41,18,23
03/25/2015,Ozone,36,6,14,36,16,28
03/26/2015,Ozone,43,5,9,43,20,24
03/27/2015,Ozone,40,6,9,40,33,25
03/28/2015,Ozone,39,3,4,39,16,27
03/29/2015,Ozone,44,5,5,44,20,37
03/30/2015,Ozone,42,5,12,42,38,40
03/31/2015,Ozone,43,5,9,43,23,30
04/01/2015,Ozone,45,5,16,45,25,29
04/02/2015,Ozone,45,5,20,45,25,28
04/03/2015,Ozone,44,6,17,44,32,41
04/04/2015,PM2.5,46,5,13,45,31,46
04/05/2015,Ozone,44,3,8,44,10,22
04/06/2015,Ozone,44,5,19,44,12,19
04/07/2015,Ozone,44,3,7,44,7,21
04/08/2015,Ozone,44,5,15,44,7,15
04/09/2015,Ozone,49,5,15,49,10,23
04/10/2015,Ozone,49,5,23,49,14,20
04/11/2015,Ozone,41,6,21,41,13,18
04/12/2015,Ozone,43,5,8,43,11,24
04/13/2015,Ozone,40,5,6,40,29,33
04/14/2015,Ozone,50,5,19,50,15,38
04/15/2015,Ozone,49,5,24,49,23,26
04/16/2015,Ozone,64,5,15,64,25,30
04/17/2015,Ozone,80,5,11,80,35,35
04/18/2015,Ozone,54,3,8,54,28,43
04/19/2015,Ozone,40,3,3,40,21,39
04/20/2015,Ozone,40,3,3,40,25,37
04/21/2015,PM2.5,38,3,5,38,15,38
04/22/2015,PM2.5,37,3,4,37,16,37
04/23/2015,PM2.5,39,3,2,37,26,39
04/24/2015,Ozone,46,3,5,46,25,30
04/25/2015,Ozone,39,3,3,39,12,20
