Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,98,10,26,21,,98
01/02/2015,PM2.5,92,,.,,.,92
01/03/2015,PM2.5,97,,.,,.,97
01/04/2015,PM2.5,89,,.,,.,89
01/05/2015,PM2.5,84,,.,10,,84
01/06/2015,PM2.5,71,13,28,15,22,71
01/07/2015,PM2.5,69,14,25,12,,69
01/08/2015,PM2.5,83,13,25,7,,83
01/09/2015,PM2.5,66,10,24,8,,66
01/10/2015,PM2.5,79,11,24,11,,79
01/11/2015,PM2.5,74,13,15,8,,74
01/12/2015,PM2.5,56,9,23,13,12,56
01/13/2015,PM2.5,55,9,24,29,,55
01/14/2015,PM2.5,91,10,22,22,,91
01/15/2015,PM2.5,85,13,21,9,,85
01/16/2015,PM2.5,82,8,19,7,,82
01/17/2015,PM2.5,68,7,10,13,,68
01/18/2015,PM2.5,66,6,12,7,16,66
01/19/2015,PM2.5,59,9,18,10,,59
01/20/2015,PM2.5,69,10,24,15,,69
01/21/2015,PM2.5,72,11,21,13,,72
01/22/2015,PM2.5,80,10,16,12,,80
01/23/2015,PM2.5,83,14,22,9,,83
01/24/2015,PM2.5,93,14,19,13,29,93
01/25/2015,PM2.5,83,11,19,13,,83
01/26/2015,PM2.5,79,13,22,10,,79
01/27/2015,PM2.5,73,10,30,18,,73
01/28/2015,PM2.5,72,10,26,21,,72
01/29/2015,PM2.5,67,10,31,20,,67
01/30/2015,PM2.5,73,11,25,32,25,73
01/31/2015,PM2.5,50,10,29,35,,50
02/01/2015,PM2.5,77,9,24,19,,77
02/02/2015,PM2.5,77,9,28,23,,77
02/03/2015,PM2.5,63,10,24,20,,63
02/04/2015,PM2.5,74,,.,,.,74
02/05/2015,PM2.5,55,,24,27,17,55
02/06/2015,Ozone,26,6,13,26,,25
02/07/2015,PM2.5,42,6,16,30,,42
02/08/2015,Ozone,38,5,8,38,,37
02/09/2015,PM2.5,49,6,20,32,,49
02/10/2015,PM2.5,48,10,24,25,,48
02/11/2015,PM2.5,48,9,21,19,12,48
02/12/2015,PM2.5,47,10,25,23,,47
02/13/2015,PM2.5,53,8,25,29,,53
02/14/2015,PM2.5,54,8,25,29,,54
02/15/2015,PM2.5,58,8,23,30,,58
02/16/2015,PM2.5,52,8,14,32,,52
02/17/2015,PM2.5,54,5,7,28,9,54
02/18/2015,PM2.5,51,6,10,21,,51
02/19/2015,PM2.5,64,7,20,17,,64
02/20/2015,PM2.5,54,8,20,22,,54
02/21/2015,PM2.5,60,8,14,30,,60
02/22/2015,PM2.5,43,7,8,35,,43
02/23/2015,PM2.5,42,5,17,38,13,42
02/24/2015,PM2.5,50,8,25,33,,50
02/25/2015,PM2.5,43,7,17,31,,43
02/26/2015,PM2.5,43,7,13,27,,43
02/27/2015,Ozone,34,9,17,34,,27
02/28/2015,PM2.5,45,7,13,29,,45
03/01/2015,PM2.5,51,,15,29,11,51
03/02/2015,PM2.5,53,8,13,36,,53
03/03/2015,PM2.5,52,8,23,33,,52
03/04/2015,PM2.5,50,9,18,32,,50
03/05/2015,PM2.5,49,10,26,42,,49
03/06/2015,PM2.5,53,9,20,40,,53
03/07/2015,PM2.5,58,9,25,42,20,58
03/08/2015,PM2.5,56,10,15,36,,56
03/09/2015,PM2.5,53,7,12,27,,53
03/10/2015,PM2.5,56,7,12,27,,56
03/11/2015,PM2.5,52,7,13,35,,52
03/12/2015,PM2.5,38,9,18,33,,38
03/13/2015,Ozone,39,7,12,39,11,30
03/14/2015,PM2.5,48,8,29,47,,48
03/15/2015,PM2.5,41,8,12,40,,41
03/16/2015,PM2.5,34,6,16,23,,34
03/17/2015,Ozone,34,6,11,34,,33
03/18/2015,PM2.5,41,6,12,33,,41
03/19/2015,PM2.5,44,6,13,32,17,44
03/20/2015,PM2.5,46,6,12,37,,46
03/21/2015,PM2.5,39,7,15,37,,39
03/22/2015,Ozone,38,5,4,38,,30
03/23/2015,Ozone,42,6,16,42,,35
03/24/2015,Ozone,34,5,13,34,,33
03/25/2015,PM2.5,36,8,11,31,13,36
03/26/2015,Ozone,41,7,22,41,,37
03/27/2015,PM2.5,31,8,12,26,,31
03/28/2015,PM2.5,37,6,8,35,,37
03/29/2015,PM2.5,51,6,14,35,,51
03/30/2015,PM2.5,54,6,15,31,,54
03/31/2015,Ozone,45,7,19,45,18,35
04/01/2015,PM2.5,43,7,25,42,,43
04/02/2015,PM2.5,44,6,14,44,,44
04/03/2015,PM2.5,56,11,21,42,,56
04/04/2015,PM2.5,48,10,17,42,,48
04/05/2015,PM2.5,47,6,9,44,,47
04/06/2015,Ozone,44,18,19,44,7,35
04/07/2015,Ozone,43,6,10,43,,27
04/08/2015,Ozone,40,5,8,40,,28
04/09/2015,PM2.5,34,,.,,.,34
04/10/2015,Ozone,44,5,15,44,,36
04/11/2015,Ozone,36,3,13,36,,33
04/12/2015,Ozone,36,5,10,36,8,30
04/13/2015,Ozone,42,3,15,42,,38
04/14/2015,Ozone,45,3,9,45,,42
04/15/2015,Ozone,47,3,13,47,,34
04/16/2015,Ozone,51,3,13,51,,40
04/17/2015,PM2.5,50,5,16,47,,50
04/18/2015,PM2.5,54,5,8,44,14,54
04/19/2015,PM2.5,48,3,5,35,,48
04/20/2015,PM2.5,46,3,5,35,,46
04/21/2015,PM2.5,40,3,5,32,,40
04/22/2015,PM2.5,56,3,8,34,,56
04/23/2015,PM2.5,64,3,8,36,,64
04/24/2015,PM2.5,44,5,12,44,18,44
04/25/2015,Ozone,33,5,11,33,,31
04/26/2015,Ozone,39,5,12,39,,34
04/27/2015,PM2.5,37,6,11,33,,37
04/28/2015,PM2.5,42,5,10,25,,42
04/29/2015,PM2.5,58,6,14,34,,58
04/30/2015,PM2.5,55,6,14,50,,55
05/01/2015,PM2.5,62,6,18,50,,62
05/02/2015,PM2.5,62,5,4,44,,62
05/03/2015,PM2.5,49,5,5,40,,49
05/04/2015,PM2.5,50,5,6,37,,50
05/05/2015,PM2.5,56,5,14,36,,56
05/06/2015,PM2.5,53,5,12,37,,53
05/07/2015,PM2.5,51,5,14,44,,51
05/08/2015,PM2.5,64,6,15,41,24,64
05/09/2015,PM2.5,55,5,5,39,,55
05/10/2015,PM2.5,55,5,5,37,,55
05/11/2015,PM2.5,53,6,10,35,,53
05/12/2015,PM2.5,47,6,16,42,14,47
05/13/2015,PM2.5,42,5,,41,,42
05/14/2015,PM2.5,45,6,,45,,45
05/15/2015,PM2.5,48,6,,37,,48
05/16/2015,PM2.5,52,6,,37,,52
05/17/2015,PM2.5,39,5,,34,,39
05/18/2015,PM2.5,45,6,,33,10,45
05/19/2015,PM2.5,47,6,,32,,47
05/20/2015,PM2.5,45,6,,32,,45
05/21/2015,PM2.5,41,6,,35,,41
05/22/2015,PM2.5,46,7,13,33,,46
05/23/2015,PM2.5,56,3,4,34,,56
05/24/2015,PM2.5,55,3,2,35,12,55
05/25/2015,PM2.5,36,3,3,31,,36
05/26/2015,PM2.5,42,3,5,33,,42
05/27/2015,PM2.5,36,3,7,29,,36
05/28/2015,PM2.5,41,3,5,30,,41
05/29/2015,PM2.5,47,5,5,30,,47
05/30/2015,PM2.5,49,5,5,33,11,49
05/31/2015,PM2.5,50,3,2,38,,50
06/01/2015,PM2.5,33,5,6,31,,33
06/02/2015,PM2.5,38,5,10,29,,38
06/03/2015,PM2.5,49,5,10,30,,49
06/04/2015,PM2.5,55,5,8,32,,55
06/05/2015,PM2.5,57,5,11,32,,57
06/06/2015,PM2.5,44,5,4,31,19,44
06/07/2015,PM2.5,35,5,5,35,,35
06/08/2015,Ozone,74,5,8,74,,47
06/09/2015,PM2.5,41,5,8,36,,41
06/10/2015,PM2.5,41,6,11,30,,41
06/11/2015,PM2.5,52,5,8,45,11,52
06/12/2015,PM2.5,64,5,8,41,,64
06/13/2015,PM2.5,74,5,7,31,,74
06/14/2015,PM2.5,69,5,2,31,,69
06/15/2015,PM2.5,67,5,4,31,,67
06/16/2015,PM2.5,67,5,6,35,,67
06/17/2015,PM2.5,68,5,7,37,25,68
06/18/2015,PM2.5,60,6,9,34,,60
06/19/2015,PM2.5,54,5,11,31,,54
06/20/2015,PM2.5,55,5,7,34,,55
06/21/2015,PM2.5,53,5,2,33,,53
06/22/2015,PM2.5,52,5,9,32,,52
06/23/2015,PM2.5,62,5,10,34,21,62
06/24/2015,PM2.5,62,5,12,35,,62
06/25/2015,PM2.5,60,5,9,40,,60
06/26/2015,PM2.5,58,5,11,41,,58
06/27/2015,PM2.5,45,3,5,26,,45
06/28/2015,Ozone,27,3,3,27,,26
06/29/2015,PM2.5,38,3,6,33,12,38
06/30/2015,Ozone,44,5,10,44,,34
07/01/2015,Ozone,40,5,9,40,,23
07/02/2015,Ozone,24,3,7,24,,5
07/03/2015,Ozone,32,3,7,32,,2
07/04/2015,Ozone,29,3,3,29,,5
07/05/2015,Ozone,28,3,2,28,5,10
07/06/2015,Ozone,29,3,3,29,,8
07/07/2015,Ozone,25,5,9,25,,14
07/08/2015,Ozone,23,3,3,23,,13
07/09/2015,Ozone,27,3,4,27,,13
07/10/2015,Ozone,26,3,7,26,,8
07/11/2015,Ozone,27,5,6,27,7,2
07/12/2015,Ozone,25,3,5,25,,6
07/13/2015,Ozone,23,3,7,23,,3
07/14/2015,Ozone,24,3,7,24,,8
07/15/2015,Ozone,33,3,4,33,,28
07/16/2015,Ozone,29,3,5,29,,19
07/17/2015,Ozone,35,3,5,35,16,21
07/18/2015,Ozone,36,3,7,36,,16
07/19/2015,Ozone,31,3,5,31,,8
07/20/2015,Ozone,23,5,9,23,,11
07/21/2015,PM2.5,22,3,5,22,,22
07/22/2015,PM2.5,36,3,5,26,,36
07/23/2015,PM2.5,28,3,3,26,17,28
07/24/2015,Ozone,30,3,8,30,,16
07/25/2015,Ozone,24,3,8,24,,11
07/26/2015,Ozone,24,3,8,24,,17
07/27/2015,Ozone,39,5,8,39,,26
07/28/2015,Ozone,40,5,14,40,,30
07/29/2015,Ozone,36,6,12,36,20,25
07/30/2015,Ozone,33,5,8,33,,17
07/31/2015,Ozone,25,5,8,25,,11
08/01/2015,Ozone,31,3,7,31,,15
08/02/2015,Ozone,25,3,3,25,,8
08/03/2015,Ozone,27,3,4,27,,8
08/04/2015,Ozone,25,5,10,25,8,7
08/05/2015,Ozone,37,5,8,37,,15
08/06/2015,PM2.5,49,6,11,30,,49
08/07/2015,PM2.5,41,5,7,31,,41
08/08/2015,Ozone,28,5,7,28,,22
08/09/2015,Ozone,23,5,7,23,,8
08/10/2015,Ozone,22,5,8,22,14,0
08/11/2015,Ozone,24,3,3,24,,0
08/12/2015,Ozone,25,5,9,25,,3
08/13/2015,Ozone,28,5,6,28,,0
08/14/2015,Ozone,28,5,8,28,,2
08/15/2015,PM2.5,87,8,9,58,,87
08/16/2015,PM2.5,108,9,11,87,47,108
08/17/2015,PM2.5,85,7,13,54,,85
