Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,86,13,0,36,36,40,86
01/02/2015,PM2.5,87,11,1,42,31,38,87
01/03/2015,PM2.5,88,11,0,37,39,35,88
01/04/2015,PM2.5,104,13,0,45,31,41,104
01/05/2015,PM2.5,73,25,1,56,25,34,73
01/06/2015,PM2.5,55,25,3,49,24,29,55
01/07/2015,PM2.5,66,26,1,60,15,37,66
01/08/2015,PM2.5,66,18,1,44,29,33,66
01/09/2015,PM2.5,75,16,0,39,28,31,75
01/10/2015,PM2.5,88,10,0,37,20,33,88
01/11/2015,PM2.5,73,11,0,29,21,18,73
01/12/2015,PM2.5,73,11,0,30,27,22,73
01/13/2015,PM2.5,80,10,0,39,31,29,80
01/14/2015,PM2.5,57,14,0,42,28,24,57
01/15/2015,NO2,43,15,1,43,26,18,35
01/16/2015,PM2.5,54,17,1,44,28,27,54
01/17/2015,PM2.5,67,17,1,48,27,30,67
01/18/2015,PM2.5,88,17,1,53,31,38,88
01/19/2015,PM2.5,97,18,1,49,32,46,97
01/20/2015,PM2.5,144,13,0,42,43,53,144
01/21/2015,PM2.5,126,14,0,49,36,50,126
01/22/2015,NO2,50,18,1,50,23,28,48
01/23/2015,NO2,47,15,6,47,30,23,46
01/24/2015,PM2.5,88,14,0,37,37,36,88
01/25/2015,NO2,38,9,1,38,34,8,17
01/26/2015,NO2,32,9,0,32,30,14,31
01/27/2015,PM2.5,54,13,1,36,29,15,54
01/28/2015,PM2.5,54,18,1,42,19,23,54
01/29/2015,PM2.5,50,17,3,42,19,20,50
01/30/2015,PM2.5,49,15,1,36,24,15,49
01/31/2015,PM2.5,61,13,0,33,37,19,61
02/01/2015,PM2.5,67,16,0,35,35,26,67
02/02/2015,PM2.5,76,17,1,43,30,33,76
02/03/2015,PM2.5,99,16,0,47,31,36,99
02/04/2015,PM2.5,146,9,0,46,38,55,146
02/05/2015,PM2.5,142,15,1,68,44,55,142
02/06/2015,PM2.5,122,16,0,55,58,47,122
02/07/2015,PM2.5,105,17,1,43,31,36,105
02/08/2015,PM2.5,72,18,0,38,29,21,72
02/09/2015,PM2.5,50,13,0,32,27,14,50
02/10/2015,PM2.5,62,19,,50,31,36,62
02/11/2015,NO2,42,20,,42,40,30,38
02/12/2015,NO2,52,17,,52,41,19,20
02/13/2015,NO2,54,14,1,54,43,19,33
02/14/2015,NO2,48,11,0,48,46,20,36
02/15/2015,Ozone,67,14,0,43,67,20,55
02/16/2015,PM2.5,79,13,0,33,54,28,79
02/17/2015,PM2.5,71,5,0,41,49,26,71
02/18/2015,PM2.5,107,13,,47,47,45,107
02/19/2015,PM2.5,132,11,,42,47,51,132
02/20/2015,PM2.5,73,11,,35,44,24,73
02/21/2015,PM2.5,56,11,0,26,43,17,56
02/22/2015,PM2.5,39,10,0,24,39,6,39
02/23/2015,Ozone,41,10,0,32,41,9,33
02/24/2015,PM2.5,42,13,,37,35,19,42
02/25/2015,PM2.5,52,11,0,35,44,23,52
02/26/2015,PM2.5,55,11,0,32,44,24,55
02/27/2015,PM2.5,51,11,,32,44,19,51
02/28/2015,Ozone,40,11,0,25,40,6,17
03/01/2015,Ozone,39,10,0,19,39,4,25
03/02/2015,Ozone,39,10,0,29,39,2,20
03/03/2015,Ozone,37,11,,30,37,7,33
03/04/2015,PM2.5,45,14,0,44,41,17,45
03/05/2015,NO2,48,14,0,48,41,17,36
03/06/2015,NO2,53,15,1,53,46,20,33
03/07/2015,NO2,50,15,0,50,48,26,45
03/08/2015,PM2.5,56,14,0,36,54,22,56
03/09/2015,PM2.5,63,14,0,32,48,28,63
03/10/2015,PM2.5,95,17,0,60,54,45,95
03/11/2015,PM2.5,93,20,1,53,33,49,93
03/12/2015,PM2.5,53,18,1,47,47,25,53
03/13/2015,NO2,51,17,0,51,50,31,32
03/14/2015,Ozone,54,16,0,45,54,12,32
03/15/2015,Ozone,71,16,0,47,71,14,38
03/16/2015,Ozone,77,17,0,56,77,20,50
03/17/2015,Ozone,61,17,0,42,61,29,57
03/18/2015,PM2.5,54,14,0,23,42,22,54
03/19/2015,PM2.5,58,16,0,32,45,29,58
03/20/2015,PM2.5,73,16,0,38,54,36,73
03/21/2015,PM2.5,66,9,0,25,58,26,66
03/22/2015,PM2.5,58,8,0,22,45,19,58
03/23/2015,Ozone,42,8,0,27,42,15,40
03/24/2015,PM2.5,52,9,0,32,48,24,52
03/25/2015,Ozone,61,11,,44,61,29,56
03/26/2015,Ozone,54,13,1,54,54,31,48
03/27/2015,Ozone,67,13,0,46,67,30,55
03/28/2015,PM2.5,58,11,0,32,51,23,58
03/29/2015,PM2.5,60,11,0,22,44,25,60
03/30/2015,PM2.5,70,10,0,31,46,32,70
03/31/2015,PM2.5,70,10,0,27,44,24,70
04/01/2015,PM2.5,60,9,0,32,54,31,60
04/02/2015,Ozone,74,10,0,42,74,34,61
04/03/2015,Ozone,67,15,0,54,67,33,54
04/04/2015,Ozone,87,13,0,42,87,28,55
04/05/2015,PM2.5,55,10,0,21,54,22,55
04/06/2015,Ozone,48,9,0,31,48,12,25
04/07/2015,Ozone,48,10,0,34,48,9,30
04/08/2015,Ozone,46,10,1,32,46,11,40
04/09/2015,Ozone,51,13,0,34,51,16,42
04/10/2015,Ozone,71,11,0,37,71,15,46
04/11/2015,Ozone,74,11,0,29,74,15,52
04/12/2015,Ozone,74,13,0,22,74,16,50
04/13/2015,PM2.5,59,13,0,27,54,25,59
04/14/2015,PM2.5,64,13,0,31,64,29,64
04/15/2015,Ozone,84,11,0,46,84,56,61
04/16/2015,Ozone,80,13,0,47,80,39,37
04/17/2015,Ozone,67,14,0,46,67,40,54
04/18/2015,Ozone,87,14,0,35,87,36,59
04/19/2015,Ozone,87,14,0,22,87,33,72
04/20/2015,PM2.5,58,13,0,28,51,22,58
04/21/2015,PM2.5,51,13,0,31,50,18,51
04/22/2015,Ozone,44,13,,29,44,15,42
04/23/2015,PM2.5,44,13,,25,41,12,44
04/24/2015,Ozone,46,8,0,29,46,12,44
04/25/2015,PM2.5,64,8,0,25,41,13,64
04/26/2015,PM2.5,68,7,0,20,51,18,68
04/27/2015,Ozone,108,9,0,41,108,27,40
04/28/2015,Ozone,87,9,0,42,87,25,51
04/29/2015,Ozone,112,10,0,41,112,23,56
04/30/2015,Ozone,77,11,0,38,77,31,71
05/01/2015,PM2.5,71,11,1,41,51,35,71
05/02/2015,PM2.5,67,10,0,25,58,31,67
05/03/2015,PM2.5,57,8,0,18,51,21,57
05/04/2015,PM2.5,50,8,0,28,48,17,50
05/05/2015,Ozone,47,3,0,14,47,12,40
05/06/2015,Ozone,48,8,0,32,48,17,41
05/07/2015,Ozone,48,8,0,28,48,21,47
05/08/2015,Ozone,48,3,0,30,48,11,42
05/09/2015,PM2.5,53,10,0,27,44,20,53
05/10/2015,Ozone,80,10,0,31,80,32,63
05/11/2015,PM2.5,65,10,0,33,61,26,65
05/12/2015,PM2.5,56,3,0,27,48,26,56
05/13/2015,Ozone,58,10,0,31,58,21,53
05/14/2015,Ozone,44,9,0,30,44,8,32
05/15/2015,Ozone,58,10,0,36,58,6,35
05/16/2015,Ozone,44,10,0,23,44,13,38
05/17/2015,PM2.5,50,10,0,22,47,15,50
05/18/2015,Ozone,49,10,0,31,49,14,38
05/19/2015,Ozone,47,10,0,30,47,16,41
05/20/2015,Ozone,44,10,,29,44,15,42
05/21/2015,Ozone,46,10,0,34,46,11,34
05/22/2015,Ozone,41,13,0,33,41,6,30
05/23/2015,Ozone,44,13,0,24,44,6,30
05/24/2015,Ozone,47,11,0,20,47,15,43
05/25/2015,PM2.5,49,13,0,23,44,16,49
05/26/2015,PM2.5,45,13,0,35,45,13,45
05/27/2015,PM2.5,55,5,0,34,48,19,55
05/28/2015,PM2.5,58,13,0,31,51,22,58
05/29/2015,PM2.5,63,13,0,34,58,21,63
05/30/2015,Ozone,87,13,0,25,87,22,68
05/31/2015,Ozone,54,13,0,21,54,12,53
06/01/2015,Ozone,67,13,0,34,67,17,53
06/02/2015,PM2.5,38,13,0,22,35,10,38
06/03/2015,Ozone,41,6,0,23,41,10,35
06/04/2015,Ozone,42,7,0,25,42,16,39
06/05/2015,Ozone,41,7,0,28,41,19,35
06/06/2015,Ozone,49,8,0,26,49,13,44
06/07/2015,Ozone,87,8,0,24,87,13,49
06/08/2015,Ozone,108,9,0,39,108,21,60
06/09/2015,PM2.5,60,9,1,37,38,21,60
06/10/2015,PM2.5,45,8,0,25,41,7,45
06/11/2015,Ozone,37,8,0,25,37,7,27
06/12/2015,PM2.5,39,8,0,28,37,4,39
06/13/2015,Ozone,38,8,0,19,38,0,28
06/14/2015,Ozone,58,8,0,19,58,6,47
06/15/2015,Ozone,71,8,0,28,71,17,67
06/16/2015,Ozone,80,9,0,30,80,24,73
06/17/2015,Ozone,119,9,,30,119,26,79
06/18/2015,Ozone,112,10,,34,112,29,83
06/19/2015,Ozone,101,11,,41,101,26,69
06/20/2015,Ozone,80,11,,25,80,29,70
06/21/2015,PM2.5,66,9,,21,44,25,66
06/22/2015,PM2.5,64,10,,26,47,25,64
06/23/2015,PM2.5,62,9,,28,51,28,62
06/24/2015,PM2.5,67,9,,24,44,30,67
06/25/2015,PM2.5,70,10,,25,47,31,70
06/26/2015,PM2.5,82,10,,30,71,33,82
06/27/2015,PM2.5,56,10,,22,29,18,56
06/28/2015,Ozone,93,10,,19,93,19,58
06/29/2015,PM2.5,54,10,,25,41,23,54
06/30/2015,PM2.5,57,11,,37,42,21,57
07/01/2015,PM2.5,59,13,0,32,42,25,59
07/02/2015,PM2.5,53,13,0,26,44,18,53
07/03/2015,Ozone,43,11,0,17,43,12,39
07/04/2015,PM2.5,84,10,0,15,35,28,84
07/05/2015,Ozone,37,10,0,12,37,10,36
07/06/2015,PM2.5,38,10,0,25,36,9,38
07/07/2015,Ozone,42,5,0,25,42,9,34
07/08/2015,Ozone,37,10,0,8,37,12,34
07/09/2015,PM2.5,35,11,0,9,31,14,35
07/10/2015,Ozone,29,11,0,26,29,8,18
07/11/2015,Ozone,40,7,0,19,40,10,25
07/12/2015,Ozone,48,7,0,23,48,12,31
07/13/2015,Ozone,43,7,0,29,43,18,37
07/14/2015,PM2.5,43,7,0,22,33,17,43
07/15/2015,PM2.5,43,7,0,24,40,15,43
07/16/2015,PM2.5,50,8,0,27,48,19,50
07/17/2015,Ozone,64,8,0,33,64,24,56
07/18/2015,PM2.5,51,9,0,27,30,18,51
07/19/2015,PM2.5,38,9,0,20,34,8,38
07/20/2015,PM2.5,28,8,0,21,21,4,28
07/21/2015,Ozone,25,8,0,23,25,2,20
07/22/2015,Ozone,29,8,0,20,29,5,18
07/23/2015,PM2.5,32,9,0,21,30,11,32
07/24/2015,PM2.5,48,9,0,24,46,18,48
07/25/2015,PM2.5,51,10,0,25,45,19,51
07/26/2015,PM2.5,38,10,0,16,31,18,38
07/27/2015,PM2.5,39,8,0,20,37,18,39
07/28/2015,PM2.5,55,9,0,24,49,25,55
07/29/2015,Ozone,64,9,0,26,64,31,63
07/30/2015,PM2.5,63,10,1,30,50,28,63
07/31/2015,PM2.5,60,11,0,27,54,29,60
08/01/2015,PM2.5,56,5,0,11,50,23,56
08/02/2015,PM2.5,54,9,0,20,50,21,54
08/03/2015,PM2.5,58,10,0,25,51,26,58
08/04/2015,PM2.5,52,10,0,25,46,27,52
08/05/2015,Ozone,45,10,0,30,45,23,43
08/06/2015,PM2.5,46,10,0,23,37,22,46
08/07/2015,PM2.5,53,3,0,21,39,19,53
08/08/2015,PM2.5,52,10,0,23,47,19,52
08/09/2015,PM2.5,54,10,0,23,46,19,54
08/10/2015,PM2.5,50,10,0,26,43,19,50
08/11/2015,Ozone,54,10,0,25,54,19,51
08/12/2015,Ozone,67,11,1,36,67,23,50
08/13/2015,Ozone,71,13,0,32,71,25,49
08/14/2015,Ozone,87,13,1,38,87,26,49
08/15/2015,Ozone,100,13,0,25,100,26,54
08/16/2015,Ozone,108,13,0,26,108,31,63
08/17/2015,PM2.5,66,13,0,23,39,29,66
08/18/2015,PM2.5,63,11,0,19,40,24,63
08/19/2015,PM2.5,64,11,0,10,51,23,64
08/20/2015,PM2.5,61,13,0,8,51,24,61
08/21/2015,PM2.5,66,13,0,9,47,26,66
08/22/2015,Ozone,80,13,0,25,80,28,68
08/23/2015,Ozone,80,13,0,19,80,25,62
08/24/2015,Ozone,74,14,0,37,74,27,63
08/25/2015,PM2.5,66,15,0,43,44,29,66
08/26/2015,Ozone,74,14,0,35,74,31,73
08/27/2015,Ozone,77,15,0,38,77,25,63
08/28/2015,PM2.5,58,15,0,35,54,27,58
08/29/2015,PM2.5,54,15,0,26,54,24,54
08/30/2015,PM2.5,43,13,0,18,35,22,43
08/31/2015,PM2.5,49,13,0,21,37,25,49
09/01/2015,PM2.5,52,13,0,25,40,26,52
09/02/2015,PM2.5,51,13,0,25,46,18,51
09/03/2015,PM2.5,42,13,,25,42,15,42
09/04/2015,PM2.5,45,8,,28,45,14,45
09/05/2015,Ozone,64,8,0,25,64,20,55
09/06/2015,Ozone,67,9,0,33,67,24,61
09/07/2015,Ozone,61,9,0,33,61,20,56
09/08/2015,PM2.5,58,10,,42,44,27,58
09/09/2015,Ozone,67,14,,48,67,46,60
09/10/2015,PM2.5,59,9,,41,44,28,59
09/11/2015,PM2.5,54,10,1,40,49,23,54
09/12/2015,PM2.5,59,10,0,33,47,22,59
09/13/2015,PM2.5,48,9,0,22,43,13,48
09/14/2015,PM2.5,40,8,0,21,31,7,40
09/15/2015,Ozone,29,7,0,16,29,7,28
09/16/2015,PM2.5,38,8,0,27,34,8,38
09/17/2015,Ozone,47,10,0,36,47,17,43
09/18/2015,Ozone,115,13,1,42,115,30,59
09/19/2015,Ozone,156,13,3,40,156,28,65
09/20/2015,Ozone,151,10,1,33,151,20,61
09/21/2015,PM2.5,64,10,0,31,42,29,64
09/22/2015,PM2.5,66,9,0,26,46,25,66
09/23/2015,PM2.5,72,11,0,41,71,31,72
09/24/2015,Ozone,126,13,0,44,126,33,75
09/25/2015,Ozone,77,13,0,39,77,30,66
09/26/2015,Ozone,74,13,0,26,74,27,70
09/27/2015,PM2.5,64,11,0,30,54,22,64
09/28/2015,PM2.5,70,11,0,33,51,27,70
09/29/2015,PM2.5,62,10,1,33,45,28,62
09/30/2015,Ozone,84,13,1,47,84,31,66
10/01/2015,PM2.5,58,11,0,29,45,26,58
10/02/2015,PM2.5,51,11,0,29,44,19,51
10/03/2015,PM2.5,56,10,0,27,45,25,56
10/04/2015,Ozone,50,9,0,24,50,9,41
10/05/2015,Ozone,46,10,0,28,46,7,40
10/06/2015,Ozone,58,6,1,24,58,19,57
10/07/2015,PM2.5,62,11,0,34,51,27,62
10/08/2015,Ozone,93,16,0,47,93,38,85
10/09/2015,Ozone,93,17,1,54,93,34,68
10/10/2015,Ozone,71,16,0,40,71,20,43
10/11/2015,Ozone,77,14,0,40,77,19,49
10/12/2015,PM2.5,55,15,0,46,48,26,55
10/13/2015,PM2.5,56,15,0,33,31,16,56
10/14/2015,PM2.5,54,14,0,37,34,14,54
10/15/2015,PM2.5,43,11,0,23,29,16,43
10/16/2015,PM2.5,58,13,0,27,35,12,58
10/17/2015,PM2.5,54,13,0,24,41,13,54
10/18/2015,PM2.5,52,13,0,24,39,12,52
10/19/2015,PM2.5,44,5,0,25,40,13,44
10/20/2015,PM2.5,49,13,0,33,47,23,49
10/21/2015,PM2.5,55,14,0,34,47,26,55
10/22/2015,PM2.5,56,14,0,32,44,23,56
10/23/2015,PM2.5,72,15,0,43,47,34,72
10/24/2015,PM2.5,55,17,3,46,51,21,55
10/25/2015,PM2.5,58,16,0,38,46,20,58
10/26/2015,Ozone,105,16,1,54,105,31,66
10/27/2015,PM2.5,65,17,1,46,61,38,65
10/28/2015,PM2.5,66,17,1,46,49,32,66
10/29/2015,PM2.5,54,15,0,38,44,30,54
10/30/2015,NO2,46,16,0,46,45,44,36
10/31/2015,PM2.5,54,17,0,41,49,30,54
11/01/2015,Ozone,84,15,0,34,84,23,59
11/02/2015,PM2.5,48,15,0,34,41,20,48
11/03/2015,Ozone,40,14,0,35,40,11,33
11/04/2015,PM2.5,52,11,0,34,39,17,52
11/05/2015,Ozone,45,9,1,42,45,19,42
11/06/2015,NO2,47,10,1,47,40,26,35
11/07/2015,Ozone,44,10,0,42,44,18,25
11/08/2015,Ozone,48,11,0,35,48,20,41
11/09/2015,Ozone,41,9,0,33,41,19,38
11/10/2015,Ozone,42,9,0,42,42,18,29
11/11/2015,NO2,46,9,1,46,38,24,41
11/12/2015,NO2,58,17,1,58,38,31,41
11/13/2015,PM2.5,58,20,1,55,32,37,58
11/14/2015,PM2.5,55,16,0,45,43,39,55
11/15/2015,Ozone,48,13,0,42,48,23,40
11/16/2015,NO2,46,9,0,46,36,31,19
11/17/2015,NO2,48,11,1,48,36,35,43
11/18/2015,PM2.5,58,11,1,52,32,39,58
11/19/2015,NO2,65,19,1,65,39,40,64
11/20/2015,NO2,65,19,1,65,34,41,61
11/21/2015,NO2,50,16,0,50,41,,21
11/22/2015,NO2,49,13,0,49,44,14,26
11/23/2015,NO2,49,13,1,49,43,22,38
11/24/2015,PM2.5,49,11,1,47,42,23,49
11/25/2015,Ozone,41,10,0,39,41,13,33
11/26/2015,PM2.5,40,10,0,28,37,14,40
11/27/2015,NO2,36,9,0,36,35,10,35
11/28/2015,Ozone,40,9,0,31,40,13,30
11/29/2015,NO2,42,10,0,42,41,12,37
11/30/2015,NO2,50,13,1,50,32,22,44
12/01/2015,PM2.5,64,15,1,52,29,40,64
12/02/2015,NO2,57,18,1,57,29,32,49
12/03/2015,NO2,49,18,3,49,29,27,45
12/04/2015,PM2.5,59,17,0,41,28,35,59
12/05/2015,PM2.5,62,22,0,50,31,36,62
12/06/2015,NO2,50,20,0,50,31,19,33
12/07/2015,PM2.5,67,26,4,58,27,47,67
12/08/2015,PM2.5,70,26,1,60,26,52,70
12/09/2015,PM2.5,75,22,1,57,32,47,75
12/10/2015,PM2.5,68,20,0,38,38,24,68
12/11/2015,NO2,41,11,0,41,40,20,26
12/12/2015,PM2.5,43,14,1,37,34,21,43
12/13/2015,PM2.5,40,14,0,31,39,17,40
12/14/2015,Ozone,36,10,0,36,36,13,21
12/15/2015,PM2.5,43,14,1,42,31,19,43
12/16/2015,NO2,39,14,0,39,29,18,32
12/17/2015,PM2.5,58,18,0,44,29,31,58
12/18/2015,PM2.5,57,22,1,45,26,34,57
12/19/2015,PM2.5,51,23,0,37,37,23,51
12/20/2015,PM2.5,55,15,0,34,33,17,55
12/21/2015,PM2.5,55,15,1,37,32,20,55
12/22/2015,PM2.5,37,15,0,31,31,11,37
12/23/2015,PM2.5,51,18,0,38,30,20,51
12/24/2015,PM2.5,62,18,0,28,37,25,62
12/25/2015,Ozone,39,13,0,29,39,9,30
12/26/2015,PM10,43,10,0,34,38,43,26
12/27/2015,NO2,37,15,1,37,35,19,35
12/28/2015,PM2.5,56,16,0,36,33,24,56
12/29/2015,PM2.5,61,17,1,40,32,26,61
12/30/2015,PM2.5,60,16,1,42,34,24,60
12/31/2015,NO2,38,16,1,38,34,20,35
