Date,Main Pollutant,Overall AQI Value,PM25
01/03/2015,PM2.5,138,138
01/06/2015,PM2.5,151,151
01/09/2015,PM2.5,84,84
01/12/2015,PM2.5,131,131
01/15/2015,PM2.5,143,143
01/18/2015,PM2.5,69,69
01/24/2015,PM2.5,65,65
01/27/2015,PM2.5,128,128
01/30/2015,PM2.5,80,80
01/31/2015,PM2.5,67,67
02/02/2015,PM2.5,132,132
02/03/2015,PM2.5,39,39
02/05/2015,PM2.5,54,54
02/08/2015,PM2.5,84,84
02/11/2015,PM2.5,84,84
02/13/2015,PM2.5,44,44
02/14/2015,PM2.5,94,94
02/15/2015,PM2.5,51,51
02/17/2015,PM2.5,77,77
02/20/2015,PM2.5,93,93
02/23/2015,PM2.5,59,59
02/26/2015,PM2.5,107,107
03/01/2015,PM2.5,87,87
03/04/2015,PM2.5,50,50
03/07/2015,PM2.5,99,99
03/10/2015,PM2.5,89,89
03/11/2015,PM2.5,65,65
03/12/2015,PM2.5,58,58
03/13/2015,PM2.5,52,52
03/14/2015,PM2.5,47,47
03/16/2015,PM2.5,55,55
03/19/2015,PM2.5,55,55
03/25/2015,PM2.5,60,60
03/28/2015,PM2.5,48,48
03/31/2015,PM2.5,38,38
04/02/2015,PM2.5,57,57
04/03/2015,PM2.5,60,60
04/06/2015,PM2.5,56,56
04/09/2015,PM2.5,59,59
04/12/2015,PM2.5,58,58
04/15/2015,PM2.5,28,28
04/18/2015,PM2.5,39,39
04/21/2015,PM2.5,62,62
04/24/2015,PM2.5,18,18
04/27/2015,PM2.5,19,19
04/30/2015,PM2.5,35,35
05/03/2015,PM2.5,24,24
05/06/2015,PM2.5,46,46
05/09/2015,PM2.5,33,33
05/12/2015,PM2.5,56,56
05/15/2015,PM2.5,35,35
05/18/2015,PM2.5,39,39
05/21/2015,PM2.5,44,44
05/27/2015,PM2.5,19,19
05/30/2015,PM2.5,20,20
06/02/2015,PM2.5,22,22
06/05/2015,PM2.5,18,18
06/08/2015,PM2.5,20,20
06/11/2015,PM2.5,25,25
06/14/2015,PM2.5,19,19
06/17/2015,PM2.5,20,20
06/20/2015,PM2.5,18,18
06/23/2015,PM2.5,13,13
06/26/2015,PM2.5,28,28
06/29/2015,PM2.5,24,24
07/02/2015,PM2.5,28,28
07/05/2015,PM2.5,17,17
07/08/2015,PM2.5,13,13
07/11/2015,PM2.5,20,20
07/14/2015,PM2.5,14,14
07/17/2015,PM2.5,26,26
07/20/2015,PM2.5,21,21
07/23/2015,PM2.5,14,14
07/26/2015,PM2.5,43,43
07/29/2015,PM2.5,19,19
08/01/2015,PM2.5,25,25
08/04/2015,PM2.5,34,34
08/07/2015,PM2.5,15,15
08/10/2015,PM2.5,36,36
08/13/2015,PM2.5,19,19
08/16/2015,PM2.5,14,14
08/19/2015,PM2.5,37,37
08/22/2015,PM2.5,54,54
08/25/2015,PM2.5,15,15
08/28/2015,PM2.5,15,15
08/31/2015,PM2.5,18,18
09/03/2015,PM2.5,15,15
09/06/2015,PM2.5,18,18
09/09/2015,PM2.5,36,36
09/12/2015,PM2.5,54,54
09/15/2015,PM2.5,21,21
09/18/2015,PM2.5,16,16
09/21/2015,PM2.5,26,26
09/24/2015,PM2.5,14,14
09/27/2015,PM2.5,24,24
10/01/2015,PM2.5,20,20
10/03/2015,PM2.5,22,22
10/06/2015,PM2.5,30,30
10/09/2015,PM2.5,28,28
10/12/2015,PM2.5,23,23
10/15/2015,PM2.5,42,42
10/18/2015,PM2.5,18,18
10/21/2015,PM2.5,48,48
10/24/2015,PM2.5,50,50
10/27/2015,PM2.5,98,98
10/30/2015,PM2.5,85,85
10/31/2015,PM2.5,55,55
11/02/2015,PM2.5,84,84
11/04/2015,PM2.5,76,76
11/05/2015,PM2.5,117,117
11/06/2015,PM2.5,63,63
11/08/2015,PM2.5,93,93
11/09/2015,PM2.5,48,48
11/14/2015,PM2.5,75,75
11/17/2015,PM2.5,152,152
11/20/2015,PM2.5,76,76
11/21/2015,PM2.5,65,65
11/23/2015,PM2.5,153,153
11/26/2015,PM2.5,40,40
11/29/2015,PM2.5,82,82
12/02/2015,PM2.5,134,134
12/05/2015,PM2.5,102,102
12/08/2015,PM2.5,157,157
12/11/2015,PM2.5,76,76
12/14/2015,PM2.5,119,119
12/16/2015,PM2.5,79,79
12/17/2015,PM2.5,88,88
12/18/2015,PM2.5,71,71
12/20/2015,PM2.5,57,57
12/23/2015,PM2.5,58,58
12/26/2015,PM2.5,87,87
12/29/2015,PM2.5,83,83
