Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,82,17,3,42,40,39,82
01/02/2015,PM2.5,87,16,4,51,37,39,87
01/03/2015,PM2.5,112,17,4,42,37,73,112
01/04/2015,PM2.5,92,20,3,45,36,33,92
01/05/2015,PM2.5,51,11,4,46,39,31,51
01/06/2015,PM2.5,66,11,4,46,35,26,66
01/07/2015,PM2.5,51,13,6,45,32,26,51
01/08/2015,PM2.5,57,14,3,48,34,36,57
01/09/2015,PM2.5,106,19,3,60,41,49,106
01/10/2015,PM2.5,125,20,3,42,50,33,125
01/11/2015,PM2.5,103,15,1,33,41,24,103
01/12/2015,PM2.5,83,15,3,41,34,25,83
01/13/2015,PM2.5,89,16,1,38,39,33,89
01/14/2015,NO2,44,14,3,44,35,17,34
01/15/2015,NO2,49,15,6,49,35,20,42
01/16/2015,NO2,50,18,3,50,38,24,43
01/17/2015,PM2.5,45,18,1,43,40,19,45
01/18/2015,PM2.5,70,18,1,45,39,30,70
01/19/2015,PM2.5,89,22,3,74,39,42,89
01/20/2015,PM2.5,134,24,3,68,40,58,134
01/21/2015,PM2.5,100,20,3,42,43,44,100
01/22/2015,NO2,48,16,3,48,39,24,11
01/23/2015,NO2,42,18,3,42,40,19,15
01/24/2015,Ozone,42,14,1,35,42,26,24
01/25/2015,PM2.5,57,16,1,35,42,19,57
01/26/2015,PM2.5,56,19,1,47,33,22,56
01/27/2015,PM2.5,62,20,1,42,32,14,62
01/28/2015,PM2.5,62,20,1,36,38,16,62
01/29/2015,PM2.5,42,7,1,35,33,13,42
01/30/2015,PM2.5,44,6,1,42,32,11,44
01/31/2015,PM2.5,56,23,1,34,33,18,56
02/01/2015,PM2.5,48,22,3,40,38,18,48
02/02/2015,NO2,68,27,3,68,43,24,53
02/03/2015,PM2.5,87,27,3,69,38,42,87
02/04/2015,PM2.5,143,30,3,88,48,55,143
02/05/2015,PM2.5,132,30,1,83,44,53,132
02/06/2015,PM2.5,95,15,3,69,44,60,95
02/07/2015,PM2.5,87,10,1,42,37,30,87
02/08/2015,PM2.5,55,7,1,27,38,18,55
02/09/2015,Ozone,54,9,1,38,54,21,53
02/10/2015,PM2.5,52,10,3,44,44,22,52
02/11/2015,Ozone,46,10,1,35,46,18,40
02/12/2015,Ozone,46,13,43,44,46,20,30
02/13/2015,NO2,50,11,43,50,45,26,38
02/14/2015,PM2.5,145,11,59,43,48,41,145
02/15/2015,SO2,100,22,100,61,97,32,57
02/16/2015,PM2.5,71,13,44,51,71,33,71
