Date,Main Pollutant,Overall AQI Value,SO2,NO2,Ozone,CO,PM10,PM25
01/01/2015,PM2.5,155,0,35,41,,.,155
01/02/2015,PM2.5,81,0,42,44,15,,81
01/03/2015,PM2.5,87,0,41,45,14,25,87
01/04/2015,PM2.5,102,0,43,41,15,,102
01/05/2015,PM2.5,60,0,56,39,18,,60
01/06/2015,NO2,43,0,43,39,22,26,39
01/07/2015,NO2,60,0,60,38,20,,48
01/08/2015,PM2.5,55,0,40,33,19,,55
01/09/2015,PM2.5,64,0,45,32,13,38,64
01/10/2015,PM2.5,64,0,37,40,14,,64
01/11/2015,PM2.5,43,0,27,26,9,,43
01/12/2015,PM2.5,51,0,23,32,10,16,51
01/13/2015,PM2.5,54,0,33,38,9,14,54
01/14/2015,PM2.5,40,0,39,35,11,,40
01/15/2015,NO2,41,0,41,37,16,18,40
01/16/2015,PM2.5,42,1,38,36,18,,42
01/17/2015,PM2.5,58,0,36,40,18,,58
01/18/2015,PM2.5,67,0,43,47,14,29,67
01/19/2015,PM2.5,61,0,40,43,16,,61
01/20/2015,PM2.5,81,0,30,43,10,,81
01/21/2015,PM2.5,94,0,36,49,9,38,94
01/22/2015,PM2.5,52,0,39,40,18,,52
01/23/2015,NO2,43,0,43,41,17,,38
01/24/2015,PM2.5,82,0,39,41,13,35,82
01/25/2015,PM2.5,47,0,47,40,14,,47
01/26/2015,NO2,48,0,48,39,11,,37
01/27/2015,PM2.5,37,1,34,33,13,11,37
01/28/2015,PM2.5,59,0,39,36,13,,59
01/29/2015,PM2.5,61,0,39,36,10,,61
01/30/2015,PM2.5,57,0,27,28,10,26,57
01/31/2015,PM2.5,63,0,28,37,10,,63
02/01/2015,PM2.5,63,0,37,41,11,,63
02/02/2015,PM2.5,52,0,38,41,15,17,52
02/03/2015,PM2.5,79,0,33,45,9,,79
02/04/2015,PM2.5,110,0,42,45,10,,110
02/05/2015,PM2.5,129,0,42,108,8,49,129
02/06/2015,PM2.5,131,0,58,67,14,,131
02/07/2015,PM2.5,81,0,33,44,9,,81
02/08/2015,PM2.5,71,0,30,36,7,14,71
02/09/2015,PM2.5,63,0,31,36,6,,63
02/10/2015,PM2.5,67,0,44,46,10,,67
02/11/2015,NO2,55,0,55,42,15,34,49
02/12/2015,PM2.5,83,0,47,44,14,,83
02/13/2015,PM2.5,55,0,50,46,13,,55
02/14/2015,PM2.5,53,0,42,48,9,,53
02/15/2015,Ozone,74,0,39,74,11,,58
02/16/2015,PM2.5,83,0,33,71,8,,83
02/17/2015,PM2.5,80,0,30,48,6,32,80
02/18/2015,PM2.5,79,0,33,61,7,,79
02/19/2015,PM2.5,102,0,31,61,8,,102
02/20/2015,PM2.5,94,0,27,45,6,36,94
02/21/2015,PM2.5,56,0,13,43,5,,56
02/22/2015,Ozone,42,0,20,42,2,,32
02/23/2015,PM2.5,42,0,33,42,5,18,42
02/24/2015,PM2.5,51,0,37,37,7,17,51
02/25/2015,PM2.5,58,0,35,45,10,,58
02/26/2015,PM2.5,66,0,33,51,9,25,66
02/27/2015,PM2.5,58,,27,46,6,,58
02/28/2015,Ozone,41,0,13,41,3,,24
03/01/2015,Ozone,41,0,17,41,5,6,28
03/02/2015,Ozone,39,,28,39,7,,29
03/03/2015,Ozone,42,,31,42,10,5,32
03/04/2015,PM2.5,56,0,36,45,9,12,56
03/05/2015,PM2.5,78,0,41,46,11,,78
03/06/2015,PM2.5,77,0,46,47,10,,77
03/07/2015,PM10,65,0,50,54,10,65,55
03/08/2015,Ozone,71,0,40,71,15,,61
03/09/2015,PM2.5,64,0,28,48,8,,64
03/10/2015,PM2.5,96,0,42,90,11,24,96
03/11/2015,PM2.5,88,0,46,67,11,,88
03/12/2015,PM2.5,84,0,48,71,9,,84
03/13/2015,PM2.5,71,0,46,50,13,39,71
03/14/2015,Ozone,67,0,43,67,10,,50
03/15/2015,Ozone,90,0,42,90,10,,47
03/16/2015,Ozone,77,0,48,77,11,20,55
03/17/2015,Ozone,84,0,41,84,13,,62
03/18/2015,PM2.5,62,0,32,54,5,,62
03/19/2015,PM2.5,55,0,18,51,5,31,55
03/20/2015,Ozone,80,0,25,80,7,,63
03/21/2015,Ozone,105,0,16,105,6,,85
03/22/2015,Ozone,61,0,13,61,5,15,54
03/23/2015,Ozone,47,0,26,47,7,,41
03/24/2015,PM2.5,58,0,26,58,6,,58
03/25/2015,Ozone,93,0,35,93,5,52,66
03/26/2015,Ozone,80,0,52,80,11,,58
03/27/2015,Ozone,97,0,42,97,10,,66
03/28/2015,Ozone,90,0,25,90,7,19,61
03/29/2015,Ozone,80,0,20,80,7,,62
03/30/2015,Ozone,77,0,26,77,8,,66
03/31/2015,Ozone,67,0,24,67,6,37,66
04/01/2015,Ozone,77,,24,77,3,,71
04/02/2015,Ozone,77,0,30,77,5,,68
04/03/2015,Ozone,84,0,48,84,8,28,71
04/04/2015,Ozone,105,0,41,105,9,,65
04/05/2015,Ozone,67,0,20,67,6,,57
04/06/2015,Ozone,61,0,28,61,5,19,36
04/07/2015,Ozone,61,,36,61,6,,51
04/08/2015,Ozone,64,0,29,64,6,,29
04/09/2015,Ozone,74,0,34,74,6,20,43
04/10/2015,Ozone,80,0,32,80,6,,42
04/11/2015,Ozone,108,0,31,108,6,,52
04/12/2015,Ozone,108,0,23,108,5,26,57
04/13/2015,Ozone,97,0,23,97,6,22,57
04/14/2015,Ozone,87,0,25,87,3,,55
04/15/2015,Ozone,115,0,38,115,6,38,68
04/16/2015,Ozone,97,0,48,97,7,,52
04/17/2015,Ozone,115,0,49,115,9,,62
04/18/2015,Ozone,133,0,35,133,7,42,67
04/19/2015,Ozone,119,0,25,119,6,,63
04/20/2015,Ozone,93,0,23,93,5,,55
04/21/2015,Ozone,67,0,29,67,3,,43
04/22/2015,Ozone,61,0,32,61,5,,44
04/23/2015,Ozone,48,0,32,48,5,,39
04/24/2015,Ozone,42,0,27,42,5,13,31
04/25/2015,Ozone,44,0,21,44,6,,34
04/26/2015,PM2.5,54,0,28,54,6,,54
04/27/2015,Ozone,115,0,38,115,9,19,56
04/28/2015,Ozone,93,0,47,93,9,,59
04/29/2015,Ozone,100,0,39,100,9,,66
04/30/2015,Ozone,97,0,40,97,8,57,75
05/01/2015,PM2.5,73,0,42,71,9,,73
05/02/2015,Ozone,67,0,25,67,7,,62
05/03/2015,PM2.5,56,0,14,54,6,24,56
05/04/2015,PM2.5,48,0,24,46,6,,48
05/05/2015,Ozone,51,0,24,51,6,,30
05/06/2015,Ozone,51,0,22,51,6,17,33
05/07/2015,Ozone,46,0,25,46,6,,40
05/08/2015,Ozone,44,0,27,44,7,,40
05/09/2015,PM2.5,46,0,16,43,7,16,46
05/10/2015,Ozone,71,0,16,71,7,,50
05/11/2015,Ozone,87,0,21,87,8,,61
05/12/2015,PM2.5,61,0,25,61,7,28,61
05/13/2015,PM2.5,52,0,22,51,7,,52
05/14/2015,Ozone,47,0,23,47,6,,35
05/15/2015,Ozone,54,0,24,54,5,6,25
05/16/2015,Ozone,48,0,24,48,6,15,38
05/17/2015,Ozone,58,0,14,58,6,,41
05/18/2015,Ozone,58,0,18,58,2,19,33
05/19/2015,Ozone,51,0,25,51,2,,32
05/20/2015,Ozone,49,0,20,49,6,,32
05/21/2015,Ozone,44,0,25,44,6,15,27
05/22/2015,Ozone,42,0,16,42,6,,25
05/23/2015,Ozone,44,0,15,44,6,,21
05/24/2015,Ozone,51,0,12,51,6,16,42
05/25/2015,Ozone,43,0,16,43,7,,35
05/26/2015,Ozone,44,0,24,44,7,,28
05/27/2015,Ozone,47,0,24,47,6,9,28
05/28/2015,Ozone,67,0,21,67,7,12,43
05/29/2015,Ozone,90,0,25,90,7,,59
05/30/2015,Ozone,105,0,15,105,8,20,68
05/31/2015,Ozone,105,0,12,105,7,,65
06/01/2015,Ozone,61,0,22,61,7,,49
06/02/2015,Ozone,44,0,23,44,7,17,43
06/03/2015,Ozone,46,0,17,46,7,,41
06/04/2015,Ozone,44,0,21,44,7,,40
06/05/2015,Ozone,50,0,19,50,7,19,40
06/06/2015,Ozone,64,0,20,64,7,,33
06/07/2015,Ozone,90,0,10,90,8,,46
06/08/2015,Ozone,87,0,26,87,9,21,58
06/09/2015,PM2.5,57,0,28,49,9,,57
06/10/2015,PM2.5,50,0,23,50,7,,50
06/11/2015,Ozone,44,,11,44,6,13,33
06/12/2015,Ozone,44,0,24,44,6,,43
06/13/2015,Ozone,45,0,20,45,6,,28
06/14/2015,Ozone,51,0,8,51,6,8,33
06/15/2015,Ozone,51,0,17,51,3,,48
06/16/2015,Ozone,126,0,25,126,7,,63
06/17/2015,Ozone,122,,22,122,6,41,73
06/18/2015,Ozone,140,0,25,140,7,,63
06/19/2015,Ozone,147,0,33,147,10,,67
06/20/2015,Ozone,129,0,19,129,7,32,73
06/21/2015,Ozone,90,0,14,90,6,,61
06/22/2015,Ozone,101,0,29,101,8,,59
06/23/2015,Ozone,108,0,28,108,7,43,59
06/24/2015,Ozone,74,0,25,74,3,27,61
06/25/2015,Ozone,100,0,22,100,7,,57
06/26/2015,Ozone,90,0,19,90,6,28,57
06/27/2015,PM2.5,49,0,16,47,7,,49
06/28/2015,Ozone,54,0,16,54,6,,45
06/29/2015,Ozone,50,0,22,50,7,38,46
06/30/2015,Ozone,74,0,34,74,8,,58
07/01/2015,PM2.5,63,0,25,48,8,20,63
07/02/2015,Ozone,67,0,19,67,7,19,60
07/03/2015,Ozone,49,0,15,49,7,,41
07/04/2015,Ozone,44,0,13,44,5,,34
07/05/2015,Ozone,38,0,8,38,6,14,25
07/06/2015,Ozone,40,0,15,40,6,,24
07/07/2015,Ozone,49,0,10,49,6,,32
07/08/2015,PM2.5,44,0,28,37,5,17,44
07/09/2015,Ozone,34,0,12,34,5,,30
07/10/2015,Ozone,32,0,18,32,5,,27
07/11/2015,Ozone,39,0,17,39,5,20,18
07/12/2015,Ozone,47,0,19,47,6,9,25
07/13/2015,Ozone,54,0,24,54,7,,40
07/14/2015,Ozone,48,0,18,48,6,26,44
07/15/2015,Ozone,71,,19,71,6,,54
07/16/2015,Ozone,77,0,19,77,6,,49
07/17/2015,Ozone,87,0,22,87,7,41,46
07/18/2015,PM2.5,45,0,25,32,8,,45
07/19/2015,PM2.5,40,0,22,32,9,,40
07/20/2015,Ozone,37,0,14,37,7,10,25
07/21/2015,Ozone,38,0,10,38,6,,10
07/22/2015,Ozone,40,0,15,40,5,,18
07/23/2015,Ozone,39,,13,39,6,16,25
07/24/2015,Ozone,44,0,14,44,6,,38
07/25/2015,Ozone,47,0,20,47,7,,44
07/26/2015,PM2.5,47,0,17,43,6,14,47
07/27/2015,Ozone,47,,22,47,6,,40
07/28/2015,Ozone,71,0,25,71,7,6,46
07/29/2015,Ozone,93,0,21,93,5,31,54
07/30/2015,Ozone,87,0,19,87,6,,51
07/31/2015,Ozone,64,0,12,64,7,,51
08/01/2015,Ozone,54,0,10,54,6,22,50
08/02/2015,PM2.5,53,0,12,50,6,,53
08/03/2015,Ozone,67,0,28,67,6,,54
08/04/2015,Ozone,80,,25,80,6,44,56
08/05/2015,Ozone,54,0,18,54,7,,53
08/06/2015,Ozone,64,0,29,64,6,,49
08/07/2015,Ozone,71,0,27,71,6,28,58
08/08/2015,Ozone,51,0,18,51,6,,48
08/09/2015,PM2.5,49,0,14,45,6,,49
08/10/2015,Ozone,49,0,23,49,6,28,46
08/11/2015,Ozone,58,,21,58,6,,40
08/12/2015,Ozone,115,0,29,115,7,,40
08/13/2015,Ozone,129,0,28,129,7,25,53
08/14/2015,Ozone,115,0,33,115,9,,61
08/15/2015,Ozone,71,0,26,71,9,,58
08/16/2015,Ozone,90,0,25,90,8,33,68
08/17/2015,PM2.5,67,0,25,48,9,,67
08/18/2015,Ozone,64,0,16,64,7,48,63
08/19/2015,Ozone,77,0,23,77,7,25,63
08/20/2015,Ozone,105,0,26,105,7,,62
08/21/2015,Ozone,84,0,10,84,3,,68
08/22/2015,Ozone,101,0,15,101,8,33,73
08/23/2015,Ozone,80,0,23,80,8,,63
08/24/2015,Ozone,115,0,22,115,9,,62
08/25/2015,PM2.5,71,0,35,46,10,33,71
08/26/2015,Ozone,90,0,24,90,10,,78
08/27/2015,Ozone,74,0,26,74,11,,67
08/28/2015,Ozone,119,0,35,119,10,59,65
08/29/2015,PM2.5,59,0,29,51,9,,59
08/30/2015,PM2.5,43,0,14,40,8,,43
08/31/2015,PM2.5,55,0,19,51,8,34,55
09/01/2015,PM2.5,57,0,18,54,7,19,57
09/02/2015,Ozone,74,0,23,74,6,,54
09/03/2015,Ozone,51,0,16,51,6,35,41
09/04/2015,Ozone,58,0,24,58,6,,39
09/05/2015,Ozone,64,0,18,64,7,,50
09/06/2015,Ozone,61,0,15,61,7,19,57
09/07/2015,PM2.5,58,0,22,54,8,,58
