Date,Main Pollutant,Overall AQI Value,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,75,1,25,38,31,75
01/02/2015,PM2.5,62,1,25,37,29,62
01/03/2015,PM2.5,62,1,26,35,25,62
01/04/2015,PM2.5,69,1,25,37,28,69
01/05/2015,PM2.5,68,4,28,40,31,68
01/06/2015,PM2.5,55,1,28,41,29,55
01/07/2015,Ozone,43,3,29,43,28,36
01/08/2015,PM2.5,38,3,23,38,28,38
01/09/2015,PM2.5,44,1,26,34,24,44
01/10/2015,PM2.5,43,1,20,37,23,43
01/11/2015,PM2.5,60,1,19,36,22,60
01/12/2015,PM2.5,75,1,18,35,31,75
01/13/2015,PM2.5,87,1,21,34,35,87
01/14/2015,PM2.5,62,4,28,36,27,62
01/15/2015,PM2.5,53,1,25,40,28,53
01/16/2015,PM2.5,46,3,25,38,41,46
01/17/2015,PM2.5,39,1,22,35,19,39
01/18/2015,PM2.5,43,1,17,31,23,43
01/19/2015,PM2.5,55,3,12,25,54,55
01/20/2015,PM2.5,39,1,11,30,33,39
01/21/2015,PM2.5,46,1,15,28,23,46
01/22/2015,PM2.5,50,1,23,30,29,50
01/23/2015,PM2.5,58,3,18,34,31,58
01/24/2015,PM2.5,57,3,24,40,34,57
01/25/2015,PM2.5,41,3,27,39,30,41
01/26/2015,PM2.5,43,3,22,38,41,43
01/27/2015,Ozone,35,1,21,35,15,30
01/28/2015,PM2.5,51,1,10,33,19,51
01/29/2015,PM2.5,57,6,22,33,29,57
01/30/2015,PM2.5,66,4,18,38,54,66
01/31/2015,PM2.5,58,1,20,36,22,58
02/01/2015,PM2.5,56,4,22,39,22,56
02/02/2015,PM2.5,54,3,24,42,27,54
02/03/2015,PM2.5,63,3,28,44,31,63
02/04/2015,PM2.5,61,3,17,38,23,61
02/05/2015,PM2.5,48,3,21,36,19,48
02/06/2015,PM2.5,38,3,22,38,20,38
02/07/2015,Ozone,26,3,8,26,8,24
02/08/2015,Ozone,31,3,8,31,9,22
02/09/2015,PM2.5,50,3,16,36,41,50
02/10/2015,Ozone,37,0,8,37,13,29
02/11/2015,PM2.5,46,0,17,39,27,46
02/12/2015,Ozone,46,1,25,46,27,39
02/13/2015,PM2.5,52,0,29,48,37,52
02/14/2015,PM2.5,57,0,27,51,52,57
02/15/2015,PM2.5,52,0,23,50,24,52
02/16/2015,PM2.5,57,0,11,51,19,57
02/17/2015,PM2.5,49,0,13,44,17,49
