Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM25
01/01/2015,PM2.5,56,7,32,28,56
01/02/2015,PM2.5,58,11,31,18,58
01/03/2015,PM2.5,72,11,30,19,72
01/04/2015,PM2.5,78,11,31,19,78
01/05/2015,PM2.5,70,13,41,13,70
01/06/2015,PM2.5,74,16,42,13,74
01/07/2015,PM2.5,64,18,38,8,64
01/08/2015,PM2.5,70,16,34,3,70
01/09/2015,PM2.5,72,16,38,6,72
01/10/2015,PM2.5,58,11,25,14,58
01/11/2015,PM2.5,52,10,21,13,52
01/12/2015,PM2.5,36,16,33,10,36
01/13/2015,NO2,27,11,27,19,20
01/14/2015,PM2.5,54,14,33,17,54
01/15/2015,PM2.5,78,11,35,10,78
01/16/2015,PM2.5,74,11,33,8,74
01/17/2015,PM2.5,58,7,21,14,58
01/18/2015,PM2.5,59,8,20,7,59
01/19/2015,PM2.5,32,8,20,10,32
01/20/2015,PM2.5,54,8,25,10,54
01/21/2015,NO2,30,9,30,19,29
01/22/2015,PM2.5,52,8,23,13,52
01/23/2015,PM2.5,46,13,33,12,46
01/24/2015,PM2.5,30,10,27,24,30
01/25/2015,PM2.5,36,9,23,16,36
01/26/2015,PM2.5,39,13,31,14,39
01/27/2015,NO2,30,11,30,27,18
01/28/2015,PM2.5,41,10,31,19,41
01/29/2015,PM2.5,49,13,32,19,49
01/30/2015,PM2.5,38,9,19,12,38
01/31/2015,NO2,33,8,33,30,20
02/01/2015,PM2.5,34,9,28,16,34
02/02/2015,PM2.5,63,13,40,15,63
02/03/2015,PM2.5,61,11,38,16,61
02/04/2015,PM2.5,49,14,27,14,49
02/05/2015,NO2,34,10,34,30,24
02/06/2015,Ozone,29,5,7,29,0
02/07/2015,Ozone,22,7,20,22,6
02/08/2015,Ozone,36,7,14,36,6
02/09/2015,Ozone,28,8,25,28,23
02/10/2015,NO2,26,11,26,23,17
02/11/2015,NO2,27,11,27,16,22
02/12/2015,PM2.5,36,13,36,22,36
02/13/2015,PM2.5,47,13,43,20,47
02/14/2015,PM2.5,44,10,32,,44
02/15/2015,PM2.5,27,9,23,,27
02/16/2015,NO2,25,10,25,,20
02/17/2015,PM2.5,35,6,15,31,35
02/18/2015,PM2.5,39,8,23,31,39
02/19/2015,PM2.5,55,8,21,20,55
02/20/2015,PM2.5,51,8,29,25,51
02/21/2015,Ozone,29,9,17,29,27
02/22/2015,Ozone,31,7,12,31,14
02/23/2015,Ozone,31,7,27,31,17
02/24/2015,Ozone,31,9,30,31,22
02/25/2015,NO2,30,,30,,27
02/26/2015,Ozone,31,11,27,31,30
02/27/2015,Ozone,33,6,12,33,1
02/28/2015,Ozone,31,6,15,31,6
03/01/2015,Ozone,31,,18,31,8
03/02/2015,Ozone,37,9,27,37,18
03/03/2015,Ozone,31,8,19,31,20
03/04/2015,Ozone,31,7,26,31,19
03/05/2015,Ozone,36,8,35,36,29
03/06/2015,PM2.5,40,8,30,38,40
03/07/2015,Ozone,38,7,35,38,37
03/08/2015,PM2.5,47,7,23,31,47
03/09/2015,PM2.5,47,6,27,28,47
03/10/2015,PM2.5,52,6,18,25,52
03/11/2015,Ozone,35,6,21,35,23
03/12/2015,Ozone,34,,26,34,23
03/13/2015,Ozone,31,7,23,31,28
03/14/2015,Ozone,49,7,21,49,38
03/15/2015,Ozone,41,5,21,41,9
03/16/2015,Ozone,36,7,23,36,9
03/17/2015,Ozone,37,3,21,37,9
03/18/2015,Ozone,31,7,20,31,18
03/19/2015,PM2.5,32,,27,31,32
03/20/2015,Ozone,34,9,25,34,25
03/21/2015,Ozone,34,6,13,34,18
03/22/2015,Ozone,37,5,14,37,13
03/23/2015,Ozone,41,7,19,41,16
03/24/2015,Ozone,34,7,28,34,20
03/25/2015,Ozone,29,8,16,29,20
03/26/2015,Ozone,38,9,28,38,32
03/27/2015,Ozone,26,8,19,26,13
03/28/2015,Ozone,39,6,15,39,13
03/29/2015,Ozone,33,6,19,33,31
03/30/2015,Ozone,34,8,22,34,26
03/31/2015,Ozone,42,5,8,42,9
04/01/2015,Ozone,42,7,33,42,18
04/02/2015,NO2,29,8,29,,21
04/03/2015,Ozone,45,9,31,45,34
04/04/2015,Ozone,44,6,20,44,13
04/05/2015,Ozone,45,6,11,45,8
04/06/2015,NO2,23,,23,,0
04/07/2015,Ozone,44,3,21,44,0
04/08/2015,Ozone,41,6,24,41,5
04/09/2015,Ozone,44,7,23,44,8
04/10/2015,Ozone,39,7,24,39,10
04/11/2015,Ozone,35,5,16,35,10
04/12/2015,Ozone,43,5,14,43,14
04/13/2015,Ozone,45,6,20,45,20
04/14/2015,Ozone,43,3,23,43,20
04/15/2015,Ozone,42,6,32,42,14
04/16/2015,Ozone,51,5,27,51,13
04/17/2015,Ozone,44,7,33,44,32
04/18/2015,PM2.5,46,6,14,37,46
04/19/2015,Ozone,35,5,11,35,30
04/20/2015,Ozone,33,5,16,33,32
04/21/2015,Ozone,35,5,13,35,13
04/22/2015,Ozone,31,6,16,31,18
04/23/2015,PM2.5,37,5,8,36,37
04/24/2015,Ozone,44,3,7,44,13
04/25/2015,Ozone,39,3,3,39,0
04/26/2015,Ozone,41,5,8,41,15
04/27/2015,Ozone,39,7,19,39,13
04/28/2015,Ozone,28,5,8,28,15
04/29/2015,PM2.5,33,6,18,33,33
04/30/2015,Ozone,64,6,22,64,29
05/01/2015,PM2.5,40,7,31,39,40
05/02/2015,Ozone,44,5,8,44,33
05/03/2015,Ozone,42,5,6,42,28
05/04/2015,Ozone,40,5,9,40,18
05/05/2015,Ozone,40,6,21,40,25
05/06/2015,Ozone,38,6,23,38,32
05/07/2015,Ozone,33,3,25,33,26
05/08/2015,PM2.5,36,5,19,35,36
05/09/2015,Ozone,35,3,5,35,23
05/10/2015,Ozone,37,3,7,37,28
05/11/2015,Ozone,40,2,7,40,23
05/12/2015,Ozone,39,2,8,39,14
