Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,67,11,0,39,21,,67
01/02/2015,PM2.5,73,16,1,40,19,,73
01/03/2015,PM2.5,92,15,1,45,21,35,92
01/04/2015,PM2.5,85,17,1,39,16,,85
01/05/2015,PM2.5,88,17,1,42,10,,88
01/06/2015,PM2.5,95,20,1,44,8,43,95
01/07/2015,PM2.5,86,18,1,49,6,,86
01/08/2015,PM2.5,84,20,1,42,2,,84
01/09/2015,PM2.5,87,23,1,41,4,44,87
01/10/2015,PM2.5,73,11,1,32,10,,73
01/11/2015,PM2.5,64,14,0,22,12,,64
01/12/2015,PM2.5,63,16,1,33,11,27,63
01/13/2015,PM2.5,41,13,0,35,19,,41
01/14/2015,PM2.5,60,15,1,32,11,,60
01/15/2015,PM2.5,90,14,1,37,8,39,90
01/16/2015,PM2.5,78,15,1,37,7,,78
01/17/2015,PM2.5,73,11,0,25,8,,73
01/18/2015,PM2.5,77,14,1,23,13,25,77
01/19/2015,PM2.5,48,14,0,22,10,,48
01/20/2015,PM2.5,55,14,1,28,12,,55
01/21/2015,PM2.5,56,15,1,33,17,23,56
01/22/2015,PM2.5,61,15,1,27,9,,61
01/23/2015,PM2.5,64,16,1,35,17,,64
01/24/2015,PM2.5,60,14,0,36,19,23,60
01/25/2015,PM2.5,58,16,0,31,14,,58
01/26/2015,PM2.5,61,18,1,39,7,,61
01/27/2015,PM2.5,36,14,0,34,24,20,36
01/28/2015,PM2.5,54,15,1,31,22,,54
01/29/2015,PM2.5,64,16,1,33,18,,64
01/30/2015,PM2.5,62,15,0,24,16,30,62
01/31/2015,PM2.5,43,15,1,38,31,,43
02/01/2015,PM2.5,43,16,0,33,22,,43
02/02/2015,PM2.5,87,16,1,43,17,42,87
02/03/2015,PM2.5,84,19,1,40,13,,84
02/04/2015,PM2.5,61,15,1,30,19,,61
02/05/2015,PM2.5,36,10,0,24,25,15,36
02/06/2015,Ozone,24,5,0,12,24,,23
02/07/2015,Ozone,22,6,0,19,22,,17
02/08/2015,Ozone,33,6,0,13,33,6,18
02/09/2015,PM2.5,35,8,0,30,31,,35
02/10/2015,PM2.5,32,9,0,31,24,,32
02/11/2015,PM2.5,47,13,1,32,14,19,47
02/12/2015,PM2.5,54,15,0,38,19,,54
02/13/2015,PM2.5,58,16,0,43,19,,58
02/14/2015,PM2.5,66,15,1,35,31,25,66
02/15/2015,PM2.5,51,16,0,34,32,,51
02/16/2015,PM2.5,51,13,0,28,31,,51
02/17/2015,PM2.5,59,8,0,20,27,19,59
02/18/2015,PM2.5,52,8,0,27,30,,52
02/19/2015,PM2.5,66,9,0,29,22,,66
02/20/2015,PM2.5,62,10,0,36,24,25,62
02/21/2015,PM2.5,43,13,0,24,31,,43
02/22/2015,Ozone,31,9,0,23,31,,28
02/23/2015,Ozone,32,7,0,31,32,19,28
02/24/2015,NO2,36,13,1,36,33,,32
02/25/2015,PM2.5,42,10,0,32,30,,42
02/26/2015,PM2.5,49,11,0,26,31,23,49
02/27/2015,Ozone,32,8,0,31,32,,18
02/28/2015,PM2.5,34,9,0,28,31,,34
03/01/2015,Ozone,31,,3,23,31,8,30
03/02/2015,NO2,34,13,0,34,25,,32
03/03/2015,PM2.5,37,13,1,25,31,,37
03/04/2015,NO2,37,10,0,37,35,15,33
03/05/2015,PM2.5,45,11,,36,,.,45
03/06/2015,PM2.5,56,11,0,36,35,,56
03/07/2015,PM2.5,48,11,0,32,44,19,48
03/08/2015,PM2.5,56,8,0,26,40,,56
03/09/2015,PM2.5,55,7,0,22,30,,55
03/10/2015,PM2.5,63,9,0,27,20,31,63
03/11/2015,PM2.5,38,7,0,24,38,,38
03/12/2015,Ozone,36,8,0,27,36,,35
03/13/2015,PM2.5,38,10,0,30,32,17,38
03/14/2015,Ozone,44,10,0,33,44,,40
03/15/2015,Ozone,42,8,0,24,42,,15
03/16/2015,NO2,32,10,0,32,30,17,29
03/17/2015,Ozone,40,7,0,25,40,,18
03/18/2015,Ozone,33,8,0,26,33,,28
03/19/2015,PM2.5,41,9,0,37,35,20,41
03/20/2015,Ozone,42,10,0,32,42,,35
03/21/2015,Ozone,37,8,0,26,37,,27
03/22/2015,Ozone,33,7,0,15,33,7,17
03/23/2015,Ozone,42,7,0,26,42,,24
03/24/2015,Ozone,38,8,0,34,38,,22
03/25/2015,Ozone,32,9,0,29,32,15,29
03/26/2015,Ozone,44,11,1,32,44,,38
03/27/2015,PM2.5,32,9,0,30,28,,32
03/28/2015,Ozone,41,8,0,21,41,,31
03/29/2015,PM2.5,42,9,0,26,40,,42
03/30/2015,PM2.5,45,11,0,23,33,,45
03/31/2015,Ozone,42,7,0,27,42,14,26
04/01/2015,Ozone,43,9,0,26,43,,33
04/02/2015,Ozone,43,10,0,32,43,,34
04/03/2015,PM2.5,51,10,0,34,44,22,51
04/04/2015,Ozone,46,9,0,28,46,,43
04/05/2015,Ozone,43,7,0,23,43,,20
04/06/2015,Ozone,42,9,0,32,42,10,25
04/07/2015,Ozone,42,7,0,25,42,,17
04/08/2015,Ozone,44,8,0,26,44,,18
04/09/2015,Ozone,45,9,0,24,45,12,23
04/10/2015,Ozone,47,8,0,25,47,,25
04/11/2015,Ozone,38,8,0,24,38,,21
04/12/2015,Ozone,48,8,1,27,48,11,25
04/13/2015,Ozone,42,8,0,26,42,,30
04/14/2015,Ozone,46,6,0,25,46,,26
04/15/2015,Ozone,47,9,0,28,47,16,26
04/16/2015,Ozone,61,7,0,32,61,,28
04/17/2015,Ozone,87,8,0,38,87,,32
04/18/2015,PM2.5,58,7,0,23,50,24,58
04/19/2015,Ozone,40,7,0,14,40,,38
04/20/2015,PM2.5,43,7,0,19,37,,43
04/21/2015,Ozone,36,6,0,16,36,13,33
04/22/2015,Ozone,34,7,0,16,34,,32
04/23/2015,PM2.5,51,6,0,17,35,,51
04/24/2015,Ozone,47,7,0,30,47,19,39
04/25/2015,Ozone,40,6,,16,40,,12
04/26/2015,Ozone,49,6,,16,49,,18
04/27/2015,Ozone,47,9,1,25,47,,30
04/28/2015,Ozone,36,7,0,18,36,,32
04/29/2015,PM2.5,49,8,0,21,46,,49
04/30/2015,Ozone,93,9,0,41,93,28,52
05/01/2015,Ozone,58,9,0,41,58,,51
05/02/2015,PM2.5,60,8,0,16,51,,60
05/03/2015,Ozone,44,7,0,13,44,16,39
05/04/2015,Ozone,42,7,0,17,42,,35
05/05/2015,Ozone,41,7,,24,41,,40
05/06/2015,PM2.5,47,8,0,26,41,,47
05/07/2015,PM2.5,38,3,0,30,37,,38
05/08/2015,PM2.5,53,6,0,27,41,,53
05/09/2015,PM2.5,41,6,0,13,38,17,41
05/10/2015,Ozone,42,6,0,14,42,,38
05/11/2015,Ozone,40,6,0,22,40,,33
05/12/2015,Ozone,45,6,0,27,45,13,23
05/13/2015,Ozone,41,6,0,33,41,,18
05/14/2015,Ozone,42,6,0,26,42,,24
05/15/2015,Ozone,42,7,0,26,42,13,30
05/16/2015,Ozone,36,6,0,18,36,,20
05/17/2015,Ozone,39,6,0,12,39,,16
05/18/2015,Ozone,38,6,0,23,38,,23
05/19/2015,Ozone,36,6,0,15,36,,24
05/20/2015,Ozone,36,6,0,21,36,,22
05/21/2015,Ozone,33,7,0,21,33,6,15
05/22/2015,Ozone,34,7,0,26,34,,25
05/23/2015,Ozone,38,7,0,16,38,,29
05/24/2015,Ozone,35,7,0,9,35,12,26
05/25/2015,Ozone,33,7,0,11,33,,22
05/26/2015,Ozone,34,7,0,14,34,,22
05/27/2015,Ozone,33,7,,17,33,8,20
05/28/2015,Ozone,44,7,,16,44,,20
05/29/2015,Ozone,43,5,0,15,43,,33
05/30/2015,Ozone,46,6,0,12,46,16,38
05/31/2015,Ozone,40,5,0,13,40,,38
06/01/2015,Ozone,32,5,0,19,32,,17
06/02/2015,Ozone,34,5,0,22,34,9,18
06/03/2015,Ozone,31,5,0,24,31,,23
06/04/2015,Ozone,33,5,0,21,33,,31
06/05/2015,PM2.5,38,7,0,18,37,20,38
06/06/2015,Ozone,37,6,0,13,37,,22
06/07/2015,Ozone,47,6,0,14,47,,28
06/08/2015,Ozone,93,7,0,28,93,15,27
06/09/2015,Ozone,38,7,0,22,38,,25
06/10/2015,Ozone,47,8,0,27,47,,37
06/11/2015,Ozone,48,3,0,24,48,15,46
06/12/2015,Ozone,71,8,0,23,71,,52
06/13/2015,PM2.5,55,7,0,14,44,,55
06/14/2015,PM2.5,58,6,0,13,38,27,58
06/15/2015,PM2.5,58,6,0,16,44,,58
06/16/2015,Ozone,64,7,0,21,64,,54
06/17/2015,Ozone,80,7,0,25,80,30,56
06/18/2015,PM2.5,52,7,0,29,49,,52
06/19/2015,Ozone,48,7,0,23,48,,35
06/20/2015,Ozone,67,8,0,19,67,20,45
06/21/2015,Ozone,49,7,0,12,49,,41
06/22/2015,Ozone,58,7,0,16,58,,33
06/23/2015,PM2.5,44,7,0,22,44,23,44
06/24/2015,Ozone,46,7,0,22,46,,44
06/25/2015,PM2.5,53,8,1,24,48,,53
06/26/2015,PM2.5,51,8,1,27,50,27,51
06/27/2015,Ozone,36,8,0,13,36,,27
06/28/2015,Ozone,30,7,0,10,30,,15
06/29/2015,Ozone,64,8,0,17,64,12,22
06/30/2015,PM2.5,117,9,0,27,100,,117
07/01/2015,PM2.5,56,9,0,27,48,,56
07/02/2015,Ozone,35,6,0,23,35,13,25
07/03/2015,Ozone,43,6,0,14,43,,28
07/04/2015,PM2.5,47,6,0,12,42,,47
07/05/2015,Ozone,28,6,0,9,28,6,17
07/06/2015,Ozone,35,5,0,14,35,,23
07/07/2015,Ozone,29,6,0,13,29,,23
07/08/2015,PM2.5,25,6,0,17,25,11,25
07/09/2015,Ozone,23,6,0,18,23,,15
07/10/2015,Ozone,31,7,1,13,31,,26
07/11/2015,Ozone,34,6,0,11,34,8,15
07/12/2015,Ozone,33,6,0,9,33,,13
07/13/2015,Ozone,35,6,0,15,35,,21
07/14/2015,Ozone,31,6,0,10,31,12,21
07/15/2015,Ozone,40,7,0,18,40,,26
07/16/2015,Ozone,41,7,0,18,41,,23
07/17/2015,Ozone,41,8,0,21,41,17,35
07/18/2015,Ozone,40,7,0,14,40,,33
07/19/2015,Ozone,37,7,0,16,37,,22
07/20/2015,Ozone,37,8,0,24,37,19,34
07/21/2015,Ozone,31,7,0,15,31,,29
07/22/2015,PM2.5,33,7,0,13,30,,33
07/23/2015,PM2.5,35,7,0,15,31,18,35
07/24/2015,Ozone,44,7,0,18,44,,25
07/25/2015,Ozone,32,7,0,14,32,,19
07/26/2015,Ozone,31,7,0,15,31,13,28
07/27/2015,Ozone,61,8,0,23,61,,41
07/28/2015,Ozone,51,9,1,33,51,,45
07/29/2015,Ozone,48,10,1,28,48,25,46
07/30/2015,Ozone,64,9,0,20,64,,52
07/31/2015,PM2.5,45,8,3,18,36,,45
08/01/2015,Ozone,47,8,0,11,47,19,44
08/02/2015,Ozone,42,8,,8,42,,34
08/03/2015,Ozone,31,7,0,17,31,,28
08/04/2015,Ozone,27,8,0,19,27,10,18
08/05/2015,Ozone,45,9,0,21,45,,28
08/06/2015,PM2.5,54,11,1,28,35,,54
08/07/2015,PM2.5,45,8,0,18,37,20,45
08/08/2015,PM2.5,40,6,,11,26,,40
08/09/2015,Ozone,31,6,0,11,31,,19
08/10/2015,Ozone,28,6,0,13,28,9,18
08/11/2015,Ozone,33,6,0,15,33,,18
08/12/2015,PM2.5,40,7,0,20,31,,40
08/13/2015,Ozone,38,6,0,12,38,8,26
08/14/2015,Ozone,35,6,0,15,35,,18
08/15/2015,PM2.5,105,11,0,30,101,,105
08/16/2015,Ozone,147,14,0,30,147,52,135
08/17/2015,Ozone,119,10,4,37,119,,90
08/18/2015,PM2.5,79,8,0,20,67,,79
08/19/2015,PM2.5,65,7,0,18,44,27,65
08/20/2015,PM2.5,57,8,0,17,44,,57
08/21/2015,PM2.5,55,7,0,14,35,,55
08/22/2015,Ozone,38,8,0,12,38,16,33
08/23/2015,Ozone,38,7,0,15,38,,31
08/24/2015,Ozone,74,3,0,18,74,,56
08/25/2015,Ozone,64,3,0,19,64,23,58
08/26/2015,Ozone,61,8,,23,61,,57
08/27/2015,PM2.5,45,10,0,36,41,,45
08/28/2015,PM2.5,33,10,0,27,32,22,33
08/29/2015,Ozone,28,8,0,10,28,,15
08/30/2015,Ozone,37,7,0,11,37,,18
08/31/2015,Ozone,38,9,0,22,38,20,37
09/01/2015,PM2.5,42,,0,14,33,,42
09/02/2015,Ozone,32,7,0,18,32,,31
09/03/2015,Ozone,33,8,0,23,33,19,28
09/04/2015,PM2.5,31,5,0,17,30,,31
09/05/2015,Ozone,42,6,0,22,42,,35
09/06/2015,Ozone,48,7,0,29,48,13,24
09/07/2015,Ozone,80,8,1,33,80,,29
09/08/2015,Ozone,87,11,0,48,87,,38
09/09/2015,Ozone,143,11,1,52,143,26,46
09/10/2015,Ozone,93,11,1,40,93,,45
09/11/2015,Ozone,58,9,0,27,58,,40
09/12/2015,PM2.5,48,8,0,33,29,21,48
09/13/2015,PM2.5,42,7,1,17,36,,42
09/14/2015,Ozone,29,6,0,18,29,,18
09/15/2015,Ozone,35,5,0,19,35,14,23
09/16/2015,Ozone,35,6,0,25,35,,20
09/17/2015,Ozone,41,7,0,30,41,,27
09/18/2015,Ozone,48,9,0,26,48,22,35
09/19/2015,Ozone,122,13,1,44,122,,40
09/20/2015,Ozone,119,17,1,51,119,,45
09/21/2015,Ozone,93,14,1,58,93,,52
09/22/2015,PM2.5,49,7,0,21,33,,49
09/23/2015,Ozone,44,9,0,29,44,,39
09/24/2015,Ozone,49,11,1,33,49,23,36
09/25/2015,Ozone,33,14,1,32,33,,22
09/26/2015,Ozone,36,9,1,25,36,,21
09/27/2015,PM2.5,54,9,1,20,39,28,54
09/28/2015,PM2.5,43,8,1,23,31,,43
09/29/2015,PM2.5,39,8,0,23,34,,39
09/30/2015,PM2.5,50,9,0,29,23,29,50
10/01/2015,PM2.5,35,11,0,25,30,,35
10/02/2015,Ozone,42,10,0,25,42,,31
10/03/2015,PM2.5,45,9,0,22,35,26,45
10/04/2015,PM2.5,56,8,0,25,43,,56
10/05/2015,PM2.5,42,8,0,25,41,,42
10/06/2015,Ozone,41,9,0,29,41,19,36
10/07/2015,PM2.5,55,10,0,26,50,,55
10/08/2015,PM2.5,51,11,0,38,50,,51
10/09/2015,Ozone,48,13,0,28,48,16,37
10/10/2015,Ozone,32,11,0,19,32,,25
10/11/2015,Ozone,41,9,0,21,41,,22
10/12/2015,NO2,55,13,1,55,51,23,45
10/13/2015,PM2.5,55,9,1,44,54,,55
10/14/2015,PM2.5,45,14,3,40,45,,45
10/15/2015,PM2.5,44,3,1,29,36,20,44
10/16/2015,Ozone,41,8,0,25,41,,33
10/17/2015,Ozone,41,7,0,14,41,,19
10/18/2015,Ozone,40,6,0,19,40,6,13
10/19/2015,Ozone,33,7,0,26,33,,13
10/20/2015,Ozone,34,11,0,26,34,,21
10/21/2015,Ozone,38,13,1,28,38,19,32
10/22/2015,PM2.5,50,11,1,42,43,,50
10/23/2015,PM2.5,53,14,0,38,42,,53
10/24/2015,PM2.5,55,15,1,35,48,27,55
10/25/2015,Ozone,35,11,0,24,35,,30
10/26/2015,Ozone,44,10,0,39,44,,40
10/27/2015,NO2,36,11,1,36,20,23,35
10/28/2015,Ozone,34,9,0,21,34,,22
10/29/2015,Ozone,36,14,1,31,36,,33
10/30/2015,PM2.5,40,14,1,32,36,23,40
10/31/2015,Ozone,34,11,0,25,34,,30
11/01/2015,Ozone,32,3,0,17,32,,10
11/02/2015,Ozone,31,3,0,25,31,7,18
11/03/2015,Ozone,28,9,0,25,28,,20
11/04/2015,NO2,34,9,0,34,32,,25
11/05/2015,NO2,36,8,0,36,29,17,29
11/06/2015,PM2.5,45,10,1,38,30,,45
11/07/2015,PM2.5,43,13,0,38,34,,43
11/08/2015,PM2.5,41,13,0,30,27,14,41
11/09/2015,NO2,35,9,0,35,31,,26
11/10/2015,NO2,38,9,0,38,31,,28
11/11/2015,PM2.5,48,11,0,35,27,17,48
11/12/2015,PM2.5,53,13,1,34,23,,53
11/13/2015,PM2.5,61,15,1,42,25,,61
