Date,Main Pollutant,Overall AQI Value,Ozone,PM25
01/01/2015,PM2.5,94,27,94
01/02/2015,PM2.5,80,27,80
01/03/2015,PM2.5,86,27,86
01/04/2015,PM2.5,88,24,88
01/05/2015,PM2.5,75,18,75
01/06/2015,PM2.5,67,18,67
01/07/2015,PM2.5,66,19,66
01/08/2015,PM2.5,67,13,67
01/09/2015,PM2.5,54,16,54
01/10/2015,PM2.5,51,27,51
01/11/2015,PM2.5,60,25,60
01/12/2015,PM2.5,41,17,41
01/13/2015,PM2.5,56,21,56
01/14/2015,PM2.5,58,26,58
01/15/2015,PM2.5,56,26,56
01/16/2015,PM2.5,40,24,40
01/17/2015,PM2.5,51,21,51
01/18/2015,PM2.5,42,17,42
01/19/2015,PM2.5,35,14,35
01/20/2015,PM2.5,40,16,40
01/21/2015,PM2.5,54,19,54
01/22/2015,PM2.5,50,16,50
01/23/2015,PM2.5,43,22,43
01/24/2015,PM2.5,59,26,59
01/25/2015,PM2.5,57,31,57
01/26/2015,PM2.5,48,19,48
01/27/2015,PM2.5,32,28,32
01/28/2015,PM2.5,35,31,35
01/29/2015,PM2.5,54,27,54
01/30/2015,PM2.5,38,23,38
01/31/2015,PM2.5,41,27,41
02/01/2015,PM2.5,54,31,54
02/02/2015,PM2.5,44,26,44
02/03/2015,PM2.5,42,28,42
02/04/2015,PM2.5,40,33,40
02/05/2015,Ozone,30,30,20
02/06/2015,PM2.5,31,27,31
02/07/2015,Ozone,25,25,8
02/08/2015,Ozone,30,30,20
02/09/2015,PM2.5,33,30,33
02/10/2015,Ozone,27,27,19
02/11/2015,Ozone,25,25,20
02/12/2015,Ozone,32,32,22
02/13/2015,Ozone,38,38,26
02/14/2015,Ozone,38,38,34
02/15/2015,Ozone,40,40,28
02/16/2015,Ozone,33,33,30
02/17/2015,Ozone,37,37,30
02/18/2015,PM2.5,35,33,35
02/19/2015,Ozone,31,31,30
02/20/2015,PM2.5,32,26,32
02/21/2015,Ozone,35,35,29
02/22/2015,Ozone,31,31,13
02/23/2015,Ozone,31,31,23
02/24/2015,PM2.5,31,31,31
02/25/2015,Ozone,37,37,28
02/26/2015,Ozone,32,32,27
02/27/2015,Ozone,33,33,5
02/28/2015,Ozone,31,31,5
03/01/2015,Ozone,31,31,13
03/02/2015,Ozone,34,34,20
03/03/2015,Ozone,31,31,30
03/04/2015,Ozone,31,31,24
03/05/2015,Ozone,43,43,25
03/06/2015,Ozone,43,43,28
03/07/2015,Ozone,41,41,34
03/08/2015,Ozone,44,44,42
03/09/2015,PM2.5,39,34,39
03/10/2015,PM2.5,40,29,40
03/11/2015,Ozone,40,40,21
03/12/2015,Ozone,38,38,22
03/13/2015,Ozone,36,36,28
03/14/2015,Ozone,45,45,19
03/15/2015,Ozone,39,39,13
03/16/2015,Ozone,34,34,14
03/17/2015,Ozone,42,42,8
03/18/2015,Ozone,33,33,20
03/19/2015,Ozone,35,35,24
03/20/2015,Ozone,39,39,23
03/21/2015,Ozone,33,33,21
03/22/2015,Ozone,31,31,16
03/23/2015,Ozone,39,39,16
03/24/2015,Ozone,35,35,21
03/25/2015,Ozone,35,35,24
03/26/2015,Ozone,38,38,11
03/27/2015,Ozone,31,31,18
03/28/2015,Ozone,38,38,17
03/29/2015,Ozone,40,40,28
03/30/2015,Ozone,37,37,31
03/31/2015,Ozone,43,43,16
04/01/2015,Ozone,42,42,13
04/02/2015,Ozone,44,44,14
04/03/2015,Ozone,45,45,37
04/04/2015,Ozone,44,44,28
04/05/2015,Ozone,43,43,18
04/06/2015,Ozone,41,41,10
04/07/2015,Ozone,43,43,8
04/08/2015,Ozone,39,39,11
04/09/2015,Ozone,44,44,11
04/10/2015,Ozone,43,43,14
04/11/2015,Ozone,37,37,9
04/12/2015,Ozone,35,35,15
04/13/2015,Ozone,41,41,21
04/14/2015,Ozone,46,46,18
04/15/2015,Ozone,44,44,24
04/16/2015,Ozone,58,58,15
04/17/2015,Ozone,50,50,28
04/18/2015,PM2.5,45,40,45
04/19/2015,Ozone,35,35,20
04/20/2015,Ozone,36,36,22
04/21/2015,Ozone,35,35,19
04/22/2015,PM2.5,45,37,45
04/23/2015,PM2.5,48,35,48
04/24/2015,Ozone,43,43,23
04/25/2015,Ozone,38,38,9
04/26/2015,Ozone,40,40,17
04/27/2015,Ozone,34,34,24
04/28/2015,Ozone,37,37,26
04/29/2015,Ozone,38,38,29
04/30/2015,Ozone,67,67,29
05/01/2015,Ozone,42,42,34
05/02/2015,Ozone,46,46,40
05/03/2015,Ozone,45,45,34
05/04/2015,Ozone,40,40,26
05/05/2015,Ozone,40,40,27
05/06/2015,Ozone,38,38,32
05/07/2015,PM2.5,42,36,42
05/08/2015,PM2.5,40,40,40
05/09/2015,Ozone,35,35,30
05/10/2015,Ozone,34,34,28
05/11/2015,Ozone,39,39,24
05/12/2015,Ozone,42,42,15
05/13/2015,Ozone,41,41,15
05/14/2015,Ozone,45,45,9
05/15/2015,Ozone,38,38,12
05/16/2015,Ozone,33,33,18
05/17/2015,Ozone,34,34,10
05/18/2015,Ozone,34,34,13
05/19/2015,Ozone,31,31,13
05/20/2015,Ozone,33,33,12
05/21/2015,Ozone,31,31,3
05/22/2015,Ozone,31,31,13
05/23/2015,Ozone,36,36,25
05/24/2015,Ozone,32,32,15
05/25/2015,Ozone,31,31,7
05/26/2015,Ozone,33,33,8
05/27/2015,Ozone,31,31,10
05/28/2015,Ozone,31,31,14
05/29/2015,Ozone,31,31,15
05/30/2015,Ozone,34,34,18
05/31/2015,Ozone,36,36,18
06/01/2015,Ozone,30,30,10
06/02/2015,Ozone,31,31,13
06/03/2015,Ozone,31,31,15
06/04/2015,Ozone,31,31,24
06/05/2015,Ozone,30,30,18
06/06/2015,Ozone,30,30,8
06/07/2015,Ozone,29,29,9
06/08/2015,Ozone,27,27,20
06/09/2015,Ozone,28,28,10
06/10/2015,Ozone,29,29,11
06/11/2015,Ozone,31,31,30
06/12/2015,PM2.5,28,27,28
06/13/2015,Ozone,32,32,29
06/14/2015,PM2.5,53,34,53
06/15/2015,PM2.5,37,31,37
06/16/2015,PM2.5,36,33,36
06/17/2015,PM2.5,41,33,41
06/18/2015,Ozone,34,34,30
06/19/2015,Ozone,34,34,23
06/20/2015,Ozone,31,31,23
06/21/2015,Ozone,32,32,29
06/22/2015,Ozone,33,33,23
06/23/2015,PM2.5,31,31,31
06/24/2015,PM2.5,30,30,30
06/25/2015,PM2.5,24,23,24
06/26/2015,Ozone,29,29,15
06/27/2015,Ozone,24,24,6
06/28/2015,Ozone,21,21,1
06/29/2015,Ozone,31,31,8
06/30/2015,Ozone,34,34,20
07/01/2015,Ozone,23,23,17
07/02/2015,Ozone,21,21,12
07/03/2015,Ozone,22,22,7
07/04/2015,Ozone,24,24,4
07/05/2015,Ozone,21,21,0
07/06/2015,Ozone,25,25,8
07/07/2015,Ozone,19,19,13
07/08/2015,Ozone,21,21,7
07/09/2015,Ozone,21,21,0
07/10/2015,Ozone,23,23,5
07/11/2015,Ozone,22,22,3
07/12/2015,Ozone,23,23,5
07/13/2015,Ozone,24,24,8
07/14/2015,Ozone,25,25,6
07/15/2015,Ozone,24,24,12
07/16/2015,Ozone,25,25,7
07/17/2015,Ozone,28,28,11
07/18/2015,Ozone,31,31,10
07/19/2015,Ozone,30,30,11
07/20/2015,Ozone,25,25,23
07/21/2015,PM2.5,21,21,21
07/22/2015,Ozone,23,23,18
07/23/2015,Ozone,24,24,20
07/24/2015,Ozone,29,29,17
07/25/2015,PM2.5,22,20,22
07/26/2015,Ozone,22,22,15
07/27/2015,Ozone,27,27,24
07/28/2015,PM2.5,30,24,30
07/29/2015,Ozone,26,26,16
07/30/2015,Ozone,27,27,23
07/31/2015,PM2.5,20,20,20
08/01/2015,Ozone,27,27,26
08/02/2015,PM2.5,25,21,25
08/03/2015,Ozone,24,24,13
08/04/2015,Ozone,20,20,8
08/05/2015,Ozone,31,31,9
08/06/2015,PM2.5,29,28,29
08/07/2015,PM2.5,31,28,31
08/08/2015,Ozone,23,23,18
08/09/2015,Ozone,19,19,5
08/10/2015,Ozone,20,20,3
08/11/2015,Ozone,25,25,4
08/12/2015,Ozone,19,19,5
08/13/2015,Ozone,25,25,0
08/14/2015,Ozone,28,28,10
08/15/2015,PM2.5,56,49,56
08/16/2015,PM2.5,77,36,77
08/17/2015,PM2.5,61,34,61
08/18/2015,PM2.5,64,38,64
08/19/2015,PM2.5,51,33,51
08/20/2015,PM2.5,41,38,41
08/21/2015,PM2.5,35,28,35
08/22/2015,Ozone,27,27,18
08/23/2015,Ozone,31,31,27
08/24/2015,PM2.5,42,35,42
08/25/2015,PM2.5,49,37,49
08/26/2015,PM2.5,42,34,42
08/27/2015,PM2.5,41,31,41
08/28/2015,Ozone,26,26,11
08/29/2015,Ozone,21,21,3
08/30/2015,Ozone,30,30,11
08/31/2015,Ozone,29,29,
09/01/2015,Ozone,26,26,
09/02/2015,Ozone,27,27,
09/03/2015,Ozone,31,31,
09/04/2015,Ozone,26,26,22
09/05/2015,Ozone,32,32,15
09/06/2015,Ozone,41,41,11
09/07/2015,Ozone,47,47,20
09/08/2015,Ozone,61,61,18
09/09/2015,Ozone,44,44,21
09/10/2015,Ozone,35,35,22
09/11/2015,Ozone,35,35,22
09/12/2015,PM2.5,35,26,35
09/13/2015,PM2.5,27,26,27
09/14/2015,Ozone,26,26,12
09/15/2015,Ozone,33,33,16
09/16/2015,Ozone,33,33,10
09/17/2015,Ozone,35,35,17
09/18/2015,Ozone,37,37,19
09/19/2015,Ozone,54,54,23
09/20/2015,Ozone,64,64,30
09/21/2015,Ozone,40,40,38
09/22/2015,PM2.5,36,29,36
09/23/2015,Ozone,35,35,26
09/24/2015,Ozone,40,40,15
09/25/2015,Ozone,39,39,23
09/26/2015,Ozone,33,33,13
09/27/2015,Ozone,30,30,28
09/28/2015,Ozone,31,31,27
09/29/2015,Ozone,33,33,28
09/30/2015,Ozone,20,20,15
10/01/2015,Ozone,23,23,5
10/02/2015,Ozone,27,27,22
10/03/2015,Ozone,35,35,30
10/04/2015,Ozone,38,38,26
10/05/2015,Ozone,36,36,17
10/06/2015,Ozone,37,37,18
10/07/2015,Ozone,42,42,33
10/08/2015,Ozone,43,43,35
10/09/2015,Ozone,42,42,33
10/10/2015,Ozone,36,36,17
10/11/2015,Ozone,28,28,27
10/12/2015,Ozone,39,39,29
10/13/2015,Ozone,47,47,20
10/14/2015,Ozone,40,40,21
10/15/2015,Ozone,33,33,23
10/16/2015,Ozone,33,33,27
10/17/2015,Ozone,32,32,15
10/18/2015,Ozone,34,34,8
10/19/2015,Ozone,30,30,7
10/20/2015,Ozone,27,27,18
10/21/2015,Ozone,29,29,18
10/22/2015,Ozone,30,30,28
10/23/2015,Ozone,32,32,30
10/24/2015,Ozone,42,42,33
