Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,Ozone,40,40,,
01/02/2015,Ozone,37,37,,
01/03/2015,Ozone,34,34,,
01/04/2015,Ozone,31,31,,
01/05/2015,Ozone,31,31,,
01/06/2015,PM2.5,57,30,25,57
01/07/2015,Ozone,29,29,,
01/08/2015,Ozone,29,29,,
01/09/2015,Ozone,30,30,,3
01/10/2015,Ozone,28,28,,
01/11/2015,Ozone,30,30,,
01/12/2015,PM2.5,39,35,16,39
01/13/2015,Ozone,37,37,,
01/14/2015,Ozone,34,34,,
01/15/2015,Ozone,38,38,,5
01/16/2015,Ozone,36,36,,
01/17/2015,Ozone,27,27,,
01/18/2015,PM2.5,58,26,19,58
01/19/2015,Ozone,28,28,,
01/20/2015,Ozone,32,32,,
01/21/2015,Ozone,37,37,,15
01/22/2015,Ozone,34,34,,
01/23/2015,Ozone,36,36,,
01/24/2015,Ozone,33,33,4,10
01/25/2015,Ozone,34,34,,
01/26/2015,Ozone,29,29,,
01/27/2015,Ozone,27,27,,10
01/28/2015,Ozone,35,35,,
01/29/2015,Ozone,30,30,,
01/30/2015,Ozone,38,38,8,15
01/31/2015,Ozone,40,40,,
02/01/2015,Ozone,34,34,,
02/02/2015,Ozone,28,28,,3
02/03/2015,Ozone,30,30,13,
02/04/2015,Ozone,43,43,,
02/05/2015,PM2.5,67,42,25,67
02/06/2015,Ozone,30,30,,
02/07/2015,Ozone,31,31,,
02/08/2015,Ozone,42,42,,3
02/09/2015,Ozone,42,42,,
02/10/2015,Ozone,37,37,,
02/11/2015,Ozone,32,32,14,18
02/12/2015,Ozone,38,38,,
02/13/2015,Ozone,34,34,,
02/14/2015,Ozone,38,38,,4
02/15/2015,Ozone,37,37,,
02/16/2015,Ozone,35,35,,
02/17/2015,Ozone,31,31,15,30
02/18/2015,Ozone,38,38,,
02/19/2015,Ozone,36,36,,
02/20/2015,Ozone,44,44,,4
02/21/2015,Ozone,42,42,,
02/22/2015,Ozone,38,38,,
02/23/2015,Ozone,45,45,19,4
02/24/2015,Ozone,46,46,,
02/25/2015,Ozone,43,43,,
02/26/2015,Ozone,44,44,,8
02/27/2015,Ozone,36,36,,
02/28/2015,Ozone,35,35,,
03/01/2015,Ozone,35,35,9,15
