Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,Ozone,26,26,,
01/02/2015,Ozone,21,21,,
01/03/2015,Ozone,18,18,,3
01/04/2015,Ozone,17,17,,
01/05/2015,Ozone,15,15,,
01/06/2015,PM10,19,14,19,6
01/07/2015,Ozone,14,14,,
01/08/2015,Ozone,11,11,,
01/09/2015,PM2.5,15,7,,15
01/10/2015,Ozone,9,9,,
01/11/2015,Ozone,3,3,,
01/12/2015,PM10,17,6,17,1
01/13/2015,Ozone,20,20,,
01/14/2015,Ozone,14,14,,
01/15/2015,Ozone,23,23,,6
01/16/2015,Ozone,24,24,,
01/17/2015,Ozone,15,15,,
01/18/2015,Ozone,33,33,6,1
01/19/2015,Ozone,23,23,,
01/20/2015,Ozone,21,21,,
01/21/2015,Ozone,21,21,,
01/22/2015,Ozone,19,19,,
01/23/2015,Ozone,19,19,,
01/24/2015,Ozone,20,20,12,6
01/25/2015,Ozone,18,18,,
01/26/2015,Ozone,11,11,,
01/27/2015,Ozone,17,17,,
01/28/2015,Ozone,24,24,,
01/29/2015,Ozone,20,20,,
01/30/2015,Ozone,22,22,15,5
01/31/2015,Ozone,27,27,,
02/01/2015,Ozone,21,21,,
02/02/2015,Ozone,9,9,,3
02/03/2015,Ozone,12,12,,
02/04/2015,Ozone,26,26,,
02/05/2015,Ozone,34,34,7,13
02/06/2015,Ozone,30,30,,
02/07/2015,Ozone,36,36,,
02/08/2015,Ozone,37,37,,18
02/09/2015,Ozone,36,36,,
02/10/2015,Ozone,31,31,,
02/11/2015,PM2.5,44,21,12,44
02/12/2015,Ozone,19,19,,
02/13/2015,Ozone,15,15,,
02/14/2015,Ozone,18,18,,8
02/15/2015,Ozone,26,26,,
02/16/2015,Ozone,27,27,,
02/17/2015,PM2.5,41,26,14,41
02/18/2015,Ozone,23,23,,
02/19/2015,Ozone,28,28,,
02/20/2015,Ozone,36,36,,4
02/21/2015,Ozone,40,40,,
02/22/2015,Ozone,35,35,,
02/23/2015,Ozone,39,39,7,31
02/24/2015,Ozone,34,34,,
02/25/2015,Ozone,34,34,,
02/26/2015,Ozone,34,34,,7
02/27/2015,Ozone,34,34,,
02/28/2015,Ozone,32,32,,
03/01/2015,Ozone,36,36,6,23
03/02/2015,Ozone,38,38,,
03/03/2015,Ozone,39,39,,
03/04/2015,Ozone,37,37,,7
03/05/2015,Ozone,36,36,,
03/06/2015,Ozone,35,35,,
03/07/2015,PM2.5,38,35,9,38
03/08/2015,Ozone,34,34,,
03/09/2015,Ozone,35,35,,
03/10/2015,Ozone,29,29,,23
03/11/2015,Ozone,35,35,,
03/13/2015,Ozone,31,31,11,23
03/14/2015,Ozone,25,25,,
03/15/2015,Ozone,48,48,,
03/16/2015,Ozone,35,35,,4
03/17/2015,Ozone,38,38,,
03/18/2015,Ozone,43,43,,
03/19/2015,Ozone,40,40,12,20
03/20/2015,Ozone,39,39,,
03/21/2015,Ozone,41,41,,
03/22/2015,Ozone,39,39,,5
03/23/2015,Ozone,42,42,,
