Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,79,10,1,30,25,,79
01/02/2015,PM2.5,91,14,1,42,29,,91
01/03/2015,PM2.5,109,17,3,35,27,,109
01/04/2015,PM2.5,95,15,3,31,29,,95
01/05/2015,PM2.5,86,8,1,32,25,,86
01/06/2015,PM2.5,86,7,0,22,23,17,86
01/07/2015,PM2.5,71,6,0,28,20,,71
01/08/2015,PM2.5,117,9,3,30,16,,117
01/09/2015,PM2.5,88,13,1,26,10,,88
01/10/2015,PM2.5,88,14,1,33,13,,88
01/11/2015,PM2.5,82,16,1,24,21,,82
01/12/2015,PM2.5,54,14,4,26,23,14,54
01/13/2015,PM2.5,58,16,1,29,25,,58
01/14/2015,PM2.5,118,9,3,24,22,,118
01/15/2015,PM2.5,93,7,1,24,16,,93
01/16/2015,PM2.5,90,7,6,20,14,,90
01/17/2015,PM2.5,68,6,0,16,19,,68
01/18/2015,PM2.5,68,6,1,17,10,9,68
01/19/2015,PM2.5,66,11,1,22,18,,66
01/20/2015,PM2.5,68,13,1,26,19,,68
01/21/2015,PM2.5,64,13,1,25,18,,64
01/22/2015,PM2.5,76,8,1,20,15,,76
01/23/2015,PM2.5,87,15,1,21,11,,87
01/24/2015,PM2.5,85,6,1,11,14,,85
01/25/2015,PM2.5,77,6,0,22,18,,77
01/26/2015,PM2.5,78,6,1,18,19,,78
01/27/2015,PM2.5,74,11,1,32,14,,74
01/28/2015,PM2.5,80,,.,32,26,16,80
01/29/2015,PM2.5,67,13,1,34,23,,67
01/30/2015,PM2.5,62,13,3,22,33,7,62
01/31/2015,PM2.5,54,16,3,37,34,,54
02/01/2015,PM2.5,94,19,3,26,29,,94
02/02/2015,PM2.5,93,15,1,32,29,,93
02/03/2015,PM2.5,66,7,1,29,26,,66
02/04/2015,PM2.5,71,7,0,15,31,,71
02/05/2015,PM2.5,44,8,1,28,27,8,44
02/06/2015,Ozone,28,5,1,8,28,,22
02/07/2015,PM2.5,44,5,0,19,29,,44
02/08/2015,PM2.5,40,6,1,11,39,,40
02/09/2015,PM2.5,51,3,0,18,37,,51
02/10/2015,PM2.5,42,10,1,29,30,,42
02/11/2015,PM2.5,44,11,3,25,24,6,44
02/12/2015,PM2.5,50,9,1,26,28,,50
02/13/2015,PM2.5,53,11,1,32,30,,53
02/14/2015,PM2.5,53,11,1,25,26,,53
02/15/2015,PM2.5,54,16,3,31,29,,54
02/16/2015,PM2.5,55,15,1,27,32,,55
02/17/2015,PM2.5,46,5,0,5,37,6,46
02/18/2015,PM2.5,40,5,0,16,29,,40
02/19/2015,PM2.5,59,5,1,9,19,,59
02/20/2015,PM2.5,40,7,1,19,30,,40
02/21/2015,PM2.5,54,9,1,15,30,,54
02/22/2015,PM2.5,52,6,1,21,35,,52
02/23/2015,PM2.5,49,7,1,35,38,9,49
02/24/2015,Ozone,35,9,1,33,35,,34
02/25/2015,PM2.5,45,,4,25,32,,45
02/26/2015,PM2.5,40,9,1,21,34,,40
02/27/2015,Ozone,34,3,0,5,34,,13
02/28/2015,Ozone,31,6,0,25,31,,29
03/01/2015,PM2.5,41,,1,22,32,5,41
03/02/2015,PM2.5,43,7,0,30,36,,43
03/03/2015,PM2.5,38,10,1,27,33,,38
03/04/2015,PM2.5,38,10,1,31,35,,38
03/05/2015,PM2.5,43,10,1,38,42,,43
03/06/2015,PM2.5,44,13,1,31,42,,44
03/07/2015,PM2.5,45,13,3,25,43,,45
03/08/2015,Ozone,46,5,3,9,46,,45
03/09/2015,PM2.5,52,6,1,16,35,,52
03/10/2015,PM2.5,54,6,1,14,39,,54
03/11/2015,Ozone,36,6,3,23,36,,34
03/12/2015,Ozone,37,9,0,22,37,6,23
03/13/2015,Ozone,39,9,1,17,39,,18
03/14/2015,Ozone,49,8,1,23,49,12,36
