Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,96,2,25,23,31,96
01/02/2015,PM2.5,94,2,33,19,,94
01/03/2015,PM2.5,96,2,36,21,,96
01/04/2015,PM2.5,91,2,27,19,,91
01/05/2015,PM2.5,87,2,29,16,,87
01/06/2015,PM2.5,80,1,29,16,,80
01/07/2015,PM2.5,84,1,25,13,33,84
01/08/2015,PM2.5,75,2,26,13,28,75
01/09/2015,PM2.5,95,1,17,5,36,95
01/10/2015,PM2.5,99,2,18,14,34,99
01/11/2015,PM2.5,97,2,27,17,32,97
01/12/2015,PM2.5,72,2,26,21,25,72
01/13/2015,PM2.5,36,1,19,24,11,36
01/14/2015,PM2.5,102,2,26,16,33,102
01/15/2015,PM2.5,83,2,20,9,27,83
01/16/2015,PM2.5,67,2,13,11,16,67
01/17/2015,PM2.5,58,2,12,13,13,58
01/18/2015,PM2.5,77,2,13,6,19,77
01/19/2015,PM2.5,68,2,8,8,18,68
01/20/2015,PM2.5,61,2,17,10,19,61
01/21/2015,PM2.5,65,2,22,13,20,65
01/22/2015,PM2.5,74,2,20,10,21,74
01/23/2015,PM2.5,70,1,18,10,19,70
01/24/2015,PM2.5,77,1,16,14,22,77
01/25/2015,PM2.5,60,1,16,12,14,60
01/26/2015,PM2.5,72,2,22,13,23,72
01/27/2015,PM2.5,85,2,22,7,30,85
01/28/2015,PM2.5,59,2,21,25,20,59
01/29/2015,PM2.5,60,2,31,24,23,60
01/30/2015,PM2.5,41,1,20,24,17,41
01/31/2015,Ozone,30,1,29,30,10,22
02/01/2015,PM2.5,84,2,20,29,29,84
02/02/2015,PM2.5,79,2,22,20,28,79
02/03/2015,PM2.5,52,1,30,19,17,52
02/04/2015,PM2.5,94,2,37,26,41,94
02/05/2015,PM2.5,64,2,20,19,24,64
02/06/2015,PM2.5,36,2,12,28,12,36
02/07/2015,Ozone,23,1,9,23,5,22
02/08/2015,Ozone,34,2,10,34,6,22
02/09/2015,Ozone,33,1,22,33,13,24
02/10/2015,NO2,26,1,26,24,8,21
02/11/2015,PM2.5,44,1,25,19,16,44
02/12/2015,PM2.5,42,1,29,19,15,42
02/13/2015,PM2.5,41,,18,24,15,41
02/14/2015,PM2.5,51,,28,23,16,51
02/15/2015,PM2.5,52,,15,25,16,52
02/16/2015,PM2.5,38,,28,30,14,38
02/17/2015,PM2.5,46,,15,30,15,46
02/18/2015,PM2.5,58,,16,20,16,58
02/19/2015,PM2.5,59,1,12,20,12,59
02/20/2015,PM2.5,39,2,8,27,10,39
02/21/2015,PM2.5,56,2,9,21,16,56
02/22/2015,Ozone,33,2,3,33,32,19
02/23/2015,Ozone,34,1,5,34,17,10
02/24/2015,Ozone,31,1,17,31,13,21
02/25/2015,PM2.5,47,2,20,34,19,47
02/26/2015,PM2.5,33,2,18,33,15,33
02/27/2015,Ozone,31,1,11,31,7,18
02/28/2015,PM2.5,26,1,25,26,9,26
03/01/2015,Ozone,31,1,23,31,6,17
03/02/2015,Ozone,31,2,8,31,10,25
03/03/2015,NO2,27,1,27,,9,26
03/04/2015,PM2.5,38,2,30,35,16,38
03/05/2015,PM2.5,43,2,34,34,17,43
03/06/2015,PM2.5,39,2,23,32,18,39
03/07/2015,PM2.5,47,2,27,44,21,47
03/08/2015,PM2.5,52,2,22,40,20,52
03/09/2015,PM2.5,55,2,22,39,30,55
03/10/2015,PM2.5,54,2,20,41,31,54
03/11/2015,PM2.5,45,2,20,37,14,45
03/12/2015,Ozone,31,1,8,31,7,18
03/13/2015,Ozone,38,2,19,38,14,31
03/14/2015,PM2.5,51,2,31,39,19,51
03/15/2015,Ozone,40,2,26,40,13,23
03/16/2015,Ozone,29,1,9,29,7,19
03/17/2015,Ozone,38,1,28,38,11,32
03/18/2015,Ozone,36,1,25,36,11,15
03/19/2015,Ozone,37,1,20,37,15,23
03/20/2015,PM2.5,36,2,22,31,19,36
03/21/2015,Ozone,39,2,8,39,11,21
03/22/2015,Ozone,34,1,4,34,10,18
03/23/2015,Ozone,40,1,6,40,7,21
03/24/2015,PM2.5,31,1,11,31,9,31
03/25/2015,Ozone,30,1,25,30,8,15
03/26/2015,Ozone,39,2,36,39,17,23
03/27/2015,Ozone,44,2,18,44,17,28
03/28/2015,Ozone,42,1,28,42,14,15
03/29/2015,Ozone,44,2,18,44,16,27
03/30/2015,Ozone,44,2,19,44,21,30
03/31/2015,Ozone,39,1,6,39,16,20
04/01/2015,Ozone,39,1,8,39,12,10
04/02/2015,Ozone,36,2,6,36,15,12
04/03/2015,Ozone,40,2,18,40,19,28
04/04/2015,Ozone,43,2,7,43,19,36
04/05/2015,Ozone,36,1,5,36,6,12
04/06/2015,Ozone,43,2,6,43,6,12
04/07/2015,Ozone,32,2,6,32,4,10
04/08/2015,Ozone,38,2,12,38,5,17
04/09/2015,Ozone,37,2,29,37,8,19
04/10/2015,Ozone,47,2,16,47,9,19
04/11/2015,Ozone,41,1,28,41,13,25
04/12/2015,Ozone,43,1,25,43,11,19
04/13/2015,Ozone,44,2,14,44,18,25
04/14/2015,Ozone,41,2,6,41,9,10
04/15/2015,CO,1,1,,.,,
04/16/2015,Ozone,44,1,,44,,17
04/17/2015,Ozone,50,2,24,50,26,26
04/18/2015,Ozone,64,2,18,64,34,44
04/19/2015,Ozone,45,2,11,45,28,36
04/20/2015,PM2.5,54,2,6,45,31,54
04/21/2015,Ozone,35,2,7,35,27,29
04/22/2015,Ozone,44,2,12,44,27,38
04/23/2015,PM2.5,51,2,7,45,38,51
04/24/2015,Ozone,36,2,5,36,20,25
04/25/2015,Ozone,38,1,7,38,5,13
04/26/2015,Ozone,39,1,28,39,8,25
04/27/2015,Ozone,34,1,20,34,10,15
04/28/2015,Ozone,38,1,6,38,12,22
04/29/2015,Ozone,44,1,24,44,18,32
04/30/2015,Ozone,41,2,32,41,39,30
05/01/2015,Ozone,64,2,22,64,25,36
05/02/2015,Ozone,77,1,6,77,28,52
05/03/2015,Ozone,64,1,4,64,19,38
05/04/2015,Ozone,49,2,4,49,21,35
05/05/2015,Ozone,49,2,6,49,27,44
05/06/2015,Ozone,48,2,14,48,21,32
05/07/2015,Ozone,49,1,3,49,28,26
05/08/2015,Ozone,58,2,10,58,19,40
05/09/2015,Ozone,51,2,4,51,22,48
05/10/2015,Ozone,51,2,3,51,16,43
05/11/2015,Ozone,40,1,4,40,19,31
05/12/2015,Ozone,46,1,7,46,16,30
05/13/2015,Ozone,45,1,5,45,14,25
05/14/2015,Ozone,47,1,6,47,10,37
05/15/2015,Ozone,47,1,4,47,12,31
05/16/2015,Ozone,44,1,4,44,15,26
05/17/2015,Ozone,44,1,3,44,11,26
05/18/2015,Ozone,46,1,3,46,14,37
05/19/2015,Ozone,49,1,8,49,16,46
05/20/2015,Ozone,47,1,5,47,17,37
05/21/2015,Ozone,44,1,4,44,15,24
05/22/2015,Ozone,43,1,3,43,12,20
05/23/2015,Ozone,47,1,8,47,17,35
05/24/2015,Ozone,44,1,6,44,20,42
05/25/2015,Ozone,41,1,20,41,13,25
05/26/2015,Ozone,45,1,20,45,14,20
05/27/2015,Ozone,47,1,5,47,15,28
05/28/2015,Ozone,93,2,6,93,19,29
05/29/2015,Ozone,77,2,7,77,19,28
05/30/2015,Ozone,58,1,4,58,18,26
05/31/2015,Ozone,48,1,3,48,19,24
06/01/2015,Ozone,36,1,2,36,9,11
06/02/2015,Ozone,39,1,4,39,11,16
06/03/2015,Ozone,44,1,6,44,19,26
06/04/2015,Ozone,49,1,6,49,19,27
06/05/2015,Ozone,84,1,8,84,20,25
06/06/2015,Ozone,97,1,11,97,19,32
06/07/2015,Ozone,71,1,6,71,15,30
06/08/2015,Ozone,108,2,26,108,28,51
06/09/2015,Ozone,84,2,22,84,34,36
06/10/2015,Ozone,58,1,8,58,10,31
06/11/2015,Ozone,101,1,10,101,16,32
06/12/2015,Ozone,77,1,17,77,21,35
06/13/2015,Ozone,64,2,3,64,29,54
06/14/2015,PM2.5,59,1,3,48,29,59
06/15/2015,PM2.5,56,1,3,54,29,56
06/16/2015,Ozone,90,2,7,90,28,51
06/17/2015,Ozone,119,2,8,119,28,51
06/18/2015,Ozone,51,1,7,51,27,39
06/19/2015,Ozone,64,1,7,64,20,21
06/20/2015,Ozone,77,1,7,77,19,25
06/21/2015,Ozone,45,1,3,45,18,23
06/22/2015,Ozone,58,1,5,58,18,22
06/23/2015,Ozone,50,1,15,50,23,32
06/24/2015,Ozone,74,1,8,74,27,41
06/25/2015,Ozone,90,2,19,90,31,48
06/26/2015,Ozone,112,2,8,112,28,43
06/27/2015,Ozone,84,1,4,84,20,23
06/28/2015,Ozone,45,1,5,45,10,15
06/29/2015,Ozone,74,1,7,74,14,13
06/30/2015,Ozone,64,1,11,64,29,30
07/01/2015,Ozone,97,2,23,97,32,37
07/02/2015,Ozone,80,1,11,80,26,32
07/03/2015,Ozone,71,1,5,71,17,23
07/04/2015,Ozone,54,1,4,54,20,53
07/05/2015,Ozone,43,1,4,43,15,35
07/06/2015,Ozone,42,1,3,42,14,18
07/07/2015,Ozone,37,1,3,37,15,23
07/08/2015,Ozone,39,1,3,39,17,22
07/09/2015,Ozone,38,1,3,38,13,25
07/10/2015,Ozone,38,1,3,38,12,21
07/11/2015,Ozone,39,1,3,39,12,18
07/12/2015,Ozone,36,1,2,36,8,20
07/13/2015,Ozone,44,1,5,44,15,27
07/14/2015,Ozone,50,1,5,50,18,25
07/15/2015,Ozone,54,1,5,54,22,33
07/16/2015,Ozone,67,1,5,67,22,34
07/17/2015,Ozone,74,1,5,74,19,27
07/18/2015,Ozone,51,1,6,51,18,24
07/19/2015,Ozone,42,1,5,42,12,23
07/20/2015,Ozone,41,1,5,41,20,26
07/21/2015,Ozone,38,1,6,38,25,34
07/22/2015,Ozone,41,3,5,41,30,30
07/23/2015,Ozone,41,6,2,41,23,40
07/24/2015,Ozone,45,2,6,45,21,39
07/25/2015,Ozone,47,1,5,47,14,20
07/26/2015,Ozone,41,2,4,41,13,22
07/27/2015,Ozone,39,1,25,39,24,32
07/28/2015,Ozone,42,1,28,42,22,18
07/29/2015,Ozone,90,1,22,90,29,39
07/30/2015,Ozone,87,3,7,87,31,43
07/31/2015,Ozone,87,2,8,87,30,38
08/01/2015,Ozone,54,,3,54,25,46
08/02/2015,Ozone,67,,3,67,25,55
08/03/2015,Ozone,44,,3,44,22,36
08/04/2015,Ozone,36,,3,36,19,30
