Date,Main Pollutant,Overall AQI Value,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,60,29,34,,60
01/02/2015,PM2.5,59,34,33,,59
01/03/2015,PM2.5,79,34,29,,79
01/04/2015,PM2.5,100,29,25,,100
01/05/2015,PM2.5,110,37,27,,110
01/06/2015,PM2.5,151,37,29,57,151
01/07/2015,PM2.5,154,39,31,,154
01/08/2015,PM2.5,160,41,29,,160
01/09/2015,PM2.5,167,31,32,,167
01/10/2015,PM2.5,163,38,39,,163
01/11/2015,PM2.5,170,25,36,,170
01/12/2015,PM2.5,153,17,26,52,153
01/13/2015,PM2.5,130,24,29,,130
01/14/2015,PM2.5,99,24,30,,99
01/15/2015,PM2.5,84,12,29,,84
01/16/2015,PM2.5,89,14,28,,89
01/17/2015,PM2.5,89,15,31,,89
01/18/2015,PM2.5,96,8,22,27,96
01/19/2015,PM2.5,69,10,20,,69
01/20/2015,PM2.5,54,8,11,,54
01/21/2015,PM2.5,54,8,12,,54
01/22/2015,PM2.5,65,17,20,,65
01/23/2015,PM2.5,85,8,21,,85
01/24/2015,PM2.5,84,12,31,20,84
01/25/2015,PM2.5,68,11,32,,68
01/26/2015,PM2.5,79,17,31,,79
01/27/2015,PM2.5,64,26,26,,64
01/28/2015,PM2.5,76,20,26,,76
01/29/2015,PM2.5,105,24,21,,105
01/30/2015,PM2.5,126,25,25,40,126
01/31/2015,PM2.5,115,22,31,,115
02/01/2015,PM2.5,86,25,31,,86
02/02/2015,PM2.5,91,34,33,,91
02/03/2015,PM2.5,113,34,33,,113
02/04/2015,PM2.5,62,32,27,,62
02/05/2015,PM2.5,49,33,31,29,49
02/06/2015,PM2.5,39,28,29,,39
02/07/2015,PM2.5,22,8,19,,22
02/08/2015,Ozone,26,5,26,,19
02/09/2015,PM2.5,37,16,32,,37
02/10/2015,PM2.5,61,10,29,,61
02/11/2015,PM2.5,90,26,31,30,90
02/12/2015,PM2.5,95,34,34,,95
02/13/2015,PM2.5,81,41,41,,81
02/14/2015,PM2.5,88,26,43,,88
02/15/2015,PM2.5,100,35,47,,100
02/16/2015,PM2.5,102,19,48,,102
02/17/2015,PM2.5,94,23,45,39,94
02/18/2015,PM2.5,97,20,39,,97
02/19/2015,PM2.5,102,27,40,,102
02/20/2015,PM2.5,95,17,40,,95
02/21/2015,PM2.5,110,18,28,,110
02/22/2015,PM2.5,59,8,31,,59
02/23/2015,Ozone,31,8,31,5,17
02/24/2015,PM2.5,43,25,32,,43
02/25/2015,PM2.5,63,35,37,,63
02/26/2015,PM2.5,93,34,45,,93
02/27/2015,PM2.5,84,20,45,,84
02/28/2015,Ozone,38,10,38,,20
03/01/2015,Ozone,31,12,31,9,30
03/02/2015,Ozone,32,20,32,,21
03/03/2015,PM2.5,41,25,31,,41
03/04/2015,PM2.5,55,32,38,,55
03/05/2015,PM2.5,44,37,40,,44
03/06/2015,PM2.5,58,38,44,,58
03/07/2015,PM2.5,75,27,58,33,75
03/08/2015,Ozone,67,30,67,,64
03/09/2015,PM2.5,64,37,61,,64
03/10/2015,Ozone,71,37,71,,48
03/11/2015,PM2.5,65,23,42,,65
03/12/2015,PM2.5,67,26,40,,67
03/13/2015,PM2.5,56,41,54,35,56
03/14/2015,Ozone,61,26,61,,45
03/15/2015,Ozone,54,32,54,,33
03/16/2015,PM2.5,52,14,50,,52
03/17/2015,PM2.5,60,15,40,,60
03/18/2015,PM2.5,51,14,44,,51
03/19/2015,PM2.5,61,26,51,38,61
03/20/2015,Ozone,71,23,71,,66
03/21/2015,PM2.5,76,27,71,,76
03/22/2015,Ozone,67,10,67,,57
03/23/2015,Ozone,42,8,42,,34
