Date,Main Pollutant,Overall AQI Value,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,63,26,36,23,63
01/02/2015,PM2.5,54,29,39,19,54
01/03/2015,PM2.5,70,26,38,26,70
01/04/2015,PM2.5,59,28,35,19,59
01/05/2015,Ozone,35,18,35,14,20
01/06/2015,Ozone,32,27,32,11,14
01/07/2015,Ozone,30,26,30,15,13
01/08/2015,NO2,36,36,28,19,29
01/09/2015,PM2.5,74,32,30,33,74
01/10/2015,PM2.5,83,27,20,29,83
01/11/2015,Ozone,34,12,34,6,26
01/12/2015,PM2.5,40,22,29,14,40
01/13/2015,Ozone,37,22,37,13,28
01/14/2015,Ozone,32,25,32,10,16
01/15/2015,Ozone,34,26,34,10,15
01/16/2015,Ozone,32,26,32,11,23
01/17/2015,NO2,38,38,36,17,28
01/18/2015,Ozone,35,22,35,11,31
01/19/2015,PM2.5,42,24,33,19,42
01/20/2015,PM2.5,68,25,29,23,68
01/21/2015,Ozone,36,24,36,14,33
01/22/2015,Ozone,36,24,36,13,19
01/23/2015,Ozone,37,25,37,15,15
01/24/2015,Ozone,38,18,38,31,10
01/25/2015,Ozone,36,21,36,13,13
01/26/2015,Ozone,34,24,34,14,20
01/27/2015,Ozone,33,21,33,9,30
01/28/2015,Ozone,35,22,35,13,16
01/29/2015,NO2,35,35,33,16,19
01/30/2015,Ozone,32,24,32,18,28
01/31/2015,PM2.5,48,25,35,16,48
02/01/2015,PM2.5,38,24,35,12,38
02/02/2015,Ozone,41,31,41,16,33
02/03/2015,PM2.5,52,27,38,24,52
02/04/2015,PM2.5,71,28,44,32,71
02/05/2015,PM2.5,93,33,54,49,93
02/06/2015,PM2.5,74,30,46,31,74
02/07/2015,PM2.5,57,25,22,18,57
02/08/2015,PM2.5,33,16,24,7,33
02/09/2015,Ozone,31,23,31,17,23
02/10/2015,Ozone,41,14,41,16,23
02/11/2015,Ozone,41,7,41,12,10
02/12/2015,Ozone,43,22,43,13,8
02/13/2015,Ozone,47,31,47,17,14
02/14/2015,Ozone,54,25,54,16,25
02/15/2015,Ozone,67,24,67,16,38
02/16/2015,PM2.5,63,24,61,27,63
02/17/2015,PM2.5,94,22,61,55,94
02/18/2015,PM2.5,73,26,50,34,73
02/19/2015,PM2.5,71,24,64,55,71
02/20/2015,PM2.5,91,23,67,38,91
02/21/2015,PM2.5,68,20,47,26,68
02/22/2015,PM2.5,42,6,41,12,42
02/23/2015,Ozone,35,19,35,9,27
02/24/2015,Ozone,38,25,38,14,25
02/25/2015,Ozone,43,27,43,16,30
02/26/2015,PM2.5,49,24,47,27,49
02/27/2015,PM2.5,48,24,40,22,48
02/28/2015,Ozone,38,14,38,8,25
03/01/2015,Ozone,39,7,39,4,20
03/02/2015,Ozone,39,22,39,4,25
03/03/2015,Ozone,39,20,39,6,21
03/04/2015,Ozone,44,17,44,13,20
03/05/2015,Ozone,45,24,45,12,18
03/06/2015,Ozone,44,20,44,19,11
03/07/2015,Ozone,46,24,46,16,22
03/08/2015,Ozone,49,21,49,20,36
03/09/2015,Ozone,61,26,61,31,60
03/10/2015,Ozone,58,29,58,31,57
03/11/2015,PM2.5,58,34,39,31,58
03/12/2015,Ozone,48,21,48,19,26
03/13/2015,Ozone,44,21,44,24,14
03/14/2015,Ozone,58,25,58,13,24
03/15/2015,Ozone,67,20,67,15,29
03/16/2015,Ozone,97,34,97,27,37
03/17/2015,Ozone,74,39,74,31,50
03/18/2015,Ozone,67,23,67,35,59
03/19/2015,PM2.5,60,14,50,34,60
03/20/2015,Ozone,84,26,84,35,71
03/21/2015,PM2.5,74,16,67,37,74
03/22/2015,PM2.5,57,7,48,22,57
03/23/2015,Ozone,39,18,39,18,31
03/24/2015,Ozone,44,24,44,23,25
03/25/2015,Ozone,46,26,46,25,23
03/26/2015,PM10,50,31,47,50,32
03/27/2015,Ozone,84,32,84,27,33
03/28/2015,Ozone,71,27,71,29,48
03/29/2015,Ozone,77,16,77,22,54
03/30/2015,Ozone,87,23,87,24,55
03/31/2015,Ozone,71,22,71,31,60
04/01/2015,Ozone,64,18,64,36,54
04/02/2015,Ozone,64,18,64,31,44
04/03/2015,Ozone,67,20,67,41,36
04/04/2015,Ozone,97,23,97,31,47
04/05/2015,Ozone,64,8,64,27,51
04/06/2015,Ozone,47,16,47,17,26
04/07/2015,Ozone,43,20,43,13,25
04/08/2015,Ozone,45,16,45,12,26
04/09/2015,Ozone,74,31,74,17,39
04/10/2015,Ozone,77,28,77,16,33
04/11/2015,Ozone,87,23,87,18,46
04/12/2015,Ozone,71,13,71,21,49
04/13/2015,Ozone,61,25,61,26,54
04/14/2015,Ozone,58,20,58,30,56
04/15/2015,Ozone,80,27,80,52,45
04/16/2015,Ozone,84,16,84,53,31
04/17/2015,Ozone,97,32,97,39,44
04/18/2015,Ozone,115,22,115,36,53
04/19/2015,Ozone,101,14,101,31,60
04/20/2015,Ozone,61,13,61,31,60
04/21/2015,PM2.5,54,12,51,23,54
04/22/2015,PM2.5,49,22,49,20,49
04/23/2015,PM2.5,46,19,42,18,46
04/24/2015,PM2.5,49,16,40,19,49
04/25/2015,PM2.5,40,12,38,19,40
04/26/2015,PM2.5,57,6,49,24,57
04/27/2015,Ozone,74,21,74,35,42
04/28/2015,Ozone,101,32,101,28,47
04/29/2015,Ozone,108,34,108,40,60
04/30/2015,Ozone,90,32,90,37,65
05/01/2015,Ozone,67,30,67,31,60
05/02/2015,Ozone,61,21,61,32,58
05/03/2015,PM2.5,57,11,50,25,57
