Date,Main Pollutant,Overall AQI Value,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,75,17,26,,75
01/02/2015,PM2.5,71,26,27,,71
01/03/2015,PM2.5,90,26,24,,90
01/04/2015,PM2.5,75,21,27,,75
01/05/2015,PM2.5,58,21,19,,58
01/06/2015,PM2.5,61,16,22,39,61
01/07/2015,PM2.5,47,24,19,,47
01/08/2015,PM2.5,60,24,17,,60
01/09/2015,NO2,16,16,6,,
01/10/2015,PM2.5,87,18,15,,87
01/11/2015,PM2.5,80,23,21,,80
01/12/2015,PM2.5,59,21,23,19,59
01/13/2015,PM2.5,61,19,21,,61
01/14/2015,PM2.5,96,19,19,,96
01/15/2015,PM2.5,75,13,17,29,75
01/16/2015,PM2.5,69,8,13,,69
01/17/2015,PM2.5,56,11,20,,56
01/18/2015,PM2.5,59,6,11,25,59
01/19/2015,PM2.5,51,13,18,,51
01/20/2015,PM2.5,49,15,17,,49
01/21/2015,PM2.5,55,19,16,,55
01/22/2015,PM2.5,68,12,14,,68
01/23/2015,PM2.5,75,16,11,,75
01/24/2015,PM2.5,77,11,15,26,77
01/25/2015,PM2.5,64,8,15,,64
01/26/2015,PM2.5,76,15,21,,76
01/27/2015,PM2.5,76,22,14,,76
01/28/2015,PM2.5,70,13,30,,70
01/29/2015,PM2.5,63,18,28,,63
01/30/2015,Ozone,26,10,26,19,24
01/31/2015,Ozone,32,20,32,,18
02/01/2015,PM2.5,91,11,30,,91
02/02/2015,PM2.5,67,21,25,,67
02/03/2015,PM2.5,63,23,25,,63
02/04/2015,PM2.5,87,23,29,,87
02/05/2015,PM2.5,63,14,19,21,63
02/06/2015,PM2.5,55,12,24,,55
02/07/2015,PM2.5,38,8,25,,38
02/08/2015,PM2.5,41,6,36,,41
02/09/2015,PM2.5,38,5,35,,38
02/10/2015,Ozone,30,9,30,,25
02/11/2015,PM2.5,35,15,24,14,35
02/12/2015,PM2.5,28,17,27,,28
02/13/2015,PM2.5,48,12,28,,48
02/14/2015,PM2.5,31,8,27,,31
02/15/2015,PM2.5,35,16,27,,35
02/16/2015,PM2.5,53,18,33,,53
02/17/2015,PM2.5,52,15,26,9,52
02/18/2015,PM2.5,60,21,24,,60
02/19/2015,PM2.5,60,10,24,,60
02/20/2015,PM2.5,56,8,30,,56
02/21/2015,PM2.5,71,8,27,,71
02/22/2015,Ozone,31,5,31,,27
02/23/2015,Ozone,37,2,37,12,20
02/24/2015,Ozone,36,10,36,,20
02/25/2015,PM2.5,54,15,36,,54
02/26/2015,PM2.5,48,13,37,,48
02/27/2015,Ozone,34,18,34,,19
02/28/2015,Ozone,30,5,30,,28
03/01/2015,Ozone,32,9,32,6,23
03/02/2015,PM2.5,35,9,33,,35
03/03/2015,PM2.5,35,10,33,,35
03/04/2015,PM2.5,35,24,34,,35
03/05/2015,Ozone,43,7,43,,36
03/06/2015,Ozone,41,25,41,,38
03/07/2015,PM2.5,47,19,45,20,47
03/08/2015,PM2.5,55,15,46,,55
03/09/2015,PM2.5,52,13,41,,52
03/10/2015,PM2.5,56,14,41,,56
03/11/2015,PM2.5,44,16,41,,44
03/12/2015,Ozone,34,6,34,,23
03/13/2015,Ozone,38,25,38,18,33
03/14/2015,Ozone,54,14,54,,50
03/15/2015,Ozone,43,12,43,,29
