LGHC Indicator Name,Geography,Year,Age Group,Strata,Strata Name,Numerator,Rate,LGHC Indicator ID,LGHC Target Rate
Asthma ED Visit Rates,Alameda,2015,Under 18,Total Population,Under 18,3426,96.7,7,28
Asthma ED Visit Rates,Amador,2015,Under 18,Total Population,Under 18,45,85.1,7,28
Asthma ED Visit Rates,Butte,2015,Under 18,Total Population,Under 18,308,68.7,7,28
Asthma ED Visit Rates,Calaveras,2015,Under 18,Total Population,Under 18,46,63,7,28
Asthma ED Visit Rates,California,2015,Under 18,Total Population,Under 18,74050,80.6,7,28
Asthma ED Visit Rates,Colusa,2015,Under 18,Total Population,Under 18,48,77,7,28
Asthma ED Visit Rates,Contra Costa,2015,Under 18,Total Population,Under 18,2330,95.2,7,28
Asthma ED Visit Rates,Del Norte,2015,Under 18,Total Population,Under 18,49,85.2,7,28
Asthma ED Visit Rates,El Dorado,2015,Under 18,Total Population,Under 18,170,46.8,7,28
Asthma ED Visit Rates,Fresno,2015,Under 18,Total Population,Under 18,4482,156,7,28
Asthma ED Visit Rates,Glenn,2015,Under 18,Total Population,Under 18,39,51.8,7,28
Asthma ED Visit Rates,Humboldt,2015,Under 18,Total Population,Under 18,153,59.3,7,28
Asthma ED Visit Rates,Imperial,2015,Under 18,Total Population,Under 18,737,140.1,7,28
Asthma ED Visit Rates,Inyo,2015,Under 18,Total Population,Under 18,33,92,7,28
Asthma ED Visit Rates,Kern,2015,Under 18,Total Population,Under 18,2566,96.8,7,28
Asthma ED Visit Rates,Kings,2015,Under 18,Total Population,Under 18,615,143.4,7,28
Asthma ED Visit Rates,Lake,2015,Under 18,Total Population,Under 18,115,90.6,7,28
Asthma ED Visit Rates,Lassen,2015,Under 18,Total Population,Under 18,33,59.7,7,28
Asthma ED Visit Rates,Los Angeles,2015,Under 18,Total Population,Under 18,20540,88.7,7,28
Asthma ED Visit Rates,Madera,2015,Under 18,Total Population,Under 18,586,133,7,28
Asthma ED Visit Rates,Marin,2015,Under 18,Total Population,Under 18,167,33.5,7,28
Asthma ED Visit Rates,Mariposa,2015,Under 18,Total Population,Under 18,10,,7,28
Asthma ED Visit Rates,Mendocino,2015,Under 18,Total Population,Under 18,130,69,7,28
Asthma ED Visit Rates,Merced,2015,Under 18,Total Population,Under 18,1110,139.8,7,28
Asthma ED Visit Rates,Modoc,2015,Under 18,Total Population,Under 18,19,100.1,7,28
Asthma ED Visit Rates,Mono,2015,Under 18,Total Population,Under 18,16,52.7,7,28
Asthma ED Visit Rates,Monterey,2015,Under 18,Total Population,Under 18,970,84.2,7,28
Asthma ED Visit Rates,Napa,2015,Under 18,Total Population,Under 18,190,62.5,7,28
Asthma ED Visit Rates,Nevada,2015,Under 18,Total Population,Under 18,79,47.9,7,28
Asthma ED Visit Rates,Orange,2015,Under 18,Total Population,Under 18,4279,59.7,7,28
Asthma ED Visit Rates,Placer,2015,Under 18,Total Population,Under 18,337,41.5,7,28
Asthma ED Visit Rates,Plumas,2015,Under 18,Total Population,Under 18,21,65.2,7,28
Asthma ED Visit Rates,Riverside,2015,Under 18,Total Population,Under 18,3917,64.9,7,28
Asthma ED Visit Rates,Sacramento,2015,Under 18,Total Population,Under 18,3285,90.8,7,28
Asthma ED Visit Rates,San Benito,2015,Under 18,Total Population,Under 18,115,76.6,7,28
Asthma ED Visit Rates,San Bernardino,2015,Under 18,Total Population,Under 18,5019,87.7,7,28
Asthma ED Visit Rates,San Diego,2015,Under 18,Total Population,Under 18,4616,62.1,7,28
Asthma ED Visit Rates,San Francisco,2015,Under 18,Total Population,Under 18,850,64.9,7,28
Asthma ED Visit Rates,San Joaquin,2015,Under 18,Total Population,Under 18,1868,95.1,7,28
Asthma ED Visit Rates,San Luis Obispo,2015,Under 18,Total Population,Under 18,321,65,7,28
Asthma ED Visit Rates,San Mateo,2015,Under 18,Total Population,Under 18,826,49.5,7,28
Asthma ED Visit Rates,Santa Barbara,2015,Under 18,Total Population,Under 18,689,70,7,28
Asthma ED Visit Rates,Santa Clara,2015,Under 18,Total Population,Under 18,1976,44.1,7,28
Asthma ED Visit Rates,Santa Cruz,2015,Under 18,Total Population,Under 18,343,60.8,7,28
Asthma ED Visit Rates,Shasta,2015,Under 18,Total Population,Under 18,300,78.1,7,28
Asthma ED Visit Rates,Siskiyou,2015,Under 18,Total Population,Under 18,43,50.4,7,28
Asthma ED Visit Rates,Solano,2015,Under 18,Total Population,Under 18,1141,119.4,7,28
Asthma ED Visit Rates,Sonoma,2015,Under 18,Total Population,Under 18,586,56.9,7,28
Asthma ED Visit Rates,Stanislaus,2015,Under 18,Total Population,Under 18,1236,85.8,7,28
Asthma ED Visit Rates,Sutter,2015,Under 18,Total Population,Under 18,121,47.5,7,28
Asthma ED Visit Rates,Tehama,2015,Under 18,Total Population,Under 18,128,85.3,7,28
Asthma ED Visit Rates,Trinity,2015,Under 18,Total Population,Under 18,7,,7,28
Asthma ED Visit Rates,Tulare,2015,Under 18,Total Population,Under 18,1264,85.5,7,28
Asthma ED Visit Rates,Tuolumne,2015,Under 18,Total Population,Under 18,54,60.9,7,28
Asthma ED Visit Rates,Ventura,2015,Under 18,Total Population,Under 18,1271,62.7,7,28
Asthma ED Visit Rates,Yolo,2015,Under 18,Total Population,Under 18,291,67.7,7,28
Asthma ED Visit Rates,Yuba,2015,Under 18,Total Population,Under 18,131,62.5,7,28
Asthma ED Visit Rates,Alameda,2015,Under 18,Race-Ethnicity,African-American,1121,285.7,7,28
Asthma ED Visit Rates,Butte,2015,Under 18,Race-Ethnicity,African-American,28,479.5,7,28
Asthma ED Visit Rates,California,2015,Under 18,Race-Ethnicity,African-American,13099,271.4,7,28
