county,asian,black,hispanic,white,other
Alameda,27.5,12.1,23.8,32.4,4.2
Alpine,0.0,0.0,6.4,73.8,19.8
Amador,1.4,2.6,13.8,77.9,4.2
Butte,4.9,1.4,15.6,73.1,5.0
Calaveras,1.3,0.8,10.9,82.9,4.1
Colusa,1.4,0.8,56.5,38.7,2.6
Contra Costa,14.9,8.6,25.4,47.0,4.1
Del Norte,3.3,4.3,18.4,63.5,10.5
El Dorado,4.0,0.7,13.2,78.4,3.7
Fresno,9.6,4.9,51.7,31.4,2.5
Glenn,2.5,0.7,39.8,53.6,3.4
Humboldt,2.7,1.1,10.6,76.0,9.6
Imperial,0.9,3.2,80.7,13.7,1.5
Inyo,1.4,0.6,20.8,64.7,12.6
Kern,3.7,5.4,50.4,38.0,2.6
Kings,3.5,7.8,50.3,35.2,3.3
Lake,1.1,1.8,18.1,73.1,5.8
Lassen,1.5,9.1,16.3,67.5,5.7
Los Angeles,13.9,7.9,49.5,26.5,2.2
Madera,1.7,3.2,56.2,36.0,2.7
Marin,5.9,2.8,17.0,71.0,3.2
Mariposa,1.2,0.6,10.1,82.3,5.7
Mendocino,1.9,0.7,23.8,66.9,6.8
Merced,6.3,3.2,55.6,32.8,2.2
Modoc,0.5,0.7,14.6,79.0,5.2
Mono,1.1,0.3,28.3,67.1,3.2
Monterey,6.2,2.5,59.1,29.5,2.7
Napa,7.4,1.8,34.3,54.0,2.5
Nevada,1.8,0.4,9.9,84.5,3.4
Orange,18.4,1.6,35.1,42.2,2.6
Placer,7.4,1.2,15.4,72.3,3.7
Plumas,0.8,0.9,8.8,84.1,5.5
Riverside,6.1,6.3,46.2,38.7,2.7
Sacramento,15.2,10.0,22.1,47.5,5.1
San Benito,3.9,0.9,60.9,32.3,2.0
San Bernardino,6.0,8.8,49.6,32.9,2.6
San Diego,11.4,4.7,33.6,46.6,3.7
San Francisco,33.5,5.5,15.9,41.5,3.6
San Joaquin,14.3,7.6,39.5,35,3.7
San Luis Obispo,3.4,2.0,22.2,69.5,2.9
San Mateo,26.9,2.8,27.3,39.5,3.6
Santa Barbara,5.0,1.9,45.6,45.0,2.6
Santa Clara,32.8,2.6,28.2,33.1,3.3
Santa Cruz,4.7,0.9,34.4,56.8,3.2
Shasta,3.5,0.8,9.6,80.2,6.0
Sierra,0.0,0.1,7.8,89.5,2.5
Siskiyou,1.4,1.2,11.2,78.2,8.1
Solano,15.2,13.7,24.7,40.6,5.8
Sonoma,4.0,1.6,26.1,64.8,3.5
Stanislaus,49.3,2.4,40.5,5.1,2.7
Sutter,53.2,1.6,29.6,12.8,2.8
Tehama,0.9,0.6,23.3,70.6,4.6
Trinity,1.7,0.3,8.7,81.0,8.3
Tulare,3.2,1.2,61.5,31.9,2.1
Tuolumne,1.2,2.1,11.9,80.7,4.1
Ventura,6.8,1.6,42.1,47.0,2.6
Yolo,13.2,2.9,30.8,49.0,4.1
Yuba,6.5,2.9,25.2,58.9,6.4
