county,0-4,5-17,18-64,65+,total
Alameda,99911,248516,1022113,196707,1567248
Alpine,35,210,683,219,1148
Amador,1341,4466,22016,9011,36833
Butte,11474,33791,140503,37584,223353
Calaveras,1692,6109,26210,10992,45004
Colusa,1590,4524,13132,2837,22083
Contra Costa,62767,189096,679089,153863,1084815
Del Norte,1511,4144,18464,4430,28549
El Dorado,8414,29251,112898,31798,182360
Fresno,79872,199933,585623,107296,972724
Glenn,2041,5501,16985,4098,28626
Humboldt,6806,19018,88330,21237,135392
Imperial,15369,37095,112755,21524,186744
Inyo,954,2635,11232,3834,18656
Kern,73380,183155,540506,90089,887129
Kings,12201,29268,99322,13938,154729
Lake,3441,9284,39190,12968,64884
Lassen,1406,4113,24387,4012,33918
Los Angeles,670558,1651655,6497777,1205588,10025579
Madera,11891,31124,95335,19480,157830
Marin,12575,38547,155296,48456,254873
Mariposa,723,2244,10640,4337,17944
Mendocino,5111,13673,53901,16374,89059
Merced,21018,58269,161704,27856,268846
Modoc,466,1439,5456,2154,9515
Mono,857,2189,9801,1658,14505
Monterey,35503,79601,266072,50352,429528
Napa,8108,22833,86074,23158,140174
Nevada,4068,13169,58682,22304,98223
Orange,197867,521905,1995613,403333,3118718
Placer,19964,63718,222081,61433,367196
Plumas,827,2425,11641,4788,19680
Riverside,157578,451550,1405703,292942,2307772
Sacramento,99572,259294,921326,183414,1463605
San Benito,3940,11334,35680,6317,57271
San Bernardino,156055,419543,1318404,218303,2112305
San Diego,213088,512931,2072631,399513,3198165
San Francisco,43660,79674,586185,120601,830120
San Joaquin,52671,144221,435432,83055,715379
San Luis Obispo,13043,36847,176281,46397,272568
San Mateo,47224,116676,472766,108996,745661
Santa Barbara,27955,70071,275947,58856,432830
Santa Clara,124223,318033,1191141,226677,1860074
Santa Cruz,16058,39954,178292,35566,269871
Shasta,10519,28013,107479,34243,180254
Sierra,116,333,1834,778,3062
Siskiyou,2156,6483,25895,10033,44567
Solano,25366,71357,267783,56750,421256
Sonoma,27515,76783,309744,79629,493671
Stanislaus,45343,124971,314766,54219,539299
Sutter,8036,21164,56651,11949,97800
Tehama,3813,11325,37692,11418,64249
Trinity,553,1662,8079,3180,13475
Tulare,40537,103935,272249,48596,465316
Tuolumne,2205,6737,32756,12502,54201
Ventura,55653,149248,529640,111865,846407
Yolo,11672,31724,140466,23450,207312
Yuba,5934,14672,45426,8591,74624
