Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,74,7,4,25,30,,74
01/02/2015,PM2.5,73,8,6,29,25,,73
01/03/2015,PM2.5,88,9,7,30,20,,88
01/04/2015,PM2.5,93,9,4,30,28,,93
01/05/2015,PM2.5,81,8,6,31,25,,81
01/06/2015,PM2.5,81,7,6,28,27,29,81
01/07/2015,PM2.5,61,8,6,31,25,,61
01/08/2015,PM2.5,92,11,6,33,21,,92
01/09/2015,PM2.5,78,10,4,37,12,,78
01/10/2015,PM2.5,67,10,13,32,17,,67
01/11/2015,PM2.5,72,9,7,24,23,,72
01/12/2015,PM2.5,39,9,6,26,22,14,39
01/13/2015,PM2.5,38,10,3,27,24,,38
01/14/2015,PM2.5,92,10,3,22,20,,92
01/15/2015,PM2.5,95,7,4,24,22,,95
01/16/2015,PM2.5,92,13,9,35,15,,92
01/17/2015,PM2.5,65,8,3,20,19,,65
01/18/2015,PM2.5,67,8,6,19,12,15,67
01/19/2015,PM2.5,47,8,3,24,18,,47
01/20/2015,PM2.5,62,8,10,27,19,,62
01/21/2015,PM2.5,54,9,4,25,19,,54
01/22/2015,PM2.5,72,8,3,24,15,,72
01/23/2015,PM2.5,63,10,4,27,13,,63
01/24/2015,PM2.5,71,11,3,22,17,23,71
01/25/2015,PM2.5,63,9,3,28,23,,63
01/26/2015,PM2.5,63,10,6,29,19,,63
01/27/2015,PM2.5,63,10,10,38,19,,63
01/28/2015,PM2.5,59,9,6,30,28,,59
01/29/2015,PM2.5,57,9,7,31,29,,57
01/30/2015,PM2.5,52,9,6,20,23,23,52
01/31/2015,Ozone,34,8,6,25,34,,33
02/01/2015,PM2.5,66,9,6,25,20,,66
02/02/2015,PM2.5,77,10,7,33,30,,77
02/03/2015,PM2.5,65,10,13,26,22,,65
02/04/2015,PM2.5,81,9,7,18,27,,81
02/05/2015,PM2.5,52,10,6,31,30,19,52
02/06/2015,Ozone,30,8,6,11,30,,27
02/07/2015,PM2.5,32,9,6,25,29,,32
02/08/2015,Ozone,37,9,7,17,37,,35
02/09/2015,PM2.5,44,8,6,21,35,,44
02/10/2015,Ozone,31,9,3,28,31,,23
02/11/2015,PM2.5,30,9,4,20,27,13,30
02/12/2015,PM2.5,37,8,4,25,30,,37
02/13/2015,PM2.5,50,7,3,24,31,,50
02/14/2015,PM2.5,47,7,3,21,29,,47
02/15/2015,PM2.5,32,8,3,16,31,,32
02/16/2015,PM2.5,47,7,4,17,36,,47
02/17/2015,PM2.5,62,6,3,11,34,15,62
02/18/2015,PM2.5,52,7,4,19,31,,52
02/19/2015,PM2.5,66,8,9,20,20,,66
02/20/2015,PM2.5,50,6,6,21,30,,50
02/21/2015,PM2.5,53,7,11,23,30,,53
02/22/2015,PM2.5,39,7,3,21,33,,39
02/23/2015,Ozone,35,5,1,27,35,13,26
02/24/2015,Ozone,38,6,16,27,38,,30
02/25/2015,PM2.5,40,8,7,24,34,,40
02/26/2015,Ozone,32,7,7,16,32,,30
02/27/2015,Ozone,35,5,6,12,35,,13
02/28/2015,Ozone,34,7,7,25,34,,24
03/01/2015,Ozone,31,,7,18,31,8,28
03/02/2015,PM2.5,41,6,6,25,36,,41
03/03/2015,Ozone,35,7,7,15,35,,25
03/04/2015,Ozone,38,8,9,33,38,,32
03/05/2015,Ozone,40,7,9,34,40,,36
03/06/2015,Ozone,44,7,9,31,44,,35
03/07/2015,Ozone,49,7,10,26,49,19,36
03/08/2015,PM2.5,48,8,7,14,45,,48
03/09/2015,PM2.5,46,7,9,19,42,,46
03/10/2015,PM2.5,52,8,16,19,31,,52
03/11/2015,Ozone,35,8,13,25,35,,33
03/12/2015,Ozone,37,9,11,25,37,,17
03/13/2015,Ozone,44,8,16,20,44,13,40
03/14/2015,Ozone,48,8,11,42,48,,43
03/15/2015,Ozone,41,8,17,24,41,,23
03/16/2015,Ozone,36,6,11,18,36,,16
03/17/2015,Ozone,41,5,11,26,41,,17
03/18/2015,Ozone,39,8,7,23,39,,31
03/19/2015,Ozone,42,8,9,24,42,25,39
03/20/2015,Ozone,43,7,4,32,43,,33
03/21/2015,Ozone,39,6,4,14,39,,22
03/22/2015,Ozone,37,6,6,9,37,,20
03/23/2015,Ozone,44,7,6,26,44,,18
03/24/2015,Ozone,39,7,6,33,39,,23
03/25/2015,Ozone,34,7,11,17,34,12,15
03/26/2015,Ozone,50,6,11,22,50,,27
03/27/2015,PM2.5,31,6,6,17,31,,31
03/28/2015,Ozone,45,6,13,24,45,,31
03/29/2015,PM2.5,43,6,6,18,43,,43
03/30/2015,PM2.5,44,6,4,28,36,,44
03/31/2015,Ozone,44,5,6,22,44,18,21
04/01/2015,Ozone,44,3,11,18,44,,20
04/02/2015,Ozone,43,5,14,21,43,,24
04/03/2015,PM2.5,50,7,17,22,44,,50
04/04/2015,Ozone,45,7,6,24,45,,31
04/05/2015,Ozone,44,6,9,8,44,,23
04/06/2015,Ozone,45,7,14,21,45,11,23
04/07/2015,Ozone,44,5,3,14,44,,14
04/08/2015,Ozone,44,6,6,29,44,,19
04/09/2015,Ozone,44,6,10,35,44,,17
04/10/2015,Ozone,49,6,11,18,49,,20
04/11/2015,Ozone,38,6,14,16,38,,32
04/12/2015,Ozone,46,6,13,13,46,11,21
04/13/2015,Ozone,44,6,4,18,44,,31
04/14/2015,Ozone,46,5,7,13,46,,21
04/15/2015,Ozone,45,6,9,23,45,,22
04/16/2015,Ozone,51,5,16,26,51,,20
04/17/2015,Ozone,71,6,11,23,71,,32
04/18/2015,Ozone,54,6,10,12,54,16,48
04/19/2015,PM2.5,45,6,3,13,45,,45
04/20/2015,PM2.5,40,6,11,15,40,,40
04/21/2015,Ozone,41,5,4,8,41,,30
04/22/2015,Ozone,43,6,4,13,43,,42
04/23/2015,PM2.5,56,6,3,15,41,,56
04/24/2015,Ozone,47,5,4,8,47,17,29
04/25/2015,Ozone,38,5,4,8,38,,8
04/26/2015,Ozone,44,6,11,16,44,,12
04/27/2015,Ozone,45,8,11,23,45,,15
04/28/2015,Ozone,31,6,3,17,31,,27
