Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,71,8,20,29,17,71
01/02/2015,PM2.5,56,35,18,25,18,56
01/03/2015,PM2.5,71,13,23,27,19,71
01/04/2015,PM2.5,77,9,18,28,19,77
01/05/2015,PM2.5,81,13,20,31,19,81
01/06/2015,PM2.5,120,5,25,34,39,120
01/07/2015,PM2.5,129,5,25,,41,129
01/08/2015,PM2.5,143,5,26,,45,143
01/09/2015,PM2.5,150,3,15,,.,150
01/10/2015,PM2.5,154,3,18,28,41,154
01/11/2015,PM2.5,153,5,15,34,28,153
01/12/2015,PM2.5,148,5,16,18,27,148
01/13/2015,PM2.5,147,3,17,,29,147
01/14/2015,PM2.5,95,5,13,18,16,95
01/15/2015,PM2.5,72,3,11,13,9,72
01/16/2015,PM2.5,73,3,11,,13,73
01/17/2015,PM2.5,95,,9,13,19,95
01/18/2015,PM2.5,88,,11,12,13,88
01/19/2015,PM2.5,73,,12,12,9,73
01/20/2015,PM2.5,54,,8,12,8,54
01/21/2015,PM2.5,51,2,7,13,8,51
01/22/2015,PM2.5,70,2,8,,15,70
01/23/2015,PM2.5,80,2,15,12,16,80
01/24/2015,PM2.5,78,2,8,18,11,78
01/25/2015,PM2.5,69,2,7,,12,69
01/26/2015,PM2.5,77,3,12,,24,77
01/27/2015,PM2.5,54,,20,25,,54
01/28/2015,PM2.5,73,,14,,15,73
01/29/2015,PM2.5,93,,13,,18,93
01/30/2015,PM2.5,88,,17,40,16,88
01/31/2015,PM2.5,112,,12,29,20,112
02/01/2015,PM2.5,102,,17,38,21,102
02/02/2015,PM2.5,92,,11,26,22,92
02/03/2015,PM2.5,103,3,31,29,24,103
02/04/2015,PM2.5,71,3,29,37,23,71
02/05/2015,PM2.5,26,3,24,19,19,26
02/06/2015,PM10,33,2,17,27,33,25
02/07/2015,PM2.5,49,5,6,27,,49
02/08/2015,PM2.5,25,3,4,24,,25
02/09/2015,Ozone,38,2,8,38,,16
02/10/2015,PM2.5,49,2,17,,15,49
02/11/2015,PM2.5,57,2,17,30,20,57
02/12/2015,PM2.5,63,2,15,38,20,63
02/13/2015,PM2.5,70,3,23,43,21,70
02/14/2015,PM2.5,74,3,20,46,22,74
02/15/2015,PM2.5,64,3,22,41,,64
02/16/2015,PM2.5,65,2,11,45,25,65
02/17/2015,PM2.5,70,2,11,40,23,70
02/18/2015,PM2.5,70,3,14,24,14,70
02/19/2015,PM2.5,80,3,9,34,23,80
02/20/2015,PM2.5,63,2,8,21,9,63
02/21/2015,PM2.5,87,2,14,25,14,87
02/22/2015,PM2.5,68,3,11,21,18,68
02/23/2015,PM2.5,33,2,8,32,19,33
02/24/2015,PM2.5,47,3,23,40,17,47
02/25/2015,PM2.5,56,5,28,45,19,56
02/26/2015,PM2.5,62,3,16,49,23,62
02/27/2015,PM2.5,48,2,12,39,18,48
02/28/2015,Ozone,37,1,12,37,10,19
03/01/2015,Ozone,38,2,8,38,9,21
03/02/2015,Ozone,36,2,10,36,8,25
03/03/2015,PM2.5,40,2,16,36,17,40
03/04/2015,PM2.5,44,3,19,43,19,44
03/05/2015,PM2.5,46,2,29,44,19,46
03/06/2015,Ozone,44,2,25,44,22,41
03/07/2015,Ozone,64,2,22,64,28,59
03/08/2015,Ozone,67,2,11,67,22,52
03/09/2015,Ozone,61,2,22,61,25,47
03/10/2015,Ozone,77,2,15,77,34,54
03/11/2015,PM2.5,60,2,9,43,31,60
03/12/2015,PM2.5,48,2,21,39,16,48
03/13/2015,Ozone,80,3,16,80,32,68
03/14/2015,Ozone,74,2,21,74,26,51
03/15/2015,Ozone,64,2,10,64,19,19
03/16/2015,Ozone,43,2,8,43,21,30
03/17/2015,Ozone,46,2,8,46,19,32
03/18/2015,Ozone,45,2,7,45,19,28
03/19/2015,Ozone,51,2,13,51,27,36
03/20/2015,Ozone,67,2,21,67,30,52
03/21/2015,Ozone,44,2,6,44,20,25
03/22/2015,Ozone,43,2,,43,21,23
03/23/2015,Ozone,46,2,5,46,16,18
03/24/2015,Ozone,44,2,5,44,20,
03/25/2015,Ozone,43,2,6,43,18,21
03/26/2015,Ozone,51,3,24,51,31,45
03/27/2015,Ozone,71,2,14,71,31,16
03/28/2015,Ozone,45,2,6,45,26,26
03/29/2015,Ozone,61,2,9,61,25,18
03/30/2015,Ozone,77,2,13,77,31,35
03/31/2015,Ozone,49,2,5,49,42,18
04/01/2015,Ozone,47,2,,47,21,9
04/02/2015,Ozone,45,2,,45,28,8
04/03/2015,Ozone,51,2,,51,30,28
04/04/2015,Ozone,67,2,,67,26,31
04/05/2015,Ozone,48,2,,48,14,9
04/06/2015,Ozone,49,2,,49,12,16
04/07/2015,Ozone,38,2,,38,13,1
04/08/2015,Ozone,48,2,,48,9,9
04/09/2015,PM2.5,51,2,,49,18,51
04/10/2015,Ozone,74,3,,74,19,
04/11/2015,Ozone,44,2,,44,16,
04/12/2015,Ozone,49,2,,49,15,26
04/13/2015,Ozone,87,2,,87,29,
04/14/2015,Ozone,48,2,,48,26,
04/15/2015,Ozone,49,2,15,49,23,32
04/16/2015,Ozone,87,2,18,87,31,41
04/17/2015,Ozone,101,2,13,101,31,36
04/18/2015,Ozone,119,2,17,119,29,44
04/19/2015,Ozone,105,2,12,105,31,47
04/20/2015,Ozone,58,2,8,58,44,50
04/21/2015,Ozone,45,2,8,45,32,39
04/22/2015,PM2.5,48,2,6,47,26,48
04/23/2015,Ozone,58,2,9,58,34,51
04/24/2015,Ozone,50,2,4,50,31,35
04/25/2015,Ozone,44,2,5,44,,18
04/26/2015,Ozone,50,2,8,50,14,28
04/27/2015,Ozone,93,2,19,93,27,55
04/28/2015,Ozone,105,2,20,105,,54
04/29/2015,Ozone,74,1,,74,25,34
04/30/2015,Ozone,101,2,10,101,34,51
05/01/2015,Ozone,108,2,19,108,44,53
05/02/2015,Ozone,90,2,14,90,,36
05/03/2015,Ozone,77,2,10,77,,45
05/04/2015,Ozone,77,2,5,77,36,44
05/05/2015,Ozone,61,2,10,61,32,43
05/06/2015,Ozone,51,2,5,51,29,42
05/07/2015,Ozone,41,2,9,41,23,33
05/08/2015,Ozone,48,2,13,48,13,25
05/09/2015,Ozone,77,2,10,77,22,46
05/10/2015,Ozone,80,2,7,80,20,42
05/11/2015,Ozone,51,2,6,51,23,28
05/12/2015,Ozone,74,1,3,74,21,38
05/13/2015,Ozone,58,1,5,58,19,21
05/14/2015,Ozone,44,1,5,44,14,18
05/15/2015,Ozone,58,1,4,58,14,27
05/16/2015,Ozone,67,1,7,67,16,30
05/17/2015,Ozone,46,1,6,46,15,25
05/18/2015,Ozone,51,1,4,51,23,22
05/19/2015,Ozone,50,2,7,50,24,40
05/20/2015,Ozone,51,2,5,51,23,31
05/21/2015,Ozone,44,1,7,44,18,31
05/22/2015,Ozone,44,1,5,44,18,21
05/23/2015,Ozone,44,1,5,44,22,32
05/24/2015,Ozone,50,1,4,50,19,36
05/25/2015,Ozone,51,1,4,51,21,28
05/26/2015,Ozone,58,1,4,58,22,21
05/27/2015,Ozone,77,1,5,77,26,36
05/28/2015,Ozone,54,1,7,54,28,39
05/29/2015,Ozone,87,2,11,87,26,42
05/30/2015,Ozone,105,2,8,105,26,44
05/31/2015,Ozone,84,2,5,84,36,40
06/01/2015,Ozone,38,1,3,38,27,33
06/02/2015,Ozone,46,1,6,46,22,26
06/03/2015,Ozone,45,,6,45,29,36
06/04/2015,Ozone,44,1,7,44,21,38
06/05/2015,Ozone,77,2,15,77,28,45
06/06/2015,Ozone,87,1,8,87,25,43
06/07/2015,Ozone,101,1,8,101,21,38
06/08/2015,Ozone,119,2,16,119,38,51
06/09/2015,Ozone,49,2,10,49,45,46
06/10/2015,Ozone,54,1,6,54,36,45
06/11/2015,Ozone,93,2,7,93,23,53
06/12/2015,Ozone,147,2,8,147,27,52
06/13/2015,Ozone,119,2,16,119,33,53
06/14/2015,Ozone,105,2,7,105,31,59
06/15/2015,Ozone,100,2,6,100,37,57
06/16/2015,Ozone,108,2,8,108,35,59
06/17/2015,Ozone,112,2,23,112,32,54
06/18/2015,Ozone,100,2,15,100,36,52
06/19/2015,Ozone,84,1,,84,26,30
06/20/2015,Ozone,93,2,,93,23,33
06/21/2015,Ozone,67,1,,67,20,35
06/22/2015,Ozone,77,1,,77,28,34
06/23/2015,Ozone,58,1,,58,30,42
06/24/2015,Ozone,80,1,,80,31,44
06/25/2015,Ozone,122,2,,122,44,55
06/26/2015,Ozone,147,2,,147,48,58
06/27/2015,Ozone,80,1,,80,40,54
