Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,PM2.5,108,20,,108
01/02/2015,PM2.5,85,16,,85
01/03/2015,PM2.5,64,11,,64
01/04/2015,PM2.5,66,13,,66
01/05/2015,PM2.5,64,9,,64
01/06/2015,PM2.5,65,11,,65
01/07/2015,PM2.5,70,11,,70
01/08/2015,PM2.5,67,5,10,67
01/09/2015,PM2.5,61,8,15,61
01/10/2015,PM2.5,76,6,11,76
01/11/2015,PM2.5,56,14,6,56
01/12/2015,Ozone,23,23,6,
01/13/2015,PM2.5,35,15,7,35
01/14/2015,PM2.5,45,15,6,45
01/15/2015,PM2.5,58,6,15,58
01/16/2015,PM2.5,60,14,9,60
01/17/2015,PM2.5,36,7,2,36
01/18/2015,PM2.5,23,13,9,23
01/19/2015,PM2.5,20,16,11,20
01/20/2015,PM2.5,26,11,3,26
01/21/2015,PM2.5,45,12,6,45
01/22/2015,PM2.5,39,14,6,39
01/23/2015,PM2.5,43,15,13,43
01/24/2015,PM2.5,42,14,29,42
01/25/2015,PM2.5,49,17,17,49
01/26/2015,PM2.5,37,12,9,37
01/27/2015,PM2.5,55,28,12,55
01/28/2015,PM2.5,48,28,13,48
01/29/2015,PM2.5,44,21,11,44
01/30/2015,PM2.5,52,17,11,52
01/31/2015,PM2.5,52,22,11,52
02/01/2015,PM2.5,54,20,10,54
02/02/2015,PM2.5,45,12,7,45
02/03/2015,PM2.5,33,11,8,33
02/04/2015,PM2.5,43,28,12,43
02/05/2015,Ozone,28,28,1,19
02/06/2015,Ozone,33,33,1,13
02/07/2015,PM2.5,40,33,,40
02/08/2015,Ozone,39,39,6,16
02/09/2015,Ozone,33,33,,23
02/10/2015,PM2.5,20,19,,20
02/11/2015,PM2.5,22,14,8,22
02/12/2015,PM2.5,32,16,17,32
02/13/2015,PM2.5,38,19,19,38
02/14/2015,PM2.5,38,22,10,38
02/15/2015,PM2.5,31,24,9,31
02/16/2015,PM2.5,34,23,7,34
02/17/2015,PM2.5,30,16,6,30
02/18/2015,PM2.5,22,16,10,22
02/19/2015,PM2.5,22,16,9,22
02/20/2015,PM2.5,24,22,13,24
02/21/2015,PM2.5,27,27,16,27
02/22/2015,Ozone,37,37,10,24
02/23/2015,Ozone,34,34,10,18
02/24/2015,PM2.5,46,35,9,46
02/25/2015,PM2.5,54,31,18,54
02/26/2015,PM2.5,30,30,18,30
02/27/2015,Ozone,34,34,8,5
02/28/2015,Ozone,30,30,7,25
03/01/2015,Ozone,30,30,6,19
03/02/2015,PM2.5,35,29,16,35
03/03/2015,Ozone,31,31,10,23
03/04/2015,Ozone,32,32,10,24
03/05/2015,Ozone,41,41,9,29
03/06/2015,PM2.5,35,35,16,35
03/07/2015,Ozone,32,32,16,27
03/08/2015,Ozone,30,30,9,27
03/09/2015,PM2.5,29,27,10,29
03/10/2015,PM2.5,38,31,11,38
03/11/2015,PM2.5,43,33,11,43
03/12/2015,Ozone,27,27,7,11
03/13/2015,Ozone,31,31,8,15
03/14/2015,PM2.5,45,40,12,45
03/15/2015,Ozone,40,40,6,29
03/16/2015,Ozone,36,36,9,33
03/17/2015,PM2.5,34,34,8,34
03/18/2015,PM2.5,35,31,17,35
03/19/2015,Ozone,39,39,13,38
03/20/2015,PM2.5,43,41,11,43
03/21/2015,Ozone,38,38,7,35
03/22/2015,PM2.5,45,31,4,45
03/23/2015,PM2.5,42,38,11,42
03/24/2015,PM2.5,46,29,15,46
03/25/2015,PM2.5,43,23,11,43
03/26/2015,Ozone,28,28,6,7
03/27/2015,Ozone,26,26,6,8
03/28/2015,Ozone,33,33,18,31
03/29/2015,PM2.5,33,27,19,33
03/30/2015,PM2.5,45,33,14,45
03/31/2015,Ozone,41,41,16,33
04/01/2015,PM2.5,40,39,16,40
04/02/2015,PM2.5,43,39,21,43
04/03/2015,PM2.5,57,44,14,57
04/04/2015,PM2.5,45,43,13,45
04/05/2015,PM2.5,48,40,7,48
04/06/2015,PM2.5,40,39,5,40
04/07/2015,PM2.5,39,39,6,39
04/08/2015,Ozone,36,36,6,29
04/09/2015,Ozone,33,33,6,32
04/10/2015,Ozone,38,38,6,35
04/11/2015,PM2.5,43,34,8,43
04/12/2015,Ozone,38,38,14,33
04/13/2015,Ozone,44,44,13,43
04/14/2015,PM2.5,44,41,14,44
04/15/2015,Ozone,41,41,18,35
04/16/2015,Ozone,45,45,24,42
04/17/2015,PM2.5,42,,28,42
04/18/2015,PM2.5,44,,22,44
04/19/2015,PM2.5,45,,10,45
04/20/2015,PM2.5,45,,3,45
04/21/2015,PM2.5,46,29,16,46
04/22/2015,PM2.5,45,31,33,45
04/23/2015,PM2.5,55,36,26,55
04/24/2015,PM2.5,45,43,11,45
04/25/2015,Ozone,37,37,14,30
04/26/2015,Ozone,33,33,6,28
04/27/2015,Ozone,31,31,6,30
04/28/2015,Ozone,28,28,12,24
04/29/2015,PM2.5,36,34,29,36
04/30/2015,PM2.5,50,47,33,50
05/01/2015,PM2.5,50,49,34,50
05/02/2015,Ozone,45,45,7,31
05/03/2015,PM2.5,34,32,9,34
05/04/2015,Ozone,36,36,14,21
05/05/2015,Ozone,37,37,22,25
05/06/2015,Ozone,36,36,23,25
05/07/2015,Ozone,41,41,31,27
05/08/2015,Ozone,40,40,22,38
05/09/2015,PM2.5,39,36,14,39
05/10/2015,Ozone,40,40,15,27
05/11/2015,Ozone,40,40,24,23
05/12/2015,Ozone,39,39,15,22
05/13/2015,Ozone,40,40,8,22
05/14/2015,Ozone,41,41,7,22
05/15/2015,Ozone,35,35,11,25
05/16/2015,Ozone,31,31,13,25
05/17/2015,Ozone,31,31,8,28
05/18/2015,PM2.5,28,,10,28
05/19/2015,PM2.5,24,,12,24
05/20/2015,PM2.5,25,,10,25
05/21/2015,PM2.5,23,,6,23
05/22/2015,PM2.5,23,,11,23
05/23/2015,PM2.5,33,,17,33
05/24/2015,PM2.5,34,,18,34
05/25/2015,PM2.5,30,,5,30
05/26/2015,PM2.5,23,,5,23
05/27/2015,PM2.5,25,,6,25
05/28/2015,PM2.5,28,,6,28
