Date,Main Pollutant,Overall AQI Value,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,64,16,27,,64
01/02/2015,PM2.5,60,20,27,,60
01/03/2015,PM2.5,79,21,28,,79
01/04/2015,PM2.5,73,19,24,,73
01/05/2015,PM2.5,74,28,28,,74
01/06/2015,PM2.5,108,31,28,45,108
01/07/2015,PM2.5,105,,.,,105
01/08/2015,PM2.5,128,25,,.,128
01/09/2015,PM2.5,154,20,,.,154
01/10/2015,PM2.5,151,22,25,,151
01/11/2015,PM2.5,142,17,25,,142
01/12/2015,PM2.5,110,14,11,39,110
01/13/2015,PM2.5,114,22,18,,114
01/14/2015,PM2.5,95,15,15,,95
01/15/2015,PM2.5,70,10,10,,70
01/16/2015,PM2.5,65,13,,.,65
01/17/2015,PM2.5,79,13,10,,79
01/18/2015,PM2.5,92,7,9,27,92
01/19/2015,PM2.5,62,7,9,,62
01/20/2015,PM2.5,52,8,10,,52
01/21/2015,PM2.5,40,9,13,,40
01/22/2015,PM2.5,73,14,,.,73
01/23/2015,PM2.5,77,8,13,,77
01/24/2015,PM2.5,87,8,14,23,87
01/25/2015,PM2.5,76,8,11,,76
01/26/2015,PM2.5,67,12,,.,67
01/27/2015,PM2.5,57,17,26,,57
01/28/2015,PM2.5,65,13,,.,65
01/29/2015,PM2.5,87,22,16,,87
01/30/2015,PM2.5,85,22,26,29,85
01/31/2015,PM2.5,106,13,30,,106
02/01/2015,PM2.5,106,19,31,,106
02/02/2015,PM2.5,106,24,26,,106
02/03/2015,PM2.5,107,22,31,,107
02/04/2015,PM2.5,103,21,31,,103
02/05/2015,PM2.5,88,18,15,,88
02/06/2015,Ozone,26,9,26,,23
02/07/2015,PM2.5,54,6,27,,54
02/08/2015,PM2.5,26,4,23,,26
02/09/2015,Ozone,36,9,36,,23
02/10/2015,PM2.5,31,15,24,,31
02/11/2015,PM2.5,52,22,26,19,52
02/12/2015,PM2.5,65,23,27,,65
02/13/2015,PM2.5,59,18,31,,59
02/14/2015,PM2.5,83,27,36,,83
