Date,Main Pollutant,Overall AQI Value,Ozone,PM25
01/01/2015,Ozone,43,43,
01/02/2015,Ozone,43,43,
01/03/2015,PM2.5,46,41,46
01/04/2015,Ozone,40,40,
01/05/2015,Ozone,38,38,
01/06/2015,Ozone,41,41,31
01/07/2015,Ozone,41,41,
01/08/2015,Ozone,37,37,
01/09/2015,PM2.5,56,35,56
01/10/2015,PM2.5,46,31,46
01/11/2015,Ozone,32,32,
01/12/2015,Ozone,42,42,24
01/13/2015,Ozone,43,43,10
01/14/2015,Ozone,38,38,
01/15/2015,PM2.5,42,37,42
01/16/2015,Ozone,40,40,
01/17/2015,Ozone,33,33,
01/18/2015,Ozone,29,29,18
01/19/2015,Ozone,31,31,
01/20/2015,Ozone,41,41,
01/21/2015,Ozone,41,41,28
01/22/2015,Ozone,45,45,
01/23/2015,Ozone,46,46,
01/24/2015,Ozone,47,47,31
01/25/2015,Ozone,42,42,
01/26/2015,Ozone,41,41,
01/27/2015,Ozone,45,45,22
01/28/2015,Ozone,47,47,
01/29/2015,Ozone,41,41,
01/30/2015,Ozone,43,43,20
01/31/2015,Ozone,45,45,
02/01/2015,Ozone,43,43,
02/02/2015,Ozone,41,41,33
02/03/2015,Ozone,34,34,
02/04/2015,Ozone,34,34,
02/05/2015,Ozone,35,35,29
02/06/2015,Ozone,39,39,10
02/07/2015,Ozone,35,35,
02/08/2015,Ozone,43,43,9
02/09/2015,Ozone,44,44,
02/10/2015,Ozone,44,44,
02/11/2015,Ozone,44,44,29
02/12/2015,Ozone,44,44,
02/13/2015,Ozone,48,48,
02/14/2015,Ozone,48,48,
02/15/2015,Ozone,47,47,
02/16/2015,Ozone,42,42,
02/17/2015,Ozone,42,42,23
02/18/2015,Ozone,47,47,24
02/19/2015,Ozone,47,47,
02/20/2015,Ozone,41,41,21
02/21/2015,Ozone,43,43,
02/22/2015,Ozone,44,44,
02/23/2015,Ozone,46,46,16
02/24/2015,Ozone,46,46,
02/25/2015,Ozone,41,41,
02/26/2015,Ozone,45,45,21
02/27/2015,Ozone,43,43,
02/28/2015,Ozone,38,38,
03/01/2015,Ozone,41,41,8
03/03/2015,Ozone,45,45,
03/04/2015,Ozone,44,44,18
03/05/2015,Ozone,42,42,
03/06/2015,Ozone,42,42,
03/07/2015,Ozone,50,50,26
03/08/2015,Ozone,48,48,
03/09/2015,Ozone,45,45,
03/10/2015,Ozone,54,54,37
03/11/2015,Ozone,43,43,
03/12/2015,Ozone,43,43,
03/13/2015,Ozone,44,44,12
03/14/2015,Ozone,47,47,
03/15/2015,Ozone,58,58,
03/16/2015,Ozone,50,50,
03/17/2015,Ozone,50,50,
03/18/2015,Ozone,47,47,
03/19/2015,Ozone,46,46,15
03/20/2015,Ozone,50,50,
03/21/2015,Ozone,49,49,
03/22/2015,Ozone,37,37,
03/23/2015,Ozone,44,44,
03/24/2015,Ozone,35,35,8
03/25/2015,Ozone,35,35,4
03/26/2015,Ozone,43,43,
03/27/2015,Ozone,64,64,
03/28/2015,Ozone,61,61,
03/29/2015,Ozone,58,58,
03/30/2015,Ozone,64,64,
03/31/2015,Ozone,50,50,25
04/01/2015,Ozone,49,49,
04/02/2015,Ozone,50,50,
04/03/2015,Ozone,54,54,
04/04/2015,Ozone,64,64,
04/05/2015,Ozone,44,44,
04/06/2015,Ozone,45,45,13
04/07/2015,Ozone,41,41,
04/08/2015,Ozone,41,41,
04/09/2015,Ozone,45,45,16
04/10/2015,Ozone,84,84,
04/11/2015,Ozone,71,71,
04/12/2015,Ozone,71,71,21
04/13/2015,Ozone,77,77,
04/14/2015,Ozone,47,47,
04/15/2015,Ozone,71,71,12
04/16/2015,Ozone,64,64,
04/17/2015,Ozone,115,115,
04/18/2015,Ozone,97,97,27
04/19/2015,Ozone,61,61,
04/20/2015,Ozone,67,67,
04/21/2015,Ozone,51,51,
04/22/2015,Ozone,54,54,
04/23/2015,Ozone,71,71,
04/24/2015,Ozone,46,46,20
04/25/2015,Ozone,43,43,
04/26/2015,Ozone,43,43,
04/27/2015,Ozone,48,48,12
04/28/2015,Ozone,77,77,
04/29/2015,Ozone,67,67,
04/30/2015,Ozone,58,58,20
05/01/2015,Ozone,105,105,
05/02/2015,Ozone,108,108,
05/03/2015,Ozone,84,84,20
