Date,Main Pollutant,Overall AQI Value,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,78,27,38,,78
01/02/2015,PM2.5,83,37,33,,83
01/03/2015,PM2.5,81,34,33,,81
01/04/2015,PM2.5,82,29,31,,82
01/05/2015,PM2.5,75,30,21,,75
01/06/2015,PM2.5,72,31,28,22,72
01/07/2015,PM2.5,68,30,27,,68
01/08/2015,PM2.5,68,25,25,,68
01/09/2015,PM2.5,86,24,19,,86
01/10/2015,PM2.5,102,28,22,,102
01/11/2015,PM2.5,122,30,31,,122
01/12/2015,PM2.5,97,25,36,32,97
01/13/2015,PM2.5,85,20,40,,85
01/14/2015,PM2.5,75,25,33,,75
01/15/2015,PM2.5,80,25,33,,80
01/16/2015,PM2.5,67,18,40,,67
01/17/2015,PM2.5,82,17,27,,82
01/18/2015,PM2.5,72,13,32,22,72
01/19/2015,PM2.5,64,12,33,,64
01/20/2015,PM2.5,67,17,14,,67
01/21/2015,PM2.5,69,16,39,,69
01/22/2015,PM2.5,70,18,33,,70
01/23/2015,PM2.5,90,22,41,,90
01/24/2015,PM2.5,62,9,44,15,62
01/25/2015,PM2.5,51,18,37,,51
01/26/2015,PM2.5,71,22,29,,71
01/27/2015,PM2.5,66,25,34,,66
01/28/2015,PM2.5,62,23,35,,62
01/29/2015,PM2.5,57,37,32,,57
01/30/2015,PM2.5,58,31,31,,58
01/31/2015,PM2.5,39,25,39,15,39
02/01/2015,PM2.5,69,31,36,,69
02/02/2015,PM2.5,67,27,28,,67
02/03/2015,PM2.5,71,32,27,,71
02/04/2015,PM2.5,63,33,28,,63
02/05/2015,PM2.5,66,27,39,18,66
02/06/2015,PM2.5,50,13,38,,50
02/07/2015,Ozone,36,10,36,,25
02/08/2015,Ozone,40,7,40,,37
02/09/2015,PM2.5,40,38,37,,40
02/10/2015,PM2.5,39,25,37,,39
02/11/2015,PM2.5,44,27,32,11,44
02/12/2015,PM2.5,51,,35,,51
02/13/2015,PM2.5,54,31,41,,54
02/14/2015,PM2.5,54,30,37,,54
02/15/2015,PM2.5,43,20,34,,43
02/16/2015,PM2.5,41,38,34,,41
02/17/2015,PM2.5,54,11,37,12,54
02/18/2015,PM2.5,62,23,31,,62
02/19/2015,PM2.5,69,22,31,,69
02/20/2015,PM2.5,56,11,36,,56
02/21/2015,PM2.5,62,17,41,,62
02/22/2015,PM2.5,55,16,39,,55
02/23/2015,Ozone,40,31,40,,33
02/24/2015,PM2.5,46,28,45,,46
02/25/2015,PM2.5,50,25,41,,50
02/26/2015,PM2.5,49,28,44,,49
02/27/2015,Ozone,37,12,37,,28
02/28/2015,PM2.5,40,17,35,,40
03/01/2015,Ozone,36,26,36,8,35
03/02/2015,PM2.5,33,14,32,,33
03/03/2015,Ozone,41,32,41,,35
03/04/2015,Ozone,46,25,46,,35
03/05/2015,Ozone,44,41,44,,39
03/06/2015,Ozone,44,31,44,,42
03/07/2015,Ozone,50,25,50,16,40
03/08/2015,PM2.5,48,24,45,,48
03/09/2015,Ozone,47,15,47,,43
03/10/2015,Ozone,67,34,67,,52
03/11/2015,Ozone,58,28,58,,45
03/12/2015,Ozone,44,,44,,24
03/13/2015,Ozone,47,,47,,25
03/14/2015,Ozone,48,19,48,,27
03/15/2015,Ozone,67,17,67,,23
03/16/2015,Ozone,58,25,58,,19
03/17/2015,Ozone,50,24,50,,22
03/18/2015,Ozone,49,,49,,15
03/19/2015,Ozone,45,16,45,,25
03/20/2015,Ozone,45,19,45,,28
03/21/2015,Ozone,48,10,48,,31
03/22/2015,Ozone,45,7,45,,25
03/23/2015,Ozone,45,10,45,,24
03/24/2015,Ozone,36,18,36,,20
03/25/2015,Ozone,37,15,37,,18
03/26/2015,Ozone,47,22,47,,18
03/27/2015,Ozone,67,15,67,,21
03/28/2015,Ozone,54,29,54,,21
03/29/2015,Ozone,47,14,47,,17
03/30/2015,Ozone,54,19,54,,27
03/31/2015,Ozone,61,9,61,,24
04/01/2015,Ozone,48,25,48,11,16
04/02/2015,Ozone,45,34,45,19,18
04/03/2015,Ozone,51,23,51,11,26
04/04/2015,Ozone,64,6,64,15,35
04/05/2015,Ozone,47,4,47,4,19
04/06/2015,Ozone,46,11,46,5,14
04/07/2015,Ozone,48,8,48,1,21
04/08/2015,Ozone,47,34,47,3,18
04/09/2015,Ozone,48,38,48,3,17
04/10/2015,Ozone,67,19,67,6,19
04/11/2015,Ozone,44,18,44,9,18
04/12/2015,Ozone,47,20,47,8,26
04/13/2015,Ozone,77,13,77,13,27
04/14/2015,Ozone,58,14,58,11,17
04/15/2015,Ozone,58,9,58,27,17
04/16/2015,Ozone,51,34,51,18,22
04/17/2015,Ozone,90,17,90,16,35
04/18/2015,Ozone,97,22,97,20,41
04/19/2015,Ozone,80,8,80,22,30
04/20/2015,Ozone,50,6,50,19,36
04/21/2015,Ozone,46,6,46,16,34
04/22/2015,Ozone,51,9,51,23,42
04/23/2015,Ozone,61,8,61,31,50
04/24/2015,Ozone,47,6,47,17,28
