Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,149,16,0,34,39,65,149
01/02/2015,PM2.5,116,16,1,36,42,79,116
01/03/2015,PM2.5,153,14,1,41,40,67,153
01/04/2015,PM2.5,139,16,0,36,41,61,139
01/05/2015,PM10,44,9,0,35,39,44,29
01/06/2015,PM2.5,46,13,0,40,37,38,46
01/07/2015,PM2.5,62,17,1,38,33,57,62
01/08/2015,PM2.5,111,17,1,38,38,52,111
01/09/2015,PM2.5,110,15,1,40,44,64,110
01/10/2015,PM2.5,137,19,1,37,50,61,137
01/11/2015,PM2.5,116,11,0,25,38,41,116
01/12/2015,PM2.5,86,10,0,26,35,31,86
01/13/2015,PM2.5,60,10,0,23,43,22,60
01/14/2015,PM2.5,111,3,0,33,35,19,111
01/15/2015,PM2.5,51,7,0,34,37,29,51
01/16/2015,PM2.5,60,13,1,42,38,48,60
01/17/2015,PM2.5,81,14,0,40,42,48,81
01/18/2015,PM2.5,94,15,0,40,42,53,94
01/19/2015,PM2.5,126,14,1,44,43,62,126
01/20/2015,PM2.5,154,14,1,44,41,71,154
01/21/2015,PM2.5,78,9,0,29,41,46,78
01/22/2015,PM2.5,85,6,0,40,44,34,85
01/23/2015,Ozone,41,8,1,37,41,39,32
01/24/2015,PM10,52,3,0,31,45,52,33
01/25/2015,Ozone,41,7,0,32,41,19,23
01/26/2015,PM2.5,41,8,0,36,37,29,41
01/27/2015,PM2.5,68,7,0,29,37,18,68
01/28/2015,PM2.5,46,8,0,32,37,19,46
01/29/2015,Ozone,34,3,0,26,34,19,28
01/30/2015,PM2.5,48,6,0,30,34,19,48
01/31/2015,PM2.5,43,9,0,21,37,15,43
02/01/2015,PM2.5,63,9,0,35,40,31,63
02/02/2015,PM2.5,72,11,1,44,42,43,72
02/03/2015,PM2.5,112,13,1,45,49,59,112
02/04/2015,PM2.5,150,13,1,49,48,69,150
02/05/2015,PM2.5,135,14,1,66,74,64,135
02/06/2015,PM2.5,126,13,1,51,54,64,126
02/07/2015,PM2.5,96,11,0,39,44,51,96
02/08/2015,PM2.5,79,7,0,21,41,37,79
