Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM10,PM25
01/01/2015,PM2.5,142,10,1,36,29,32,142
01/02/2015,PM2.5,145,22,1,37,25,41,145
01/03/2015,PM2.5,126,15,0,38,26,37,126
01/04/2015,PM2.5,137,23,0,36,25,33,137
01/05/2015,PM2.5,89,15,0,35,21,37,89
01/06/2015,PM2.5,81,15,1,31,21,30,81
01/07/2015,PM2.5,80,16,1,39,18,35,80
01/08/2015,PM2.5,82,14,1,30,19,35,82
01/09/2015,PM2.5,109,9,3,29,8,42,109
01/10/2015,PM2.5,135,14,3,33,19,47,135
01/11/2015,PM2.5,148,17,3,31,32,32,148
01/12/2015,PM2.5,95,11,3,26,23,29,95
01/13/2015,PM2.5,105,14,3,31,21,28,105
01/14/2015,PM2.5,99,7,1,29,21,37,99
01/15/2015,PM2.5,87,8,3,28,14,29,87
01/16/2015,PM2.5,66,6,1,21,13,21,66
01/17/2015,PM2.5,67,6,1,20,15,19,67
01/18/2015,PM2.5,81,7,1,17,9,26,81
01/19/2015,PM2.5,56,6,1,20,13,14,56
01/20/2015,PM2.5,67,9,3,20,14,18,67
01/21/2015,PM2.5,74,15,3,25,17,19,74
01/22/2015,PM2.5,67,6,1,19,14,20,67
01/23/2015,PM2.5,89,7,1,25,16,32,89
01/24/2015,PM2.5,82,3,3,16,15,27,82
01/25/2015,PM2.5,67,5,3,23,16,21,67
01/26/2015,PM2.5,69,5,3,25,19,25,69
01/27/2015,PM2.5,71,6,1,28,22,29,71
01/28/2015,PM2.5,73,6,1,31,25,31,73
01/29/2015,PM2.5,62,10,1,38,31,26,62
01/30/2015,PM2.5,61,11,3,31,26,26,61
01/31/2015,Ozone,32,6,1,31,32,18,30
02/01/2015,PM2.5,74,5,1,25,37,28,74
02/02/2015,PM2.5,78,9,1,36,26,31,78
02/03/2015,PM2.5,79,9,3,39,29,31,79
02/04/2015,PM2.5,93,11,,38,33,45,93
02/05/2015,PM2.5,67,6,,27,18,26,67
02/06/2015,PM2.5,50,6,1,25,31,25,50
02/07/2015,Ozone,26,5,0,18,26,7,18
02/08/2015,Ozone,33,5,1,8,33,9,25
02/09/2015,Ozone,37,6,0,26,37,13,21
02/10/2015,NO2,30,8,1,30,27,10,26
02/11/2015,PM2.5,38,8,0,28,27,17,38
02/12/2015,PM2.5,47,10,1,29,26,16,47
02/13/2015,PM2.5,46,13,1,26,36,19,46
02/14/2015,PM2.5,51,9,1,29,32,15,51
02/15/2015,PM2.5,59,13,1,31,32,19,59
02/16/2015,PM2.5,40,8,3,30,35,14,40
02/17/2015,PM2.5,45,8,1,26,36,15,45
02/18/2015,PM2.5,58,6,1,29,28,22,58
02/19/2015,PM2.5,65,7,1,17,26,20,65
02/20/2015,PM2.5,54,5,3,18,28,18,54
02/21/2015,PM2.5,56,5,3,17,24,17,56
02/22/2015,PM2.5,47,5,3,17,37,33,47
02/23/2015,Ozone,39,3,3,22,39,19,25
02/24/2015,Ozone,41,6,1,31,41,16,29
02/25/2015,PM2.5,51,7,3,41,43,25,51
02/26/2015,PM2.5,50,6,4,30,41,20,50
02/27/2015,Ozone,37,6,4,25,37,11,15
02/28/2015,Ozone,36,5,1,25,36,9,25
03/01/2015,PM2.5,40,7,1,27,34,9,40
03/02/2015,Ozone,36,5,1,30,36,12,28
03/03/2015,Ozone,38,7,1,27,38,14,32
03/04/2015,Ozone,40,7,0,40,40,19,38
03/05/2015,PM2.5,45,7,,39,43,18,45
03/06/2015,PM2.5,55,13,0,35,43,20,55
03/07/2015,PM2.5,52,8,1,42,51,21,52
03/08/2015,PM2.5,54,9,1,34,50,20,54
03/09/2015,PM2.5,46,9,1,42,46,29,46
03/10/2015,PM2.5,52,7,3,29,49,31,52
03/11/2015,PM2.5,38,5,1,29,38,17,38
03/12/2015,Ozone,35,6,1,25,35,12,24
03/13/2015,Ozone,44,7,3,39,44,19,37
03/14/2015,PM2.5,54,7,6,35,48,26,54
03/15/2015,Ozone,49,7,3,29,49,15,24
03/16/2015,Ozone,32,6,3,14,32,15,29
03/17/2015,Ozone,50,3,3,20,50,16,35
03/18/2015,Ozone,43,5,3,32,43,13,20
03/19/2015,Ozone,46,6,3,25,46,24,29
03/20/2015,Ozone,43,5,4,26,43,16,30
03/21/2015,Ozone,42,3,3,18,42,9,16
03/22/2015,Ozone,41,3,4,9,41,10,17
03/23/2015,Ozone,46,3,3,19,46,11,17
03/24/2015,Ozone,39,3,0,24,39,11,15
03/25/2015,Ozone,36,3,0,25,36,11,15
03/26/2015,Ozone,54,6,1,46,54,21,35
03/27/2015,Ozone,64,8,3,38,64,20,33
03/28/2015,Ozone,47,3,1,36,47,25,40
03/29/2015,Ozone,58,5,1,26,58,16,27
03/30/2015,Ozone,47,5,1,25,47,20,30
03/31/2015,Ozone,47,2,1,21,47,16,20
04/01/2015,Ozone,45,2,1,15,45,18,15
04/02/2015,Ozone,44,2,,21,44,20,14
04/03/2015,Ozone,48,6,0,26,48,22,35
04/04/2015,Ozone,51,2,1,16,51,19,36
04/05/2015,Ozone,44,2,1,11,44,8,17
04/06/2015,Ozone,48,3,1,26,48,11,18
04/07/2015,Ozone,43,2,,12,43,7,16
04/08/2015,Ozone,46,3,0,21,46,7,15
04/09/2015,Ozone,44,5,1,34,44,8,20
04/10/2015,Ozone,71,5,1,27,71,12,27
04/11/2015,Ozone,45,5,1,23,45,9,19
04/12/2015,Ozone,50,6,1,32,50,10,22
04/13/2015,Ozone,54,6,3,25,54,21,28
04/14/2015,Ozone,51,3,1,14,51,10,10
04/15/2015,Ozone,47,,.,10,47,10,13
04/16/2015,Ozone,87,,.,30,87,10,31
04/17/2015,Ozone,93,3,,23,93,10,26
04/18/2015,Ozone,100,5,3,17,100,20,38
04/19/2015,Ozone,93,5,3,15,93,10,38
04/20/2015,Ozone,47,3,4,11,47,10,35
04/21/2015,Ozone,44,2,3,8,44,8,28
04/22/2015,PM2.5,50,5,4,12,50,25,50
04/23/2015,PM2.5,60,5,4,10,51,32,60
04/24/2015,Ozone,45,3,3,15,45,20,40
04/25/2015,Ozone,44,3,3,8,44,6,11
04/26/2015,Ozone,48,5,3,33,48,11,25
04/27/2015,Ozone,67,5,6,22,67,11,33
04/28/2015,Ozone,47,3,6,10,47,12,31
04/29/2015,Ozone,58,3,3,20,58,20,40
04/30/2015,Ozone,87,5,1,43,87,32,39
05/01/2015,Ozone,101,7,3,41,101,26,45
05/02/2015,Ozone,93,5,3,9,93,21,51
05/03/2015,Ozone,54,3,1,4,54,16,46
05/04/2015,Ozone,49,3,3,11,49,16,39
05/05/2015,PM2.5,50,3,1,10,48,25,50
05/06/2015,PM2.5,51,2,3,12,50,26,51
05/07/2015,Ozone,49,2,3,8,49,11,26
05/08/2015,Ozone,64,3,3,29,64,19,34
05/09/2015,Ozone,61,5,1,8,61,19,52
05/10/2015,Ozone,50,5,3,5,50,16,49
05/11/2015,Ozone,44,3,3,9,44,18,34
05/12/2015,Ozone,51,2,3,10,51,17,45
05/13/2015,Ozone,48,2,3,14,48,11,21
05/14/2015,Ozone,51,2,3,18,51,12,15
05/15/2015,Ozone,46,2,3,17,46,12,30
05/16/2015,Ozone,49,2,3,14,49,13,28
05/17/2015,Ozone,41,2,3,5,41,10,20
05/18/2015,Ozone,43,2,3,8,43,12,26
05/19/2015,Ozone,48,2,3,7,48,14,34
05/20/2015,Ozone,41,3,4,8,41,7,26
05/21/2015,Ozone,44,3,3,12,44,5,20
05/22/2015,Ozone,42,2,3,16,42,6,24
05/23/2015,Ozone,46,3,3,15,46,8,37
05/24/2015,Ozone,44,3,4,8,44,16,41
05/25/2015,Ozone,41,3,4,5,41,6,22
05/26/2015,Ozone,44,2,4,8,44,6,20
05/27/2015,Ozone,47,2,4,7,47,7,23
05/28/2015,Ozone,67,3,4,8,67,17,33
05/29/2015,Ozone,93,3,3,21,93,14,27
05/30/2015,Ozone,67,3,4,17,67,14,32
05/31/2015,Ozone,45,2,1,5,45,15,28
06/01/2015,Ozone,40,2,,14,40,8,20
06/02/2015,Ozone,42,2,1,8,42,11,20
06/03/2015,Ozone,44,3,3,9,44,19,30
06/04/2015,Ozone,58,3,3,13,58,19,35
06/05/2015,Ozone,77,3,3,31,77,23,40
06/06/2015,Ozone,58,3,4,18,58,16,30
06/07/2015,Ozone,101,3,4,8,101,16,31
06/08/2015,Ozone,136,5,3,32,136,20,38
06/09/2015,PM2.5,53,6,4,25,46,33,53
06/10/2015,Ozone,34,3,3,15,34,11,28
06/11/2015,Ozone,90,3,4,21,90,19,43
06/12/2015,Ozone,129,5,6,20,129,22,46
06/13/2015,Ozone,67,5,7,17,67,29,62
06/14/2015,PM2.5,63,3,6,5,49,31,63
06/15/2015,PM2.5,60,3,6,7,50,27,60
06/16/2015,Ozone,136,3,4,11,136,27,58
06/17/2015,Ozone,136,3,6,12,136,27,55
06/18/2015,Ozone,58,3,4,9,58,23,44
06/19/2015,Ozone,74,2,3,23,74,19,29
06/20/2015,Ozone,108,2,3,27,108,16,31
06/21/2015,Ozone,47,2,1,6,47,16,38
06/22/2015,Ozone,67,2,1,9,67,18,34
06/23/2015,Ozone,97,2,3,14,97,23,43
06/24/2015,Ozone,93,3,3,12,93,22,48
06/25/2015,Ozone,169,3,3,17,169,27,53
06/26/2015,Ozone,159,3,4,25,159,27,45
06/27/2015,Ozone,49,3,1,19,49,14,33
06/28/2015,Ozone,44,3,3,6,44,7,20
06/29/2015,Ozone,71,3,3,9,71,16,25
06/30/2015,Ozone,105,3,3,19,105,23,31
07/01/2015,Ozone,115,5,4,28,115,23,33
07/02/2015,Ozone,47,5,4,10,47,19,28
07/03/2015,Ozone,84,6,4,16,84,14,28
07/04/2015,Ozone,67,6,6,13,67,14,58
07/05/2015,Ozone,39,6,3,4,39,9,27
07/06/2015,Ozone,46,5,3,6,46,13,24
07/07/2015,Ozone,36,2,3,6,36,15,28
07/08/2015,PM2.5,39,2,4,7,33,15,39
07/09/2015,PM2.5,35,5,3,7,32,10,35
07/10/2015,PM2.5,42,2,3,8,38,9,42
07/11/2015,Ozone,35,2,3,4,35,9,26
07/12/2015,Ozone,34,2,3,4,34,7,28
07/13/2015,Ozone,50,2,4,6,50,14,38
07/14/2015,Ozone,44,2,4,8,44,15,40
07/15/2015,Ozone,97,2,1,10,97,22,54
07/16/2015,Ozone,87,2,1,8,87,18,58
07/17/2015,Ozone,93,2,1,18,93,21,58
07/18/2015,Ozone,58,2,1,16,58,16,48
07/19/2015,PM2.5,49,2,,8,45,12,49
07/20/2015,PM2.5,56,2,1,15,54,19,56
07/21/2015,PM2.5,49,2,3,8,38,18,49
07/22/2015,PM2.5,52,2,1,8,40,26,52
07/23/2015,PM2.5,54,2,1,7,40,19,54
07/24/2015,PM2.5,61,2,0,18,44,15,61
07/25/2015,Ozone,42,2,1,21,42,11,35
07/26/2015,PM2.5,43,2,1,7,39,13,43
07/27/2015,PM2.5,62,3,1,25,47,24,62
07/28/2015,Ozone,74,6,1,30,74,25,40
07/29/2015,Ozone,147,3,3,20,147,31,52
07/30/2015,Ozone,108,3,3,10,108,24,54
07/31/2015,Ozone,64,3,3,20,64,24,53
08/01/2015,PM2.5,54,3,3,16,50,21,54
08/02/2015,PM2.5,60,5,3,5,47,18,60
08/03/2015,PM2.5,42,2,3,7,37,15,42
08/04/2015,PM2.5,39,2,1,9,34,13,39
08/05/2015,Ozone,84,3,1,17,84,19,48
08/06/2015,Ozone,112,5,3,25,112,34,60
08/07/2015,PM2.5,59,3,0,19,46,25,59
08/08/2015,PM2.5,67,3,0,16,50,19,67
08/09/2015,PM2.5,52,3,1,7,51,16,52
08/10/2015,PM2.5,58,3,3,8,40,19,58
08/11/2015,Ozone,31,2,0,9,31,8,30
08/12/2015,Ozone,38,2,,12,38,10,37
08/13/2015,PM2.5,42,2,,12,40,9,42
08/14/2015,Ozone,46,2,,22,46,14,41
08/15/2015,Ozone,77,6,1,34,77,31,66
08/16/2015,Ozone,87,7,1,40,87,27,61
08/17/2015,Ozone,172,7,3,30,172,47,96
08/18/2015,PM2.5,99,3,1,10,97,40,99
08/19/2015,PM2.5,65,3,1,8,61,23,65
08/20/2015,PM2.5,58,3,1,9,58,19,58
08/21/2015,PM2.5,63,3,1,19,50,22,63
08/22/2015,Ozone,64,7,3,18,64,20,61
08/23/2015,PM2.5,54,2,1,5,44,15,54
08/24/2015,PM2.5,63,3,3,11,46,17,63
08/25/2015,PM2.5,63,3,1,12,46,21,63
08/26/2015,PM2.5,64,3,3,14,44,21,64
08/27/2015,PM2.5,59,3,1,19,47,23,59
08/28/2015,PM2.5,40,2,3,29,40,29,40
08/29/2015,PM2.5,33,2,3,17,31,9,33
08/30/2015,PM2.5,46,2,1,10,40,14,46
08/31/2015,Ozone,54,3,3,15,54,19,49
09/01/2015,Ozone,77,3,4,22,77,23,60
09/02/2015,PM2.5,55,2,3,11,42,19,55
09/03/2015,PM2.5,52,2,4,11,48,17,52
09/04/2015,PM2.5,49,2,4,13,40,21,49
09/05/2015,Ozone,39,3,3,28,39,29,37
09/06/2015,Ozone,67,5,3,38,67,18,53
09/07/2015,Ozone,93,6,3,41,93,25,53
09/08/2015,Ozone,126,7,3,52,126,35,60
09/09/2015,Ozone,80,7,4,49,80,33,61
09/10/2015,Ozone,71,7,4,39,71,39,60
09/11/2015,Ozone,50,5,4,31,50,29,46
09/12/2015,PM2.5,52,3,4,36,36,31,52
09/13/2015,PM2.5,107,7,,9,101,51,107
09/14/2015,PM2.5,51,3,,6,32,18,51
09/15/2015,PM2.5,42,1,4,9,38,18,42
09/16/2015,PM2.5,44,2,3,10,40,13,44
09/17/2015,PM2.5,55,2,3,19,43,15,55
09/18/2015,PM2.5,54,6,4,30,48,21,54
09/19/2015,Ozone,84,7,6,48,84,29,61
09/20/2015,Ozone,101,9,4,56,101,28,59
09/21/2015,Ozone,101,10,6,43,101,31,58
09/22/2015,PM2.5,58,3,6,15,45,31,58
09/23/2015,PM2.5,64,6,,39,50,33,64
09/24/2015,PM2.5,60,6,4,46,51,35,60
09/25/2015,Ozone,93,8,6,38,93,32,42
