Date,Main Pollutant,Overall AQI Value,Ozone,PM10,PM25
01/01/2015,Ozone,31,31,8,14
01/02/2015,Ozone,31,31,14,28
01/03/2015,Ozone,31,31,12,30
01/04/2015,PM2.5,33,29,13,33
01/05/2015,PM2.5,35,31,14,35
01/06/2015,PM2.5,38,24,17,38
01/07/2015,PM2.5,28,26,14,28
01/08/2015,Ozone,24,24,11,15
01/09/2015,Ozone,24,24,9,13
01/10/2015,Ozone,28,28,11,22
01/11/2015,PM2.5,38,28,15,38
01/12/2015,PM2.5,52,29,18,52
01/13/2015,PM2.5,32,31,12,32
01/14/2015,Ozone,31,31,10,19
01/15/2015,Ozone,33,33,12,28
01/16/2015,Ozone,35,35,13,13
01/17/2015,Ozone,26,26,11,24
01/18/2015,PM2.5,33,23,11,33
01/19/2015,Ozone,18,18,5,10
01/20/2015,Ozone,27,27,6,13
01/21/2015,Ozone,26,26,8,23
01/22/2015,PM2.5,31,22,12,31
01/23/2015,Ozone,33,33,11,23
01/24/2015,Ozone,33,33,12,25
01/25/2015,Ozone,34,34,10,11
01/26/2015,Ozone,28,28,13,7
01/27/2015,Ozone,29,29,9,9
01/28/2015,Ozone,36,36,11,14
01/29/2015,Ozone,33,33,12,20
01/30/2015,Ozone,33,33,16,28
01/31/2015,Ozone,36,36,11,13
02/01/2015,Ozone,33,33,10,9
02/02/2015,Ozone,32,32,18,31
02/03/2015,PM2.5,40,29,18,40
02/04/2015,PM2.5,31,29,16,31
02/05/2015,Ozone,32,32,13,25
02/06/2015,PM10,41,31,41,19
02/07/2015,Ozone,25,25,0,6
02/08/2015,Ozone,32,32,2,7
02/09/2015,Ozone,37,37,12,18
02/10/2015,Ozone,37,37,12,13
02/11/2015,Ozone,32,32,6,7
02/12/2015,Ozone,37,37,8,11
02/13/2015,Ozone,39,39,10,17
02/14/2015,Ozone,41,41,10,31
02/15/2015,Ozone,38,38,7,13
02/16/2015,Ozone,39,39,8,18
02/17/2015,Ozone,36,36,11,31
02/18/2015,PM2.5,44,31,15,44
02/19/2015,PM2.5,56,32,18,56
02/20/2015,PM2.5,42,34,12,42
02/21/2015,Ozone,38,38,11,24
02/22/2015,Ozone,32,32,11,18
02/23/2015,Ozone,32,32,16,15
02/24/2015,Ozone,40,40,13,13
02/25/2015,Ozone,43,43,14,22
02/26/2015,Ozone,41,41,19,25
02/27/2015,Ozone,36,36,11,9
02/28/2015,Ozone,33,33,3,3
03/01/2015,Ozone,32,32,6,6
03/02/2015,Ozone,34,34,6,9
03/03/2015,Ozone,38,38,9,11
03/04/2015,Ozone,41,41,10,14
03/05/2015,Ozone,44,44,14,27
03/06/2015,Ozone,46,46,15,33
03/07/2015,Ozone,46,46,16,21
03/08/2015,Ozone,49,49,15,31
03/09/2015,Ozone,43,43,18,37
03/10/2015,Ozone,49,49,22,31
03/11/2015,Ozone,41,41,11,
03/12/2015,Ozone,42,42,13,22
03/13/2015,Ozone,43,43,10,12
03/14/2015,Ozone,46,46,11,9
03/15/2015,Ozone,48,48,10,9
03/16/2015,Ozone,44,44,11,11
03/17/2015,Ozone,48,48,13,10
03/18/2015,Ozone,44,44,12,14
03/19/2015,Ozone,47,47,15,17
03/20/2015,Ozone,50,50,17,13
03/21/2015,Ozone,49,49,13,11
03/22/2015,Ozone,34,34,6,12
03/23/2015,Ozone,40,40,9,13
03/24/2015,Ozone,42,42,13,15
03/25/2015,Ozone,36,36,14,19
03/26/2015,Ozone,45,45,13,10
03/27/2015,Ozone,47,47,15,10
03/28/2015,Ozone,45,45,14,20
03/29/2015,Ozone,48,48,15,20
03/30/2015,Ozone,50,50,21,23
03/31/2015,Ozone,50,50,17,19
04/01/2015,Ozone,47,47,15,13
04/02/2015,Ozone,47,47,16,15
04/03/2015,Ozone,50,50,23,25
04/04/2015,Ozone,50,50,32,30
04/05/2015,Ozone,44,44,8,7
04/06/2015,Ozone,44,44,9,10
04/07/2015,Ozone,44,44,6,2
04/08/2015,Ozone,44,44,7,6
04/09/2015,Ozone,54,54,9,10
04/10/2015,Ozone,64,64,7,0
04/11/2015,Ozone,43,43,9,1
04/12/2015,Ozone,48,48,9,14
04/13/2015,Ozone,48,48,17,17
04/14/2015,Ozone,50,50,16,13
04/15/2015,Ozone,54,54,17,13
04/16/2015,Ozone,77,77,17,8
04/17/2015,Ozone,90,90,23,15
04/18/2015,Ozone,67,67,21,30
04/19/2015,Ozone,47,47,15,19
04/20/2015,Ozone,37,37,14,17
04/21/2015,Ozone,39,39,10,17
04/22/2015,Ozone,38,38,10,13
04/23/2015,Ozone,38,38,19,27
04/24/2015,Ozone,48,48,14,18
04/25/2015,Ozone,38,38,8,5
04/26/2015,Ozone,49,49,10,14
04/27/2015,Ozone,47,47,10,15
04/28/2015,Ozone,50,50,32,25
04/29/2015,Ozone,41,41,20,25
04/30/2015,Ozone,93,93,20,24
05/01/2015,Ozone,84,84,24,29
05/02/2015,Ozone,90,90,21,33
05/03/2015,Ozone,46,46,17,31
05/04/2015,Ozone,43,43,16,21
05/05/2015,Ozone,49,49,20,24
05/06/2015,Ozone,43,43,23,29
05/07/2015,Ozone,39,39,14,20
05/08/2015,Ozone,44,44,19,30
05/09/2015,Ozone,39,39,14,24
05/10/2015,Ozone,48,48,15,22
05/11/2015,Ozone,64,64,16,18
05/12/2015,Ozone,44,44,15,20
05/13/2015,Ozone,45,45,10,11
05/14/2015,Ozone,39,39,5,5
05/15/2015,Ozone,44,44,7,10
05/16/2015,Ozone,44,44,10,11
05/17/2015,Ozone,39,39,8,10
05/18/2015,Ozone,43,43,10,13
05/19/2015,Ozone,42,42,10,12
05/20/2015,Ozone,41,41,7,14
05/21/2015,Ozone,39,39,4,8
05/22/2015,Ozone,41,41,6,7
05/23/2015,Ozone,41,41,11,20
05/24/2015,Ozone,38,38,8,17
05/25/2015,Ozone,36,36,6,3
05/26/2015,Ozone,35,35,6,1
05/27/2015,Ozone,40,40,7,10
05/28/2015,Ozone,50,50,12,11
05/29/2015,Ozone,64,64,14,18
05/30/2015,Ozone,84,84,15,18
05/31/2015,Ozone,43,43,7,13
06/01/2015,Ozone,32,32,8,5
06/02/2015,Ozone,38,38,10,9
06/03/2015,Ozone,38,38,15,14
06/04/2015,Ozone,31,31,14,17
06/05/2015,Ozone,39,39,15,20
06/06/2015,Ozone,40,40,6,4
06/07/2015,Ozone,51,51,8,10
06/08/2015,Ozone,51,51,21,18
06/09/2015,Ozone,41,41,13,10
06/10/2015,Ozone,61,61,13,17
06/11/2015,Ozone,49,49,21,28
06/12/2015,Ozone,61,61,23,27
06/13/2015,Ozone,39,39,18,23
06/14/2015,PM2.5,46,45,25,46
06/15/2015,Ozone,58,58,26,40
06/16/2015,Ozone,87,87,31,41
06/17/2015,Ozone,64,64,28,38
06/18/2015,Ozone,67,67,27,28
06/19/2015,Ozone,80,80,23,19
06/20/2015,Ozone,48,48,21,20
06/21/2015,Ozone,46,46,16,15
06/22/2015,Ozone,61,61,24,22
06/23/2015,Ozone,44,44,29,30
06/24/2015,Ozone,44,44,27,30
06/25/2015,Ozone,35,35,30,31
06/26/2015,Ozone,74,74,24,26
06/27/2015,Ozone,39,39,12,13
06/28/2015,Ozone,33,33,6,2
06/29/2015,Ozone,77,77,18,13
06/30/2015,Ozone,51,51,26,22
07/01/2015,Ozone,67,67,56,21
07/02/2015,Ozone,45,45,21,16
07/03/2015,Ozone,40,40,9,3
07/04/2015,Ozone,38,38,14,30
07/05/2015,Ozone,31,31,4,13
07/06/2015,Ozone,39,39,11,11
07/07/2015,Ozone,29,29,15,12
07/08/2015,Ozone,30,30,11,19
07/09/2015,Ozone,29,29,4,0
07/10/2015,Ozone,31,31,7,3
07/11/2015,Ozone,35,35,11,14
07/12/2015,Ozone,33,33,7,9
07/13/2015,Ozone,40,40,16,11
07/14/2015,Ozone,40,40,14,11
07/15/2015,Ozone,41,41,13,13
07/16/2015,Ozone,44,44,14,9
07/17/2015,Ozone,58,58,12,15
07/18/2015,Ozone,42,42,18,13
07/19/2015,Ozone,35,35,12,8
07/20/2015,Ozone,37,37,19,19
07/21/2015,Ozone,29,29,19,21
07/22/2015,Ozone,32,32,18,15
07/23/2015,Ozone,32,32,23,23
07/24/2015,Ozone,38,38,19,12
07/25/2015,Ozone,29,29,17,10
07/26/2015,Ozone,34,34,16,16
07/27/2015,Ozone,46,46,29,28
07/28/2015,Ozone,41,41,29,25
07/29/2015,Ozone,31,31,29,24
07/30/2015,Ozone,58,58,20,25
07/31/2015,Ozone,44,44,18,22
08/01/2015,Ozone,40,40,18,25
08/02/2015,Ozone,34,34,16,20
08/03/2015,Ozone,31,31,21,18
08/04/2015,Ozone,26,26,12,10
08/05/2015,Ozone,41,41,15,11
08/06/2015,Ozone,38,38,24,30
08/07/2015,Ozone,30,30,17,23
08/08/2015,Ozone,41,41,15,23
08/09/2015,Ozone,35,35,8,8
08/10/2015,Ozone,30,30,7,7
08/11/2015,Ozone,27,27,6,2
08/12/2015,Ozone,35,35,9,0
08/13/2015,Ozone,39,39,11,8
08/14/2015,Ozone,44,44,16,
08/15/2015,Ozone,58,58,29,
08/16/2015,Ozone,77,77,48,67
08/17/2015,Ozone,47,47,,
08/18/2015,PM2.5,65,42,,65
08/19/2015,PM2.5,48,48,,48
08/20/2015,PM2.5,51,47,,51
08/21/2015,PM2.5,43,35,21,43
08/22/2015,Ozone,38,38,16,25
08/23/2015,Ozone,42,42,17,26
08/24/2015,Ozone,50,50,30,44
08/25/2015,PM2.5,47,40,31,47
08/26/2015,Ozone,43,43,28,40
08/27/2015,Ozone,39,39,25,27
08/28/2015,Ozone,31,31,19,12
08/29/2015,Ozone,24,24,6,3
08/30/2015,Ozone,40,40,13,14
08/31/2015,Ozone,32,32,22,17
09/01/2015,Ozone,41,41,24,28
09/02/2015,Ozone,34,34,18,15
09/03/2015,Ozone,33,33,19,15
09/04/2015,Ozone,35,35,24,13
09/05/2015,Ozone,43,43,20,10
09/06/2015,Ozone,49,49,20,14
09/07/2015,Ozone,61,61,24,5
09/08/2015,Ozone,80,80,38,16
09/09/2015,Ozone,84,84,40,28
09/10/2015,Ozone,64,64,39,19
09/11/2015,Ozone,71,71,34,21
09/12/2015,Ozone,44,44,28,32
09/13/2015,Ozone,45,45,19,19
09/14/2015,Ozone,32,32,11,15
09/15/2015,Ozone,38,38,18,17
09/16/2015,Ozone,39,39,14,5
09/17/2015,Ozone,44,44,18,17
09/18/2015,Ozone,51,51,21,13
09/19/2015,Ozone,80,80,31,10
09/20/2015,Ozone,74,74,27,13
09/21/2015,Ozone,58,58,36,25
09/22/2015,Ozone,37,37,29,33
09/23/2015,Ozone,50,50,30,15
09/24/2015,Ozone,49,49,36,15
09/25/2015,Ozone,87,87,30,10
09/26/2015,Ozone,43,43,38,12
09/27/2015,Ozone,37,37,23,22
09/28/2015,Ozone,32,32,24,31
09/29/2015,Ozone,35,35,24,26
09/30/2015,PM10,31,31,31,28
10/01/2015,Ozone,33,33,7,17
10/02/2015,Ozone,46,46,15,22
10/03/2015,Ozone,40,40,22,26
10/04/2015,Ozone,40,40,19,19
