Date,Main Pollutant,Overall AQI Value,CO,NO2,Ozone,PM10,PM25
01/01/2015,PM10,38,11,25,25,38,
01/02/2015,PM10,37,14,30,22,37,
01/03/2015,PM10,43,11,29,24,43,
01/04/2015,PM10,44,11,31,25,44,
01/05/2015,PM10,51,11,33,24,51,
01/06/2015,PM2.5,124,13,27,14,49,124
01/07/2015,PM10,61,22,33,17,61,
01/08/2015,PM10,56,23,30,17,56,
01/09/2015,PM2.5,165,10,26,6,66,165
01/10/2015,PM2.5,154,11,24,19,52,154
01/11/2015,PM2.5,144,10,33,23,40,144
01/12/2015,PM2.5,106,14,17,19,33,106
01/13/2015,PM2.5,94,7,22,18,33,94
01/14/2015,PM2.5,90,7,17,7,25,90
01/15/2015,PM2.5,66,6,14,10,26,66
01/16/2015,PM2.5,61,6,14,10,19,61
01/17/2015,PM2.5,74,6,8,10,18,74
01/18/2015,PM2.5,90,3,7,12,24,90
01/19/2015,PM2.5,65,6,10,6,14,65
01/20/2015,PM2.5,52,6,12,6,12,52
01/21/2015,PM2.5,38,6,8,12,10,38
01/22/2015,PM2.5,80,6,13,11,20,80
01/23/2015,PM2.5,83,8,9,12,29,83
01/24/2015,PM2.5,86,3,8,14,23,86
01/25/2015,PM2.5,66,3,8,13,19,66
01/26/2015,PM2.5,56,5,13,7,17,56
01/27/2015,PM2.5,67,8,22,26,21,67
01/28/2015,PM2.5,97,9,24,25,26,97
01/29/2015,PM2.5,80,10,26,22,29,80
01/30/2015,PM2.5,79,15,22,20,31,79
01/31/2015,PM2.5,85,7,22,30,26,85
02/01/2015,PM2.5,91,6,23,29,33,91
02/02/2015,PM2.5,112,9,31,24,44,112
02/03/2015,PM2.5,134,8,26,28,53,134
02/04/2015,PM2.5,130,7,32,31,50,130
02/05/2015,PM2.5,95,7,16,12,38,95
02/06/2015,PM2.5,39,7,10,26,39,39
02/07/2015,PM2.5,39,3,8,25,10,39
02/08/2015,PM2.5,37,5,6,33,10,37
02/09/2015,Ozone,35,2,9,35,15,21
02/10/2015,Ozone,27,6,24,27,9,22
02/11/2015,PM2.5,59,7,20,23,23,59
02/12/2015,PM2.5,80,9,34,26,22,80
02/13/2015,PM2.5,84,8,29,34,31,84
02/14/2015,PM2.5,71,7,19,33,19,71
02/15/2015,PM2.5,61,9,25,34,24,61
02/16/2015,PM2.5,68,9,20,31,23,68
02/17/2015,PM2.5,78,7,13,30,26,78
02/18/2015,PM2.5,60,5,19,31,19,60
02/19/2015,PM2.5,68,6,18,23,22,68
02/20/2015,PM2.5,71,5,8,19,20,71
02/21/2015,PM2.5,70,5,8,24,20,70
02/22/2015,PM2.5,57,6,12,26,17,57
02/23/2015,PM2.5,41,6,25,28,26,41
02/24/2015,PM2.5,55,7,23,33,21,55
02/25/2015,PM2.5,73,7,27,33,28,73
02/26/2015,PM2.5,69,8,22,35,,69
02/27/2015,PM2.5,42,6,15,35,21,42
02/28/2015,Ozone,33,7,19,33,13,32
03/01/2015,PM2.5,35,8,25,31,13,35
03/02/2015,Ozone,31,5,11,31,15,24
03/03/2015,PM2.5,38,6,15,33,17,38
03/04/2015,PM2.5,49,8,26,38,20,49
03/05/2015,PM2.5,51,9,26,41,19,51
03/06/2015,PM2.5,51,7,27,43,22,51
03/07/2015,PM2.5,59,8,36,50,31,59
03/08/2015,PM2.5,55,9,22,51,25,55
03/09/2015,PM2.5,59,7,29,44,31,59
03/10/2015,PM2.5,68,7,17,48,42,68
03/11/2015,PM2.5,38,6,15,38,17,38
03/12/2015,Ozone,36,5,25,36,12,20
03/13/2015,Ozone,44,5,22,44,23,42
03/14/2015,PM2.5,58,6,26,58,29,58
03/15/2015,Ozone,48,5,17,48,19,23
03/16/2015,Ozone,38,3,11,38,11,8
03/17/2015,Ozone,44,3,9,44,14,3
03/18/2015,Ozone,39,5,23,39,18,6
