Date,Main Pollutant,Overall AQI Value,PM25
01/03/2015,PM2.5,9,9
01/06/2015,PM2.5,3,3
01/09/2015,PM2.5,5,5
01/12/2015,PM2.5,5,5
01/15/2015,PM2.5,18,18
01/18/2015,PM2.5,1,1
01/21/2015,PM2.5,5,5
01/24/2015,PM2.5,4,4
01/27/2015,PM2.5,15,15
01/30/2015,PM2.5,7,7
02/02/2015,PM2.5,2,2
02/05/2015,PM2.5,27,27
02/08/2015,PM2.5,8,8
02/11/2015,PM2.5,3,3
02/14/2015,PM2.5,5,5
02/17/2015,PM2.5,8,8
02/20/2015,PM2.5,5,5
02/23/2015,PM2.5,4,4
02/26/2015,PM2.5,6,6
03/01/2015,PM2.5,4,4
03/04/2015,PM2.5,7,7
03/07/2015,PM2.5,16,16
03/10/2015,PM2.5,30,30
03/13/2015,PM2.5,5,5
03/16/2015,PM2.5,3,3
03/19/2015,PM2.5,7,7
03/22/2015,PM2.5,6,6
03/25/2015,PM2.5,1,1
03/28/2015,PM2.5,3,3
03/31/2015,PM2.5,7,7
04/03/2015,PM2.5,25,25
04/06/2015,PM2.5,5,5
04/09/2015,PM2.5,3,3
04/12/2015,PM2.5,10,10
04/15/2015,PM2.5,6,6
04/18/2015,PM2.5,12,12
04/21/2015,PM2.5,20,20
04/24/2015,PM2.5,7,7
04/27/2015,PM2.5,4,4
04/30/2015,PM2.5,16,16
05/03/2015,PM2.5,27,27
05/06/2015,PM2.5,8,8
05/09/2015,PM2.5,15,15
05/12/2015,PM2.5,7,7
05/15/2015,PM2.5,10,10
05/18/2015,PM2.5,10,10
05/21/2015,PM2.5,8,8
05/24/2015,PM2.5,12,12
05/27/2015,PM2.5,10,10
05/30/2015,PM2.5,17,17
06/02/2015,PM2.5,4,4
06/05/2015,PM2.5,9,9
06/08/2015,PM2.5,17,17
06/11/2015,PM2.5,16,16
06/14/2015,PM2.5,19,19
06/17/2015,PM2.5,15,15
06/20/2015,PM2.5,12,12
06/23/2015,PM2.5,9,9
06/26/2015,PM2.5,25,25
06/29/2015,PM2.5,10,10
07/05/2015,PM2.5,22,22
07/08/2015,PM2.5,11,11
07/11/2015,PM2.5,15,15
07/14/2015,PM2.5,10,10
07/17/2015,PM2.5,16,16
07/20/2015,PM2.5,20,20
07/23/2015,PM2.5,49,49
07/26/2015,PM2.5,9,9
