STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CDIA,DIABLO GRANDE CALIFORNIA,37.3292,-121.2939,563.9,2007,1398,,,28,,,,102,2460,,,61.8,71.2,52.5
USR0000CTHO,THOMES CREEK CALIFORNIA,39.8644,-122.6097,317.0,2007,2304,,,28,,,,112,2233,,,65.1,76.7,53.5
USC00049099,TWENTYNINE PALMS,34.128,-116.0369,602.0,2007,,0,0,19,0,0.0,1.27,,1401,3.54,0.0,,,57.5
USR0000CRDR,READER RANCH CALIFORNIA,39.3036,-121.1172,599.8,2007,1395,,,23,,,,110,2781,,,60.9,74.6,47.3
USR0000CTHS,THOUSAND OAKS CALIFORNIA,34.21,-118.87,242.3,2007,639,,,27,,,,99,1862,,,61.2,70.9,51.6
USR0000CBEA,BEAR PEAK CALIFORNIA,35.8842,-118.0517,2507.9,2007,270,,,0,,,,86,5956,,,48.6,56.8,40.4
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,40.3983,-122.8333,579.1,2007,1666,,,23,,,,110,2826,,,61.6,72.2,51.0
USR0000CSFD,SANTA FE DAM CALIFORNIA,34.1208,-117.9458,152.4,2007,1763,,,31,,,,112,,,,66.8,80.7,52.8
USR0000CBDY,BRADLEY CALIFORNIA,35.8644,-120.8031,163.7,2007,1220,,,9,,,,117,2389,,,61.9,81.2,42.7
USR0000CJUA,JUANITA LAKE CALIFORNIA,41.7861,-122.0056,1645.9,2007,339,,,5,,,,97,,,,49.1,60.5,37.6
USC00041244,BUTTONWILLOW,35.4028,-119.47,68.6,2007,1949,0,0,16,0,0.0,0.27,110,2256,2.44,0.0,64.0,78.1,50.0
USC00047902,SANTA BARBARA,34.4167,-119.6844,1.5,2007,,0,0,,0,0.0,,,,,0.0,,,
USR0000CBEN,BENTON CALIFORNIA,37.8431,-118.4778,1661.2,2007,839,,,1,,,,104,5060,,,53.2,71.4,34.9
USC00042214,CULVER CITY,34.005,-118.4139,28.0,2007,,0,0,,0,0.0,1.20,,,4.58,0.0,,,
USC00042456,DOBBINS 1 S,39.3575,-121.2011,499.9,2007,787,0,0,17,0,0.0,2.69,105,3084,32.00,0.0,58.4,74.0,42.9
USC00045721,MITCHELL CAVERNS,34.9436,-115.5469,1325.9,2007,,0,0,,0,0.0,2.26,105,,8.13,0.0,,72.4,
USR0000CGOR,GORDON CALIFORNIA,40.7586,-120.8961,1889.8,2007,144,,,-1,,,,97,6893,,,45.3,58.6,32.0
USC00044997,LIVERMORE,37.6922,-121.7691,146.3,2007,822,0,0,22,0,0.0,0.78,108,2420,9.41,0.0,60.5,73.6,47.4
USC00043669,GROVELAND 2,37.8444,-120.2258,853.4,2007,,0,0,,0,0.0,2.00,,,23.28,0.0,,,
USR0000CREA,REDDING AIRPORT CALIFORNIA,40.5158,-122.2906,152.4,2007,1804,,,20,,,,114,2556,,,62.8,77.6,48.0
USR0000CWOF,WOFFORD HEIGHTS CALIFORNIA,35.7217,-118.4989,960.1,2007,1491,,,6,,,,108,2969,,,60.3,73.0,47.6
USR0000CJUN,JUNIPER CREEK CALIFORNIA,41.3322,-120.4725,1332.6,2007,404,,,1,,,,106,6061,,,48.9,63.9,33.9
USR0000CLYO,LYONS VALLEY CALIFORNIA,39.1258,-123.0736,975.4,2007,917,,,24,,,,101,3704,,,56.5,65.2,47.8
USR0000CJUL,JULIAN CALIFORNIA,33.0758,-116.5908,1292.4,2007,1279,,,18,,,,107,3087,,,59.6,70.8,48.5
USR0000CGOO,GOOSE VALLEY CALIFORNIA,33.0736,-116.8458,466.3,2007,1094,,,22,,,,107,1931,,,62.3,78.3,46.4
USR0000CLYT,LYTLE CREEK CALIFORNIA,34.2339,-117.4803,851.0,2007,1451,,,23,,,,109,2154,,,62.6,76.6,48.7
USC00042574,DUNSMUIR TRTMNT PLANT,41.1833,-122.2736,661.4,2007,589,16,,18,6,,,105,4007,,,54.5,69.9,39.1
USR0000CSEC,SECRET TOWN CALIFORNIA,39.1836,-120.8847,861.4,2007,1055,,,15,,,,107,3181,,,58.9,74.2,43.6
USR0000CRCH,RANCHITA CALIFORNIA,33.2222,-116.4975,1345.7,2007,1574,,,18,,,,101,2996,,,60.8,70.4,51.1
USW00023213,SANTA ROSA SONOMA CO AIRPORT,38.5038,-122.8102,34.7,2007,356,,,20,,,1.52,102,3076,21.22,,57.4,71.7,43.2
USC00041497,CANYON DAM,40.1705,-121.0886,1389.9,2007,219,44,15,7,35,12.0,1.50,98,5846,22.63,67.8,48.4,62.3,34.4
USC00042346,DELANO,35.7683,-119.26,92.0,2007,,,,,,,0.73,,,4.62,,,,
USC00045853,MORGAN HILL,37.1363,-121.6025,114.3,2007,,,,,,,0.83,,,8.23,,,,
USC00040161,ALTURAS,41.4901,-120.5437,1334.4,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00041018,BOWMAN DAM,39.4539,-120.6556,1641.3,2007,,78,18,,52,14.0,,94,,,152.0,,62.6,
USC00044647,LAGUNA BEACH,33.5453,-117.7813,13.4,2007,642,0,0,27,0,0.0,1.68,97,1415,6.44,0.0,62.6,73.4,51.8
USC00047916,SANTA CRUZ,36.9905,-121.9911,39.6,2007,104,0,0,26,0,0.0,1.46,89,2997,15.23,0.0,57.0,67.2,46.8
USC00046946,PIT RIVER POWER HOUSE 5,40.9869,-121.9772,444.4,2007,,4,1,,1,2.0,3.11,,,52.66,2.0,,,
USC00046826,PETALUMA AIRPORT,38.2577,-122.6077,6.1,2007,,0,0,21,0,0.0,0.85,,,14.28,0.0,,,45.0
USC00043791,HARRISON GULCH R S,40.3636,-122.965,838.2,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00043551,GRANT GROVE,36.7394,-118.9631,2011.7,2007,166,124,23,3,42,22.0,3.02,90,5997,24.83,111.4,47.8,58.6,37.0
USC00046940,PIRU 2 ESE,34.4061,-118.7569,217.0,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00044881,LEE VINING,37.9567,-119.1194,2071.7,2007,,44,14,,6,6.0,,,,,28.7,,,
USR0000CUHL,UHL HOT SPRINGS,35.8889,-118.6333,1133.9,2007,1073,,,18,,,,109,3538,,,57.6,70.5,44.8
