STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,2015,2470,,,31,,,,111,1644,,,66.7,76.7,56.7
USC00049099,TWENTYNINE PALMS,2015,3700,,,23,,,0.27,111,921,2.39,,71.8,84.7,58.9
USR0000CRDR,READER RANCH CALIFORNIA,2015,1594,,,28,,,,104,2204,,,62.6,74.9,50.3
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,2015,1746,,,29,,,,103,2368,,,62.7,71.1,54.3
USC00047902,SANTA BARBARA,2015,,,,,,,1.30,101,905,4.91,,,74.5,
USC00042214,CULVER CITY,2015,1342,,,38,,,2.50,99,,7.52,,66.5,74.9,58.0
USR0000CREA,REDDING AIRPORT CALIFORNIA,2015,2216,,,21,,,,113,1923,,,65.1,79.1,51.0
USC00045968,MOUNT LAGUNA NUMBER 3,2015,585,,,13,,,1.50,91,3768,14.19,,55.5,65.5,45.6
US1CAMT0006,CASTROVILLE 1.6 ENE,2015,,,,,,,1.00,,,9.07,,,,
US1CAMT0005,KING CITY 13.2 S,2015,,,,,,,1.18,,,7.73,,,,
USR0000CGOO,GOOSE VALLEY CALIFORNIA,2015,1740,,,35,,,,103,1047,,,66.4,75.9,57.0
US1CAMT0003,LOCKWOOD 3.6 NW,2015,,,0,,,0.0,1.01,,,4.44,0.0,,,
USR0000CRCH,RANCHITA CALIFORNIA,2015,1501,,,21,,,,99,2461,,,61.6,71.1,52.1
USC00044405,JOSHUA TREE,2015,2566,0,0,21,0,0.0,1.10,108,,4.78,0.0,66.8,80.1,53.6
USC00047916,SANTA CRUZ,2015,574,,,27,,,2.10,101,1614,16.49,,61.6,74.0,49.2
USC00046826,PETALUMA AIRPORT,2015,528,,,24,,,1.43,100,2166,11.98,,59.7,72.7,46.6
USC00041130,BRUSH CREEK RANGER STATION,2015,,,,,,,3.05,,,29.68,,,,
USC00044881,LEE VINING,2015,320,40,13,8,14,13.5,2.07,92,5137,13.98,44.4,50.6,63.9,37.2
USW00093210,OROVILLE MUNICIPAL AIRPORT,2015,1992,,,27,,,1.36,108,1741,10.48,,64.9,77.3,52.5
US1CAIN0002,BISHOP 8.5 WSW,2015,,,,,,,0.59,,,4.88,,,,
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,2015,1269,0,,24,0,,2.09,107,1861,7.37,,62.3,78.8,45.9
US1CASH0006,SHINGLETOWN 5.3 ENE,2015,,,12,,,4.7,3.12,,,32.11,33.6,,,
USC00044412,JULIAN CDF,2015,971,,,19,,,2.34,96,2838,23.94,,59.0,68.5,49.5
US1CAMT0020,CASTROVILLE 1.6 ENE,2015,,,,,,,0.91,,,7.51,,,,
USC00045502,MECCA FIRE STATION,2015,4699,,,23,,,0.31,119,580,1.60,,75.5,90.8,60.2
USC00041149,BUCKHORN,2015,,2,2,,3,3.0,3.39,,,44.59,6.0,,,
USC00042239,CUYAMACA,2015,594,,,18,,,3.01,93,3818,24.12,,55.7,67.1,44.3
