County,Year,Average Temperature,Avg Max Temperature,Avg Min Temperature,Extreme Max Temp,Extreme Min Temp,Total Precipitation,Highest Daily Precipitation
Alameda,2015,60.8,70.2,50.9,98.0,30.0,9.465,1.445
Alpine,2015,43.75,54.3,34.85,78.5,2.0,30.99,2.1
Amador,2015,60.95,71.05,50.8,100.5,23.0,32.44,4.02
Butte,2015,63.75,73.75,52.0,104.0,28.0,12.815,2.2
Calaveras,2015,53.1,63.3,42.8,91.0,15.0,32.52,3.52
Colusa,2015,63.2,77.8,48.65,108.5,23.0,6.73,1.14
Contra Costa,2015,60.6,69.5,51.4,103.0,29.0,10.19,1.51
Del Norte,2015,53.9,60.0,44.9,90.0,22.0,64.095,5.005
El Dorado,2015,49.65,62.95,38.8,87.5,11.5,28.73,2.685
Fresno,2015,61.0,72.1,51.3,99.0,22.0,9.67,1.35
Glenn,2015,63.5,78.1,50.2,108.0,23.5,9.775,1.91
Humboldt,2015,58.6,69.3,47.6,101.5,28.5,40.895,2.79
Imperial,2015,77.4,89.8,64.9,118.0,30.0,1.73,0.62
Inyo,2015,62.9,76.65,49.85,107.0,18.5,2.76,0.55
Kern,2015,63.7,79.2,49.55,105.0,22.0,5.31,1.015
Kings,2015,65.6,79.8,51.9,108.0,23.0,5.075,0.69
Lake,2015,60.35,73.75,50.1,104.5,26.5,23.01,3.4
Lassen,2015,50.3,63.7,37.05,97.0,5.0,15.65,1.8
Los Angeles,2015,64.9,76.9,54.7,102.0,30.0,6.54,1.17
Madera,2015,64.2,76.0,50.7,105.0,26.0,13.72,2.46
Marin,2015,60.4,69.6,49.8,100.0,34.0,14.635,1.765
Mariposa,2015,56.9,68.25,46.75,96.5,16.5,25.69,3.13
Mendocino,2015,60.0,73.1,45.7,104.0,21.0,29.91,3.77
Merced,2015,64.2,77.8,50.25,106.0,25.0,5.16,1.0
Modoc,2015,49.9,61.0,38.0,96.0,0.0,16.35,1.07
Mono,2015,44.8,59.6,32.95,85.0,-1.5,25.36,1.685
Monterey,2015,60.9,72.4,48.7,99.0,28.0,8.78,1.18
Napa,2015,61.6,75.5,47.55,105.0,26.0,13.2,2.42
Nevada,2015,58.4,67.2,43.9,97.0,15.5,28.395,3.055
Orange,2015,67.9,78.35,58.65,104.0,37.5,8.18,1.19
Placer,2015,51.75,60.85,41.9,89.0,14.5,25.72,2.92
Plumas,2015,51.75,67.0,36.6,99.0,10.5,21.01,2.245
Riverside,2015,67.35,81.4,55.55,108.0,27.5,6.955,1.0
Sacramento,2015,63.8,77.0,50.5,107.0,27.0,9.54,1.35
San Benito,2015,60.8,73.4,47.7,102.5,26.5,9.005,1.1
San Bernardino,2015,66.0,77.3,53.6,106.0,22.0,4.77,0.82
San Diego,2015,64.5,75.9,53.4,101.0,29.0,10.02,1.13
San Francisco,2015,59.7,66.0,53.5,95.0,39.0,10.385,1.265
San Joaquin,2015,63.8,77.8,49.8,108.0,25.0,8.05,0.85
San Luis Obispo,2015,62.3,75.3,50.4,105.0,26.0,8.495,1.835
San Mateo,2015,59.65,69.3,50.2,97.0,31.5,10.76,1.535
Santa Barbara,2015,62.25,73.3,51.8,98.5,31.0,4.845,0.71
Santa Clara,2015,61.05,71.8,50.95,98.0,30.0,10.57,2.5
Santa Cruz,2015,60.5,72.95,49.4,101.0,28.0,19.415,2.96
Shasta,2015,62.7,72.4,50.4,106.0,24.0,28.57,2.465
Sierra,2015,48.1,62.9,34.0,92.0,5.0,21.755,1.7
Siskiyou,2015,54.0,68.0,41.3,100.0,13.0,20.365,2.11
Solano,2015,63.65,77.15,50.35,107.0,27.0,9.48,1.64
Sonoma,2015,60.5,72.7,48.4,102.0,25.0,18.415,2.96
Stanislaus,2015,63.6,75.2,52.3,102.0,28.0,8.0,1.21
Sutter,2015,,,,,,8.85,1.22
Tehama,2015,60.6,71.6,52.3,103.0,25.0,13.93,1.33
Trinity,2015,56.6,72.5,43.0,105.0,18.0,26.97,2.755
Tulare,2015,60.7,72.0,51.1,101.0,23.0,14.77,1.555
Tuolumne,2015,58.0,68.7,45.55,98.5,18.0,29.97,3.4
Ventura,2015,64.05,75.15,52.85,101.5,29.5,5.58,1.27
Yolo,2015,64.5,78.7,50.4,109.0,25.0,8.09,1.91
Yuba,2015,59.7,68.1,49.8,97.0,25.0,25.17,2.98
