Station Name,COOP ID,Lat.,Lon.,Elev. (f)
ABBOTT MINE,040006,39.03333,-122.43333,1972
ACTON ESCONDIDO CANYON,040014,34.49389,-118.27139,2833
ADELANTO,040024,34.58333,-117.41667,2851
ADIN RS,040029,41.19361,-120.94472,4195
AFTON CANYON,040032,35.03333,-116.38333,1401
AGUANGA BERGMAN RCH,040046,33.41667,-116.91667,3104
AGUANGA THOMSEN,040047,33.41667,-116.86667,1986
ALAMO 1 N,040064,37.86667,-122.03333,410
ALDER CREEK,040080,34.35,-118.05,4300
ALDERPOINT,040088,40.18333,-123.61667,459
ALISO CANYON FC 446,040115,34.31667,-118.55,2367
ALMA,040120,37.18333,-121.98333,551
ALMADEN,040124,37.16667,-121.81667,502
ALPINE,040136,32.83583,-116.7775,1695
ALTADENA,040144,34.18222,-118.13833,1127
ALTURAS,040161,41.49306,-120.55278,4400
AMBOY,040176,34.55917,-115.74417,648
AMBOY ROAD EAST,040174,34.16139,-115.80444,1272
ANACAPA ISLAND,040188,34.01667,-119.36667,141
ANAHEIM,040192,33.86472,-117.8425,335
ANGIOLA,040204,35.98333,-119.48333,210
ANGWIN PAC UNION COL,040212,38.57306,-122.44056,1715
ANTIOCH 5 S,040230,37.95,-121.8,410
ANTIOCH FIBREBRD MIL,040227,38.01667,-121.76667,28
ANTIOCH PUMP PLT 3,040232,37.98333,-121.7525,60
ANZA,040235,33.55583,-116.67389,3915
APACHE CAMP,040239,34.86667,-119.33333,4974
APPLE VALLEY,040244,34.51667,-117.21667,2935
ARROYO GRANDE,040320,35.11667,-120.56667,112
ARROYO SECO,040322,36.23556,-121.48,940
ARROYO SECO MILLERS,040325,36.25,-121.41667,702
ARROYO SECO RS FC508,040327,34.21667,-118.16667,1220
ARVIN,040332,35.2,-118.83333,450
ASH MTN,040343,36.49139,-118.82528,1708
ASSOC OIL ANAHEIM 1,040355,33.9,-117.88333,341
AUBERRY,040379,37.09194,-119.51278,2090
AUBURN,040383,38.90722,-121.08389,1292
AUBURN DAM PROJECT,040385,38.88333,-121.06667,1270
AVALON CATALINA AP,047910,33.405,-118.41583,1602
AVALON PLEASURE PIER,040395,33.35,-118.31667,25
AVENAL 9 SSE,040398,35.9,-120.05,522
AVILA BEACH,040403,35.16667,-120.73333,30
AZUSA CITY PK FC 143,040410,34.13333,-117.9,610
BACKUS RCH,040418,34.95,-118.18333,2651
BADGER,040422,36.62861,-119.01167,3060
BAKER,040436,35.27611,-116.06278,962
BAKER 9 NNW,040437,35.38333,-116.11667,1050
BAKERSFIELD,040439,35.38333,-119.01667,400
BAKERSFIELD 5 NW,040444,35.41861,-119.05083,470
BAKERSFIELD AP,040442,35.43444,-119.05417,489
BALCH PWR HOUSE,040449,36.90917,-119.08833,1720
BARNESON PARK,040509,33.93333,-117.85,581
BARRETT DAM,040514,32.68333,-116.66667,1621
BARSTOW,040521,34.89278,-117.02194,2220
BARSTOW,040519,34.9,-117.03333,2162
BARSTOW DAGGETT AP,042257,34.85361,-116.78583,1917
BASSETS STN,040539,39.6175,-120.59222,5457
BATES RIDGE,040543,34.91667,-119.91667,5174
