County,Year,Total number of acres burned
Alameda,2012,115
Alpine,2012,0
Amador,2012,102
Butte,2012,311
Calaveras,2012,569
Colusa,2012,4285
Contra Costa,2012,145
Del Norte,2012,122
El Dorado,2012,297
Fresno,2012,574
Glenn,2012,5
Humboldt,2012,216
Imperial,2012,0
Inyo,2012,21
Kern,2012,0
Kings,2012,52
Lake,2012,8355
Lassen,2012,298
Los Angeles,2012,0
Madera,2012,188
Marin,2012,0
Mariposa,2012,1750
Mendocino,2012,5333
Merced,2012,456
Modoc,2012,13
Mono,2012,0
Monterey,2012,2817
Napa,2012,236
Nevada,2012,72
Orange,2012,0
Placer,2012,2724
Plumas,2012,101
Riverside,2012,6256
Sacramento,2012,89
San Benito,2012,55
San Bernardino,2012,1466
San Diego,2012,35213
San Francisco,2012,0
San Joaquin,2012,291
San Luis Obispo,2012,1121
San Mateo,2012,20
Santa Barbara,2012,0
Santa Clara,2012,26
Santa Cruz,2012,122
Shasta,2012,2134
Sierra,2012,2
Siskiyou,2012,592
Solano,2012,235
Sonoma,2012,123
Stanislaus,2012,89
Sutter,2012,0
Tehama,2012,30285
Trinity,2012,20
Tulare,2012,187
Tuolumne,2012,1174
Ventura,2012,0
Yolo,2012,20182
Yuba,2012,117
