County,Year,Age (<4YO),Gender (M),White,African,Asian,Hispanic,Other,Rate (per 10k),Rate predict
Alameda,2005,1,0,0,1,0,0,0,448.28,235.736066667
Alameda,2005,1,1,0,1,0,0,0,708.98,612.574288889
Alameda,2005,0,0,0,1,0,0,0,221.79,209.862844444
Alameda,2005,0,1,0,1,0,0,0,254.14,240.728555556
Alameda,2005,1,0,0,0,1,0,0,51.37,72.7334666667
Alameda,2005,1,1,0,0,1,0,0,80.43,138.116761905
Alameda,2005,0,0,0,0,1,0,0,13.28,36.9735111111
Alameda,2005,0,1,0,0,1,0,0,25.66,57.3739555556
Alameda,2005,1,0,0,0,0,1,0,112.73,72.7334666667
Alameda,2005,1,1,0,0,0,1,0,166.05,138.116761905
Alameda,2005,0,0,0,0,0,1,0,36.59,36.9735111111
Alameda,2005,0,1,0,0,0,1,0,62.09,57.3739555556
Alameda,2005,1,0,0,0,0,0,1,300.42,271.793333333
Alameda,2005,1,1,0,0,0,0,1,486.71,354.204777778
Alameda,2005,0,0,0,0,0,0,1,240.49,240.424766667
Alameda,2005,0,1,0,0,0,0,1,294.98,249.659388889
Alameda,2005,1,0,1,0,0,0,0,91.48,72.7334666667
Alameda,2005,1,1,1,0,0,0,0,158.67,138.116761905
Alameda,2005,0,0,1,0,0,0,0,38.98,36.9735111111
Alameda,2005,0,1,1,0,0,0,0,56.63,57.3739555556
Alameda,2006,1,0,0,1,0,0,0,432.81,391.609822222
Alameda,2006,1,1,0,1,0,0,0,744.91,654.664688889
Alameda,2006,0,0,0,1,0,0,0,180.62,193.859622222
Alameda,2006,0,1,0,1,0,0,0,271.29,229.507366667
Alameda,2006,1,0,0,0,1,0,0,30.2,62.1374444444
Alameda,2006,1,1,0,0,1,0,0,87.84,118.802333333
Alameda,2006,0,0,0,0,1,0,0,11.67,30.8773412698
Alameda,2006,0,1,0,0,1,0,0,20.39,52.1099222222
Alameda,2006,1,0,0,0,0,1,0,104.66,62.1374444444
Alameda,2006,1,1,0,0,0,1,0,185.34,118.802333333
Alameda,2006,0,0,0,0,0,1,0,45.26,30.8773412698
Alameda,2006,0,1,0,0,0,1,0,71.33,52.1099222222
Alameda,2006,1,0,0,0,0,0,1,270.69,243.179055556
Alameda,2006,1,1,0,0,0,0,1,489.56,439.942588889
Alameda,2006,0,0,0,0,0,0,1,152.92,153.8391
Alameda,2006,0,1,0,0,0,0,1,205.74,184.453755556
Alameda,2006,1,0,1,0,0,0,0,74.51,62.1374444444
Alameda,2006,1,1,1,0,0,0,0,164.21,118.802333333
Alameda,2006,0,0,1,0,0,0,0,47.01,30.8773412698
Alameda,2006,0,1,1,0,0,0,0,61.8,52.1099222222
Alameda,2007,1,0,0,1,0,0,0,531.38,288.950444444
Alameda,2007,1,1,0,1,0,0,0,749.09,658.770755556
Alameda,2007,0,0,0,1,0,0,0,219.24,203.260622222
Alameda,2007,0,1,0,1,0,0,0,255.17,241.501177778
Alameda,2007,1,0,0,0,1,0,0,32.67,83.6212571429
Alameda,2007,1,1,0,0,1,0,0,111.75,154.615314286
Alameda,2007,0,0,0,0,1,0,0,11.7,30.0163888889
Alameda,2007,0,1,0,0,1,0,0,20.66,50.2218333333
Alameda,2007,1,0,0,0,0,1,0,136.21,83.6212571429
Alameda,2007,1,1,0,0,0,1,0,225.44,154.615314286
Alameda,2007,0,0,0,0,0,1,0,41.77,30.0163888889
Alameda,2007,0,1,0,0,0,1,0,61.81,50.2218333333
Alameda,2007,1,0,0,0,0,0,1,308.56,262.661277778
Alameda,2007,1,1,0,0,0,0,1,435.95,364.3357
Alameda,2007,0,0,0,0,0,0,1,128.42,134.012711111
Alameda,2007,0,1,0,0,0,0,1,150.64,154.374668254
Alameda,2007,1,0,1,0,0,0,0,80.33,83.6212571429
Alameda,2007,1,1,1,0,0,0,0,150.62,154.615314286
Alameda,2007,0,0,1,0,0,0,0,50.41,30.0163888889
Alameda,2007,0,1,1,0,0,0,0,55.21,50.2218333333
Alameda,2008,1,0,0,1,0,0,0,565.16,466.331211111
Alameda,2008,1,1,0,1,0,0,0,679.93,657.296222222
Alameda,2008,0,0,0,1,0,0,0,248.76,223.883133333
Alameda,2008,0,1,0,1,0,0,0,280.46,258.896180952
Alameda,2008,1,0,0,0,1,0,0,41.17,57.0133888889
Alameda,2008,1,1,0,0,1,0,0,78.74,124.994122222
Alameda,2008,0,0,0,0,1,0,0,14.76,38.2953666667
Alameda,2008,0,1,0,0,1,0,0,20.94,48.5487777778
Alameda,2008,1,0,0,0,0,1,0,124.14,57.0133888889
Alameda,2008,1,1,0,0,0,1,0,227.71,124.994122222
Alameda,2008,0,0,0,0,0,1,0,45.99,38.2953666667
Alameda,2008,0,1,0,0,0,1,0,71.38,48.5487777778
Alameda,2008,1,0,0,0,0,0,1,331.63,221.948066667
Alameda,2008,1,1,0,0,0,0,1,439.51,402.927055556
Alameda,2008,0,0,0,0,0,0,1,115.4,122.8705
Alameda,2008,0,1,0,0,0,0,1,138.77,168.448722222
Alameda,2008,1,0,1,0,0,0,0,76.14,57.0133888889
Alameda,2008,1,1,1,0,0,0,0,181.69,124.994122222
Alameda,2008,0,0,1,0,0,0,0,44.24,38.2953666667
Alameda,2008,0,1,1,0,0,0,0,56.05,48.5487777778
Alameda,2009,1,0,0,1,0,0,0,486.93,473.382522222
Alameda,2009,1,1,0,1,0,0,0,715.23,666.884888889
Alameda,2009,0,0,0,1,0,0,0,245.48,217.473355556
Alameda,2009,0,1,0,1,0,0,0,348.69,227.452866667
Alameda,2009,1,0,0,0,1,0,0,43.4,62.8731111111
Alameda,2009,1,1,0,0,1,0,0,89.08,107.857466667
Alameda,2009,0,0,0,0,1,0,0,19.55,29.9898888889
Alameda,2009,0,1,0,0,1,0,0,30.4,64.3690444444
Alameda,2009,1,0,0,0,0,1,0,105.71,62.8731111111
Alameda,2009,1,1,0,0,0,1,0,207.2,107.857466667
Alameda,2009,0,0,0,0,0,1,0,67.65,29.9898888889
Alameda,2009,0,1,0,0,0,1,0,88.25,64.3690444444
Alameda,2009,1,0,0,0,0,0,1,233.32,216.640955556
Alameda,2009,1,1,0,0,0,0,1,407.36,374.084533333
Alameda,2009,0,0,0,0,0,0,1,152.69,116.643144444
Alameda,2009,0,1,0,0,0,0,1,186.62,160.787333333
Alameda,2009,1,0,1,0,0,0,0,62.14,62.8731111111
Alameda,2009,1,1,1,0,0,0,0,141.67,107.857466667
Alameda,2009,0,0,1,0,0,0,0,47.5,29.9898888889
Alameda,2009,0,1,1,0,0,0,0,68.44,64.3690444444
Alameda,2010,1,0,0,1,0,0,0,233.77,269.141288889
Alameda,2010,1,1,0,1,0,0,0,408.64,490.32555
Alameda,2010,0,0,0,1,0,0,0,158.25,177.657822222
Alameda,2010,0,1,0,1,0,0,0,222.94,223.524533333
Alameda,2010,1,0,0,0,1,0,0,45.87,56.1054444444
Alameda,2010,1,1,0,0,1,0,0,69.11,107.867777778
Alameda,2010,0,0,0,0,1,0,0,12.24,40.5698
Alameda,2010,0,1,0,0,1,0,0,30.73,58.1599777778
Alameda,2010,1,0,0,0,0,1,0,84.72,56.1054444444
Alameda,2010,1,1,0,0,0,1,0,152.77,107.867777778
Alameda,2010,0,0,0,0,0,1,0,46.69,40.5698
Alameda,2010,0,1,0,0,0,1,0,69.45,58.1599777778
Alameda,2010,1,0,0,0,0,0,1,155.16,200.907577778
Alameda,2010,1,1,0,0,0,0,1,242.42,304.038555556
Alameda,2010,0,0,0,0,0,0,1,113.83,112.505355556
Alameda,2010,0,1,0,0,0,0,1,160.64,141.807555556
Alameda,2010,1,0,1,0,0,0,0,61.92,56.1054444444
Alameda,2010,1,1,1,0,0,0,0,108.57,107.867777778
Alameda,2010,0,0,1,0,0,0,0,37.31,40.5698
Alameda,2010,0,1,1,0,0,0,0,53.83,58.1599777778
Alameda,2011,1,0,0,1,0,0,0,217.06,253.518133333
Alameda,2011,1,1,0,1,0,0,0,353.47,428.43155
Alameda,2011,0,0,0,1,0,0,0,136.21,158.754666667
Alameda,2011,0,1,0,1,0,0,0,183.85,193.491833333
Alameda,2011,1,0,0,0,1,0,0,45.41,63.0207777778
Alameda,2011,1,1,0,0,1,0,0,87.56,97.1278507937
Alameda,2011,0,0,0,0,1,0,0,15.7,26.4668888889
Alameda,2011,0,1,0,0,1,0,0,29.78,39.3005555556
Alameda,2011,1,0,0,0,0,1,0,72.53,63.0207777778
Alameda,2011,1,1,0,0,0,1,0,139.12,97.1278507937
Alameda,2011,0,0,0,0,0,1,0,42.57,26.4668888889
Alameda,2011,0,1,0,0,0,1,0,61.52,39.3005555556
Alameda,2011,1,0,0,0,0,0,1,122.29,198.280022222
Alameda,2011,1,1,0,0,0,0,1,298.76,291.684
Alameda,2011,0,0,0,0,0,0,1,101.97,105.151311111
Alameda,2011,0,1,0,0,0,0,1,129.21,144.915444444
Alameda,2011,1,0,1,0,0,0,0,49.94,63.0207777778
Alameda,2011,1,1,1,0,0,0,0,66.33,97.1278507937
Alameda,2011,0,0,1,0,0,0,0,38.37,26.4668888889
Alameda,2011,0,1,1,0,0,0,0,59.36,39.3005555556
Alameda,2012,1,0,0,1,0,0,0,260.04,276.053444444
Alameda,2012,1,1,0,1,0,0,0,449.87,571.950388889
Alameda,2012,0,0,0,1,0,0,0,150.11,216.759511111
Alameda,2012,0,1,0,1,0,0,0,233.43,260.050222222
Alameda,2012,1,0,0,0,1,0,0,30.53,38.7072333333
Alameda,2012,1,1,0,0,1,0,0,77.05,85.2107777778
Alameda,2012,0,0,0,0,1,0,0,17.88,33.0787333333
Alameda,2012,0,1,0,0,1,0,0,28.8,65.461
Alameda,2012,1,0,0,0,0,1,0,76.46,38.7072333333
Alameda,2012,1,1,0,0,0,1,0,159.48,85.2107777778
Alameda,2012,0,0,0,0,0,1,0,51.72,33.0787333333
Alameda,2012,0,1,0,0,0,1,0,78.84,65.461
Alameda,2012,1,0,0,0,0,0,1,156.13,204.611333333
Alameda,2012,1,1,0,0,0,0,1,354.39,353.308277778
Alameda,2012,0,0,0,0,0,0,1,87.75,130.081611111
Alameda,2012,0,1,0,0,0,0,1,112.31,145.4823
Alameda,2012,1,0,1,0,0,0,0,55.12,38.7072333333
Alameda,2012,1,1,1,0,0,0,0,93.5,85.2107777778
Alameda,2012,0,0,1,0,0,0,0,40.13,33.0787333333
Alameda,2012,0,1,1,0,0,0,0,48.67,65.461
Alameda,2013,1,0,0,1,0,0,0,305.75,451.589077778
Alameda,2013,1,1,0,1,0,0,0,495.09,529.050772222
Alameda,2013,0,0,0,1,0,0,0,186.46,200.142
Alameda,2013,0,1,0,1,0,0,0,266.0,236.419022222
