County,FIPS,Year,Age,Gender,Ethnicity,Rate (per 10k),Rate predict
Alameda,06001,2014,0-4,female,african,329.94,299.221777778
Alameda,06001,2014,0-4,male,african,596.67,618.332822222
Alameda,06001,2014,5-17,female,african,223.52,225.082222222
Alameda,06001,2014,5-17,male,african,304.49,254.442055556
Alameda,06001,2014,0-4,female,asian,39.63,39.2032222222
Alameda,06001,2014,0-4,male,asian,74.65,116.838555556
Alameda,06001,2014,5-17,female,asian,17.94,37.3447
Alameda,06001,2014,5-17,male,asian,31.88,61.1625333333
Alameda,06001,2014,0-4,female,hispanic,94.97,39.2032222222
Alameda,06001,2014,0-4,male,hispanic,196.55,116.838555556
Alameda,06001,2014,5-17,female,hispanic,70.25,37.3447
Alameda,06001,2014,5-17,male,hispanic,101.44,61.1625333333
Alameda,06001,2014,0-4,female,other,185.09,197.256288889
Alameda,06001,2014,0-4,male,other,422.13,371.863477778
Alameda,06001,2014,5-17,female,other,123.04,134.196655556
Alameda,06001,2014,5-17,male,other,170.9,181.344022222
Alameda,06001,2014,0-4,female,white,37.28,39.2032222222
Alameda,06001,2014,0-4,male,white,67.38,116.838555556
Alameda,06001,2014,5-17,female,white,25.59,37.3447
Alameda,06001,2014,5-17,male,white,39.69,61.1625333333
Amador,06005,2014,5-17,female,white,107.87,104.312733333
Amador,06005,2014,5-17,male,white,87.21,110.665555556
Butte,06007,2014,5-17,male,african,479.26,372.283055556
Butte,06007,2014,0-4,male,hispanic,160.61,144.911777778
Butte,06007,2014,5-17,male,hispanic,49.15,54.74
Butte,06007,2014,0-4,female,white,70.65,70.0725555556
Butte,06007,2014,0-4,male,white,133.26,144.911777778
Butte,06007,2014,5-17,female,white,63.68,61.2111111111
Butte,06007,2014,5-17,male,white,58.95,54.74
Calaveras,06009,2014,0-4,male,white,194.03,211.385655556
Calaveras,06009,2014,5-17,female,white,83.13,75.6936
Calaveras,06009,2014,5-17,male,white,86.79,85.5557777778
Colusa,06011,2014,5-17,male,hispanic,72.76,76.7772444444
Contra Costa,06013,2014,0-4,female,african,296.63,298.544844444
Contra Costa,06013,2014,0-4,male,african,553.77,511.682722222
Contra Costa,06013,2014,5-17,female,african,293.51,252.518822222
Contra Costa,06013,2014,5-17,male,african,306.93,256.191211111
Contra Costa,06013,2014,0-4,female,asian,61.84,72.8471746032
Contra Costa,06013,2014,0-4,male,asian,68.49,122.833902381
Contra Costa,06013,2014,5-17,female,asian,22.29,59.5973333333
Contra Costa,06013,2014,5-17,male,asian,44.34,66.4926888889
Contra Costa,06013,2014,0-4,female,hispanic,108.9,72.8471746032
Contra Costa,06013,2014,0-4,male,hispanic,168.73,122.833902381
Contra Costa,06013,2014,5-17,female,hispanic,71.27,59.5973333333
Contra Costa,06013,2014,5-17,male,hispanic,113.35,66.4926888889
Contra Costa,06013,2014,0-4,female,other,75.19,79.5291111111
Contra Costa,06013,2014,0-4,male,other,234.03,215.414766667
Contra Costa,06013,2014,5-17,female,other,61.54,64.0817
Contra Costa,06013,2014,5-17,male,other,124.24,117.829111111
Contra Costa,06013,2014,0-4,female,white,35.2,72.8471746032
Contra Costa,06013,2014,0-4,male,white,70.74,122.833902381
Contra Costa,06013,2014,5-17,female,white,36.17,59.5973333333
Contra Costa,06013,2014,5-17,male,white,37.82,66.4926888889
El Dorado,06017,2014,5-17,female,hispanic,46.69,40.2139777778
El Dorado,06017,2014,5-17,male,hispanic,40.98,40.4149444444
El Dorado,06017,2014,5-17,female,other,211.19,343.947111111
El Dorado,06017,2014,5-17,male,other,143.8,368.570444444
El Dorado,06017,2014,0-4,male,white,81.44,88.3166222222
El Dorado,06017,2014,5-17,female,white,37.84,40.2139777778
El Dorado,06017,2014,5-17,male,white,47.67,40.4149444444
Fresno,06019,2014,0-4,female,african,413.65,398.795222222
Fresno,06019,2014,0-4,male,african,774.68,672.672533333
Fresno,06019,2014,5-17,female,african,208.31,229.0718
Fresno,06019,2014,5-17,male,african,372.57,353.660822222
Fresno,06019,2014,0-4,female,asian,72.39,129.928622222
Fresno,06019,2014,0-4,male,asian,104.19,136.5074
Fresno,06019,2014,5-17,female,asian,28.17,91.8295888889
Fresno,06019,2014,5-17,male,asian,36.59,134.279866667
Fresno,06019,2014,0-4,female,hispanic,175.3,129.928622222
Fresno,06019,2014,0-4,male,hispanic,285.19,136.5074
Fresno,06019,2014,5-17,female,hispanic,111.08,91.8295888889
Fresno,06019,2014,5-17,male,hispanic,164.81,134.279866667
Fresno,06019,2014,0-4,male,other,94.72,295.3517
Fresno,06019,2014,5-17,female,other,39.45,76.3123333333
Fresno,06019,2014,5-17,male,other,93.74,224.682211111
Fresno,06019,2014,0-4,female,white,136.65,129.928622222
Fresno,06019,2014,0-4,male,white,187.07,136.5074
Fresno,06019,2014,5-17,female,white,106.29,91.8295888889
Fresno,06019,2014,5-17,male,white,146.99,134.279866667
Humboldt,06023,2014,0-4,male,white,111.51,131.577404762
Humboldt,06023,2014,5-17,female,white,78.47,68.8205555556
Humboldt,06023,2014,5-17,male,white,52.69,60.1586666667
Imperial,06025,2014,0-4,female,hispanic,65.26,101.337777778
Imperial,06025,2014,0-4,male,hispanic,154.6,238.199777778
Imperial,06025,2014,5-17,female,hispanic,114.96,126.132888889
Imperial,06025,2014,5-17,male,hispanic,212.78,164.984166667
Imperial,06025,2014,5-17,female,white,133.86,126.132888889
Imperial,06025,2014,5-17,male,white,148.06,164.984166667
Kern,06029,2014,0-4,female,african,282.43,374.530066667
Kern,06029,2014,0-4,male,african,579.56,518.092777778
Kern,06029,2014,5-17,female,african,304.28,247.265
Kern,06029,2014,5-17,male,african,333.77,323.969277778
Kern,06029,2014,0-4,female,hispanic,66.59,71.3261111111
Kern,06029,2014,0-4,male,hispanic,134.84,128.108580952
Kern,06029,2014,5-17,female,hispanic,61.7,68.353
Kern,06029,2014,5-17,male,hispanic,99.81,89.3480555556
Kern,06029,2014,0-4,male,other,171.34,439.6309
Kern,06029,2014,5-17,female,other,50.02,126.864388889
Kern,06029,2014,5-17,male,other,91.51,162.136722222
Kern,06029,2014,0-4,female,white,74.02,71.3261111111
Kern,06029,2014,0-4,male,white,123.6,128.108580952
Kern,06029,2014,5-17,female,white,71.5,68.353
Kern,06029,2014,5-17,male,white,89.62,89.3480555556
Kings,06031,2014,5-17,female,african,200.52,265.783833333
Kings,06031,2014,5-17,male,african,591.78,344.487622222
Kings,06031,2014,0-4,female,hispanic,60.21,93.2228888889
Kings,06031,2014,0-4,male,hispanic,261.4,261.0755
Kings,06031,2014,5-17,female,hispanic,76.23,94.2668888889
Kings,06031,2014,5-17,male,hispanic,134.97,115.428885714
Kings,06031,2014,0-4,female,white,131.25,93.2228888889
Kings,06031,2014,0-4,male,white,178.67,261.0755
Kings,06031,2014,5-17,female,white,126.04,94.2668888889
Kings,06031,2014,5-17,male,white,188.8,115.428885714
Lake,06033,2014,0-4,female,white,123.97,157.512755556
Lake,06033,2014,0-4,male,white,197.93,181.7595
Lake,06033,2014,5-17,female,white,59.48,58.4247777778
Lake,06033,2014,5-17,male,white,92.14,77.7489444444
Los Angeles,06037,2014,0-4,female,african,247.9,247.995266667
Los Angeles,06037,2014,0-4,male,african,416.86,454.154777778
Los Angeles,06037,2014,5-17,female,african,194.3,189.268555556
Los Angeles,06037,2014,5-17,male,african,312.75,290.599611111
Los Angeles,06037,2014,0-4,female,asian,23.48,60.8147333333
Los Angeles,06037,2014,0-4,male,asian,48.53,108.860666667
Los Angeles,06037,2014,5-17,female,asian,15.4,27.7989444444
Los Angeles,06037,2014,5-17,male,asian,32.89,49.07
Los Angeles,06037,2014,0-4,female,hispanic,70.09,60.8147333333
Los Angeles,06037,2014,0-4,male,hispanic,134.56,108.860666667
Los Angeles,06037,2014,5-17,female,hispanic,60.47,27.7989444444
Los Angeles,06037,2014,5-17,male,hispanic,101.05,49.07
Los Angeles,06037,2014,0-4,female,other,94.5,97.7019444444
Los Angeles,06037,2014,0-4,male,other,189.94,201.299466667
Los Angeles,06037,2014,5-17,female,other,81.04,91.3050444444
Los Angeles,06037,2014,5-17,male,other,133.77,134.485666667
Los Angeles,06037,2014,0-4,female,white,35.16,60.8147333333
Los Angeles,06037,2014,0-4,male,white,68.91,108.860666667
Los Angeles,06037,2014,5-17,female,white,39.18,27.7989444444
Los Angeles,06037,2014,5-17,male,white,54.63,49.07
Madera,06039,2014,0-4,female,hispanic,190.41,153.462888889
Madera,06039,2014,0-4,male,hispanic,285.28,272.819
Madera,06039,2014,5-17,female,hispanic,85.12,88.4612222222
Madera,06039,2014,5-17,male,hispanic,136.85,110.388888889
Madera,06039,2014,0-4,female,white,127.27,153.462888889
Madera,06039,2014,0-4,male,white,240.96,272.819
Madera,06039,2014,5-17,female,white,82.13,88.4612222222
Madera,06039,2014,5-17,male,white,91.59,110.388888889
Marin,06041,2014,5-17,male,african,315.09,255.162233333
Marin,06041,2014,0-4,male,hispanic,145.45,98.6205555556
Marin,06041,2014,5-17,female,hispanic,35.19,30.7606888889
Marin,06041,2014,5-17,male,hispanic,61.6,44.3892777778
Marin,06041,2014,0-4,male,white,50.1,98.6205555556
Marin,06041,2014,5-17,female,white,29.46,30.7606888889
Marin,06041,2014,5-17,male,white,23.73,44.3892777778
Mendocino,06045,2014,5-17,male,hispanic,103.13,69.4952777778
Mendocino,06045,2014,0-4,female,other,557.77,397.782333333
Mendocino,06045,2014,5-17,female,white,50.03,70.7751333333
Mendocino,06045,2014,5-17,male,white,67.7,69.4952777778
Merced,06047,2014,0-4,male,african,1322.75,1087.28755556
Merced,06047,2014,5-17,female,african,311.34,296.291422222
Merced,06047,2014,5-17,male,african,440.64,441.025222222
Merced,06047,2014,0-4,female,hispanic,135.36,126.205611111
Merced,06047,2014,0-4,male,hispanic,240.53,239.292746032
Merced,06047,2014,5-17,female,hispanic,72.52,106.2388
Merced,06047,2014,5-17,male,hispanic,152.4,116.359833333
Merced,06047,2014,0-4,female,white,102.7,126.205611111
Merced,06047,2014,0-4,male,white,262.33,239.292746032
Merced,06047,2014,5-17,female,white,79.06,106.2388
Merced,06047,2014,5-17,male,white,112.8,116.359833333
Monterey,06053,2014,0-4,female,hispanic,91.59,78.1893555556
Monterey,06053,2014,0-4,male,hispanic,129.86,115.708611111
Monterey,06053,2014,5-17,female,hispanic,59.28,46.2365333333
Monterey,06053,2014,5-17,male,hispanic,93.65,58.2296666667
Monterey,06053,2014,5-17,female,other,95.56,96.3616333333
Monterey,06053,2014,5-17,male,other,79.39,108.240412698
Monterey,06053,2014,0-4,female,white,59.52,78.1893555556
Monterey,06053,2014,0-4,male,white,60.79,115.708611111
Monterey,06053,2014,5-17,female,white,38.08,46.2365333333
Monterey,06053,2014,5-17,male,white,46.79,58.2296666667
Napa,06055,2014,0-4,female,hispanic,63.05,62.7081111111
Napa,06055,2014,0-4,male,hispanic,103.42,98.8147333333
Napa,06055,2014,5-17,female,hispanic,47.12,37.8758888889
Napa,06055,2014,5-17,male,hispanic,64.23,60.9263333333
Napa,06055,2014,0-4,male,white,108.11,98.8147333333
Napa,06055,2014,5-17,female,white,41.57,37.8758888889
Napa,06055,2014,5-17,male,white,58.51,60.9263333333
Nevada,06057,2014,0-4,male,white,77.37,81.8010333333
