County,Year,Number,Rate (per 10k)
Alameda,2005,257.0,448.28
Alameda,2005,420.0,708.98
Alameda,2005,406.0,221.79
Alameda,2005,461.0,254.14
Alameda,2005,61.0,51.37
Alameda,2005,100.0,80.43
Alameda,2005,38.0,13.28
Alameda,2005,78.0,25.66
Alameda,2005,173.0,112.73
Alameda,2005,263.0,166.05
Alameda,2005,130.0,36.59
Alameda,2005,232.0,62.09
Alameda,2005,115.0,300.42
Alameda,2005,196.0,486.71
Alameda,2005,177.0,240.49
Alameda,2005,222.0,294.98
Alameda,2005,107.0,91.48
Alameda,2005,196.0,158.67
Alameda,2005,133.0,38.98
Alameda,2005,196.0,56.63
Alameda,2006,239.0,432.81
Alameda,2006,424.0,744.91
Alameda,2006,322.0,180.62
Alameda,2006,483.0,271.29
Alameda,2006,36.0,30.2
Alameda,2006,109.0,87.84
Alameda,2006,34.0,11.67
Alameda,2006,63.0,20.39
Alameda,2006,161.0,104.66
Alameda,2006,294.0,185.34
Alameda,2006,162.0,45.26
Alameda,2006,268.0,71.33
Alameda,2006,104.0,270.69
Alameda,2006,197.0,489.56
Alameda,2006,117.0,152.92
Alameda,2006,163.0,205.74
Alameda,2006,84.0,74.51
Alameda,2006,196.0,164.21
Alameda,2006,155.0,47.01
Alameda,2006,212.0,61.8
Alameda,2007,287.0,531.38
Alameda,2007,412.0,749.09
Alameda,2007,379.0,219.24
Alameda,2007,441.0,255.17
Alameda,2007,39.0,32.67
Alameda,2007,139.0,111.75
Alameda,2007,34.0,11.7
Alameda,2007,64.0,20.66
Alameda,2007,212.0,136.21
Alameda,2007,366.0,225.44
Alameda,2007,152.0,41.77
Alameda,2007,235.0,61.81
Alameda,2007,120.0,308.56
Alameda,2007,178.0,435.95
Alameda,2007,101.0,128.42
Alameda,2007,124.0,150.64
Alameda,2007,88.0,80.33
Alameda,2007,176.0,150.62
Alameda,2007,161.0,50.41
Alameda,2007,180.0,55.21
Alameda,2008,304.0,565.16
Alameda,2008,369.0,679.93
Alameda,2008,415.0,248.76
Alameda,2008,473.0,280.46
Alameda,2008,50.0,41.17
Alameda,2008,100.0,78.74
Alameda,2008,43.0,14.76
Alameda,2008,65.0,20.94
Alameda,2008,196.0,124.14
Alameda,2008,379.0,227.71
Alameda,2008,170.0,45.99
Alameda,2008,273.0,71.38
Alameda,2008,130.0,331.63
Alameda,2008,182.0,439.51
Alameda,2008,93.0,115.4
Alameda,2008,119.0,138.77
Alameda,2008,82.0,76.14
Alameda,2008,210.0,181.69
Alameda,2008,138.0,44.24
Alameda,2008,176.0,56.05
Alameda,2009,257.0,486.93
Alameda,2009,380.0,715.23
Alameda,2009,383.0,245.48
Alameda,2009,552.0,348.69
Alameda,2009,52.0,43.4
Alameda,2009,114.0,89.08
Alameda,2009,58.0,19.55
Alameda,2009,96.0,30.4
Alameda,2009,169.0,105.71
Alameda,2009,357.0,207.2
Alameda,2009,251.0,67.65
Alameda,2009,340.0,88.25
Alameda,2009,93.0,233.32
Alameda,2009,175.0,407.36
Alameda,2009,128.0,152.69
Alameda,2009,163.0,186.62
Alameda,2009,65.0,62.14
Alameda,2009,159.0,141.67
Alameda,2009,137.0,47.5
Alameda,2009,207.0,68.44
Alameda,2010,121.0,233.77
Alameda,2010,212.0,408.64
Alameda,2010,237.0,158.25
Alameda,2010,339.0,222.94
Alameda,2010,55.0,45.87
Alameda,2010,88.0,69.11
Alameda,2010,37.0,12.24
Alameda,2010,99.0,30.73
Alameda,2010,136.0,84.72
Alameda,2010,261.0,152.77
Alameda,2010,174.0,46.69
Alameda,2010,270.0,69.45
Alameda,2010,62.0,155.16
Alameda,2010,104.0,242.42
Alameda,2010,95.0,113.83
Alameda,2010,142.0,160.64
Alameda,2010,63.0,61.92
Alameda,2010,119.0,108.57
Alameda,2010,105.0,37.31
Alameda,2010,156.0,53.83
Alameda,2011,113.0,217.06
Alameda,2011,189.0,353.47
Alameda,2011,202.0,136.21
Alameda,2011,273.0,183.85
Alameda,2011,53.0,45.41
Alameda,2011,111.0,87.56
Alameda,2011,49.0,15.7
Alameda,2011,97.0,29.78
Alameda,2011,113.0,72.53
Alameda,2011,229.0,139.12
Alameda,2011,164.0,42.57
Alameda,2011,249.0,61.52
Alameda,2011,48.0,122.29
Alameda,2011,125.0,298.76
Alameda,2011,87.0,101.97
Alameda,2011,119.0,129.21
Alameda,2011,53.0,49.94
Alameda,2011,76.0,66.33
Alameda,2011,104.0,38.37
Alameda,2011,168.0,59.36
Alameda,2012,136.0,260.04
Alameda,2012,245.0,449.87
Alameda,2012,221.0,150.11
Alameda,2012,345.0,233.43
Alameda,2012,36.0,30.53
Alameda,2012,101.0,77.05
Alameda,2012,56.0,17.88
Alameda,2012,95.0,28.8
Alameda,2012,117.0,76.46
Alameda,2012,258.0,159.48
Alameda,2012,203.0,51.72
